Table_1,Column_1,Table_length_2,Column_2,Table_2,similarity_score
11688006_0_8123036130090004213.json,Country Name:,276,"State, Province, Territory, Country, etc",37856682_0_6818907050314633217.json,0.974093264249
11688006_0_8123036130090004213.json,Country Name:,236,Country,3917335_0_7791699395300625164.json,0.80310880829
11688006_0_8123036130090004213.json,Country Name:,230,Country / Territory,41194422_0_7231546114369966811.json,0.886010362694
11688006_0_8123036130090004213.json,Country Name:,230,Country / Territory,41194422_1_1172256090552737974.json,0.886010362694
11688006_0_8123036130090004213.json,Country Name:,91,COUNTRY,41648740_0_6959523681065295632.json,0.846153846154
11688006_0_8123036130090004213.json,Country Name:,157,Country,49772588_0_6549847739640234347.json,0.917197452229
11688006_0_8123036130090004213.json,Country Name:,92,1998 Data Country,52299421_0_4473286348258170200.json,0.891304347826
11688006_0_8123036130090004213.json,Country Name:,17,Country Name (Click For Destination Guides),55004961_0_2904467548072189860.json,0.588235294118
11688006_0_8123036130090004213.json,Country Name:,24,Country Name (Click For Destination Guides),55238374_0_3379409961751009152.json,0.666666666667
11688006_0_8123036130090004213.json,Country Name:,24,Country Name (Click For Destination Guides),57943722_0_8666078014685775876.json,0.625
11688006_0_8123036130090004213.json,Country Name:,25,Country Name (Click For Destination Guides),61121469_0_6337620713408906340.json,0.64
11688006_0_8123036130090004213.json,Country Name:,225,Country,67865873_0_8259587610208037357.json,0.927461139896
11688006_0_8123036130090004213.json,Country Name:,59,Name,68779923_0_3859283110041832023.json,0.796610169492
11688006_0_8123036130090004213.json,Country Name:,45,Name,68779923_1_3240042497463101224.json,0.955555555556
11688006_0_8123036130090004213.json,Country Name:,55,Name,68779923_2_1000046510804975562.json,0.945454545455
11688006_0_8123036130090004213.json,Country Name:,39,Name,68779923_4_1832350971585698643.json,0.589743589744
11688006_0_8123036130090004213.json,Country Name:,16,Name,68779923_5_2067037721454758189.json,0.75
11688006_0_8123036130090004213.json,Country Name:,239,Country,69537082_0_7789694313271016902.json,0.958549222798
11688006_0_8123036130090004213.json,Country Name:,200,Country,74491133_0_7177831100884797849.json,0.886010362694
11688006_0_8123036130090004213.json,Country Name:,237,Country,79327346_0_5787863739697336601.json,0.906735751295
11688006_0_8123036130090004213.json,Country Name:,32,Country Name (Click For Destination Guides),8286121_0_8471791395229161598.json,0.6875
11688006_0_8123036130090004213.json,Country Name:,67,Country,86297395_0_6919201319699354263.json,0.925373134328
11688006_0_8123036130090004213.json,Country Name:,232,Country,89511064_0_2199624509082573904.json,0.948186528497
11688006_0_8123036130090004213.json,Country Name:,183,Name,9206866_1_8114610355671172497.json,0.890710382514
12183399_0_6725061928072492226.json,Country,233,Nom en anglais,11599512_1_280388135214354946.json,0.732484076433
12183399_0_6725061928072492226.json,Country,193,Country Name:,11688006_0_8123036130090004213.json,0.777070063694
12183399_0_6725061928072492226.json,Country,32,Unnamed: 0,12193237_0_8699643798888088574.json,0.78125
12183399_0_6725061928072492226.json,Country,53,OAU State,14067031_0_559833072073397908.json,0.528301886792
12183399_0_6725061928072492226.json,Country,83,Country,24036779_0_5608105867560183058.json,0.759036144578
12183399_0_6725061928072492226.json,Country,211,Country,24850757_0_5978004733768297283.json,0.745222929936
12183399_0_6725061928072492226.json,Country,92,Country,34899692_0_6530393048033763438.json,0.717391304348
12183399_0_6725061928072492226.json,Country,276,"State, Province, Territory, Country, etc",37856682_0_6818907050314633217.json,0.783439490446
12183399_0_6725061928072492226.json,Country,236,Country,3917335_0_7791699395300625164.json,0.783439490446
12183399_0_6725061928072492226.json,Country,230,Country / Territory,41194422_0_7231546114369966811.json,0.751592356688
12183399_0_6725061928072492226.json,Country,230,Country / Territory,41194422_1_1172256090552737974.json,0.751592356688
12183399_0_6725061928072492226.json,Country,91,COUNTRY,41648740_0_6959523681065295632.json,0.769230769231
12183399_0_6725061928072492226.json,Country,157,Country,49772588_0_6549847739640234347.json,0.636942675159
12183399_0_6725061928072492226.json,Country,92,1998 Data Country,52299421_0_4473286348258170200.json,0.760869565217
12183399_0_6725061928072492226.json,Country,17,Country Name (Click For Destination Guides),55004961_0_2904467548072189860.json,0.352941176471
12183399_0_6725061928072492226.json,Country,24,Country Name (Click For Destination Guides),55238374_0_3379409961751009152.json,0.541666666667
12183399_0_6725061928072492226.json,Country,24,Country Name (Click For Destination Guides),57943722_0_8666078014685775876.json,0.333333333333
12183399_0_6725061928072492226.json,Country,25,Country Name (Click For Destination Guides),61121469_0_6337620713408906340.json,0.52
12183399_0_6725061928072492226.json,Country,225,Country,67865873_0_8259587610208037357.json,0.738853503185
12183399_0_6725061928072492226.json,Country,59,Name,68779923_0_3859283110041832023.json,0.64406779661
12183399_0_6725061928072492226.json,Country,45,Name,68779923_1_3240042497463101224.json,0.622222222222
12183399_0_6725061928072492226.json,Country,55,Name,68779923_2_1000046510804975562.json,0.527272727273
12183399_0_6725061928072492226.json,Country,39,Name,68779923_4_1832350971585698643.json,0.358974358974
12183399_0_6725061928072492226.json,Country,16,Name,68779923_5_2067037721454758189.json,0.6875
12183399_0_6725061928072492226.json,Country,239,Country,69537082_0_7789694313271016902.json,0.783439490446
12183399_0_6725061928072492226.json,Country,200,Country,74491133_0_7177831100884797849.json,0.71974522293
12183399_0_6725061928072492226.json,Country,237,Country,79327346_0_5787863739697336601.json,0.770700636943
12183399_0_6725061928072492226.json,Country,32,Country Name (Click For Destination Guides),8286121_0_8471791395229161598.json,0.40625
12183399_0_6725061928072492226.json,Country,67,Country,86297395_0_6919201319699354263.json,0.716417910448
12183399_0_6725061928072492226.json,Country,232,Country,89511064_0_2199624509082573904.json,0.770700636943
12183399_0_6725061928072492226.json,Country,183,Name,9206866_1_8114610355671172497.json,0.71974522293
12193237_0_8699643798888088574.json,Unnamed: 0,233,Nom en anglais,11599512_1_280388135214354946.json,0.78125
12193237_0_8699643798888088574.json,Unnamed: 0,193,Country Name:,11688006_0_8123036130090004213.json,0.8125
12193237_0_8699643798888088574.json,Unnamed: 0,157,Country,12183399_0_6725061928072492226.json,0.78125
12193237_0_8699643798888088574.json,Unnamed: 0,83,Country,24036779_0_5608105867560183058.json,0.59375
12193237_0_8699643798888088574.json,Unnamed: 0,211,Country,24850757_0_5978004733768297283.json,0.8125
12193237_0_8699643798888088574.json,Unnamed: 0,92,Country,34899692_0_6530393048033763438.json,0.625
12193237_0_8699643798888088574.json,Unnamed: 0,276,"State, Province, Territory, Country, etc",37856682_0_6818907050314633217.json,0.875
12193237_0_8699643798888088574.json,Unnamed: 0,236,Country,3917335_0_7791699395300625164.json,0.875
12193237_0_8699643798888088574.json,Unnamed: 0,230,Country / Territory,41194422_0_7231546114369966811.json,0.75
12193237_0_8699643798888088574.json,Unnamed: 0,230,Country / Territory,41194422_1_1172256090552737974.json,0.75
12193237_0_8699643798888088574.json,Unnamed: 0,91,COUNTRY,41648740_0_6959523681065295632.json,0.75
12193237_0_8699643798888088574.json,Unnamed: 0,157,Country,49772588_0_6549847739640234347.json,0.8125
12193237_0_8699643798888088574.json,Unnamed: 0,92,1998 Data Country,52299421_0_4473286348258170200.json,0.75
12193237_0_8699643798888088574.json,Unnamed: 0,225,Country,67865873_0_8259587610208037357.json,0.8125
12193237_0_8699643798888088574.json,Unnamed: 0,59,Name,68779923_0_3859283110041832023.json,0.84375
12193237_0_8699643798888088574.json,Unnamed: 0,239,Country,69537082_0_7789694313271016902.json,0.8125
12193237_0_8699643798888088574.json,Unnamed: 0,200,Country,74491133_0_7177831100884797849.json,0.78125
12193237_0_8699643798888088574.json,Unnamed: 0,237,Country,79327346_0_5787863739697336601.json,0.78125
12193237_0_8699643798888088574.json,Unnamed: 0,67,Country,86297395_0_6919201319699354263.json,0.4375
12193237_0_8699643798888088574.json,Unnamed: 0,232,Country,89511064_0_2199624509082573904.json,0.8125
12193237_0_8699643798888088574.json,Unnamed: 0,183,Name,9206866_1_8114610355671172497.json,0.78125
12271141_0_8517913935669973086.json,Company,206,Company,11278409_0_3742771475298785475.json,0.48275862069
12271141_0_8517913935669973086.json,Company,20,Company,14380604_4_3329235705746762392.json,0.3
12271141_0_8517913935669973086.json,Company,100,Company,28079336_1_3124145965038277571.json,0.310344827586
12271141_0_8517913935669973086.json,Company,121,Company,28079336_2_2139598421036200532.json,0.724137931034
12271141_0_8517913935669973086.json,Company,23,Company,41336118_0_4331895026409635103.json,0.260869565217
12271141_0_8517913935669973086.json,Company,55,Company,52572391_0_8684896999787304275.json,0.344827586207
12271141_0_8517913935669973086.json,Company,100,Company,56224555_0_3713922722778385817.json,0.448275862069
12271141_0_8517913935669973086.json,Company,30,Company/Organization,80184932_0_4240003884724905487.json,0.689655172414
12271141_0_8517913935669973086.json,Company,131,Company,90723763_0_874013697986950454.json,0.344827586207
12271141_0_8517913935669973086.json,Company,30,Company??,96203994_0_2127964719640427252.json,0.586206896552
12746760_0_6703465836620308483.json,Unnamed: 0,8,Unnamed: 0,28646774_0_3256889721737611537.json,0.625
12746760_0_6703465836620308483.json,Unnamed: 0,10,Fianna Fail,30645756_0_2413317245475669227.json,0.5
12746760_0_6703465836620308483.json,Unnamed: 0,8,Unnamed: 0,39606331_0_1646213676302448706.json,0.625
12746760_0_6703465836620308483.json,Unnamed: 0,8,Unnamed: 0,44005578_0_5400481538370055338.json,0.625
12746760_0_6703465836620308483.json,Unnamed: 0,14,Political Party,78005071_0_8643954006825971723.json,0.625
13395751_3_369722706637560735.json,Name of Water Body,15,Lake,41819807_0_3139249984404131679.json,0.266666666667
13395751_3_369722706637560735.json,Name of Water Body,110,Name,8468806_0_4382447409703007384.json,0.375
13395751_3_369722706637560735.json,Name of Water Body,197,Lake,98929678_0_3700213490979945526.json,0.25
14067031_0_559833072073397908.json,OAU State,233,A,11599512_1_280388135214354946.json,0.301886792453
14067031_0_559833072073397908.json,OAU State,233,Nom en anglais,11599512_1_280388135214354946.json,0.735849056604
14067031_0_559833072073397908.json,OAU State,193,Country Name:,11688006_0_8123036130090004213.json,0.905660377358
14067031_0_559833072073397908.json,OAU State,157,Country,12183399_0_6725061928072492226.json,0.528301886792
14067031_0_559833072073397908.json,OAU State,211,Country,24850757_0_5978004733768297283.json,0.830188679245
14067031_0_559833072073397908.json,OAU State,276,"State, Province, Territory, Country, etc",37856682_0_6818907050314633217.json,0.905660377358
14067031_0_559833072073397908.json,OAU State,236,Country,3917335_0_7791699395300625164.json,0.811320754717
14067031_0_559833072073397908.json,OAU State,230,Country / Territory,41194422_0_7231546114369966811.json,0.867924528302
14067031_0_559833072073397908.json,OAU State,230,Country / Territory,41194422_1_1172256090552737974.json,0.867924528302
14067031_0_559833072073397908.json,OAU State,157,Country,49772588_0_6549847739640234347.json,0.867924528302
14067031_0_559833072073397908.json,OAU State,25,Country Name (Click For Destination Guides),61121469_0_6337620713408906340.json,0.28
14067031_0_559833072073397908.json,OAU State,225,Country,67865873_0_8259587610208037357.json,0.830188679245
14067031_0_559833072073397908.json,OAU State,55,Name,68779923_2_1000046510804975562.json,0.924528301887
14067031_0_559833072073397908.json,OAU State,239,Country,69537082_0_7789694313271016902.json,0.88679245283
14067031_0_559833072073397908.json,OAU State,200,Country,74491133_0_7177831100884797849.json,0.849056603774
14067031_0_559833072073397908.json,OAU State,237,Country,79327346_0_5787863739697336601.json,0.811320754717
14067031_0_559833072073397908.json,OAU State,232,Country,89511064_0_2199624509082573904.json,0.924528301887
14067031_0_559833072073397908.json,OAU State,183,Name,9206866_1_8114610355671172497.json,0.830188679245
14311244_0_7604843865524657408.json,MOUNTAIN,107,Himal,21337553_0_8832378999628437599.json,0.78125
14311244_0_7604843865524657408.json,MOUNTAIN,107,Name of the Peaks,21337553_0_8832378999628437599.json,1.0625
14311244_0_7604843865524657408.json,MOUNTAIN,107,Zone,21337553_0_8832378999628437599.json,0.59375
14311244_0_7604843865524657408.json,MOUNTAIN,32,MOUNTAIN,49801939_0_6964113429298874283.json,0.90625
14311244_0_7604843865524657408.json,MOUNTAIN,554,Everest,69381058_0_984708047398578866.json,0.71875
14380604_4_3329235705746762392.json,Company,206,Company,11278409_0_3742771475298785475.json,0.8
14380604_4_3329235705746762392.json,Company,29,Company,12271141_0_8517913935669973086.json,0.3
14380604_4_3329235705746762392.json,Company,100,Company,28079336_1_3124145965038277571.json,0.35
14380604_4_3329235705746762392.json,Company,121,Company,28079336_2_2139598421036200532.json,0.35
14380604_4_3329235705746762392.json,Company,23,Company,41336118_0_4331895026409635103.json,0.55
14380604_4_3329235705746762392.json,Company,100,Company,56224555_0_3713922722778385817.json,0.65
14380604_4_3329235705746762392.json,Company,30,Company/Organization,80184932_0_4240003884724905487.json,0.35
14380604_4_3329235705746762392.json,Company,131,Company,90723763_0_874013697986950454.json,0.7
14380604_4_3329235705746762392.json,Company,30,Company,93702496_0_39013305210829591.json,0.75
15700884_0_8204220284166767221.json,Company,206,Company,11278409_0_3742771475298785475.json,0.341463414634
16767252_0_2409448375013995751.json,Title,100,Title,58891288_0_1117541047012405958.json,0.25
16949304_0_2573050770332101882.json,Hospital,10,Hospital,32460905_0_5195150472060854231.json,0.8
19073331_0_2742992342272078110.json,Party,10,Name of party,28154036_0_909001972154294543.json,0.9
19654359_0_3020273135042459469.json,Airport Name,137,Airport Name,21585935_0_294037497010176843.json,0.963503649635
19654359_0_3020273135042459469.json,Airport Name,50,Airport,39107734_2_2329160387535788734.json,0.34
19654359_0_3020273135042459469.json,Airport Name,137,Airport Name,74718406_0_3914457597478137388.json,0.970802919708
19654359_0_3020273135042459469.json,Airport Name,137,Airport Name,7929299_0_3253718003116029649.json,0.948905109489
19654359_0_3020273135042459469.json,Airport Name,137,Airport Name,9686394_0_5980699488362107028.json,0.963503649635
20135078_0_7570343137119682530.json,Title,113,Title,38428277_0_1311643810102462607.json,0.26
20135078_0_7570343137119682530.json,Title,100,Title,58891288_0_1117541047012405958.json,0.29
21329809_0_5526008408364682899.json,City,187,City,75154185_0_1607627349983289012.json,0.403846153846
21329809_0_5526008408364682899.json,City,170,City,77632062_0_2292892375652659825.json,0.262820512821
21333456_2_1886495893795687264.json,CREATOR,99,Isaac Newton,22987653_0_7774852112768859306.json,0.393939393939
21333456_2_1886495893795687264.json,CREATOR,99,Anaximander,76836443_2_249332777049648171.json,0.454545454545
21337553_0_8832378999628437599.json,Himal,32,MOUNTAIN,14311244_0_7604843865524657408.json,0.78125
21337553_0_8832378999628437599.json,Himal,32,MOUNTAIN,49801939_0_6964113429298874283.json,0.78125
21337553_0_8832378999628437599.json,Name of the Peaks,32,MOUNTAIN,14311244_0_7604843865524657408.json,1.0625
21337553_0_8832378999628437599.json,Name of the Peaks,32,MOUNTAIN,49801939_0_6964113429298874283.json,1.0625
21337553_0_8832378999628437599.json,Name of the Peaks,554,Everest,69381058_0_984708047398578866.json,0.252336448598
21337553_0_8832378999628437599.json,Zone,32,MOUNTAIN,14311244_0_7604843865524657408.json,0.59375
21337553_0_8832378999628437599.json,Zone,32,MOUNTAIN,49801939_0_6964113429298874283.json,0.59375
21585935_0_294037497010176843.json,Airport Name,137,Airport Name,19654359_0_3020273135042459469.json,0.963503649635
21585935_0_294037497010176843.json,Airport Name,50,Airport,39107734_2_2329160387535788734.json,0.34
21585935_0_294037497010176843.json,Airport Name,137,Airport Name,74718406_0_3914457597478137388.json,0.963503649635
21585935_0_294037497010176843.json,Airport Name,137,Airport Name,7929299_0_3253718003116029649.json,0.970802919708
21585935_0_294037497010176843.json,Airport Name,137,Airport Name,9686394_0_5980699488362107028.json,0.970802919708
21801207_0_8144839668470123042.json,Title,377,Title,22864497_0_8632623712684511496.json,0.3
21801207_0_8144839668470123042.json,Title,100,Game,24142265_0_4577466141408796359.json,0.5
21801207_0_8144839668470123042.json,Title,117,Name,48944826_0_2321751364268052533.json,0.25
21801207_0_8144839668470123042.json,Title,398,Titel,91959037_0_7907661684242014480.json,0.5
22864497_0_8632623712684511496.json,Title,20,Title,21801207_0_8144839668470123042.json,0.3
22864497_0_8632623712684511496.json,Title,13,Game,29414811_6_8221428333921653560.json,0.307692307692
22864497_0_8632623712684511496.json,Title,184,Game,46671561_0_6122315295162029872.json,0.407608695652
22864497_0_8632623712684511496.json,Title,117,Name,48944826_0_2321751364268052533.json,0.435897435897
22987653_0_7774852112768859306.json,Isaac Newton,33,CREATOR,21333456_2_1886495893795687264.json,0.393939393939
22987653_0_7774852112768859306.json,Isaac Newton,99,Anaximander,76836443_2_249332777049648171.json,0.373737373737
24036779_0_5608105867560183058.json,Country,233,Nom en anglais,11599512_1_280388135214354946.json,0.795180722892
24036779_0_5608105867560183058.json,Country,193,Country Name:,11688006_0_8123036130090004213.json,0.927710843373
24036779_0_5608105867560183058.json,Country,157,Country,12183399_0_6725061928072492226.json,0.759036144578
24036779_0_5608105867560183058.json,Country,32,Unnamed: 0,12193237_0_8699643798888088574.json,0.59375
24036779_0_5608105867560183058.json,Country,211,Country,24850757_0_5978004733768297283.json,0.831325301205
24036779_0_5608105867560183058.json,Country,92,Country,34899692_0_6530393048033763438.json,0.566265060241
24036779_0_5608105867560183058.json,Country,276,"State, Province, Territory, Country, etc",37856682_0_6818907050314633217.json,0.927710843373
24036779_0_5608105867560183058.json,Country,236,Country,3917335_0_7791699395300625164.json,0.819277108434
24036779_0_5608105867560183058.json,Country,230,Country / Territory,41194422_0_7231546114369966811.json,0.903614457831
24036779_0_5608105867560183058.json,Country,230,Country / Territory,41194422_1_1172256090552737974.json,0.903614457831
24036779_0_5608105867560183058.json,Country,91,COUNTRY,41648740_0_6959523681065295632.json,0.590361445783
24036779_0_5608105867560183058.json,Country,157,Country,49772588_0_6549847739640234347.json,0.795180722892
24036779_0_5608105867560183058.json,Country,92,1998 Data Country,52299421_0_4473286348258170200.json,0.638554216867
24036779_0_5608105867560183058.json,Country,24,Country Name (Click For Destination Guides),55238374_0_3379409961751009152.json,0.333333333333
24036779_0_5608105867560183058.json,Country,225,Country,67865873_0_8259587610208037357.json,0.867469879518
24036779_0_5608105867560183058.json,Country,59,Name,68779923_0_3859283110041832023.json,0.457627118644
24036779_0_5608105867560183058.json,Country,45,Name,68779923_1_3240042497463101224.json,0.488888888889
24036779_0_5608105867560183058.json,Country,39,Name,68779923_4_1832350971585698643.json,0.25641025641
24036779_0_5608105867560183058.json,Country,16,Name,68779923_5_2067037721454758189.json,0.375
24036779_0_5608105867560183058.json,Country,239,Country,69537082_0_7789694313271016902.json,0.927710843373
24036779_0_5608105867560183058.json,Country,200,Country,74491133_0_7177831100884797849.json,0.843373493976
24036779_0_5608105867560183058.json,Country,237,Country,79327346_0_5787863739697336601.json,0.927710843373
24036779_0_5608105867560183058.json,Country,32,Country Name (Click For Destination Guides),8286121_0_8471791395229161598.json,0.28125
24036779_0_5608105867560183058.json,Country,67,Country,86297395_0_6919201319699354263.json,0.89552238806
24036779_0_5608105867560183058.json,Country,232,Country,89511064_0_2199624509082573904.json,0.915662650602
24036779_0_5608105867560183058.json,Country,183,Name,9206866_1_8114610355671172497.json,0.831325301205
24142265_0_4577466141408796359.json,Game,20,Title,21801207_0_8144839668470123042.json,0.5
24142265_0_4577466141408796359.json,Game,16,Game,29414811_13_8724394428539174350.json,0.3125
24142265_0_4577466141408796359.json,Game,13,Game,29414811_6_8221428333921653560.json,0.846153846154
24142265_0_4577466141408796359.json,Game,370,Game Title,36102169_0_7739454799295072814.json,0.3
24142265_0_4577466141408796359.json,Game,51,Game,57938705_0_8737506792349461963.json,0.490196078431
24142265_0_4577466141408796359.json,Game,398,Titel,91959037_0_7907661684242014480.json,0.27
24417511_0_3058323105166963431.json,Unnamed: 0,27,Player (2011 TBs),45073662_0_3179937335063201739.json,0.777777777778
24417511_0_3058323105166963431.json,Unnamed: 0,232,???O,66009064_0_9148652238372261251.json,0.366379310345
24417511_0_3058323105166963431.json,Unnamed: 0,177,Player,88732174_0_7321365014357502211.json,0.723163841808
24850757_0_5978004733768297283.json,Country,233,Nom en anglais,11599512_1_280388135214354946.json,0.644549763033
24850757_0_5978004733768297283.json,Country,193,Country Name:,11688006_0_8123036130090004213.json,0.875647668394
24850757_0_5978004733768297283.json,Country,157,Country,12183399_0_6725061928072492226.json,0.745222929936
24850757_0_5978004733768297283.json,Country,32,Unnamed: 0,12193237_0_8699643798888088574.json,0.8125
24850757_0_5978004733768297283.json,Country,53,OAU State,14067031_0_559833072073397908.json,0.830188679245
24850757_0_5978004733768297283.json,Country,83,Country,24036779_0_5608105867560183058.json,0.831325301205
24850757_0_5978004733768297283.json,Country,92,Country,34899692_0_6530393048033763438.json,0.847826086957
24850757_0_5978004733768297283.json,Country,276,"State, Province, Territory, Country, etc",37856682_0_6818907050314633217.json,0.824644549763
24850757_0_5978004733768297283.json,Country,236,Country,3917335_0_7791699395300625164.json,0.715639810427
24850757_0_5978004733768297283.json,Country,230,Country / Territory,41194422_0_7231546114369966811.json,0.715639810427
24850757_0_5978004733768297283.json,Country,230,Country / Territory,41194422_1_1172256090552737974.json,0.715639810427
24850757_0_5978004733768297283.json,Country,91,COUNTRY,41648740_0_6959523681065295632.json,0.824175824176
24850757_0_5978004733768297283.json,Country,157,Country,49772588_0_6549847739640234347.json,0.84076433121
24850757_0_5978004733768297283.json,Country,92,1998 Data Country,52299421_0_4473286348258170200.json,0.869565217391
24850757_0_5978004733768297283.json,Country,17,Country Name (Click For Destination Guides),55004961_0_2904467548072189860.json,0.764705882353
24850757_0_5978004733768297283.json,Country,24,Country Name (Click For Destination Guides),55238374_0_3379409961751009152.json,0.583333333333
24850757_0_5978004733768297283.json,Country,24,Country Name (Click For Destination Guides),57943722_0_8666078014685775876.json,0.666666666667
24850757_0_5978004733768297283.json,Country,25,Country Name (Click For Destination Guides),61121469_0_6337620713408906340.json,0.68
24850757_0_5978004733768297283.json,Country,225,Country,67865873_0_8259587610208037357.json,0.890995260664
24850757_0_5978004733768297283.json,Country,59,Name,68779923_0_3859283110041832023.json,0.779661016949
24850757_0_5978004733768297283.json,Country,45,Name,68779923_1_3240042497463101224.json,0.777777777778
