Abun- dance,Common Name,Scientific Name
C,American Coot,Fulica americana
FC,Black-bellied Plover,Pluvialis squatarola
U,Pacific Golden-Plover,Pluvialis fulva
FC,Semipalmated Plover,Charadrius semipalmatus
C,Killdeer,Charadrius vociferus
C,Black Oystercatcher,Haematopus bachmani
UC,American Avocet,Recurvirostra americana
UC,Greater Yellowlegs,Tringa melanoleuca
R,Lesser Yellowlegs,Tringa flavipes
C,Willet,Catoptrophorus semipalmatus
FC,Wandering Tattler,Heteroscelus incanus
C,Spotted Sandpiper,Actitis macularia
U,Marbled Godwit,Limosa fedoa
U,Ruddy Turnstone,Arenaria interpres
C,Black Turnstone,Arenaria melanocephala
FC,Surfbird,Aphriza virgata
C,Sanderling,Calidris alba
FC,Western Sandpiper,Calidris mauri
FC,Least Sandpiper,Calidris minutilla
R,Baird's Sandpiper,Calidris bairdii
R,Pectoral Sandpiper,Calidris melanotos
FC,Dunlin,Calidris alpina
UC,Short-billed Dowitcher,Limnodromus griseus
UC,Long-billed Dowitcher,Limnodromus scolopaceus
R,Wilson's Phalarope,Phalaropus tricolor
U,Red-necked Phalarope,Phalaropus lobatus
R,Red Phalarope,Phalaropus fulicaria
R,Pomarine Jaeger,Stercorarius pomarinus
R,Long-tailed Jaeger,Stercorarius longicaudus
UC,Bonaparte's Gull,Larus philadelphia
C,Heermann's Gull,Larus heermanni
C,Mew Gull,Larus canus
C,Ring-billed Gull,Larus delawarensis
C,California Gull,Larus californicus
FC,Herring Gull,Larus argentatus
R,Thayer's Gull,Larus thayeri
C,Western Gull,Larus occidentalis
C,Glaucous-winged Gull,Larus glaucescens
R,Glaucous Gull,Larus hyperboreus
R,Black-legged Kittiwake,Rissa tridactyla
FC,Caspian Tern,Sterna caspia
R,Elegant Tern,Sterna elegans
U,Forster's Tern,Sterna forsteri
FC,Common Murre,Uria aalge
C,Pigeon Guillemot,Cepphus columba
R,Ancient Murrelet,Synthliboramphus antiquus
R,Rhinoceros Auklet,Cerorhinca monocerata
FC,Rock Dove,Columba livia
C,Band-tailed Pigeon,Columba fasciata
C,Mourning Dove,Zenaida macroura
R,Barn Owl,Tyto alba
U,Western Screech-Owl,Otus kennicottii
U,Great Horned Owl,Bubo virginianus
U,Northern Pygmy-Owl,Glaucidium gnoma
R,Burrowing Owl,Athene cunicularia
R,Spotted Owl,Strix occidentalis
R,Northern Saw-whet Owl,Aegolius acadicus
R,Common Nighthawk,Chordeiles minor
X,Common Poorwill,Phalaenoptilus nuttallii
U,Vaux's Swift,Chaetura vauxi
C,Anna's Hummingbird,Calypte anna
C,Rufous Hummingbird,Selasphorus rufus
C,Allen's Hummingbird,Selasphorus sasin
C,Belted Kingfisher,Ceryle alcyon
C,Acorn Woodpecker,Melanerpes formicivorus
FC,Red-breasted Sapsucker,Sphyrapicus ruber
C,Downy Woodpecker,Picoides pubescens
C,Hairy Woodpecker,Picoides villosus
C,Northern Flicker,Colaptes auratus
FC,Pileated Woodpecker,Dryocopus pileatus
FC,Olive-sided Flycatcher,Contopus cooperi
FC,Western Wood-Pewee,Contopus sordidulus
R,Willow Flycatcher,Empidonax traillii
C,Pacific-slope Flycatcher,Empidonax difficilis
C,Black Phoebe,Sayornis nigricans
U,Say's Phoebe,Sayornis saya
X,Ash-throated Flycatcher,Myiarchus cinerascens
X,Sulphur-bellied Flycatcher,Myiodynastes luteiventris
R,Western Kingbird,Tyrannus verticalis
X,Scissor-tailed Flycatcher,Tyrannus forficatus
R,Loggerhead Shrike,Lanius ludovicianus
FC,Cassin's Vireo,Vireo cassinii
C,Hutton's Vireo,Vireo huttoni
C,Warbling Vireo,Vireo gilvus
R,Gray Jay,Perisoreus canadensis
C,Steller's Jay,Cyanocitta stelleri
C,Western Scrub-Jay,Aphelocoma californica
C,Common Raven,Corvus corax
FC,Purple Martin,Progne subis
FC,Tree Swallow,Tachycineta bicolor
FC,Violet-green Swallow,Tachycineta thalassina
FC,Northern Rough-winged Swallow,Stelgidopteryx serripennis
C,Cliff Swallow,Petrochelidon pyrrhonota
C,Barn Swallow,Hirundo rustica
C,Chestnut-backed Chickadee,Poecile rufescens
U,Oak Titmouse,Baeolophus inornatus
FC,Bushtit,Psaltriparus minimus
FC,Red-breasted Nuthatch,Sitta canadensis
U,White-breasted Nuthatch,Sitta carolinensis
FC,Pygmy Nuthatch,Sitta pygmaea
C,Brown Creeper,Certhia americana
X,Rock Wren,Salpinctes obsoletus
U,Bewick's Wren,Thryomanes bewickii
U,House Wren,Troglodytes aedon
C,Winter Wren,Troglodytes troglodytes
R,Marsh Wren,Cistothorus palustris
U,Golden-crowned Kinglet,Regulus satrapa
FC,Ruby-crowned Kinglet,Regulus calendula
FC,Western Bluebird,Sialia mexicana
R,Townsend's Solitaire,Myadestes townsendi
C,Swainson's Thrush,Catharus ustulatus
C,Hermit Thrush,Catharus guttatus
C,American Robin,Turdus migratorius
FC,Varied Thrush,Ixoreus naevius
C,Wrentit,Chamaea fasciata
U,Northern Mockingbird,Mimus polyglottos
C,European Starling,Sturnus vulgaris
FC,American Pipit,Anthus rubescens
FC,Cedar Waxwing,Bombycilla cedrorum
C,Orange-crowned Warbler,Vermivora celata
U,Nashville Warbler,Vermivora ruficapilla
U,Yellow Warbler,Dendroica petechia
C,Yellow-rumped Warbler,Dendroica coronata
R,Black-throated Gray Warbler,Dendroica nigrescens
C,Townsend's Warbler,Dendroica townsendi
C,Hermit Warbler,Dendroica occidentalis
R,Palm Warbler,Dendroica palmarum
U,MacGillivray's Warbler,Oporornis tolmiei
FC,Common Yellowthroat,Geothlypis trichas
C,Wilson's Warbler,Wilsonia pusilla
R,Yellow-breasted Chat,Icteria virens
R,Western Tanager,Piranga ludoviciana
C,Spotted Towhee,Pipilo maculatus
C,California Towhee,Pipilo crissalis
U,Chipping Sparrow,Spizella passerina
R,Vesper Sparrow,Pooecetes gramineus
FC,Savannah Sparrow,Passerculus sandwichensis
X,Grasshopper Sparrow,Ammodramus savannarum
FC,Fox Sparrow,Passerella iliaca
C,Song Sparrow,Melospiza melodia
U,Lincoln's Sparrow,Melospiza lincolnii
X,White-throated Sparrow,Zonotrichia albicollis
C,White-crowned Sparrow,Zonotrichia leucophrys
FC,Golden-crowned Sparrow,Zonotrichia atricapilla
C,Dark-eyed Junco,Junco hyemalis
X,Rose-breasted Grosbeak,Pheucticus ludovicianus
R,Black-headed Grosbeak,Pheucticus melanocephalus
R,Lazuli Bunting,Passerina amoena
C,Red-winged Blackbird,Agelaius phoeniceus
C,Western Meadowlark,Sturnella neglecta
R,Yellow-headed Blackbird,Xanthocephalus xanthocephalus
C,Brown-headed Cowbird,Molothrus ater
U,Bullock's Oriole,Icterus bullockii
U,Purple Finch,Carpodacus purpureus
C,House Finch,Carpodacus mexicanus
U,Red Crossbill,Loxia curvirostra
FC,Pine Siskin,Carduelis pinus
U,Lesser Goldfinch,Carduelis psaltria
C,American Goldfinch,Carduelis tristis
FC,House Sparrow,Passer domesticus
