Area (square miles),Comments,"State, Province, Territory, Country, etc"
30450,,Czech Republic
30677,,Bosnia and Herzegovina
32007,,South Carolina
32342,,Ireland (Northern Ireland and the Republic of Ireland)
32378,,Austria
33400,,Azerbaijan
34116,Including Kosovo,Serbia
34578,,Jordan
35135,,French Guiana
35387,,Maine
35553,Including the Azores and the Madeira Islands,Portugal
35919,,Hungary
36420,,Indiana
38250,,Liberia
38375,,South Korea
39769,,Iceland
40411,,Kentucky
42042,,Guatemala
42146,,Tennessee
42769,,Virginia
42803,,Cuba
42823,,Bulgaria
43277,,Honduras
43484,,Benin
44689,,"North Island, New Zealand"
44828,,Ohio
45747,Including Lake Malawi and other lakes,Malawi
46058,,Pennsylvania
46540,,North Korea
46774,,Eritrea
48434,,Mississippi
50356,,England
50893,,Nicaragua
50949,Including the Greek islands,Greece
51844,,Louisiana
52423,,Alabama
53182,,Arkansas
54362,,Nepal
54475,,New York State
55250,,Tajikistan
55598,,Bangladesh
56276,,Iowa
57918,,Illinois
58368,,"South Island, New Zealand"
59441,,Georgia (US state)
63037,,Suriname
63482,,Tunisia
65503,,Wisconsin
65758,,Florida
68037,,Uruguay
69709,,Missouri
69898,,Cambodia
69903,,Oklahoma
70704,,North Dakota
71303,,Washington State
71498,,Syria
75955,,Senegal
76641,,Kyrgyzstan
77122,,South Dakota
77358,,Nebraska
80200,,Belarus
82030,,Oman
82282,,Kansas
83000,,Guyana
83574,,Idaho
84904,,Utah
86943,,Minnesota
87884,,"Victoria, Australia"
91429,,Laos
91700,,Romania
92100,,Ghana
93104,,Uganda
93341,,United Kingdom
94926,Including the Iles de Los,Guinea
96810,,Michigan
97818,,Wyoming
98386,,Oregon
103347,,Gabon
104100,,Colorado
104454,,New Zealand
105037,,Ecuador
105900,,Burkina Faso
110567,,Nevada
114006,,Arizona
115830,,Philippines
116341,"Including Sardinia, Sicily and Elba",Italy
120725,,Poland
121598,,New Mexico (US state)
124503,,Cote d'Ivoire
125016,,Norway
127320,,Malaysia
127844,,Vietnam
130559,Including 12954 square miles of inland water,Finland
132047,,Republic of the Congo
137823,,Germany
139397,,North Carolina
145850,,Japan
147046,,Montana
150873,,Zimbabwe
156649,,Newfoundland and Labrador
157048,,Paraguay
163707,,California
168754,,Iraq
172414,,Morocco
172750,,Uzbekistan
173732,Including Gotland and Oland,Sweden
178704,,Papua New Guinea
183569,,Cameroon
186660,,Yukon Territory
188460,,Turkmenistan
194897,"Including the Balearic Islands, the Canary Islands and the Spanish African territories",Spain
198114,,Thailand
207285,,Yemen
210026,Including Corsica,France
224607,,Botswana
224961,,Kenya
226658,,Madagascar
233090,,Ukraine
240535,,Central African Republic
246200,,Somalia
250000,,Afghanistan
250946,,Manitoba
251865,,Saskatchewan
255286,,Alberta
261218,,Myanmar
268601,,Texas
290586,,Zambia
292135,,Chile
300948,,Turkey
307293,,Pakistan
309496,,Mozambique
309500,,"New South Wales, Australia"
318252,,Namibia
352144,,Venezuela
356669,,Nigeria
364900,Including Zanzibar and other offshore islands,Tanzania
365946,,British Columbia
380070,,South Australia
385229,,Egypt
397955,,Mauritania
412579,,Ontario
424165,,Bolivia
435606,,Ethiopia
440831,,Colombia
472731,,South Africa
478840,,Mali
481350,,Angola
489191,,Niger
495755,,Chad
496225,,Peru
519771,,"Northern Territory, Australia"
550904,After the creation of Nunavut,Northwest Territories
594858,,Quebec
604250,,Mongolia
636296,,Iran
656424,,Alaska
666876,,"Queensland, Australia"
679362,,Libya
741903,,Indonesia
756066,,Mexico (country)
772000,,Nunavut
840000,,Greenland
864869,,Saudi Arabia
905568,,Democratic Republic of the Congo
919595,,Algeria
967490,,Sudan
975100,,Western Australia
1049155,,Kazakhstan
1068302,,Argentina
1269219,Including Jammu and Kashmir,India
2966151,Including Tasmania,Australia
3286500,,Brazil
3618770,Including 251084 square miles of inland freshwater lakes,USA
3695000,Excluding Taiwan,China
3844907,Including 291548 square miles of inland freshwater lakes,Canada
6592850,Including inland water,Russia
