Anglican,Catholic,Ethiopian,Non-historical,Orthodox,Saint
--,Yes,--,--,--,Pope Gregory II
--,Yes,--,--,--,Pope Gregory III
--,Yes,--,--,--,Pope Gregory VII
--,Yes,--,--,--,Hedwig of Andechs
--,Yes,--,--,Yes,Helena
--,Yes,--,--,--,"Henry I, Holy Roman Emperor"
--,--,--,--,Yes,Herman of Alaska
--,Yes,--,--,--,Pope Hilarius
--,Yes,--,--,--,Pope Hildebrand[?]
--,Yes,--,--,--,Pope Hormisdas
--,Yes,--,--,--,Pope Hyginus
Yes,Yes,Yes,--,Yes,Ignatius of Antioch
Yes,Yes,--,--,--,Ignatius Loyola
--,Yes,--,--,--,Pope Innocent I
Yes,Yes,Yes,--,Yes,Irenaeus of Lyons
??,Yes,--,--,--,Isidore of Seville
--,Yes,--,--,--,Jadwiga
Yes,Yes,--,--,--,James the Great
Yes,Yes,--,--,--,James the Less[?]
Yes,Yes,--,--,--,Jerome
Yes,Yes,Yes,--,Yes,John the Baptist
--,Yes,--,--,--,John Baptist de La Salle
--,Yes,--,--,--,John Bosco
Yes,--,--,--,Yes,John Chrysostom
--,Yes,--,--,Yes,John Climacus
Yes,Yes,--,--,--,John of the Cross
--,Yes,--,--,Yes,John of Damascus
Yes,Yes,Yes,--,Yes,John the Evangelist
--,Yes,--,--,--,John Maron
--,Yes,--,--,--,Pope John I
--,Yes,--,Possible,--,Josaphat
Yes,Yes,Yes,--,Yes,Joseph the Betrothed
Yes,Yes,--,--,--,Jude[?]
--,Yes,--,--,--,Pope Julius I
--,Yes,--,--,--,Katherine of Alexandria
Yes,Yes,Yes,--,Yes,Justin Martyr
Yes,Yes,Yes,--,Yes,Lazarus
--,Yes,--,--,--,Pope Leo I
--,Yes,--,--,--,Pope Leo II
--,Yes,--,--,--,Pope Leo III
--,Yes,--,--,--,Pope Leo IV
--,Yes,--,--,--,Pope Leo IX
--,Yes,--,--,--,Pope Linus
--,Yes,--,--,--,Lorenzo Ruiz[?]
--,Yes,--,--,--,Louis
--,Yes,--,--,--,Pope Lucius I
Yes,Yes,--,--,Yes,Lucy of Syracuse
Yes,Yes,Yes,--,Yes,Luke the Evangelist
--,Yes,--,--,--,Mary of the Gael
?,Yes,Yes,--,Yes,Macrina[?]
--,Yes,--,--,--,Pope Marcellinus
--,Yes,--,--,--,Pope Marcellus I
--,Yes,--,--,--,Pope Marcus
--,Yes,--,--,--,Margaret of Scotland[?]
--,Yes,--,--,--,Margarita
Yes,Yes,Yes,--,Yes,Mark the Evangelist
Yes,Yes,--,--,--,Martin of Tours
--,Yes,--,--,--,Pope Martin I
Yes,Yes,Yes,--,Yes,The Virgin Mary
Yes,Yes,Yes,--,Yes,Mary Magdalene
--,--,Yes,--,--,Matheos the Poor
Yes,Yes,Yes,--,Yes,Matthew the Evangelist
Yes,Yes,Yes,--,Yes,Matthias
--,Yes,--,--,Yes,Maurice
Yes,Yes,--,--,--,Maximillian Kolbe
??,??,??,--,Yes,Methodius
Yes,Yes,Yes,--,Yes,Michael
--,Yes,--,--,--,Pope Miltiades
??,Yes,??,--,Yes,Saint Nicephorus
Yes,Yes,??,--,Yes,Nicholas of Myra
--,Yes,--,--,Yes,Pope Nicholas I
Yes,Yes,--,--,Yes,Ninian
--,--,--,--,Yes,Gregory Palamas
--,Yes,--,--,--,Pope Paschal I
Yes,Yes,--,--,Yes,Patrick
Yes,Yes,Yes,--,Yes,Paul
--,Yes,--,--,--,Pope Paul I
--,Yes,--,--,--,Paulinus of Nola
Yes,Yes,Yes,--,Yes,Perpetua and her companions
Yes,Yes,Yes,--,Yes,Peter
--,--,--,--,Yes,Peter the Aleut
--,Yes,Yes,--,Yes,Peter of Alexandria
--,--,--,--,Yes,Peter of Sebaste[?]
Yes,Yes,Yes,--,Yes,Philip
--,Yes,--,--,--,Philomena
--,Yes,--,--,--,Piran
--,Yes,--,--,--,Pope Pius V
--,Yes,--,--,--,Pope Pius X
Yes,Yes,Yes,--,Yes,Polycarp
--,Yes,--,--,--,Pope Pontain[?]
--,--,--,--,Yes,Raphael of Brooklyn
--,Yes,--,--,--,Romuald[?]
?,Yes,--,--,--,Rosalia
--,Yes,--,--,--,Sergius
--,Yes,--,--,--,Pope Sergius I
--,Yes,--,--,--,Pope Silverius
Yes,Yes,--,--,Yes,Simon
--,Yes,--,--,--,Pope Simplicius
--,Yes,--,--,--,Pope Siricius
--,Yes,--,--,--,Pope Sixtus I
--,Yes,--,--,--,Pope Sixtus II
--,Yes,--,--,--,Pope Sixtus III
--,Yes,--,--,--,Pope Soter
Yes,Yes,Yes,--,Yes,Stephen
--,Yes,--,--,--,Stephen of Hungary
--,Yes,--,--,--,Pope Stephen I
--,Yes,--,--,--,Pope Sylvester I
--,Yes,--,--,--,Pope Symmachus
--,Yes,--,--,--,Pope Telesphorus
Yes,Yes,--,--,--,Teresa of Avila
--,--,--,--,Yes,Theodore the Studite
--,--,--,--,Yes,Theophan the Recluse
--,Yes,--,--,--,Therese of Liseaux[?]
Yes,Yes,Yes,--,Yes,Thomas
Yes,Yes,--,--,--,Thomas Aquinas
--,Yes,--,--,--,Thomas More
--,--,--,--,Yes,Tikhon of Moscow
--,--,--,--,Yes,Tikhon of Zadonsk
Yes,Yes,Yes,--,Yes,Timothy the Apostle
--,Yes,--,--,--,Ulrich of Augsburg
--,Yes,--,--,--,Pope Urban I
--,Yes,--,--,--,Veronica
--,Yes,--,--,--,Pope Victor I
--,Yes,--,--,--,Vincent Ferrer[?]
--,Yes,--,--,Yes,Vincent of Lerins
--,Yes,--,--,--,Pope Vitalian
--,Yes,--,--,Yes,Vladimir of Kiev
--,Yes,--,--,--,Pope Zacharias
--,Yes,--,--,--,Pope Zephyrinus
--,Yes,--,--,--,Pope Zosimus
