Common Names (abridged),Family,Habit,Scientific Name
"English: asparagus fern, sprengeri fern, smilax, regal fern",Liliaceae,herb,Asparagus densiflorus
,Asteraceae,herb,Austroeupatorium inulaefolium
"English: bilimbi, cucumber tree, tree cucumber, tree sorrel",Oxalidaceae,tree,Averrhoa bilimbi
,Poaceae,grass,Axonopus micay
"English: neem, nim, margosa",Meliaceae,tree,Azadirachta indica
"English: consumption weed, eastern baccharis, groundsel bush, groundsel tree, Sea Island myrtle, sea myrtle, silverling, tree groundsel, waterbrush",Asteraceae,shrub,Baccharis halimifolia
,Scrophulariaceae,herb,Bacopa procumbens
"English: hophead, Philippine violet",Acanthaceae,shrub,Barleria lupulina
"English: barleria, porcupine flower",Acanthaceae,shrub,Barleria prionitis
English: dwarf white bauhinia,Fabaceae,tree,Bauhinia acuminata
English: purple orchid tree; purple butterfly tree,Fabaceae,tree,Bauhinia purpurea
English: orchid tree; mountain ebony,Fabaceae,tree,Bauhinia variegata
"English: beggar?s tick, Spanish needle, cobbler's pegs, romerillo; Other: ki, ki nehe, ki pipili, nehe (Hawai?i)",Asteraceae,herb,Bidens alba
,Asteraceae,herb,Bidens cynapiifolia
,Asteraceae,herb,Blainvillea gayana
"English: bocconia, plume-poppy, tree poppy, tree celandine, parrotweed",Papaveraceae,shrub,Bocconia frutescens
"English: African jolanettle, false nettle",Urticaceae,herb,Boehmeria macrophylla
"English: boerhavia, hog weed, hog feed, red spiderling, wineflower, tar vine; Other: mata pavo, patagon",Nyctaginaceae,herb,Boerhavia coccinea
English: sweet signal grass,Poaceae,grass,Brachiaria eruciformis
,Acanthaceae,herb,Brillantaisia lamium
,Solanaceae,shrub,Brugmansia suaveolens
English: chandelier plant,Crassulaceae,succulent,Bryophyllum delagoense
English: dog tail; Other: huelo ?ilio (Hawai'i),Scrophulariaceae,shrub,Buddleja asiatica
"English: orange eye, butterfly bush, summer lilac",Scrophulariaceae,shrub,Buddleja davidii
"English: butterfly bush, smoke bush",Scrophulariaceae,shrub,Buddleja madagascariensis
"English: cat's claw, Mysore thorn, Mauritius thorn, wait-a-bit; Other: puakelekino (Hawai'i)",Fabaceae,shrub,Caesalpinia decapetala
"English: peanut grass (Fiji), tropical clover (Fiji)",Fabaceae,vine,Cajanus scarabaeoides
English: rattan,Arecaceae,vine (palm),Calamus spp.
English: red powder puff,Fabaceae,shrub,Calliandra haematocephala
English: Surinamese stickpea,Fabaceae,tree,Calliandra surinamensis
"English: fragrant inch plant, basketplant, spironema",Commelinaceae,herb,Callisia fragrans
"English: Alexandrian laurel, Antilles calophyllum, beauty leaf, calaba, galba, Indian laurel, kamani, Santa Maria tree",Clusiaceae,tree,Calophyllum antillanum
"English: bur daisy, yellow daisy burr",Asteraceae,herb,Calotis lappulacea
"English: calotropis, rubber bush, apple of Sodom, mudar, madar, king?s crown, roostertree",Ascelepiadaceae,shrub,Calotropis procera
,Asteraceae,herb,Calyptocarpus vialis
English: balloon vine; heart seed; Other: kop?p? takaviri? (Cook Islands),Sapindaceae,vine,Cardiospermum grandiflorum
"English: Fukien tea, Philippine tea, scorpionbush",Boraginaceae,tree,Carmona retusa
"English: ice plant, pigface, hottentot fig",Aizoaceae,succulent,Carpobrotus edulis
"English: Panama rubber tree, Mexican rubber tree, uletree; Other: pulu mamoe (American Samoa)",Moraceae,tree,Castilla elastica
"English: river oak, river she-oak, small cone ironwood",Casuarinaceae,tree,Casuarina cunninghamiana
"English: swamp oak, saltmarsh ironwood, longleaf ironwood, gray sheoak",Casuarinaceae,tree,Casuarina glauca
"English: trumpet tree, guarumo; Other: rau-m?niota (Cook Islands)",Cecropiaceae,tree,Cecropia obtusifolia
English: trumpet tree,Cecropiaceae,tree,Cecropia peltata
"English: cigar box cedar, Mexican cedar, West Indian cedar, Spanish cedar, Barbados cedar; Other: sita hina (Tonga)",Meliaceae,tree,Cedrela odorata
"English: burgrass, burr grass, sand-bur, slimbristle sandbur",Poaceae,grass,Cenchrus brownii
"English: Maltese cockspur, Maltese star thistle, Napa thistle, yellow star thistle",Asteraceae,herb,Centaurea melitensis
English: spiked centaury,Gentianaceae,herb,Centaurium spicatum
,Asteraceae,herb,Centratherum punctatum
,Solanaceae,shrub,Cestrum auriculatum
"English: inkberry, day jessamine, day cestrum, China berry; Other: ariki-va?ine (Cook Islands); makahala (Hawai'i); sugi vao, suni vao (Samoa); vaitohi (Tonga)",Solanaceae,shrub,Cestrum diurnum
"English: green cestrum, willow-leaved jessamine, Chilean cestrum, green poison-berry",Solanaceae,shrub,Cestrum parqui
English: Japanese tea,Fabaceae,herb,Chamaecrista mimosoides
"English: red caustic creeper, thyme-leafed spurge",Euphorbiaceae,herb,Chamaesyce thymifolia
"English: American wormseed, bluebush, Jerusalem tea, Mexican tea, Spanish-tea, wormseed",Chenopodiaceae,herb,Chenopodium ambrosioides
"English: Australian-spinach, green fat hen, nettle-leaf goosefoot, salt-green, sowbane",Chenopodiaceae,herb,Chenopodium murale
"English: slender chloris, star grass, star windmill grass",Poaceae,grass,Chloris divaricata
"English: plush-grass, radiate fingergrass",Poaceae,grass,Chloris radiata
"English: feather finger grass, feathered chloris, feathertop Rhodes grass, feathery Rhodes grass, oldland grass, sweet grass",Poaceae,grass,Chloris virgata
"English: ribbonplant, spider ivy, spiderplant",Liliaceae,herb,Chlorophytum comosum
"English: chromolaena, Siam weed, triffid weed, bitter bush, Jack in the bush",Asteraceae,shrub,Chromolaena odorata
"English: coco plum, icaco",Chrysobalanaceae,shrub,Chrysobalanus icaco
"English: satin leaf, wild star-apple, damson plum",Sapotaceae,tree,Chrysophyllum oliviforme
"English: Burmese almondwood, chickrassy, Chittagong wood",Meliaceae,tree,Chukrasia tabularis
"English: quinine tree, red cinchona",Rubiaceae,tree,Cinchona pubescens
English: padang cassia,Lauraceae,tree,Cinnamomum burmannii
"English: camphor tree, camphor laurel",Lauraceae,tree,Cinnamomum camphora
"English: cinnamon tree; Other: tinamoni, tigamoni (American Samoa and Samoa)",Lauraceae,tree,Cinnamomum verum
"English: spear thistle, Scotch thistle, bull thistle, black thistle, plume thistle; Other: pua kali (Hawai'i)",Asteraceae,herb,Cirsium vulgare
English: grape ivy,Vitaceae,vine,Cissus nodosa
English: juniper berry,Verbenaceae,tree,Citharexylum caudatum
,Verbenaceae,tree,Citharexylum gentryi
English: fiddlewood,Verbenaceae,tree,Citharexylum spinosum
English: clausena,Rutaceae,tree,Clausena excavata
"English: African spider-flower, bastard-mustard, cat's-whiskers, spider wisp, wild spider flower; Other: honohina, ?ili?ohu (Hawai?i)",Capparaceae,herb,Cleome gynandra
English: spiny spider-flower,Capparaceae,herb,Cleome spinosa
English: glorybower,Lamiaceae,shrub,Clerodendrum japonicum
"English: pagoda plant, pagoda flower",Lamiaceae,shrub,Clerodendrum paniculatum
"English: bronze-leaved clerodendrum; Other: losa, losa Fiti (American Samoa and Samoa)",Lamiaceae,shrub,Clerodendrum quadriloculare
"English: Koster?s curse, soap bush; Other: la?au lau mamoe (Samoa)",Melastomataceae,shrub,Clidemia hirta
English: laurel-leaf pigeonwings,Fabaceae,shrub,Clitoria laurifolia
"English: butterfly pea, Asian pigeonwings; Other: paipa (Tonga)",Fabaceae,vine,Clitoria ternatea
"English: signature tree, autograph tree, copey, Scotch attorney, pitchapple",Clusiaceae,tree,Clusia rosea
"English: ivy gourd, scarlet-fruited gourd",Cucurbitaceae,vine,Coccinia grandis
"English: Benghal dayflower, dayflower, hairy wandering Jew, wandering Jew; Other: hairy honohono (Hawai?i); mau'u Tonga (Samoa); kanini, kaningi, musie matala pulu (Tonga)",Commelinaceae,herb,Commelina benghalensis
"English: sea mulberry, buttonwood, button mangrove",Combretaceae,shrub/tree,Conocarpus erectus
English: fleabane,Asteraceae,herb,Conyza aegyptiaca
"English: broadleaf fleabane, tall fleabane; Other: pakaka (Tonga)",Asteraceae,herb,Conyza sumatrensis
"English: Jew's mallow, jute, Nalta jute, tossa jute",Tiliaceae,herb,Corchorus olitorius
,Tiliaceae,herb,Corchorus trilocularis
"English: laurel, Ecuador laurel, salmwood, Spanish elm; Other: kotia (Samoa, Tonga)",Boraginaceae,tree,Cordia alliodora
English: black sage,Boraginaceae,shrub,Cordia curassavica
English: broad-leaved cordia,Boraginaceae,tree,Cordia glabra
"English: jubata grass, Andean pampas grass, purple pampas grass",Poaceae,grass,Cortaderia jubata
"English: pampas grass, silver pampas grass, Uruguayan pampas grass",Poaceae,grass,Cortaderia selloana
"English: New Zealand laurel, karakara nut",Corynocarpaceae,tree,Corynocarpus laevigatus
English: cosmos,Asteraceae,herb,Cosmos caudatus
"Engllish: bachelor's-button, carrotweed, common cotula, Australian brass buttons",Asteraceae,herb,Cotula australis
"English: fuzzy rattlepod, woolly rattlepod; Other: k?kaehoki, kolomona (Hawai?i)",Fabaceae,shrub,Crotalaria incana
English: narrow-leaved crotalaria,Fabaceae,herb,Crotalaria linifolia
English: rattlepod,Fabaceae,herb,Crotalaria quinquefolia
"English: devil-bean, wedge-leaf crotalaria, wedge-leaf rattlepod; Other: piini? (Tonga)",Fabaceae,herb,Crotalaria retusa
"English: rattlebox, showy crotalaria, showy rattlebox, showy rattlepod; Other: kolomona (Hawai?i); ha'apai (Tonga)",Fabaceae,herb,Crotalaria spectabilis
English: curara-pea,Fabaceae,herb,Crotalaria zanzibarica
"English: rubber vine, India rubber vine, Palay rubbervine",Ascelepiadaceae,vine,Cryptostegia grandiflora
English: Madagascar rubbervine,Ascelepiadaceae,vine,Cryptostegia madagascariensis
"English: hedgehog cucumber, hedgehog gourd, teasel gourd",Cucurbitaceae,herb,Cucumis dipsaceus
"English: carrotwood, tuckeroo",Sapindaceae,tree,Cupaniopsis anacardioides
"English: Columbian cuphea, Colombian waxweed, tarweed; Other: laau fau moti (Samoa)",Lythraceae,herb,Cuphea carthagenensis
,Cuscutaceae,herb,Cuscuta cassytoides
English: Australian tree fern,Cyatheaceae,fern,Cyathea cooperi
English: cyathula; Other: mata kura (Cook Islands (Miti'aro?); tolomo'unga (Tonga),Amaranthaceae,herb,Cyathula prostrata
"English: barbwire grass, soap grass; Other: aretu monoi, aretu noanoa (French Polynesia)",Poaceae,grass,Cymbopogon refractus
"English: long-headed sedge; Other: mue mue, mou upo tutu (French Polynesia)",Cyperaceae,sedge,Cyperus cyperinus
"English: dirty-Dora, one-arm sedge, rice sedge, small-flower umbrella-plant, variable flat sedge",Cyperaceae,sedge,Cyperus difformis
English: slender cyperus,Cyperaceae,sedge,Cyperus distans
,Cyperaceae,sedge,Cyperus haspan
"English: grasshopper?s cyperus, rice flat sedge, umbrella sedge; Other: mou, mou hairi (French Polynesia)",Cyperaceae,sedge,Cyperus iria
"English: rocket sedge, swamp flatsedge",Cyperaceae,sedge,Cyperus ligularis
,Cyperaceae,sedge,Cyperus pilosus
,Poaceae,grass,Cyrtococcum patens
English: short-leaf cyrtococcum grass,Poaceae,grass,Cyrtococcum trigonum
"English: barnyard grass, cocksfoot, cockspur, orchard grass",Poaceae,grass,Dactylis glomerata
"English: Indian dalbergia, Indian rosewood, sissoo, shisham",Fabaceae,tree,Dalbergia sissoo
"English: fierce thorn-apple, large thorn-apple, long-spine thorn-apple",Solanaceae,herb,Datura ferox
"English: angel's-trumpet, downy thorn-apple, Indian-apple, sacred datura, thorn-apple",Solanaceae,herb,Datura inoxia
"English: datura, jimsonweed, moonflower, purple thorn-apple, thorn-apple; Other: l??au h?n?, k?k?nia, k?k?nia haole (Hawai?i)",Solanaceae,herb,Datura stramonium
"English: German ivy, Italian ivy, cape ivy",Asteraceae,vine,Delairea odorata
,Rubiaceae,herb,Dentella repens
English: derris,Fabaceae,vine,Derris elliptica
"English: slender mimosa, virgate mimosa",Fabaceae,shrub,Desmanthus virgatus
,Fabaceae,herb,Desmodium gangeticum
"English: hetero, Spanish clover",Fabaceae,herb,Desmodium heterophyllum
"English: beggarlice, green-leaf desmodium",Fabaceae,herb,Desmodium intortum
,Fabaceae,shrub,Desmodium nicaraguense
,Fabaceae,herb,Desmodium scorpiurus
"English: Florida beggarweed, Spanish clover, dixie ticktrefoil",Fabaceae,herb,Desmodium tortuosum
"English: aroma, Kalahari Christmas tree, Chinese lantern tree, sickle bush, marabou-thorn, marab?",Fabaceae,shrub,Dichrostachys cinerea
English: southern crabgrass,Poaceae,grass,Digitaria bicornis
"English: common finger grass, digit grass, pangola grass, woolly finger grass",Poaceae,grass,Digitaria eriantha
English Y grass; Other: creeping k?kaepua?a (Hawai?i),Poaceae,grass,Digitaria fuscescens
,Poaceae,grass,Digitaria horizontalis
"English: cottongrass, sourgrass, feather-top grass",Poaceae,grass,Digitaria insularis
"English: crab finger grass, hairy crabgrass, large crabgrass, manne terrestre, panic sanguin, summer grass",Poaceae,grass,Digitaria sanguinalis
"English: shrubby dillenia, shrubby simpoh",Dilleniaceae,shrub/tree,Dillenia suffruticosa
English: wall rocket,Brassicaceae,herb,Diplotaxis muralis
"English: drymaria, tropical chickweed, West Indian chickweed; Other: pipili, pilipili (Hawai?i)",Caryophyllaceae,herb,Drymaria cordata
"English: duranta, golden dewdrop, pigeon-berry, sky-flower; Other: ?olive (Tonga)",Verbenaceae,shrub,Duranta erecta
"English: aleman grass, carib grass, creeping rivergrass",Poaceae,grass,Echinochloa polystachya
"English: barnyard grass, burgu grass, hippo grass, long-awn water grass",Poaceae,grass,Echinochloa stagnina
"English: blue fig, blue marble tree, quandong (Australia); Other: apatua, siapoatua, siapatua (American Samoa and Samoa)",Elaeocarpaceae,tree,Elaeocarpus angustifolius
"English: Chinese water-chestnut, ground-chestnut, waternut; Other: utu utu (Samoa)",Cyperaceae,sedge,Eleocharis dulcis
English: spikerush,Cyperaceae,sedge,Eleocharis geniculata
"English: elephantopus, elephant?s foot, tobacco weed; Other: tapuvae ?erepani, tapuae ?erepani, vaevae ?erepani, tapua ?erepani? (Cook Islands); lata hina, lau veveli (Tonga)",Asteraceae,herb,Elephantopus mollis
English: cardamom,Zingiberaceae,herb,Elettaria cardamomum
"English: doublegee, spiny emex, three-corner Jack",Polygonaceae,herb,Emex australis
,Polygonaceae,herb,Emex spinosa
"English: Flora?s paintbrush, tasselflower",Asteraceae,herb,Emilia coccinea
Other: pualele (Hawai?i),Asteraceae,herb,Emilia fosbergii
"English: episcia, flame violet",Gesneriaceae,herb,Episcia cupreata
"English: gray love grass, stinkgrass",Poaceae,grass,Eragrostis cilianensis
English: clustered lovegrass (Australia),Poaceae,grass,Eragrostis elongata
"English: hairy love grass, Indian love grass, soft lovegrass",Poaceae,grass,Eragrostis pilosa
"English: elastic grass, love grass",Poaceae,grass,Eragrostis tenuifolia
,Poaceae,grass,Eragrostis tremula
,Poaceae,grass,Eragrostis unioloides
"English: American burnweed, American fireweed, burnweed, fireweed, Malayan groundsel, pilewort",Asteraceae,herb,Erechtites hieraciifolius
"English: Brazilian fireweed, fireweed, fireweed daisy, Ceylon thistle; Other: fua lele, pua lele (Samoa); fisi puna (Tonga)",Asteraceae,herb,Erechtites valerianifolia
English: centipede grass,Poaceae,grass,Eremochloa ophiuroides
,Asteraceae,herb,Erigeron bellioides
"English: Mexican daisy, seaside daisy, daisy fleabane",Asteraceae,herb,Erigeron karvinskianus
,Poaceae,grass,Eriochloa procera
"English: false coriander, shadow-beni, stinkweed",Apiaceae,herb,Eryngium foetidum
English: sun spurge,Euphorbiaceae,herb,Euphorbia helioscopia
English: petty spurge,Euphorbiaceae,herb,Euphorbia peplus
,Poaceae,grass,Eustachys petraea
"English: black bindweed, wild buckwheat",Polygonaceae,herb,Fallopia convolvulus
"English: lofty fig, false banyan, council tree",Moraceae,tree,Ficus altissima
"English: banyan, Indian banyan, vada tree; Other: pulu (Samoa)",Moraceae,tree,Ficus benghalensis
"English: weeping fig, baka, Java fig, weeping fig, Benjamin tree; Other: ?ovava Fisi (Tonga)",Moraceae,tree,Ficus benjamina
English: Moreton Bay fig,Moraceae,tree,Ficus macrophylla
"English: Chinese banyan, Malayan banyan, Indian laurel",Moraceae,tree,Ficus microcarpa
English: tibig,Moraceae,tree,Ficus nota
"English: rusty-leaved fig, Port Jackson fig, littleleaf fig",Moraceae,tree,Ficus rubiginosa
"English: fern tree, soapberry",Sapindaceae,tree,Filicium decipiens
English: slender fimbristylis,Cyperaceae,sedge,Fimbristylis autumnalis
"English: grass-like fimbristylis, lesser fimbristylis",Cyperaceae,sedge,Fimbristylis littoralis
"English: batoko-plum, governor's-plum, Indian-plum, Madagascar-plum, ramontchi",Flacourtiaceae,tree,Flacourtia indica
"English: Indian plum, Indian prune, governor's plum; Other: filimoto (American Samoa, Fiji, Futuna, Samoa and Tonga)",Flacourtiaceae,tree,Flacourtia rukam
,Fabaceae,tree,Flemingia macrophylla
"English: luck plant, wild hops",Fabaceae,shrub,Flemingia strobilifera
"English: Queensland maple, silkwood",Rutaceae,tree,Flindersia brayleyana
,Cyperaceae,sedge,Fuirena umbellata
"English: African rubber tree, silkrubber; Other: pulu vao (Samoa)",Apocynaceae,tree,Funtumia elastica
"English: Cuban hemp, hemp",Agavaceae,succulent,Furcraea hexapetala
"English: gallant soldier, small-flower galinsoga, yellow weed",Asteraceae,herb,Galinsoga parviflora
"English: hairy galinsoga, Peruvian daisy",Asteraceae,herb,Galinsoga quadriradiata
English: Pennsylvania cudweed,Asteraceae,herb,Gamochaeta pensylvanica
English: purple cudweed,Asteraceae,herb,Gamochaeta purpurea
"English: gmelina, white teak, white beech",Lamiaceae,tree,Gmelina arborea
"English: badhara bush, Asiatic beechberry, oval-leafed gmelina",Lamiaceae,shrub,Gmelina asiatica
,Lamiaceae,shrub,Gmelina elliptica
"English: balloon plant, balloon cottonbush, bladderbush, wild cotton",Ascelepiadaceae,shrub,Gomphocarpus physocarpus
English: gomphrena weed,Amaranthaceae,herb,Gomphrena celosioides
,Amaranthaceae,herb,Gomphrena serrata
"English: kahili flower, Banks grevillea; Other: ha?iku, kahili (Hawai?i); ?oka pua ?ula?ula (Hawai?i (Ni?ihau))",Proteaceae,tree,Grevillea banksii
English: phalsa,Tiliaceae,tree,Grewia asiatica
"English: Senegal tea, temple plant",Asteraceae,herb,Gymnocoronis spilanthoides
"English: logwood, bloodwood tree, campeachy wood, campeche",Fabaceae,tree,Haematoxylum campechianum
English: harungana,Clusiaceae,tree,Harungana madagascariensis
"English: English ivy, ivy",Araliaceae,vine,Hedera helix
"English: white ginger, butterfly lily, ginger lily, garland flower; Other: teuila paepae (American Samoa and Samoa); k?p? teatea, re?a teatea (Cook Islands); thevunga (Tonga); ?awapuhi ke?oke?o (Hawai?i)",Zingiberaceae,herb,Hedychium coronarium
"English: kahili ginger; Other: k?p? (Cook Islands); kahili, ?awapuhi kahili (Hawai?i)",Zingiberaceae,herb,Hedychium gardnerianum
English: silverleaf sunflower; Other: siola'a (Samoa),Asteraceae,herb,Helianthus argophyllus
"English: moho, white moho",Tiliaceae,tree,Heliocarpus popayanensis
"English: Indian heliotrope, turnsole",Boraginaceae,herb,Heliotropium indicum
,Boraginaceae,herb,Heliotropium procumbens var. depressum
,Acanthaceae,herb,Hemigraphis reptans
English: pearl flower,Melastomataceae,herb,Heterocentron subtriplinervium
"English: hevea, Brazilian rubber tree, Para rubber tree",Euphorbiaceae,tree,Hevea brasiliensis
"English: star of Bethlehem, fetia, madamfate; Other: pua h?k? (Hawai?i)",Campanulaceae,herb,Hippobroma longiflora
English: hiptage,Malpighiaceae,shrub,Hiptage benghalensis
English: native bleeding-heart,Euphorbiaceae,tree,Homalanthus populifolius
"English: Chinese raisintree, Japanese raisintree",Rhamnaceae,tree,Hovenia dulcis
English: sandbox tree,Euphorbiaceae,tree,Hura crepitans
"English: pennywort, kurnell curse, large-leaved pennywort",Apiaceae,herb,Hydrocotyle bonariensis
English: water pennywort,Apiaceae,herb,Hydrocotyle ranunculoides
"English: hymenachne, trompetilla, West Indian marsh grass",Poaceae,grass,Hymenachne amplexicaulis
"English: jaragua grass, thatching grass",Poaceae,grass,Hyparrhenia rufa
"English: amber, sweet amber, tutsan",Clusiaceae,shrub,Hypericum androsaemum
English: Canary Islands St. Johnswort,Clusiaceae,shrub,Hypericum canariense
"English: goatweed, Klamath weed, St. John's-wort",Clusiaceae,herb,Hypericum perforatum
English: smooth cats-ear,Asteraceae,herb,Hypochoeris glabra
"English: hairy cat?s ear, gosmore",Asteraceae,herb,Hypochoeris radicata
English: knobweed; Other: maa uupo (French Polynesia),Lamiaceae,herb,Hyptis capitata
English: tropical bushmint,Lamiaceae,herb,Hyptis mutabilis
"English: comb hyptis, comb bushmint, mint weed, purple top; Other: miri t?t? (Cook Islands (?Atiu)); vao mini (Samoa)",Lamiaceae,herb,Hyptis pectinata
"English: garden impatiens, balsam, busy lizzy, bizzy-lizzie, patient lucy; sultan?s flower",Balsaminaceae,herb,Impatiens walleriana
English: plume grass,Poaceae,grass,Imperata conferta
"English: blady grass, cogon grass, satintail",Poaceae,grass,Imperata cylindrica
,Fabaceae,herb,Indigofera linifolia
English: ice cream bean,Fabaceae,tree,Inga edulis
"English: moonflower; Other: koali pehu (Hawai?i), fue sina, fue to (Samoa)",Convolvulaceae,vine,Ipomoea alba
"English: ivy-leaf morning glory, star ipomoea, trompillo",Convolvulaceae,vine,Ipomoea hederifolia
,Convolvulaceae,vine,Ipomoea obscura
,Convolvulaceae,vine,Ipomoea ochracea
"English: common morning-glory, tall morning-glory",Convolvulaceae,herb,Ipomoea purpurea
,Poaceae,grass,Isachne globosa
English: paddle grass,Poaceae,grass,Ischaemum polystachyum
"English: muraina grass, wrinkle duck-beak, saramatta grass",Poaceae,grass,Ischaemum rugosum
"English: centipede grass, stalkleaf murainagrass, lucuntu grass",Poaceae,grass,Ischaemum timorense
English: Brazilian jasmine,Oleaceae,vine,Jasminum fluminense
"English: bellyache bush, cotton-leaved physic nut",Euphorbiaceae,shrub,Jatropha gossypiifolia
English: rush,Juncaceae,rush,Juncus spp.
"English: pink plume-flower, pink jacobinia",Acanthaceae,shrub,Justicia carnea
,Acanthaceae,herb,Justicia procumbens
"English: African mahogany, Senegal mahogany",Meliaceae,tree,Khaya senegalensis
,Asteraceae,herb?,Koanophyllon solidaginoides
"English: Chinese rain tree, flame gold, golden rain tree",Sapindaceae,tree,Koelreuteria elegans
