Author,Rank,Religious Affiliation of Author,Title of Great Novel,Year
Richard Wright,80,Seventh-day Adventist; Communist,Native Son,1940
Malcolm Lowry,81,Methodist; Anglican; agnostic,Under the Volcano,1947
Ivan Goncharov,82,,Oblomov,1859
Zora Neale Hurston,83,,Their Eyes Were Watching God,1937
Sir Walter Scott,84,Anglican,Waverley,1814
Kawabata Yasunari,85,,Snow Country,"1937, 1948"
George Orwell,86,Anglican,Nineteen Eighty-Four,1949
Alessandro Manzoni,87,Catholic,The Betrothed,"1827, 1840"
James Fenimore Cooper,88,Episcopalian,The Last of the Mohicans,1826
Harriet Beecher Stowe,89,Episcopalian; Congregationalist,Uncle Tom's Cabin,1852
Victor Hugo,90,Catholic,Les Miserables,1862
Jack Kerouac,91,Catholic; Buddhism,On the Road,1957
Mary Shelley,92,,Frankenstein,1818
Giuseppe Tomasi di Lampedusa,93,Catholic,The Leopard,1958
J.D. Salinger,94,Jewish Catholic; Scientologist,The Catcher in the Rye,1951
Wilkie Collins,95,,The Woman in White,1860
Jaroslav Hasek,96,Catholic,The Good Soldier Svejk,1921-23
Bram Stoker,97,Church of Ireland (Anglican),Dracula,1897
Alexandre Dumas,98,agnostic; Catholic,The Three Musketeers,1844
Arthur Conan Doyle,99,Catholic; Spiritualist,The Hound of Baskervilles,1902
Margaret Mitchell,100,Catholic,Gone with the Wind,1936
