Airport Name,City,Code,State
Raleigh-Durham International Airport,Rdu Airport,RDU,NC
Reno-Tahoe International Airport,Reno,RNO,NV
Richmond International Airport,Richmond,RIC,VA
Ronald Reagan Washington National Airport,Washington,DCA,DC
Sacramento International Airport,Sacramento,SMF,CA
Saipan International Airport,Saipan Island,GSN,CQ
Salt Lake City International Airport,Salt Lake City,SLC,UT
San Antonio International Airport,San Antonio,SAT,TX
San Diego International Airport,San Diego,SAN,CA
San Francisco International Airport,San Francisco,SFO,CA
San Jose International Airport,San Jose,SJC,CA
Santa Barbara Airport,Santa Barbara,SBA,CA
Sarasota-Bradenton International Airport,Sarasota,SRQ,FL
Savannah/Hilton Head International Airport,Savannah,SAV,GA
Seattle/Tacoma International Airport,Seattle,SEA,WA
South Bend Regional Airport,South Bend,SBN,IN
Southwest Florida International Airport,Fort Myers,RSW,FL
Spokane International Airport,Spokane,GEG,WA
St. Petersburg-Clearwater International Airport,Saint Petersburg,PIE,FL
Syracuse Hancock International Airport,Syracuse,SYR,NY
T.F. Green Airport,Providence,PVD,RI
Tallahassee Regional Airport,Tallahassee,TLH,FL
Tampa International Airport,Tampa,TPA,FL
Tucson International Airport,Tucson,TUS,AZ
Tulsa International Airport,Tulsa,TUL,OK
Valley International Airport,Harlingen,HRL,TX
Washington Dulles International Airport,Washington,IAD,DC
Westchester County Airport,White Plains,HPN,NY
Wichita Mid-Continent Airport,Wichita,ICT,KS
Will Rogers World Airport,Oklahoma City,OKC,OK
