Conscription[54],Country,GDP nominal (US$M)[50],Government[53],Land area (km2) [49],Per capita GDP (US$)[51],Population[52]
No (abolished in 2007)[88]),Lebanon,"$39,150",Sources differ[89],"10,230","$6,276.90","4,143,101"
Yes,Libya,"$77,910",Caretaker government as of October 2011[update][90],"1,759,540","$9,451.85","6,597,960"
"No (Suspended on September 15, 2008[92])",Lithuania,"$35,730",parliamentary democracy,"65,300[91]","$10,725.96","3,535,547"
No,Luxembourg,"$52,430",constitutional monarchy,"2,586","$104,451.69","503,302"
No (abolished in 2006)[93],"Macedonia, Republic of","$9,170",parliamentary democracy,"24,856","$3,646.55","2,077,328"
No,Malaysia,"$219,000",constitutional monarchy,"328,550","$7,513.71","28,728,607"
No,Maldives,"$1,433",republic,300,"$2,842.58","394,999"
No,Malta,"$7,801",republic,316,"$18,460.73","408,333"
Yes,Mexico,"$1,004,000",federal republic,"1,923,040","$8,218.88","113,724,226"
Yes,Moldova,"$5,357",republic,"33,371",$978.36,"4,314,377"
No,Nepal,"$15,110",democratic republic,"143,181",$333.09,"29,391,883"
"No. Legal, suspended since 1997 (except for Cura?ao and Aruba[citation needed]). [94] See also: Conscription in the Netherlands",Netherlands,"$770,300",constitutional monarchy,"33,883","$46,389.35","16,847,007"
"No, Conscription Abolished in December 1972.",New Zealand,"$138,000",parliamentary democracy,"268,021","$31,124.18","4,290,347"
Yes,Norway,"$413,500",constitutional monarchy,"307,442","$84,595","4,691,849"
No,Pakistan,"$174,800",federal republic,"778,720",$872.88,"187,342,721"
"Yes. Legal.[95] Practiced selectively and only rarely.[96] However, military training (known as Citizenship Advancement Training or CAT, formerly known as Citizen's Army Training) is required as a prerequisite for graduation from high school. CAT is considered a subject in high school that lasts up to 2 hours per week.",Philippines,"$188,700",republic,"298,170","$1,582.17","101,833,938"
No[97],Poland,"$470,000",republic,"304,459","$10,911.71","38,441,588"
No,Qatar,"$126,500",emirate,"11,437","$74,688.97","848,016"
No (ended in 2007[98]),Romania,"$158,400",republic,"230,340","$7,451.95","21,904,551"
Yes (Alternative service available[citation needed]),Russia,"$1,290,000",federation,"16,995,800","$9,124.49","140,702,096"
No,Rwanda,"$5,693",republic; presidential,"24,948",$335.10,"10,186,063"
No,Saudi Arabia,"$434,400",monarchy,"2,149,690","$13,622.68","26,131,703"
Yes,Seychelles,$919,republic,455,"$8,669.64","89,188"
Yes,Singapore,"$233,900",parliamentary republic,682.7,"$35,427.12","4,740,737"
No[99],Slovenia,"$46,440",parliamentary republic,"20,151","$22,933.99","2,000,092"
"No (ended in 1994, formalized in 2002)[100]",South Africa,"$354,400",republic,"1,219,912","$6,423.04","49,004,031"
"No (abolished by law on December 31, 2001[101])",Spain,"$1,375,000",parliamentary monarchy,"499,542","$35,576.37","46,754,784"
No,Swaziland,"$3,165",monarchy,"17,203","$2,591.20","1,370,424"
Yes,Switzerland,"$522,400","a confederation only in name, legally and structurally a federal republic","39,770","$56,111.06","7,639,961"
Yes,Syria,"$59,630",republic under an authoritarian military-dominated regime,"184,050","$1,954.98","19,747,586"
"Yes (alternative service available[103]) An all-volunteer force is planned by the end of 2014, but conscription will remain in practice thereafter.[104]",Taiwan (Republic of China) [102],"$427,000",multiparty democracy,"32,260","$16,768.11","23,071,779"
Yes,Thailand,"$312,600",constitutional monarchy,"511,770","$3,776.0","66,720,153"
No,Tonga,$301,constitutional monarchy,718,"$1,873.06","105,916"
No,Trinidad and Tobago,"$21,200",parliamentary democracy,"5,128","$19,590.99","1,227,505"
Yes,Turkey,"$729,100",republican parliamentary democracy,"770,760","$9,322.83","78,785,548"
No (except Bermuda Regiment[105]),United Kingdom,"$2,259,000",constitutional monarchy and Commonwealth realm,"241,590","$45,626.38","62,698,362"
No[106] Draft abolished in 1975 by President Gerald Ford; however Males between 18-25 need to register with the U.S. Selective Service System.,United States,"$14,620,000",federal republic,"9,161,923","$45,958.70","313,232,044"
No,Vanuatu,$721,parliamentary republic,"12,200","$2,146.52","224,564"
Yes[107][108],Venezuela,"$285,200",federal republic,"882,050","$9,084.09","27,635,743"
