,Additional Info,Country,Date,Director,Grade,Ignore This,New?,Sequence,Shorts,Theater,Title,Year
,,USA,18-May-02,Aronofsky,B+,3.3,68,95,,,Requiem For A Dream,2000
,,USA,19-May-02,Mulligan,B-,2.7,69,96,,,To Kill A Mockingbird,1962
,,USA,20-May-02,Anderson,B,3,,97,,,Royal Tenenbaums,2001
,,USA,23-May-02,Frakes,D,1,70,98,,,Clockstoppers,2002
,,France,24-May-02,Jeunet,C,2,71,99,,,Amelie,2001
,,USA,26-May-02,Lurie,C,2,72,100,,,Contender,2000
,2.3,USA,27-May-02,Raimi,C+,,73,101,,1,Spiderman,2002
,,USA,27-May-02,Lawrence,C,2,74,102,,,Thin Line Between Love And Hate,1996
,,USA,30-May-02,Korine,B,3,75,103,,,Gummo,1997
,,USA,31-May-02,Nolan,C+,2.3,76,104,,,Insomnia,2002
,,France,6-Jun-02,Bunuel,C+,2.3,,105,,,Discreet Charm Of The Bourgeoisie,1972
,,USA,7-Jun-02,Clark,C,2,77,106,,,Bully,2001
,3,USA,8-Jun-02,Robinson,B,,78,107,,1,Sum Of All Fears,2002
,,USA,9-Jun-02,Guest,B,3,,108,,,Best In Show,2000
,,USA,9-Jun-02,Lee,B,3,79,109,,,Get On The Bus,1996
,,USA,10-Jun-02,Roach,B+,3.3,,110,,,Meet The Parents,2000
,,USA,10-Jun-02,Rafferty,A-,3.7,,111,,,Atomic Cafe,1982
,,Canada,10-Jun-02,Wintonick,B,3,80,112,,,Manufacturing Consent,1992
,,USA,11-Jun-02,Mitchell,B-,2.7,81,113,,,Changing Lanes,2002
,,USA,12-Jun-02,Spielberg,C+,2.3,82,114,,,Close Encounters Of The Third Kind,1977
,,Australia,13-Jun-02,Dominik,B,3,83,115,,,Chopper,2000
,,USA,15-Jun-02,Hughes,A,4,,116,,,Menace II Society,1993
,,USA,16-Jun-02,Gallo,B+,3.3,84,117,,,Buffalo '66,1998
,,Denmark,17-Jun-02,Von Trier,C-,1.7,85,118,,,Idiots,1998
,,USA,17-Jun-02,Lambert,C,2,86,119,,,Pet Sematary,1989
,,UK,18-Jun-02,Boorman,B+,3.3,87,120,,,General,1998
,,USA,19-Jun-02,Rosenberg,C-,1.7,88,121,,,Amittyville Horror,1979
,,France,20-Jun-02,Various,C,2,89,122,,,Lumiere et Compagnie,1995
,,USA,20-Jun-02,Guggenheim,B+,3.3,90,123,,,First Year,2001
,,USA,21-Jun-02,Coppola,B,3,91,124,,,Hearts Of Darkness,1991
,,UK,23-Jun-02,Haas,B+,3.3,92,125,,,Angels And Insects,1995
,,Denmark,24-Jun-02,Von Trier,C+,2.3,93,126,,,Dancer In The Dark,2000
,,USA,25-Jun-02,Zwigoff,B,3,94,127,,,Ghost World,2001
,,USA,27-Jun-02,Joffe,C,2,95,128,,,Fat Man And Little Boy,1989
,,USA,28-Jun-02,Lucas,D,1,96,129,,,Star Wars: Episode II - Attack Of The Clones,2002
,,USA,29-Jun-02,Cameron,A,4,,130,,,Terminator 2:Judgment Day,1991
,3,USA,29-Jun-02,Liman,B,,97,131,,1,Bourne Identity,2002
,,USA,29-Jun-02,Mamet,C+,2.3,,132,,,Spanish Prisoner,1997
,,USA,30-Jun-02,Stone,B-,2.7,98,133,,,Wall Street,1987
,,USA,30-Jun-02,Broomfield,B-,2.7,99,134,,,Kurt & Courtney,1998
,,USA,2-Jul-02,Moore,A+,4.3,,135,,,Big One,1997
,,USA,2-Jul-02,Moore,A+,4.3,,136,,,Roger & Me,1989
,,USA,4-Jul-02,Cox,C-,1.7,100,137,,,Repo Man,1984
,,USA,5-Jul-02,Gordon,C+,2.3,101,138,,,Waking The Dead,2000
,,USA,6-Jul-02,Hughes,A,4,,139,,,Uncle Buck,1989
,,UK,6-Jul-02,Glazer,B-,2.7,102,140,,,Sexy Beast,2000
,2,USA,7-Jul-02,Sonnenfeld,C,,103,141,,1,Men In Black II,2002
,2,USA,10-Jul-02,Woo,C,,104,142,,1,Windtalkers,2002
,,UK,11-Jul-02,Nolan,B+,3.3,105,143,,,Following,1998
,,UK,12-Jul-02,Jones,B-,2.7,106,144,,,Waking Ned Devine,1998
,,USA,14-Jul-02,Tillman Jr.,C-,1.7,107,145,,,Men Of Honor,2000
,3,USA,14-Jul-02,Mendes,B,,108,146,,1,Road To Perdition,2002
,,USSR,18-Jul-02,Vertov,B+,3.3,109,147,,,Man With The Movie Camera,1929
,,USSR,18-Jul-02,Vertov,B+,3.3,,148,,,Man With The Movie Camera,1929
,3,USA,19-Jul-02,Brill,B,,110,149,,1,Mr. Deeds,2002
,,USA,20-Jul-02,Stone,C+,2.3,111,150,,,Born On The Fourth Of July,1989
,,USA,20-Jul-02,Fricke,C+,2.3,112,151,,,Baraka,1992
,,USA,21-Jul-02,Roach,A-,3.7,,152,,,Austin Powers: The Spy Who Shagged Me,1999
,1.7,USA,26-Jul-02,Bigelow,C-,,113,153,,1,K-19: The Widowmaker,2002
,,USA,28-Jul-02,Clark,A,4,,154,,,Kids,1995
,2.3,USA,1-Aug-02,Spielberg,C+,,114,155,,1,Minority Report,2002
,3,USA,3-Aug-02,Roach,B,,115,156,,1,Austin Powers In Goldmember,2002
,,USA,4-Aug-02,Hayes,C-,1.7,116,157,,,Bubble Boy,2001
,,USA,6-Aug-02,Hegedus,A,4,117,158,,,Startup.com,2001
,,USA,7-Aug-02,Peralta,B,3,118,159,,,Dogtown And Z-Boys,2001
,1.7,USA,11-Aug-02,Soderbergh,C-,,119,160,,1,Full Frontal,2002
,,USA,14-Aug-02,Cuesta,C+,2.3,120,161,,,L.I.E.,2001
,,USA,16-Aug-02,Nahon,B+,3.3,,162,,,Kiss Of The Dragon,2001
,,USA,17-Aug-02,Nichols,A+,4.3,,163,,,Graduate,1967
,2.7,USA,17-Aug-02,Eastwood,B-,,121,164,,1,Blood Work,2002
,,New Zealand,18-Aug-02,Jackson,A,4,,165,,,Lord Of The Rings: The Fellowship Of The Ring,2001
,,USA,18-Aug-02,Chandrasekhar,A,4,,166,,,Super Troopers,2001
,,USA,21-Aug-02,Robinson,B,3,,167,,,Sum Of All Fears,2002
,,USA,23-Aug-02,Ford,B,3,,168,,,Searchers,1956
,,USA,23-Aug-02,Singer,A-,3.7,,169,,,Usual Suspects,1995
,,USA,24-Aug-02,Wilder,C,2,122,170,,,Some Like It Hot,1959
,,USA,25-Aug-02,Soderbergh,B+,3.3,,171,,,Ocean's Eleven,2001
,,USA,25-Aug-02,Brooks,A-,3.7,,172,,,Producers,1968
,,USA,25-Aug-02,Schlesinger,A,4,,173,,,Midnight Cowboy,1969
,,USA,29-Aug-02,Cassavetes,B,3,123,174,,,John Q.,2002
,,USA,31-Aug-02,Harron,B,3,,175,,,American Psycho,2000
,,Japan,31-Aug-02,Kurosawa,A,4,,176,,,Yojimbo,1961
,,USA,1-Sep-02,Hill,C-,1.7,124,177,,,Max Keeble's Big Move,2001
,,USA,1-Sep-02,Demme,A,4,,178,,,Silence Of The Lambs,1991
,,USA,1-Sep-02,Lynch,B,3,125,179,,,Mulholland Drive,2001
,3,USA,2-Sep-02,Zwick,B,,126,180,,1,My Big Fat Greek Wedding,2002
,2.7,USA,6-Sep-02,Caton-Jones,B-,,127,181,,1,City By The Sea,2002
,1,USA,7-Sep-02,Stockwell,D,,128,182,,1,Blue Crush,2002
,,USA,8-Sep-02,Keaton,,X,129,183,,,Steamboat Bill Jr.,1928
,,USA,9-Sep-02,Rosenberg,C+,2.3,130,184,,,Pope Of Greenwich Village,1984
,,USA,9-Sep-02,Ramis,C+,2.3,131,185,,,Bedazzled,2000
,,USA,14-Sep-02,Zemeckis,A,4,,186,,,Back To The Future,1985
,,USA,15-Sep-02,Meyer,B,3,,187,,,Star Trek II: Wrath Of Khan,1982
,,USA,15-Sep-02,Rogers,C,2,,188,,,American Pie 2,2001
,,Italy,19-Sep-02,DeSica,B+,3.3,132,189,,,Bicycle Thief,1948
,,USA,20-Sep-02,Levinson,B-,2.7,133,190,,,Natural,1984
,,USA,21-Sep-02,Lee,C,2,134,191,,,Mo Better Blues,1990
,,USA,21-Sep-02,Reggio,A,4,,192,,,Koyaanisqatsi,1982
,,USA,23-Sep-02,Coen,A-,3.7,,193,,,Big Lebowski,1998
,,USA,24-Sep-02,Winkler,B-,2.7,135,194,,,Life as A House,2001
,2.7,USA,25-Sep-02,Romanek,B-,,136,195,,1,One Hour Photo,2002
,,USA,26-Sep-02,Morris,B,3,137,196,,,"Fast, Cheap, And Out Of Control",1997
,,USA,28-Sep-02,Farrelly,A+,4.3,,197,,,There's Something About Mary,1998
,,USA,28-Sep-02,Demme,C,2,138,198,,,Stop Making Sense,1984
,,USA,30-Sep-02,Shyamalan,C+,2.3,139,199,,,Signs,2002
,,USA,5-Oct-02,Spielberg,C+,2.3,140,200,,,Amistad,1997
,,USA,5-Oct-02,Brooks,C+,2.3,,201,,,History Of The World Part I,1981
,,UK,6-Oct-02,Apted,B,3,141,202,,,42up,1998
,,USA,6-Oct-02,Myrick/Sanchez,B+,3.3,,203,,,Blair Witch Project,1999
,,USA,7-Oct-02,Dahl,B-,2.7,,204,,,Joy Ride,2001
,,Iran,12-Oct-02,Kiarostami,B,3,142,205,,,Wind Will Carry Us,1999
,0.7,USA,13-Oct-02,Donovan,D-,,143,206,,1,Tuxedo,2002
,,USA,14-Oct-02,Dikkers,B+,3.3,144,207,,,Spaceman,1997
,4,USA,17-Oct-02,Moore,A,,145,208,,1,Bowling For Columbine,2002
,,USA,19-Oct-02,Reggio,A-,3.7,,209,,,Koyaanisqatsi,1982
,,UK,20-Oct-02,Peckinpah,,X,146,210,,,Straw Dogs,1971
,,USA,20-Oct-02,Roe,,X,147,211,,,Pop And Me,1999
,4,USA,25-Oct-02,Anderson,A,,146,212,,1,Punch-Drunk Love,2002
,0,USA,25-Oct-02,Gaghan,F,,147,213,,1,Abandon,2002
,,USA,28-Oct-02,Reggio,B-,2.7,,214,,,Powaqqatsi,1988
,,USA,1-Nov-02,Pennebaker,C+,2.3,148,215,,,Don't Look Back,1967
,3,USA,2-Nov-02,Verbinski,B,,149,216,,1,Ring,2002
,,USA,10-Nov-02,Moore,A,4,,217,,,Bowling For Columbine,2002
,3.3,USA,10-Nov-02,DePalma,B+,,150,218,,1,Femme Fatale,2002
,,China,13-Nov-02,Wu,B,3,151,219,,,King Of Masks,1999
,2.7,USA,16-Nov-02,Tremaine,B-,,152,220,,1,Jackass,2002
,,USA,22-Nov-02,Aronson,C+,2.3,153,221,,,Sound And Fury,2000
,3,USA,23-Nov-02,Reggio,B,,154,222,,1,Naqoyqatsi,2002
,,USA,25-Nov-02,Baird,C,2,,223,,,Executive Decision,1996
,,USA,26-Nov-02,Kubrick,B+,3.3,,224,,,Spartacus,1960
,,USA,3-Dec-02,Green,C+,2.3,155,225,,,George Washington,2000
,,Japan,6-Dec-02,Kurosawa,A,4,156,226,,,Sanjuro,1962
,,Sweden,7-Dec-02,Bergman,B+,3.3,157,227,,,Wild Strawberries,1957
,,USA,8-Dec-02,Brooks,C,2,,228,,,Spaceballs,1987
,,USA,9-Dec-02,Junger,C+,2.3,,229,,,Black Knight,2001
,,USA,13-Dec-02,Hegedus/Pennebaker,B+,3.3,158,230,,,War Room,1993
,,USA,17-Dec-02,Lee,B+,3.3,159,231,,,Bamboozled,2000
,,Japan,20-Dec-02,Kurosawa,A-,3.7,160,232,,,Seven Samurai,1954
,,USA,20-Dec-02,Sturges,C,2,161,233,,,Magnificent Seven,1960
,,USA,20-Dec-02,Brill,C+,2.3,,234,,,Mr. Deeds,2002
,,USA,21-Dec-02,Roach,B-,2.7,,235,,,Austin Powers In Goldmember,2002
,,USA,21-Dec-02,Raimi,A-,3.7,,236,,,Evil Dead 2,1987
,,Australia,21-Dec-02,Miller,B,3,162,237,,,Mad Max,1979
,,USA,21-Dec-02,Payne,A,4,,238,,,Election,1999
,,France,22-Dec-02,Belvaux,B,3,,239,,,Man Bites Dog,1992
,,Japan,22-Dec-02,Kurosawa,B,3,163,240,,,Hidden Fortress,1958
,,USA,24-Dec-02,Clark,A+,4.3,,241,,,A Christmas Story,1983
,,Hong Kong,25-Dec-02,Yuen,B,3,,242,,,Iron Monkey,1993
,,USA,28-Dec-02,Fincher,A+,4.3,,243,,,Se7en,1995
,,USA,28-Dec-02,Forster,D+,1.3,164,244,,,Monster's Ball,2001
,,USA,29-Dec-02,Fincher,A-,3.7,,245,,,Fight Club,1999
,,USA,30-Dec-02,Judge,A-,3.7,,246,,,Office Space,1999
,,,,,,,,,,,,
