Country,Date of Information,Population,Rank
Bhutan,July 2005 est.,"2,232,291",144
Macedonia,July 2005 est.,"2,045,262",145
Lesotho,July 2005 est.,"2,031,348",146
Namibia,July 2005 est.,"2,030,692",147
Slovenia,July 2005 est.,"2,011,070",148
Botswana,July 2005 est.,"1,640,115",149
"Gambia, The",July 2005 est.,"1,595,086",150
Guinea-Bissau,July 2005 est.,"1,413,446",151
Gabon,July 2005 est.,"1,394,307",152
Gaza Strip,July 2005 est.,"1,376,289",153
Estonia,July 2005 est.,"1,332,893",154
Mauritius,July 2005 est.,"1,230,602",155
Swaziland,July 2005 est.,"1,138,227",156
Trinidad and Tobago,July 2005 est.,"1,075,066",157
East Timor,July 2005 est.,"1,040,880",158
Fiji,July 2005 est.,"893,354",159
Qatar,July 2005 est.,"863,051",160
Cyprus,July 2005 est.,"780,133",161
Reunion,July 2005 est.,"776,948",162
Guyana,July 2005 est.,"765,283",163
Bahrain,July 2005 est.,"688,345",164
Comoros,July 2005 est.,"671,247",165
Solomon Islands,July 2005 est.,"538,032",166
Equatorial Guinea,July 2005 est.,"529,034",167
Djibouti,July 2005 est.,"476,703",168
Luxembourg,July 2005 est.,"468,571",169
Macau,July 2005 est.,"449,198",170
Guadeloupe,July 2005 est.,"448,713",171
Suriname,July 2005 est.,"438,144",172
Martinique,July 2005 est.,"432,900",173
Cape Verde,July 2005 est.,"418,224",174
Malta,July 2005 est.,"398,534",175
Brunei,July 2005 est.,"372,361",176
Maldives,July 2005 est.,"349,106",177
"Bahamas, The",July 2005 est.,"301,790",178
Iceland,July 2005 est.,"296,737",179
Belize,July 2005 est.,"281,084",180
Barbados,July 2005 est.,"278,870",181
Western Sahara,July 2005 est.,"273,008",182
French Polynesia,July 2005 est.,"270,485",183
Netherlands Antilles,July 2005 est.,"219,958",184
New Caledonia,July 2005 est.,"216,494",185
Vanuatu,July 2005 est.,"205,754",186
French Guiana,July 2005 est.,"195,506",187
Mayotte,July 2005 est.,"193,633",188
Sao Tome and Principe,July 2005 est.,"187,410",189
Samoa,July 2005 est.,"177,287",190
Guam,July 2005 est.,"168,564",191
Saint Lucia,July 2005 est.,"166,312",192
Saint Vincent and the Grenadines,July 2005 est.,"117,534",193
Tonga,July 2005 est.,"112,422",194
Virgin Islands,July 2005 est.,"108,708",195
"Micronesia, Federated States of",July 2005 est.,"108,105",196
Kiribati,July 2005 est.,"103,092",197
Jersey,July 2005 est.,"90,812",198
Grenada,July 2005 est.,"89,502",199
Seychelles,July 2005 est.,"81,188",200
Northern Mariana Islands,July 2005 est.,"80,362",201
"Man, Isle of",July 2005 est.,"75,049",202
Aruba,July 2005 est.,"71,566",203
Andorra,July 2005 est.,"70,549",204
Dominica,July 2005 est.,"69,029",205
Antigua and Barbuda,July 2005 est.,"68,722",206
Bermuda,July 2005 est.,"65,365",207
Guernsey,July 2005 est.,"65,228",208
Marshall Islands,July 2005 est.,"59,071",209
American Samoa,July 2005 est.,"57,881",210
Greenland,July 2005 est.,"56,375",211
Faroe Islands,July 2005 est.,"46,962",212
Cayman Islands,July 2005 est.,"44,270",213
Saint Kitts and Nevis,July 2005 est.,"38,958",214
Liechtenstein,July 2005 est.,"33,717",215
Monaco,July 2005 est.,"32,409",216
San Marino,July 2005 est.,"28,880",217
Gibraltar,July 2005 est.,"27,884",218
British Virgin Islands,July 2005 est.,"22,643",219
Cook Islands,July 2005 est.,"21,388",220
Turks and Caicos Islands,July 2005 est.,"20,556",221
Palau,July 2005 est.,"20,303",222
Wallis and Futuna,July 2005 est.,"16,025",223
Anguilla,July 2005 est.,"13,254",224
Nauru,July 2005 est.,"13,048",225
Tuvalu,July 2005 est.,"11,636",226
Montserrat,July 2005 est.,"9,341",227
Saint Helena,July 2005 est.,"7,460",228
Saint Pierre and Miquelon,July 2005 est.,"7,012",229
Falkland Islands (Islas Malvinas),July 2005 est.,"2,967",230
Svalbard,July 2005 est.,"2,701",231
Niue,July 2005 est.,"2,166",232
Norfolk Island,July 2005 est.,"1,828",233
Tokelau,July 2005 est.,"1,392",234
Holy See (Vatican City),July 2005 est.,932,235
Cocos (Keeling) Islands,July 2005 est.,628,236
Johnston Atoll,July 2005 est.,361,237
Christmas Island,July 2005 est.,361,238
Pitcairn Islands,July 2005 est.,45,239
