Appears In,Fell Name,Height (Ft)??,Height (m)??
The Far Eastern Fells,Place Fell,2156,657
The Eastern Fells,High Pike (Scandale),2152,656
The Far Eastern Fells,Selside Pike,2149,655
The Eastern Fells,Middle Dodd,2146,654
The Southern Fells,Harter Fell (Eskdale),2146,654
The North Western Fells,High Spy,2142,653
The Northern Fells,Great Sca Fell,2136,651
The Southern Fells,Rossett Pike,2136,651
The Western Fells,Fleetwith Pike,2126,648
The Western Fells,Base Brown,2119,646
The Far Eastern Fells,Grey Crag [Sleddale Fell],2093,638
The Eastern Fells,Little Hart Crag West Top,2090,637
The North Western Fells,Causey Pike,2090,637
The Northern Fells,Mungrisdale Common,2077,633
The Western Fells,Starling Dodd,2077,633
The Western Fells,Yewbarrow,2057,627
The Eastern Fells,Birks,2041,622
The Far Eastern Fells,Hartsop Dodd,2028,618
The Western Fells,Great Borne,2021,616
The Eastern Fells,Heron Pike (Rydal),2008,612
The Southern Fells,Illgill Head,1998,609
The Central Fells,High Seat,1995,608
The Southern Fells,Seathwaite Fell,1972,601
The Western Fells,Haystacks (Buttermere),1959,597
The Central Fells,Bleaberry Fell,1936,590
The Far Eastern Fells,Shipman Knotts,1926,587
The Northern Fells,Brae Fell,1923,586
The Western Fells,Middle Fell,1909,582
The Eastern Fells,Hartsop Above How,1906,581
The North Western Fells,Ard Crags,1906,581
The Far Eastern Fells,The Nab,1890,576
The North Western Fells,Maiden Moor,1886,575
The Western Fells,Blake Fell,1880,573
The Central Fells,Sergeant's Crag,1873,571
The North Western Fells,Outerside,1864,568
The Far Eastern Fells,Angletarn Pikes,1860,567
The Far Eastern Fells,Brock Crags,1841,561
The North Western Fells,Knott Rigg,1824,556
The Central Fells,Steel Fell,1814,553
The North Western Fells,Lord's Seat,1811,552
The Southern Fells,Rosthwaite Fell,1808,551
The Central Fells,Tarn Crag (Easedale),1804,550
The Northern Fells,Meal Fell,1804,550
The Southern Fells,Hard Knott,1801,549
The Central Fells,Blea Rigg,1775,541
The Western Fells,Lank Rigg,1775,541
The Central Fells,Calf Crag,1762,537
The Eastern Fells,Great Mell Fell,1762,537
The Southern Fells,Whin Rigg (Wasdale),1755,535
The Far Eastern Fells,Arthur's Pike,1749,533
The Northern Fells,Great Cockup,1726,526
The Western Fells,Gavel Fell,1726,526
The Central Fells,Eagle Crag,1722,525
The Far Eastern Fells,Bonscale Pike,1719,524
The Western Fells,Crag Fell,1716,523
The Northern Fells,Souther Fell,1713,522
The Eastern Fells,High Hartsop Dodd,1703,519
The North Western Fells,Whinlatter,1696,517
The Far Eastern Fells,Sallows,1693,516
The Central Fells,High Tove,1690,515
The Western Fells,Mellbreak,1680,512
The North Western Fells,Broom Fell,1677,511
The Far Eastern Fells,Beda Fell [Beda Head],1670,509
The Western Fells,Hen Comb,1670,509
The Eastern Fells,Low Pike,1667,508
The Eastern Fells,Little Mell Fell,1657,505
The Northern Fells,Skiddaw - Dodd,1647,502
The Eastern Fells,Stone Arthur,1640,500
The Southern Fells,Green Crag,1604,489
The Far Eastern Fells,Baystones [Wansfell],1601,488
The Western Fells,Grike,1594,486
The Far Eastern Fells,Sour Howes,1585,483
The Northern Fells,Longlands Fell,1585,483
The Eastern Fells,Gowbarrow Fell,1578,481
The Central Fells,Armboth Fell,1572,479
The Western Fells,Burnbank Fell,1558,475
The Southern Fells,Lingmoor Fell,1539,469
The North Western Fells,Barf,1535,468
The Central Fells,Raven Crag,1512,461
The North Western Fells,Barrow,1493,455
The North Western Fells,Graystones,1483,452
The North Western Fells,Catbells,1480,451
The Central Fells,Great Crag (Stonethwaite),1476,450
The Eastern Fells,Nab Scar,1476,450
The Northern Fells,Binsey,1467,447
The Eastern Fells,Glenridding Dodd,1450,442
The Eastern Fells,Arnison Crag,1421,433
The Far Eastern Fells,Steel Knotts,1417,432
The Western Fells,Low Fell,1388,423
The Central Fells,Gibson Knott,1378,420
The Western Fells,Felbarrow - Mosser Fell,1365,416
The Central Fells,Grange Fell [Brund Fell],1362,415
The Western Fells,Buckbarrow,1329,405
The Central Fells,Helm Crag,1299,396
The Central Fells,Silver How,1296,395
The Far Eastern Fells,Hallin Fell,1273,388
The Central Fells,Walla Crag,1234,376
The North Western Fells,Ling Fell,1224,373
The Northern Fells,Latrigg,1204,367
The Far Eastern Fells,Troutbeck Tongue,1194,364
The North Western Fells,Sale Fell,1178,359
The Central Fells,High Rigg [Naddle Fell],1171,357
The North Western Fells,Rannerdale Knotts,1165,355
The Central Fells,Loughrigg Fell,1099,335
The Southern Fells,Black Fell,1060,323
The Southern Fells,Holme Fell,1040,317
The North Western Fells,Castle Crag,978,298
