,Date,Grid Reference,Height (ft),Height (m),Summit
,30/05/2010,SH664680,2487ft,758m,Drosgl
,,SH708696,2526ft,770m,Drum
,,SN862584,2103ft,641m,Drygarn Fawr
,,SH612613,3031ft,924m,Elidir Fawr
,,SH865234,2861ft,872m,Erw y Ddafad-ddu
,,SH890236,2201ft,671m,Esgeiriau Gwynion
,22/09/2008,SN825218,2631ft,802m,Fan Brycheiniog
,18/09/2008,SN970193,2408ft,734m,Fan Fawr
,21/09/2008,SN887184,2192ft,668m,Fan Fraith
,18/09/2008,SN958228,2064ft,629m,Fan Frynych
,21/09/2008,SN881191,2379ft,725m,Fan Gyhirych
,22/09/2008,SN831209,2497ft,761m,Fan Hir
,21/09/2008,SN938186,2073ft,632m,Fan Llia
,21/09/2008,SN913184,2175ft,663m,Fan Nedd
,19/09/2008,SO036207,2359ft,719m,Fan y Big
,,SH779342,2021ft,616m,Foel Boeth
,,SH996314,2126ft,648m,Foel Cwm Sian Llwyd
,,SH953423,2005ft,611m,Foel Goch (Arenigs)
,18/11/2006,SH943291,2011ft,613m,Foel Goch (Berwyns)
,30/05/2010,SH689659,3202ft,976m,Foel Grach
,,SH560569,2064ft,629m,Foel Gron
,,SH877227,2260ft,689m,Foel Hafod-fynydd
,31/05/2010,SH659637,2625ft,800m,Foel Meirich
,04/05/2008,SH661348,2014ft,614m,Foel Penolau
,,SH896239,2162ft,659m,Foel Rhudd
,17/11/2006,SJ099334,2267ft,691m,Foel Wen
,17/11/2006,SJ102330,2254ft,687m,Foel Wen South Top
,18/11/2006,SH937275,2054ft,626m,Foel y Geifr
,30/05/2010,SH696682,3091ft,942m,Foel-fras
,,SH629612,2726ft,831m,Foel-goch
,,SH778345,2031ft,619m,Gallt y Daren
,,SH642533,2031ft,619m,Gallt y Wenallt
,,SH685586,2503ft,763m,Gallt yr Ogof
,30/05/2010,SH687669,3038ft,926m,Garnedd Uchaf
,,SH511495,2297ft,700m,Garnedd-goch
,22/09/2008,SN777203,2083ft,635m,Garreg Las
,21/09/2008,SN740179,2021ft,616m,Garreg Lwyd
,26/08/2007,SH744141,2241ft,683m,Gau Graig
,27/08/2007,SH837194,2559ft,780m,Glasgwm
,,SH656583,3261ft,994m,Glyder Fach
,,SH642579,3278ft,999m,Glyder Fawr
,17/11/2006,SJ094308,2228ft,679m,Godor
,17/11/2006,SJ089311,2215ft,675m,Godor North Top
,,SN918591,2011ft,613m,Gorllwyn
,,SO182639,2165ft,660m,Great Rhos
,,SH880212,2073ft,632m,Gwaun Lydan
,,SH857205,2247ft,685m,Gwaun y Llwyni
,30/05/2010,SH654675,2110ft,643m,Gyrn Wigau
,,SH606567,2356ft,718m,Llechog
,,SH894224,2014ft,614m,Llechwedd Du
,25/06/2006,SH628532,2684ft,818m,Lliwedd Bach
,30/05/2010,SH689692,2785ft,849m,Llwytmor
,,SH817150,2218ft,676m,Maesglase
,11/03/2006,SH724447,2169ft,661m,Manod Mawr
,11/03/2006,SH727458,2159ft,658m,Manod Mawr North Top
,,SH586564,2211ft,674m,Moel Cynghorion
,,SH671476,2218ft,676m,Moel Druman
,,SH556577,2382ft,726m,Moel Eilio
,,SJ116398,2067ft,630m,Moel Fferna
,28/12/2005,SH565469,2569ft,783m,Moel Hebog
,28/12/2005,SH553485,2093ft,638m,Moel Lefn
,,SH808352,2464ft,751m,Moel Llyfnant
,11/03/2006,SH716483,2034ft,620m,Moel Penamnen
,,SH705546,2861ft,872m,Moel Siabod
,17/11/2006,SJ066318,2713ft,827m,Moel Sych
,,SH923242,2051ft,625m,Moel y Cerrig Duon
,17/11/2006,SJ080317,2280ft,695m,Moel yr Ewig
,28/12/2005,SH556478,2149ft,655m,Moel yr Ogof
,04/05/2008,SH658346,2044ft,623m,Moel Ysgyfarnogod
,,SH660437,2329ft,710m,Moelwyn Bach
,,SH658449,2526ft,770m,Moelwyn Mawr
,,SH661453,2119ft,646m,Moelwyn Mawr North Ridge Top
,,SH672454,2126ft,648m,Moel-yr-hydd
,,SH549518,2280ft,695m,Mynydd Drws-y-coed
Promoted Sept 2008,,SH497485,2000ft,610m,Mynydd Graig Goch
,28/12/2001,SO207279,2175ft,663m,Mynydd Llysiau
,29/12/2005,SH539547,2290ft,698m,Mynydd Mawr
,26/08/2007,SH727137,2831ft,863m,Mynydd Moel
,,SH623619,2664ft,812m,Mynydd Perfedd
,,SH535514,2142ft,653m,Mynydd Tal-y-mignedd
,17/11/2006,SJ113324,2234ft,681m,Mynydd Tarw
,28/12/2001,SO207243,2359ft,719m,Pen Allt-mawr
,,SJ089369,2037ft,621m,Pen Bwlch Llandrillo Top
,28/12/2001,SO217223,2300ft,701m,Pen Cerrig-calch
,01/06/2010,SH716623,2621ft,799m,Pen Llithrig y Wrach
,,SN815877,2431ft,741m,Pen Pumlumon Arwystli
,,SN799871,2385ft,727m,Pen Pumlumon Llygad-bychan
,28/12/2001,SO213257,2119ft,646m,Pen Twyn Glas
,28/12/2001,SO242267,2159ft,658m,Pen Twyn Mawr
,18/11/2006,SH962283,2119ft,646m,Pen y Boncyn Trefeilw
,27/08/2007,SH818179,2247ft,685m,Pen y Bryn-fforchog
,,SH722689,2044ft,623m,Pen y Castell
,19/09/2008,SO012216,2907ft,886m,Pen y Fan
,28/12/2001,SO229287,2625ft,800m,Pen y Gadair Fawr
,,SN798771,2001ft,610m,Pen y Garn
,,SH871197,2034ft,620m,Pen yr Allt Uchaf
,01/06/2010,SH698630,2733ft,833m,Pen yr Helgi Du
,31/05/2010,SH655619,3209ft,978m,Pen yr Ole Wen
,22/09/2008,SN811218,2457ft,749m,Picws Du
,,SJ048294,2182ft,665m,Post Gwyn
,,SN787874,2178ft,664m,Pumlumon Fach
,,SN790870,2467ft,752m,Pumlumon Fawr
,03/05/2008,SH665270,2336ft,712m,Rhinog Fach
,03/05/2008,SH657290,2362ft,720m,Rhinog Fawr
,02/05/2008,SH787257,2408ft,734m,Rhobell Fawr
,20/09/2008,SO211334,2339ft,713m,Rhos Dirion
,01/07/2001,SH609544,3560ft,1085m,Snowdon - Yr Wyddfa
,18/11/2006,SH969279,2067ft,630m,Stac Rhos
,,SH729727,2001ft,610m,Tal y Fan
,,SH710059,2188ft,667m,Tarren y Gesail
,,SH683041,2080ft,634m,Tarrenhendre
,17/11/2006,SJ085335,2434ft,742m,Tomle
,,SH545516,2326ft,709m,Trum y Ddysgl
,18/11/2006,SH941284,2008ft,612m,Trum y Gwrgedd
,,SH664594,3002ft,915m,Tryfan
,20/09/2008,SO225350,2231ft,680m,Twmpa
,,SH677135,2169ft,661m,Tyrrau Mawr
,,SH848206,2037ft,621m,Waun Camddwr
,28/12/2001,SO215300,2661ft,811m,Waun Fach
,10/03/2006,SH874452,2133ft,650m,Waun Garnedd-y-Filiast
,22/09/2008,SN798215,2221ft,677m,Waun Lefrith
,19/09/2008,SO062206,2523ft,769m,Waun Rydd
,,SH786147,2198ft,670m,Waun-oer
,,SH678582,2641ft,805m,Y Foel Goch
,,SH631596,3107ft,947m,Y Garn (Glyders)
,,SH551526,2077ft,633m,Y Garn (Moel Hebog)
,,SN776852,2244ft,684m,Y Garn (Plumlumon)
,05/05/2008,SH702230,2064ft,629m,Y Garn (Rhinogs)
,18/11/2006,SH988290,2162ft,659m,Y Groes Fagl
,18/09/2008,SN989216,2031ft,619m,Y Gyrn
,03/05/2008,SH661258,2480ft,756m,Y Llethr
,25/06/2006,SH622533,2946ft,898m,Y Lliwedd
,25/06/2006,SH623532,2930ft,893m,Y Lliwedd East Top
,,SH604515,2451ft,747m,Yr Aran
,31/05/2010,SH674651,3156ft,962m,Yr Elen
,,SH667481,2205ft,672m,Ysgafell Wen
,,SH663488,2133ft,650m,Ysgafell Wen Far North Top
,,SH663485,2195ft,669m,Ysgafell Wen North Top
