% Change,Airport,Code (IATA/ICAO),Location,Rank,Rank Change,Total Passengers
10.8%,Detroit Metropolitan Wayne County Airport,DTW/KDTW,"Detroit, Michigan, United States",35.,11,"31,357,388"
3.0%,Seattle-Tacoma International Airport,SEA/KSEA,"Seattle, Washington, United States",36.,1,"31,227,512"
3.7%,Philadelphia International Airport,PHL/KPHI,"Philadelphia, Pennsylvania, United States",37.,,"30,669,564"
6.1%,Toronto Pearson International Airport,YYZ/CYYZ,"Mississauga, Ontario, Canada",38.,4,"30,368,339"
4.3%,Atat?rk International Airport,IST/LTBA,"Yesilk?y, Istanbul, Turkey",39.,3,"29,854,119"
7.8%,Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor, Malaysia",40.,1,"29,682,093"
4.9%,Seoul Incheon International Airport,ICN/RKSI,"Incheon, Republic of Korea",41.,2,"28,677,161"
9.8%,Barcelona Airport,BCN/LEBL,"Barcelona, Catalonia, Spain",42.,4,"27,301,662"
2.3%,Logan International Airport,BOS/KBOS,"Boston, Massachusetts, United States",43.,2,"25,512,086"
8.6%,Indira Gandhi International Airport,DEL/VIDP,"Delhi, India",44.,6,"25,252,814"
1.4%,Melbourne Airport,MEL/YMML,"Melbourne, Victoria, Australia",45.,1,"25,248,762"
4.2%,Paris-Orly Airport,ORY/LFPO,"Orly, France",46.,2,"25,107,693"
9.6%,Shanghai Hongqiao International Airport,SHA/ZSSS,"Changning District, Shanghai, China",47.,?,"25,078,548"
1.9%,Chhatrapati Shivaji International Airport,BOM/VABB,"Mumbai, Maharashtra, India",48.,1,"24,804,766"
14.4%,Shenzhen Bao'an International Airport,SZX/ZGSZ,"Bao'an District, Shenzhen, Guangdong, China",49.,?,"24,486,406"
7.5%,Mexico City International Airport,MEX/MMMX,"Mexico City, Mexico",50.,7,"24,243,056"
