#,Catholics,Country,Diocesan Priests,Dioceses,Female Religious,Male Religious,Parishes,Percent Catholic,Permanent Deacons,Population,Religious Priests,Total Priests
55,"3,425,000",Zambia,283,10,"1,596",596,265,28.22%,1,"12,138,000",354,637
56,"3,281,000",Malawi,281,7,963,265,147,21.76%,,"15,081,000",127,408
57,"3,186,000",Switzerland,"1,775",8,"5,679","1,606","1,662",46.08%,157,"6,914,000","1,225","3,000"
58,"3,101,000",South Africa,453,27,"2,577","1,132",736,6.36%,213,"48,770,000",645,"1,098"
59,"2,964,000",China,"2,270",117,"6,079","1,933","2,335",.75%,6,"397,673,000","2,289","4,559"
60,"2,841,000",C?te d'Ivoire,652,14,831,533,287,15.11%,6,"18,805,000",237,889
61,"2,799,000",Puerto Rico,369,5,"1,158",469,327,73.21%,418,"3,823,000",365,734
62,"2,766,000",Lithuania,681,8,773,145,677,80.01%,4,"3,457,000",98,779
63,"2,675,000",Ghana,876,18,794,476,366,12.43%,1,"21,520,000",193,"1,069"
64,"2,315,000",Uruguay,203,10,"1,089",382,226,72.89%,76,"3,176,000",256,459
65,"2,233,000",Antilles,287,21,"1,055",518,465,27.10%,81,"8,241,000",337,624
66,"2,077,000",Congo,176,7,232,152,158,50.49%,1,"4,114,000",62,238
67,"1,883,000",Lebanon,"1,001",23,"2,728","1,030","1,253",,4,-,602,"1,603"
68,"1,875,000",Romania,"1,551",12,"1,326",437,"1,430",8.64%,4,"21,709,000",182,"1,733"
69,"1,799,000",Panama,199,8,447,270,186,85.38%,64,"2,107,000",197,396
70,"1,688,000",Papua New Guinea,185,19,861,672,305,33.98%,7,"4,968,000",328,513
71,"1,646,000",Benin,394,10,939,227,212,23.00%,,"7,155,000",107,501
72,"1,623,000",Slovenia,854,3,741,372,803,81.27%,8,"1,997,000",296,"1,150"
73,"1,545,000",Burkina Faso,559,13,"1,218",491,141,11.73%,,"13,169,000",157,716
74,"1,483,000",Togo,321,7,735,337,151,24.85%,,"5,968,000",127,448
75,"1,364,000",Sri Lanka,648,11,"2,300",626,391,6.75%,,"20,204,000",307,955
76,"1,300,000",Yemen,9,1,64,36,20,2.72%,1,"47,760,000",36,45
77,"1,282,000",Zimbabwe,183,8,"1,049",528,208,8.79%,12,"14,580,000",220,403
78,"1,191,000",Pakistan,122,7,662,208,114,.72%,1,"165,809,000",112,234
79,"1,030,000",Belarus,214,4,354,207,402,9.99%,,"10,310,000",157,371
80,"971,000",Lesotho,67,4,653,150,86,53.62%,,"1,811,000",80,147
81,"793,000",Central African Republic,139,9,334,189,114,22.71%,,"3,492,000",138,277
82,"789,000",Russian Federation,126,5,309,193,426,.54%,3,"147,125,000",142,268
83,"784,000",Malaysia,179,8,558,101,142,3.17%,1,"24,740,000",48,227
84,"767,000",East Timor,44,2,289,195,37,93.20%,,"823,000",69,113
85,"720,000",Chad,131,8,375,157,109,8.80%,,"8,178,000",111,242
86,"703,000",Pacific (Oceania),213,17,837,463,345,28.12%,141,"2,500,000",260,473
87,"673,000",Senegal,267,7,719,336,125,6.50%,,"10,357,000",127,394
88,"615,000",Gabon,57,6,167,95,64,46.42%,1,"1,325,000",61,118
89,"603,000",Myanmar,515,12,"1,454",159,290,1.03%,,"58,304,000",29,544
90,"595,000",R?union,58,1,505,86,75,92.25%,13,"645,000",52,110
91,"548,000",Equatorial Guinea,63,3,208,86,69,93.52%,2,"586,000",45,108
92,"541,000",Serbia and Montenegro,205,7,319,57,265,5.48%,7,"9,878,000",46,251
93,"533,000",Ethiopia,189,10,596,461,246,.89%,1,"59,862,000",289,478
94,"509,000",Japan,501,16,"6,263","1,407",848,.40%,12,"127,851,000","1,088","1,589"
95,"464,000",Bosnia and Herzegovina,266,3,499,437,276,15.57%,1,"2,981,000",361,627
96,"459,000",New Zealand,317,7,944,366,271,11.63%,9,"3,945,000",201,518
97,"432,000",Cape Verde,17,2,134,42,31,92.90%,,"465,000",35,52
98,"430,000",Latvia,108,4,109,32,267,18.06%,1,"2,381,000",27,135
99,"425,000",Syria,199,17,375,96,227,42.50%,12,"1,000,000",77,276
100,"414,000",Iraq,142,15,424,71,119,11.83%,9,"3,500,000",37,179
101,"388,000",Luxembourg,180,1,566,80,275,86.61%,7,"448,000",68,248
102,"375,000",Namibia,19,3,399,97,91,16.78%,45,"2,235,000",63,82
103,"368,000",Malta,477,2,"1,047",524,79,95.34%,,"386,000",448,925
104,"310,000",Mauritius,61,2,244,74,49,26.32%,,"1,178,000",40,101
105,"303,000",Taiwan,226,7,"1,056",644,452,1.37%,,"22,158,000",479,705
106,"299,000",Egypt,205,12,"1,323",462,205,,,-,327,532
107,"292,000",Thailand,433,10,"1,439",434,436,.46%,,"63,922,000",229,662
108,"283,000",Bangladesh,126,6,"1,059",226,81,.24%,,"119,062,000",131,257
109,"270,000",Armenia,6,2,43,27,48,,,-,17,23
110,"235,000",Albania,22,4,177,35,72,9.55%,,"2,460,000",26,48
111,"227,000",Mali,79,6,280,88,42,1.51%,,"15,039,000",71,150
112,"186,000",Sierra Leone,69,3,39,80,61,3.12%,,"5,966,000",51,120
113,"182,000",Kazakhstan,45,4,100,40,46,1.15%,,"15,889,000",29,74
114,"171,000",Guinea,80,3,100,36,56,2.57%,,"6,646,000",19,99
115,"165,000",Liberia,36,3,42,29,49,5.79%,,"2,850,000",16,52
116,"162,000",Singapore,70,1,202,132,30,3.87%,,"4,185,000",67,137
117,"158,000",Kuwait,2,1,13,8,4,5.96%,1,"2,650,000",8,10
118,"148,000",Eritrea,80,3,562,347,110,2.98%,,"4,968,000",252,332
119,"144,000",Sweden,73,1,215,96,41,1.60%,23,"8,977,000",78,151
120,"123,000",Greece,53,11,124,65,86,1.04%,3,"11,862,000",37,90
121,"121,000",S?o Tom? and Pr?ncipe,2,1,36,15,12,87.68%,,"138,000",7,9
122,"120,000",Guinea-Bissau,13,2,133,78,30,9.23%,,"1,300,000",54,67
123,"91,000",Solomon Islands,38,3,95,43,27,20.82%,,"437,000",29,67
124,"83,000",Botswana,16,2,72,44,33,4.78%,1,"1,735,000",40,56
125,"83,000",Palestine,86,2,"1,209",509,74,,,-,304,390
126,"75,000",Libya,3,4,133,20,13,1.26%,,"5,939,000",20,23
127,"74,000",Bulgaria,17,3,87,43,56,.93%,,"8,000,000",35,52
128,"74,000",Israel,58,2,612,38,18,,,-,30,88
129,"70,000",Seychelles,8,1,53,9,17,85.37%,1,"82,000",8,16
130,"55,000",Norway,27,3,173,48,32,1.21%,3,"4,556,000",43,70
131,"55,000",Swaziland,11,1,58,23,15,5.56%,,"990,000",15,26
132,"39,000",Laos,12,4,83,2,77,.60%,,"6,524,000",,12
133,"35,000",Denmark,39,1,222,43,50,.64%,5,"5,501,000",38,77
134,"35,000",Gambia,15,1,42,21,54,2.08%,,"1,680,000",10,25
135,"31,000",Jordan,23,1,15,5,28,,,-,5,28
136,"29,000",Monaco,13,1,15,5,6,90.63%,1,"32,000",5,18
137,"28,000",Turkey,11,6,115,68,43,,2,-,50,61
138,"25,000",Liechtenstein,19,1,57,10,10,75.76%,,"33,000",10,29
139,"24,000",Iran,6,5,30,11,17,,3,-,11,17
140,"23,000",Morocco,6,2,239,56,40,.07%,,"31,700,000",40,46
141,"21,000",Brunei Darussalam,3,1,2,1,3,6.05%,,"347,000",1,4
142,"21,000",Gibraltar,9,1,9,4,6,75.00%,,"28,000",1,10
143,"21,000",Cambodia,6,3,72,47,36,.17%,,"12,571,000",36,42
144,"20,000",Moldova,6,1,40,18,11,.47%,1,"4,247,000",8,14
145,"20,000",Tunisia,13,1,139,25,11,.21%,,"9,700,000",21,34
146,"16,000",Niger,14,2,81,35,17,.13%,,"11,880,000",30,44
147,"14,000",Macedonia,12,2,32,3,7,.60%,,"2,350,000",3,15
148,"10,000",Cyprus,5,1,3,5,9,1.28%,,"780,000",2,7
149,"8,000",Finland,6,1,36,12,7,.15%,1,"5,206,000",10,16
150,"7,000",Djibouti,2,1,19,9,6,1.26%,,"557,000",5,7
151,"7,000",Nepal,9,1,115,56,42,.03%,,"24,421,000",40,49
152,"6,000",Saint Pierre and Miquelon,,1,6,2,2,100.00%,,"6,000",2,2
153,"5,000",Estonia,9,1,21,5,6,.36%,,"1,370,000",5,14
154,"5,000",Iceland,6,1,34,5,4,1.72%,,"290,000",5,11
155,"4,000",Comoros,1,1,4,4,2,.44%,,"907,000",3,4
156,"4,000",Mauritania,3,1,34,10,6,.15%,,"2,600,000",10,13
157,"3,000",Algeria,36,4,195,77,37,.01%,1,"31,135,000",56,92
