ALT (ft),ALT (m),GRID REF,GUIDE,MAP,PEAK,RANKING
"2,157",658,NY 319 350,N,NE,High Pike (Caldbeck),107
"2,155",656,NY 374 088,E,SE,High Pike (Scandale),108
"2,500",762,NY 281 095,C,NW,High Raise (Langdale),57
"2,634",803,NY 448 134,FE,NE,High Raise (Mardale),31
"1,163",354,NY 308 220,C,NW,High Rigg,209
"1,995",608,NY 287 180,C,NW,High Seat,128
"2,143",653,NY 234 162,NW,NW,High Spy,109
"2,644",806,NY 169 148,W,NW,High Stile,30
"2,718",828,NY 440 109,FE,NE,High Street,25
"1,665",507,NY 289 165,C,NW,High Tove,168
"2,385",727,NY 216 165,NW,NW,Hindscarth,73
"1,040",317,NY 315 006,S,SW,Holme Fell,213
"2,525",770,NY 185 222,NW,NW,Hopegill Head,53
"2,476",755,NY 436 077,FE,SE,Ill Bell,62
"1,983",604,NY 166 048,S,SW,Illgill Head,129
"2,397",731,NY 466 078,FE,SE,Kentmere Pike,72
"2,560",780,NY 448 126,FE,NE,Kidsty Pike,46
"2,630",802,NY 195 105,W,NW,Kirk Fell,33
"2,329",710,NY 296 330,N,NW,Knott,82
"1,790",546,NY 197 188,NW,NW,Knott Rigg,150
"2,423",739,NY 092 120,FE,NE,"Knott, The",65
"1,775",541,NY 278 247,W,NW,Lank Rigg,152
"1,203",367,NY 180 286,N,NW,Latrigg,206
"1,224",373,NY 210 082,NW,NW,Ling Fell,205
"2,649",807,NY 303 046,S,SW,Lingmell,29
"1,530",466,NY 387 100,S,SW,Lingmoor Fell,185
"2,091",637,NY 423 240,E,NE,Little Hart Crag,119
"1,657",505,NY 457 181,E,NE,Little Mell Fell,172
"2,201",671,NY 277 071,FE,NE,Loadpot Hill,102
"2,270",692,NY 249 284,C,SW,Loft Crag,93
"2,405",733,NY 276 354,N,NW,Long Side,70
"1,580",482,NY 285 272,N,NW,Longlands Fell,178
"2,344",714,NY 204 265,N,NW,Lonscale Fell,79
"1,811",552,NY 347 051,NW,NW,Lord's Seat,146
"1,101",336,NY 137 226,C,SE,Loughrigg Fell,211
"1,360",415,NY 374 078,W,NW,Low Fell,200
"1,657",505,NY 237 182,E,SE,Low Pike,171
"1,887",575,NY 447 101,NW,NW,Maiden Moor,136
"2,496",761,NY 283 337,FE,NE,Mardale Ill Bell,59
"1,770",539,NY 148 195,N,NW,Meal Fell,153
"1,676",511,NY 397 096,W,NW,Mellbreak,166
"2,106",642,NY 151 072,E,SE,Middle Dodd,116
"1,908",582,NY 312 292,W,SW,Middle Fell,134
"2,068",630,NY 355 065,N,NE,Mungrisedale Common,121
"1,450",442,NY 344 142,E,SE,Nab Scar,192
"1,887",575,NY 211 214,FE,NE,"Nab,The",137
"2,920",890,NY 285 080,E,NE,Nethermost Pike,9
"1,863",568,NY 271 042,NW,NW,Outerside,141
"2,288",697,NY 274 074,C,SW,Pavey Ark,89
"2,304",702,NY 171 121,S,SW,Pike O'Blisco,87
"2,323",708,NY 405 169,C,SW,Pike O'Stickle,83
"2,927",892,NY 343 174,W,NW,Pillar,8
"2,142",653,NY 442 128,FE,NE,Place Fell,110
"2,889",881,NY 167 183,E,NE,Raise,12
"2,581",787,NY 303 187,FE,NE,Rampsgill Head,41
"1,160",354,NY 160 154,NW,NW,Rannerdale Knotts,210
"1,520",463,NY 165 106,C,NW,Raven Crag,186
"2,479",756,NY 396 087,W,NW,Red Pike (Buttermere),61
"2,707",825,NY 433 137,W,NW,Red Pike (Wasdale),26
"2,541",774,NY 202 169,E,SE,Red Screes,48
"2,278",694,NY 249 076,FE,NE,Rest Dodd,92
"2,417",737,NY 257 124,NW,NW,Robinson,67
"2,106",642,NY 198 202,S,SW,Rossett Pike,117
"1,807",551,NY 194 296,S,NW,Rosthwaite Fell (Bessyboot),147
"2,530",771,NY 436 040,NW,NW,Sail,52
"2,756",840,NY 207 065,E,NE,Saint Sunday Crag,23
"1,170",357,NY 215 072,NW,NW,Sale Fell,208
"1,691",515,NY 209 207,FE,SE,Sallows,164
"3,162",964,NY 160 114,S,SW,Scafell,2
"3,210",978,NY 343 114,S,SW,Scafell Pike,1
"2,205",672,NY 140 084,NW,NW,Scar Crags,101
"2,760",841,NY 229 102,W,NW,Scoat Fell,22
"2,415",736,NY 491 112,E,NE,Seat Sandal,68
"2,266",691,NY 286 089,W,SW,Seatallan,94
"1,970",600,NY 273 114,S,NW,Seathwaite Fell,130
"2,142",653,NY 369 182,FE,NE,Selside Pike,111
"2,414",736,NY 472 062,C,SW,Sergeant Man,69
"1,873",571,NY 324 066,C,NW,Sergeants' Crag,139
"2,232",680,NY 260 291,E,NE,Sheffield Pike,97
"1,926",587,NY 266 278,FE,SE,Shipman Knotts,132
"1,292",394,NY 210 050,C,SW,Silver How,202
"3,054",931,NY 428 032,N,NW,Skiddaw,4
"2,837",865,NY 354 287,N,NW,Skiddaw Little Man,15
"2,499",762,NY 369 134,S,SW,Slight Side,58
"1,568",478,NY 142 157,FE,SE,Sour Howes,183
"1,680",512,NY 320 112,N,NE,Souther Fell,165
"2,085",636,NY 440 181,W,NW,Starling Dodd,120
"1,811",552,NY 157 117,C,NE,Steel Fell,145
"1,414",431,NY 348 092,FE,NE,Steel Knotts,195
"2,687",819,NY 343 190,W,NW,Steeple,28
"1,652",504,NY 273 006,E,SE,Stone Arthur,173
"2,770",844,NY 303 093,E,NE,Stybarrow Dodd,21
"2,630",802,NY 488 078,S,SW,Swirl How,34
"1,801",549,NY 437 127,C,SW,Tarn Crag (Easedale),149
"2,176",663,NY 434 152,FE,SE,Tarn Crag (Longsleddale),104
"2,569",783,NY 431 100,FE,NE,Thornthwaite Crag,44
"2,351",717,NY 279 080,C,SW,Thunacar Knott,76
"1,191",363,NY 422 064,FE,SE,Troutbeck Tongue,207
"2,230",680,NY 244 287,N,NW,Ullock Pike,99
"2,370",722,NY 292 122,C,NW,Ullscarf,75
"1,234",376,NY 276 213,C,NW,Walla Crag,204
"2,533",772,NY 188 197,NW,NW,Wandope,51
"1,579",481,NY 395 045,FE,SE,Wansfell,181
"2,584",788,NY 335 196,E,NE,Watson's Dodd,40
"2,210",674,NY 455 167,FE,NE,Wether Hill,100
"2,502",763,NY 288 011,S,SW,Wetherlam,56
"1,755",535,NY 151 034,S,SW,Whin Rigg,156
"1,696",517,NY 197 249,NW,NW,Whinlatter,163
"2,832",863,NY 337 167,E,NE,White Side,16
"2,159",658,NY 180 189,NW,NW,Whiteless Pike,106
"2,317",706,NY 170 220,NW,NW,Whiteside,84
"2,058",627,NY 173 085,W,SW,Yewbarrow,122
"2,309",704,NY 438 068,FE,SE,Yoke,85
