City,City population,Country,Mayor,Metro population,World rank
Durg,"2,810,000",India,Dr Shiv Kumar Tamer,,85
Nagpur,"2,420,000",India,Archana Dehankar,,117
Lucknow,"2,342,000",India,Dinesh Sharma,"2,686,000",121
Indore,"1,912,000",India,Krishna Murari Moghe,"1,920,000",147
Patna,"1,800,000",India,GhanShyam Kumar,"2,500,000",160
Agra,"1,650,000",India,Anjula Singh Mahaur,"1,800,000",184
Nashik,"1,620,000",India,Nayana Gholap,,190
Pimpri Chinchwad,"1,515,000",India,Yogesh Behl,,213
Vadodara,"1,500,000",India,Balakrishna Shukla,"3,642,000",219
Bhopal,"1,458,000",India,Krishna Gaur,"1,600,000",231
Ludhiana,"1,400,000",India,n/k,"4,400,000",256
Thane,"1,375,000",India,Ashjok Vaity,,268
Varanasi,"1,375,000",India,Kaushalendra Singh,"3,150,000",269
Rajkot,"1,336,000",India,Sandhya Vyas,,283
Ranchi,"1,290,000",India,Rama Khalkho,,298
Meerut,"1,277,000",India,n/k,,306
Allahabad,"1,215,000",India,Jitendr Nath Singh,"1,250,000",320
Amritsar,"1,195,000",India,Shawet Malik,"1,300,000",329
Aurangabad,"1,168,000",India,Vijaya Rahatkar,,339
Solapur,"1,134,000",India,Aruna Vakase,,351
Madurai,"1,130,000",India,Thenmozhi Gopinathan,,355
Jabalpur,"1,117,000",India,Prabhat Sahu,"1,150,000",358
Mirat,"1,095,000",India,n/k,"1,095,000",370
Dhanbad,"1,065,000",India,n/k,"1,200,000",383
Faridabad,"1,055,000",India,n/k,"2,193,000",387
Haora,"1,008,000",India,Sri Gopal Mukherjee,,406
Haora,"1,008,000",India,Sri Gopal Mukherjee,"1,020,000",407
Jodhpur,"1,007,000",India,Om Kumari Gehlot,,408
Ghaziabad,"970,000",India,Damyanti Goel,,420
Visakhapatnam,"970,000",India,B N Vishnu,"1,330,000",421
Vijayawada,"957,000",India,Ratna Bindu,"1,150,000",428
Coimbatore,"931,000",India,R.Venkatachalam,"1,446,000",433
Srinagar,"915,000",India,Salman Sagar,"1,050,000",440
Chandigarh,"901,000",India,n/k,,449
Sholapur,"890,000",India,n/k,"890,000",455
Thiruvananthapuram,"810,000",India,C Jayan Babu,"955,000",488
Guwahati,"808,000",India,Dolly Borah,"820,000",492
Hubli,"801,000",India,n/k,"801,000",498
Mysore,"799,000",India,Purushotham,,501
Tiruchchirappalli,"760,000",India,n/k,"863,000",517
Jalandhar,"714,000",India,n/k,"764,000",532
Gwalior,"690,000",India,Sameeksha Gupta,"866,000",542
Aligarh,"680,000",India,n/k,"1,116,000",549
Amravati,"678,000",India,n/k,"1,031,000",552
Bhubaneswar,"659,000",India,n/k,"1,455,000",559
Jamshedpur,"630,000",India,n/k,"1,135,000",563
Bhilai,"564,000",India,n/k,"942,000",583
Kozhikode,"437,000",India,M. Bhaskaran,,n/r
JAKARTA,"10,100,000",Indonesia,Fauzi Bowo,"24,100,000",11
Surabaya,"3,100,000",Indonesia,Bambang D H,"3,700,000",77
Bandung,"2,510,000",Indonesia,Dada Rosada,"3,829,000",106
Medan,"1,990,000",Indonesia,Rahudman Harahap,"2,390,000",141
Palembang,"1,600,000",Indonesia,Eddy Santana Putra,,195
Tangerang,"1,545,000",Indonesia,Wahidin Halim,,203
Semarang,"1,393,000",Indonesia,Soemarmo HS,"1,400,000",259
Ujung Pandang,"1,170,000",Indonesia,n/k,"1,254,000",338
Makasar,"1,113,000",Indonesia,Ilham Arief Sirajuddin,,360
Bogor,"866,000",Indonesia,Diani Budiarto,,460
Padang,"820,000",Indonesia,Fauzi Bahar,"900,000",481
Bandar Lampung,"743,000",Indonesia,n/k,"1,123,000",522
Malang,"742,000",Indonesia,n/k,"921,000",523
Surakarta,"533,000",Indonesia,n/k,"857,000",600
Denpasar,"491,000",Indonesia,n/k,"934,000",n/r
Yogyakarta,"417,000",Indonesia,n/k,"840,000",n/r
Mataram,"330,000",Indonesia,n/k,"1,081,000",n/r
Cirebon,"319,000",Indonesia,n/k,"926,000",n/r
Tegal,"238,000",Indonesia,n/k,"784,000",n/r
TEHRAN,"8,430,000",Iran,Mohammad Bagher Ghalibaf,"13,450,000",16
Mashhad,"2,910,000",Iran,Mohammad Pejman,"3,000,000",81
Esfahan,"1,584,000",Iran,Morteza Saqaeian Nejad,"2,600,000",197
Tabriz,"1,420,000",Iran,Alireza Novin,,248
Karaj,"1,380,000",Iran,n/k,,264
Ahwaz,"1,338,000",Iran,Saeed Mombeini,"1,500,000",282
Shiraz,"1,228,000",Iran,Mehran E'temad,"1,300,000",318
Qom,"1,042,000",Iran,n/k,,393
Kermanshah,"823,000",Iran,n/k,"966,000",477
Baghdad,"6,050,000",Iraq,Sabir al-Issawi,"6,500,000",32
Basrah,"1,760,000",Iraq,Jabbar Jaber Al-Latif,"3,800,000",168
Irbil,"1,294,000",Iraq,n/k,"1,5000,000",295
Mosul,"1,139,000",Iraq,n/k,"1,139,000",348
Dublin,"506,000",Ireland,Emer Costello,"1,661,000",n/r
Jerusalem,"764,000",Israel,Nir Barkat Nazareth,"1,029,000",514
TEL AVIV,"383,000",Israel,Ron Huldai,"3,250,000",n/r
Haifa,"276,000",Israel,Yona Yahav,"975,000",n/r
ROME,"2,732,000",Italy,Gianni Alemanno,"3,555,000",90
Milan,"1,302,000",Italy,Letizia Moratti,"4,051,000",289
Naples,"963,000",Italy,Rosa Russo Jervolino,"3,000,000",423
Turin,"910,000",Italy,Sergio Chiamparino,"1,617,000",442
Palermo,"684,000",Italy,Diego Cammarata,"947,000",546
Florence,"375,000",Italy,Matteo Renzi,"825,000",n/r
Catania,"337,000",Italy,n/k,"831,000",n/r
Abidjan,"3,800,000",Ivory Coast,Pierre Dj�dji Amondji,"4,000,000",56
Bouakt,"531,000",Ivory Coast,n/k,"775,000",n/r
KINGSTON,"650,000",Jamaica,n/k,"925,000",562
TOKYO,"8,653,000",Japan,Shintaro Ishihara,"31,036,000",15
Yokohama,"3,655,000",Japan,Fumiko Hayashi,,59
Osaka,"2,647,000",Japan,Kunio Hiramatsu,"17,590,000",95
Nagoya,"2,260,000",Japan,Takashi Kawamura,"9,250,000",125
Sapporo,"1,906,000",Japan,Fumio Ueda,"2,130,000",148
Kobe,"1,534,000",Japan,Tatsuo Yada,"1,560,000",206
Kyoto,"1,466,000",Japan,Daisaku Kadokawa,"1,500,000",227
Fukuoka,"1,450,000",Japan,Hiroshi Yoshida,"2,230,000",234
Kawasaki,"1,390,000",Japan,Takao Abe,"1,450,000",261
Saitama,"1,183,000",Japan,Hayato Shimizu,,334
Hiroshima,"1,174,000",Japan,Tadatoshi Akiba,"1,700,000",336
Sendai,"1,032,000",Japan,Emiko Okuyama,"1,300,000",396
Kitakyushu,"985,000",Japan,Kenji Kitahashi,"1,050,000",418
Chiba,"962,000",Japan,Toshihito Kumagai,"970,000",424
Sakai,"836,000",Japan,Keisuke Kiharac,,470
Hamamatsu,"815,000",Japan,Yasutomo Suzuki,"1,093,000",482
Niigata,"812,000",Japan,Akira Shinoda,,486
Shizuoka,"718,000",Japan,Zenkichi Kojima,"1,211,000",530
Okayama,"700,000",Japan,Shigeo Takaya,"1,250,000",539
Okinawa,"129,000",Japan,Kita Kurose,,n/r
AMMAN,"1,919,000",Jordan,Omar Maani,"2,524,000",146
ALMATY,"1,420,000",Kazakhstan,Akhmetzhan Yesimov,"1,500,000",244
ASTANA,"803,000",Kazakhstan,Imangali Tasmagambetov,,496
Mombasa,"880,000",Kenia,Ahmed Abubakar Mohdhar,,458
NAIROBI,"3,130,000",Kenya,Geoffrey Majiwa,"3,300,000",74
KUWAIT CITY,"96,000",Kuwait,n/k,"2,380,000",n/r
BISHKEK,"765,000",Kyrgyzstan,Nariman Tuleyev,"800,000",513
Osh,"230,000",Kyrgyztan,Melis Myrzakmatov,,n/r
RIGA,"725,000",Latvia,Nils Usakovs,"878,000",528
BEIRUT,"1,250,000",Lebanon,Abdel Mounim Ariss,"2,600,000",309
MONROVIA,"543,000",Liberia,Ophelia Hoff Saytumah,"1,010,000",594
TRIPOLI,"1,683,000",Libya,Abdullatif Abdulrahman Aldaali,"2,270,000",179
Benghazi,"1,471,000",Libya,n/k,"1,500,000",226
VILNIUS,"545,000",Lithuania,Vilius Navickas,,593
