Artist,Genre,Name
"MELLENCAMP, JOHN COUGAR",CLASSIC ROCK,JACK AND DIANE
ELVIS,OLDIES,JAILHOUSE ROCK
"SPRINGFIELD, RICK",ROCK,JESSIE'S GIRL
"BERRY, CHUCK",OLDIES,JOHNNY B GOOD
LADY GAGA,POP,JUST DANCE
"LAMBERT, MIRANDA",COUNTRY,KEROSENE
PRINCE,POP,KISS
"STEWART, AMY",DISCO,KNOCK ON WOOD
KOOL AND THE GANG,DISCO,LADIES NIGHT
PINK/AGULIARIA...,POP,LADY MARMELADE
FLEETWOOD MAC,CLASSIC ROCK,LANDSLIDE
"SUMMER, DONNA",DISCO,LAST DANCE
"PETTY, TOM",CLASSIC ROCK,LAST DANCE WITH MARY JANE
"UNDERWOOD, CARRIE",COUNTRY,LAST NAME
CHIC,DISCO,LE FREAK
"WRECKERS, THE",COUNTRY,LEAVE THE PIECES
"GAYE, MARVIN",OLDIES,LET'S GET IT ON
PRINCE,POP,LET'S GO CRAZY
"EARTH, WIND, AND FIRE",DISCO,LET'S GROOVE TONIGHT
"GREEN, AL",OLDIES,LET'S STAY TOGETHER
"COCHRAN, TOM",ROCK,LIFE IS A HIGHWAY
JOURNEY,CLASSIC ROCK,LIGHTS
MADONNA,POP,LIKE A VIRGIN
LITTLE BIG TOWN,COUNTRY,LITTLE WHITE CHURCH
BON JOVI,ROCK,LIVING ON A PRAYER
DOOBIE BROTHERS,ROCK,LONG TRAIN RUNNIN'
"B-52'S, THE",POP,LOVE SHACK
"SWIFT, TAYLOR",COUNTRY,LOVE STORY
JOURNEY,CLASSIC ROCK,"LOVIN', TOUCHIN', SQUEEZIN'"
THE PRESIDENTS OF THE UNITED STATES,ROCK,LUMP
EAGLES,CLASSIC ROCK,LYIN' EYES
"TWAIN, SHANIA",COUNTRY,MAN! I FEEL LIKE A WOMAN
"BUFFET, JIMMY",CLASSIC ROCK,MARGARITAVILLE
TOM PETTY,ROCK,MARY JANES LAST DANCE
"JOPLIN, JANIS",CLASSIC ROCK,ME AND BOBBY MCGEE
DUFFY,POP,MERCY
"KILLERS, THE",ROCK,MR. BRIGHTSIDE
MADONNA,POP,MUSIC
WILSON PICKETT,OLDIES,MUSTANG SALLY
"TEMPTATIONS, THE",OLDIES,MY GIRL
LIT,ROCK,MY OWN WORST ENEMY
"KNACK, THE",CLASSIC ROCK,MY SHARONA
"SINATRA, FRANK",STANDARDS,MY WAY
RASCAL FLATTS,COUNTRY,MY WISH
"FRANKLIN, ARETHA",OLDIES,NATURAL WOMAN
LADY ANTEBELLUM,COUNTRY,NEED YOU NOW
INXS,POP,NEW SENSATION
"SINATRA, FRANK",STANDARDS,"NEW YORK, NEW YORK"
POISON,CLASSIC ROCK,NOTHING BUT A GOOD TIME
"SEGAR, BOB",CLASSIC ROCK,OLD TIME ROCK AND ROLL
"BENSON, GEORGE",STANDARDS,ON BROADWAY
"NELSON, WILLIE",COUNTRY,ON THE ROAD AGAIN
BLONDIE,ROCK,ONE WAY OR ANOTHER
JOURNEY,ROCK,OPEN ARMS
"SWIFT, TAYLOR",COUNTRY,OUR SONG
FINGER ELEVEN,ROCK,PARALYZER
MILEY CYRUS,POP,PARTY IN THE USA
"JOPLIN, JANIS",CLASSIC ROCK,PIECE OF MY HEART
"MELLENCAMP, JOHN COUGAR",CLASSIC ROCK,PINK HOUSES
WILD CHERRY,DISCO,PLAY THAT FUNKY MUSIC
RHIANNA,POP,PLEASE DON'T STOP THE MUSIC
STP,ROCK,PLUSH
LADY GAGA,POP,POKER FACE
DEF LEPPARD,ROCK,POUR SOME SUGAR ON ME
PRINCE,POP,PURPLE RAIN
PINK,POP,RAISE YOUR GLASS
BILLIE IDOL,ROCK,REBEL YELL
SEETHER,ROCK,REMEDY
"FRANKLIN, ARETHA",OLDIES,RESPECT
LED ZEPPLIN,CLASSIC ROCK,ROCK AND ROLL
KISS,CLASSIC ROCK,ROCK AND ROLL ALL NITE
NICKLEBACK,ROCK,ROCKSTAR
RED HOT CHILI PEPPERS,ROCK,ROLLERCOASTER
ADELE,POP,ROLLING IN THE DEEP
TOTO,ROCK,ROSANNA
METALLICA,ROCK,SAD BUT TRUE
"ROLLING STONES, THE",CLASSIC ROCK,SATISFACTION
BIG AND RICH,COUNTRY,SAVE A HORSE RIDE A COWBOY
JOURNEY,CLASSIC ROCK,SEPARATE WAYS
EARTH WIND AND FIRE,POP,SEPTEMBER
JUSTIN TIMBERLAKE,POP,SEXY BACK
"JACKSON, MICHAEL",POP,SHAKE YOUR BODY DOWN TO THE GROUND
KC AND THE SUNSHINE BAND,DISCO,"SHAKE, SHAKE, SHAKE"
"TEMPTATIONS, THE",OLDIES,SHAKEY GROUND
JASON ALDEAN,COUNTRY,SHE'S COUNTRY
THE KNACK,ROCK,SHOULD I STAY OR SHOULD I GO
ISLEY BROTHERS,OLDIES,SHOUT
RHIANNA,POP,SHUT UP AND DRIVE
STANDARD,STANDARDS,SINCE I FELL FOR YOU
"CLARKSON, KELLY",POP,SINCE YOU BEEN GONE
"WONDER, STEVIE",POP,SINGED SEAL DELIVERED
JEFFERSON AIRPLANE,CLASSIC ROCK,SOMEBODY TO LOVE
SUGARLAND,COUNTRY,SOMETHING MORE
SAM AND DAVE,OLDIES,SOUL MAN
"ROLLING STONES, THE",CLASSIC ROCK,START ME UP
"TAYLOR, JAMES",CLASSIC ROCK,STEAMROLLER BLUES
JOURNEY,CLASSIC ROCK,STONE IN LOVE
"CARTER, DEANA",COUNTRY,STRAWBERRY WINE
GREASE,SOUNDTRACK,SUMMER NIGHTS
"ADAMS, BRIAN",ROCK,SUMMER OF 69
"HOLIDAY, BILLIE",STANDARDS,SUMMERTIME
"WONDER, STEVIE",POP,SUPERSTITIOUS
ELVIS,OLD,SUSPICIOUS MINDS
"DIAMOND, NEIL",CLASSIC ROCK,SWEET CAROLINE
GUNS AND ROSES,ROCK,SWEET CHILD OF MINE
AEROSMITH,ROCK,SWEET EMOTION
LYNARD SKYNARD,CLASSIC ROCK,SWEET HOME ALABAMA
EAGLES,CLASSIC ROCK,TAKE IT EASY
BACHMAN TURNER OVERDRIVE,ROCK,TAKING CARE OF BUSINESS
POISION,CLASSIC ROCK,TALK DIRTY TO ME
KC AND THE SUNSHINE BAND,DISCO,THAT'S THE WAY I LIKE IT
EARTH WIND AND FIRE,POP,THAT'S THE WAY OF THE WORLD
KELLIE PICKLER,COUNTRY,THE BEST DAYS OF YOUR LIFE
THE EMOTIONS,DISCO,THE BEST OF MY LOVE
"STRAIGHT, GEORGE",COUNTRY,THE CHAIR
"STRAIGHT, GEORGE",COUNTRY,THE FIREMAN
STEVE MILLER BAND,CLASSIC ROCK,THE JOKER
SCANDAL,ROCK,THE WARRIOR
"FRANKLIN, ARETHA",OLDIES,THINK
"TRITT, TRAVIS",COUNTRY,TROUBLE
ZZ TOP,CLASSIC ROCK,TUSH
"BEATLES, THE",OLDIES,TWIST AND SHOUT
PINK,POP,U & UR HAND
MC HAMMER,RAP,U CAN'T TOUCH THIS
RHIANNA,POP,UMBRELLA
"RIGHTEOUS BROTHERS, THE",OLDIES,UNCHAINED MELODY
KINGS OF LEON,ROCK,USE SOMEBODY
"CLARKSON, KELLY",POP,WALK AWAY
AEROSMITH,ROCK,WALK THIS WAY
"CLINE, PATSY",COUNTRY,WALKING AFTER MIDNIGHT
"JACKSON, MICHAEL",POP,WANNA BE STARTIN' SOMETHIN'
BON JOVI,ROCK,WANTED DEAD OR ALIVE
SISTER SLEDGE,DISCO,WE ARE FAMILY
QUEEN,CLASSIC ROCK,WE ARE THE CHAMPIONS
QUEEN,CLASSIC ROCK,WE WILL ROCK YOU
INXS,POP,WHAT YOU NEED
4 NON BLONDES,ROCK,WHAT'S UP
"RONSTANDT, LINDA",CLASSIC ROCK,WHEN WILL I BE LOVED
MIRANDA LAMBERT,COUNTRY,WHITE LIAR
"URBAN, KEITH",COUNTRY,WHO WOULDN'T WANNA BE ME
LED ZEPPLIN,CLASSIC ROCK,WHOLE LOTTA LOVE
"LEWIS, JERRY LEE",OLDIES,WHOLE LOTTA SHAKIN'
CAMEO,POP,WORD UP
LOVERBOY,CLASSIC ROCK,WORKIN' FOR THE WEEKEND
"HAGGARD, MERLE",COUNTRY,WORKING MAN BLUES
"VILLAGE PEOPLE, THE",DISCO,YMCA
TAYLOR SWIFT,COUNTRY,YOU BELONG WITH ME
BON JOVI,ROCK,YOU GIVE LOVE A BAD NAME
"COE, DAVID ALLEN",COUNTRY,YOU NEVER EVEN CALLED ME BY MY NAME
VAN HALEN,CLASSIC ROCK,YOU REALLY GOT ME
"KNACK, THE",CLASSIC ROCK,YOU REALLY GOT ME
AC/DC,ROCK,YOU SHOOK ME ALL NIGHT LONG
"RONSTANDT, LINDA",CLASSIC ROCK,YOU'RE NO GOOD
GREASE,SOUNDTRACK,YOU'RE THE ONE THAT I WANT
"RIGHTEOUS BROTHERS, THE",OLDIES,YOU'VE LOST THAT LOVIN' FEELIN
"OUTFIELD, THE",ROCK,YOUR LOVE
THE CRANBERRIES,ROCK,ZOMBIE
