,317 - 326 A.D.,Caesar,Crispus
,335 - 337 A.D.,Caesar,Delmatius
,335 - 337 A.D.,Rex,Hanniballinus
,337 - 340 A.D.,Emperor,Constantine II
,337 - 350 A.D.,Emperor,Constans
,337 - 361 A.D.,Emperor,Constantius II
,351 - 354 A.D.,Caesar,Constantius Gallus
,350 - 353 A.D.,Emperor,Magnentius
,351 - 353 A.D.,Caesar,Decentius
,350 A.D.,Loyal Usurper,Vetranio
,361 - 363 A.D.,Emperor,Julian II (The Apostate)
,363 - 364 A.D.,Emperor,Jovian
,364 - 375 A.D.,Emperor,Valentinian I
,364 - 378 A.D.,Emperor,Valens
,365 - 366 A.D.,Usurper,Procopius
,367 - 383 A.D.,Emperor,Gratian
,375 - 392 A.D.,Emperor,Valentinian
,394 A.D.,Emperor,Eugenius
,383 - 388 A.D.,Emperor,Magnus Maximus
,379 - 395 A.D.,Emperor,Theodosius I (The Great)
,395 - 423 A.D.,Emperor,Honorius
,395 - 408 A.D.,Emperor,Arcadius
,407 - 411 A.D.,Emperor,Constantine III
,408 - 411 A.D.,Emperor,Constans II
,411 A.D.,Emperor,Constantius III
,409 - 410 & 414 - 415A.D.,Puppet Emperor,Priscus Attalus
,423 - 425 A.D.,Usurper,Johannes
,402 - 450 A.D.,Emperor,Theodosius II
,425 - 455 A.D.,Emperor,Valentinian III
,450 - 457 A.D.,Emperor,Marcian
,455 A.D,Emperor,Petronius Maximus
,456 - 457 A.D.,Emperor,Avitus
,457 - 474 A.D.,Emperor,Leo I
,457 - 461 A.D.,Emperor,Majorian
,461 - 480 A.D.,,Minor 5th Century Western Emperors
,475 - 476 A.D.,Emperor,Romulus Augustus
,474 - 491 A.D.,Emperor,Zeno
,491 - 518 A.D.,Emperor,Anastasius
,518 - 527 A.D.,Emperor,Justin I
,527 - 565 A.D.,Emperor,Justinian
