City,City population,Country,Mayor,Metro population,World rank
Sao Bernardo do Campo,"783,000",Brazil,Luiz Marinho,,507
Joao Pessoa,"702,000",Brazil,Ricardo Coutinho,"984,000",538
Sao Jose dos Campos,"611,000",Brazil,Eduardo Cury,"794,000",567
Ribeirao Preto,"547,000",Brazil,D�rcy Vera,"789,000",591
Santos,"418,000",Brazil,Jo�o Paulo Tavares Papa,"1,477,000",n/r
Vitoria,"313,000",Brazil,Jo�o Carlos Coser,"1,628,000",n/r
Colombo,"247,000",Brazil,Jos� Antonio Camargo,"2,160,000",n/r
SOFIA,"1,403,000",Bulgaria,Yordanka Fandukova,"1,455,000",252
OUAGADOUGOU,"1,475,000",Burkina Faso,Simon Compaor�,"1,727,000",225
PHNOM PENH,"1,242,000",Cambodia,Keb Chutema,"2,001,000",314
YAOUND�,"1,430,000",Cameroon,n/k,"1,550,000",242
Douala,"1,382,000",Cameroon,n/k,"2,000,000",263
Toronto,"2,571,000",Canada,Rob Ford,"5,100,000",101
Montreal,"1,621,000",Canada,G�rald Tremblay,"3,636,000",189
Calgary,"988,000",Canada,Naheed Nenshi,"1,080,000",416
OTTAWA,"815,000",Canada,Larry O'Brien,"1,131,000",483
Edmonton,"730,000",Canada,Stephen Mandel,"1,035,000",526
Vancouver,"580,000",Canada,Gregor Robertson,"2,120,000",580
Qu�bec,"495,000",Canada,R�gis Labeaume,"717,000",n/r
BANGUI,"652,000",Central African Republic,n/k,"789,000",560
SANTIAGO,"5,278,000",Chile,Pablo Zalaquett Said,"6,677,000",35
Concepci�n,"404,000",Chile,Jacqueline van Rysselberghe,"978,000",n/r
Valparaiso,"301,000",Chile,Aldo Cornej,"904,000",n/r
Shanghai,"14,900,000",China,Han Zheng,"19,200,000",2
BEIJING,"12,460,000",China,Guo Jinlong,"17,550,000",4
Tianjin,"7,500,000",China,Huang Xingguo,"11,750,000",24
Hong Kong,"7,055,000",China,Donald Tsang,,27
Guangzhou,"6,458,000",China,Wan Qingliang,"10,182,000",28
Dongguan,"6,446,000",China,Li Yuquan,"7,650,000",29
Shenyang,"5,090,000",China,Li Yingjie,"7,760,000",37
Chongqing,"5,087,000",China,Huang Qifan,"9,700,000",38
Harbin,"4,755,000",China,Zhang Xiaolian,"9,874,000",42
Wuhan,"4,500,000",China,Ruan Chengfa,"6,200,000",46
Chengdu,"4,334,000",China,Ge Honglin,"11,000,000",49
Shenzhen,"4,320,000",China,Xy Qin,"8,616,000",50
Nanjing,"4,150,000",China,Ji Jianye,"7,600,000",51
Changchun,"3,581,000",China,Cui Jie,"7,460,000",65
Guiyang,"3,450,000",China,Yuan Zhou,,67
Hangzhou,"3,408,000",China,Cai Qi,"6,776,000",69
Kunming,"3,100,000",China,Zhang Zulin,"6,800,000",76
Zibo,"2,850,000",China,Liu Huiyan,"4,200,000",83
Huludao,"2,787,000",China,Sun Zhaolin,,86
Qingdao,"2,755,000",China,Xia Geng,"7,580,000",88
Changsha,"2,744,000",China,Zhang Jiangfei,"6,140,000",89
Fuzhou (Fujian),"2,710,000",China,Yuan Rongxiang,"6,630,000",91
Xian,"2,670,000",China,Chen Baogen,"4,480,000",93
Shijiazhuang,"2,630,000",China,Ai Wenli,"9,600,000",97
Zhengzhou,"2,600,000",China,Zhao Jiancai,"4,510,000",99
Taiyuan,"2,550,000",China,Zhang Bingsheng,"3,400,000",103
Baoshan,"2,500,000",China,Xiong Qinghua,,109
Zhongshan,"2,495,000",China,n/k,,111
Xiamen,"2,490,000",China,Liu Cigui,,112
Chaoyang,"2,471,000",China,Zhang Tiemin,,113
Nanning,"2,450,000",China,Huang Fangfang,"6,480,000",115
Suzhou,"2,383,000",China,Yan Li,"6,298,000",119
Linyi,"2,300,000",China,Lian Chengmin,"10,080,000",123
Dalian,"2,270,000",China,Li Wancai,"3,478,000",124
Ningbo,"2,201,000",China,Mao Guanglie,"5,600,000",130
Lanzhou,"2,088,000",China,Zhang Jinliang,"3,300,000",135
Changzhou,"2,086,000",China,Wang Weicheng,"3,570,000",136
Kowloon,"2,020,000",China,Wong Kwok-keung,"2,200,000",139
Tangshan,"1,980,000",China,Zhang Guodong,"7,100,000",142
Jilin,"1,953,000",China,Zhang Xiaopei,"4,523,000",143
Nanchong,"1,950,000",China,Liu Hongjian,"7,300,000",144
Jinan,"1,900,000",China,Zhang Jianguo,"2,444,000",149
Macheng,"1,880,000",China,n/k,,152
Nanchang,"1,844,000",China,Hu Xian,"3.790,000",154
Xuzhou,"1,830,000",China,Cao Xinping,"9,410,000",156
Huzhou,"1,800,000",China,Ma Yi,"2,700,000",159
Suzhou Anhui,"1,800,000",China,Tang Chengpei,"5,600,000",161
Urumqi,"1,800,000",China,Jerla Isamudin,"2,680,000",162
Yantai,"1,800,000",China,Zhang Jiangting,"6,500,000",163
Tianmen,"1,790,000",China,n/k,,165
Shantou,"1,770,000",China,Cai Zong Ze,"4,972,000",167
Hefei,"1,750,000",China,Wu Cunrong,"4,867,000",169
Tengzhou,"1,750,000",China,Du Yongguang,,170
Wuxi,"1,750,000",China,Mao Xiaoping,"2,230,000",171
Fuyang,"1,720,000",China,Sun Yunfei,,174
Suizhou,"1,680,000",China,Li Hongyun,,181
Gaozhou,"1,650,000",China,n/k,,185
Taian,"1,650,000",China,Li Hongfeng,"5,500,000",186
Tianshui,"1,630,000",China,Li Wenqing,"3,450,000",188
Shangqiu,"1,610,000",China,Tao Minglun,"8,220,000",191
Neijiang,"1,560,000",China,n/k,,201
Hechuan,"1,530,000",China,n/k,,207
Taizhou,"1,528,000",China,Wu Weirong,"5,741,000",210
Guigang,"1,500,000",China,n/k,"4,400,000",215
Luoyang,"1,500,000",China,Guo Hongchang,"1,499,000",217
Quanzhou,"1,490,000",China,Zhu Ming,"7,790,000",220
Nanan,"1,480,000",China,Chen Law,,224
Xintai,"1,480,000",China,Liu Daqun,,223
Xinyang,"1,460,000",China,Guo Ruimin,,230
Rugao,"1,453,000",China,Ding Dawei,,232
Anyang,"1,450,000",China,Zhang Xiaodong,"3,000,000",233
Weifang,"1,450,000",China,Xu Liquan,"8,500,000",235
Zhanjiang,"1,450,000",China,Ruan Risheng,"6,900,000",236
Fushun,"1,445,000",China,Wang Yang,"2,300,000",238
Qiqihaer,"1,439,000",China,Liu Gang,"6,011,000",240
Jianyang,"1,430,000",China,n/k,,241
Guiping,"1,420,000",China,n/k,,245
Huazhou,"1,420,000",China,n/k,,246
Changde,"1,400,000",China,Chen Wenhao,"6,000,000",254
Tongzhou,"1,400,000",China,Ding Dawei,,257
Handan,"1,390,000",China,Guo Dajian,"8,500,000",260
Suining,"1,385,000",China,n/k,"3,500,000",262
Liuyang,"1,380,000",China,Liang Zhong,,265
Luzhou,"1,380,000",China,Liu Guoqiang,"4,800,000",266
Taixing,"1,355,000",China,Gao Yazi,,274
Bozhou,"1,352,000",China,Liu Jian,,275
Jinjiang,"1,350,000",China,Kenneth Li,,277
Lufeng,"1,350,000",China,n/k,,278
Yongcheng,"1,347,000",China,n/k,,279
Guilin,"1,340,000",China,Li Zhigang,,280
Pingdu,"1,340,000",China,n/k,,281
Baotou,"1,318,000",China,Hu Ercha,"1,750,000",287
Lianjiang,"1,300,000",China,Xing Taian,,290
Mianyang,"1,300,000",China,Liu Dong,"5,200,000",292
Yiyang,"1,300,000",China,n/k,"4,500,000",293
Anshan,"1,290,000",China,n/k,"2,404,000",297
Rizhao,"1,290,000",China,Zhao Xiaowei,,299
Heze,"1,280,000",China,Du Changwen,,303
Datong,"1,253,000",China,n/k,"1,377,000",308
Fengcheng,"1,250,000",China,n/k,,310
Ruian,"1,250,000",China,n/k,,311
Laiwu,"1,249,000",China,Ma Pingchang,,312
Pingdingshan,"1,230,000",China,Deng Yongjian,"5,200,000",316
Yuzhou,"1,230,000",China,n/k,,317
Cixi,"1,220,000",China,n/k,,319
Huainan,"1,201,000",China,Cao Yong,,321
Anqiu,"1,200,000",China,n/k,,322
Fuqing,"1,200,000",China,n/k,,323
Qianjiang,"1,190,000",China,n/k,,330
Bazhong,"1,186,000",China,n/k,,331
Leqing,"1,183,000",China,n/k,,333
Dongtai,"1,170,000",China,n/k,,337
Guangyuan,"1,160,000",China,n/k,"3,037,000",341
Qidong,"1,160,000",China,n/k,,342
Bijie,"1,130,000",China,n/k,"7,188,000",353
Haicheng,"1,130,000",China,n/k,,354
Leshan,"1,120,000",China,n/k,,357
Jimo,"1,112,000",China,n/k,,361
Jining,"1,110,000",China,Zhang Zhen Chuan,,362
Wafangdian,"1,100,000",China,n/k,,368
Shouguang,"1,090,000",China,n/k,,373
Taishan,"1,070,000",China,n/k,,381
Ezhou,"1,064,000",China,n/k,,385
Jiangdu,"1,053,000",China,n/k,,388
Beiliu,"1,050,000",China,n/k,,390
Gongzhuling,"1,050,000",China,n/k,,391
Changshu,"1,048,000",China,Wang Xiang,,392
Fuzhou (Jiangxi),"1,020,000",China,X�e Y�s��,"3,700,000",399
Yichun,"1,020,000",China,Gong Jianhua,"958,000",400
Mudanjiang,"1,014,000",China,n/k,"2,707,000",402
Baoding,"997,000",China,n/k,,413
Hezhou,"990,000",China,n/k,"2,090,000",415
Wujiang,"970,000",China,n/k,"1,500,000",422
Feicheng,"960,000",China,n/k,,426
Haimen,"950,000",China,n/k,,429
Weinan,"925,000",China,n/k,,435
Songzi,"905,000",China,n/k,,445
Laizhou,"902,000",China,n/k,,448
Danyang,"890,000",China,n/k,,454
Hengyang,"880,000",China,n/k,"7,000,000",456
Honghu,"880,000",China,n/k,,457
Daye,"874,000",China,n/k,,459
Benxi,"830,000",China,Gang Rui,"1,567,000",473
Haikou,"830,000",China,n/k,,474
Hohhot,"820,000",China,n/k,"1,041,000",480
Liuzhou,"810,000",China,n/k,"990,000",487
Bengbu,"809,000",China,Chen Qitao,"3,470,000",490
Daqing,"800,000",China,n/k,"2,770,000",499
Nanyang,"800,000",China,Huang Xingwei,"10,700,000",500
Jixi,"760,000",China,"Zhu, Deyi","1,960,000",516
Ankang,"743,000",China,n/k,,521
Xining,"713,000",China,n/k,"894,000",533
Fuxin,"690,000",China,n/k,"969,000",541
Jinzhou,"690,000",China,n/k,"902,000",543
Zhangjiakou,"680,000",China,n/k,"882,000",551
Kaifeng,"584,000",China,n/k,"855,000",574
Hengyang,"561,000",China,n/k,"799,000",584
Panzhihua,"478,000",China,n/k,"771,000",n/r
Liuan,"320,000",China,Tang Linxiang,"1,600,000",n/r
Dongying,"294,000",China,n/k,"804,000",n/r
BOGOTA,"7,320,000",Colombia,Samuel Moreno Rojas,"8,361,000",25
Cali,"2,525,000",Colombia,Jorge Ivan Ospina,"2,801,000",104
Medellin,"2,223,000",Colombia,Alonso Salazar Jaramillo,"3,312,000",128
Barranquilla,"1,298,000",Colombia,Alejandro Char Chaljub,"1,871,000",294
Cartagena,"893,000",Colombia,Judith Pinedo,"1,240,000",452
Bucaramanga,"542,000",Colombia,n/k,"956,000",595
BRAZZAVILLE,"1,133,000",Congo Br,n/k,"1,134,000",352
Pointe Noire,"527,000",Congo Br,n/k,"789,000",n/r
KINSHASA,"8,200,000",Congo D.R.,Andr� Kimbuta Yango,"10,100,000",18
Lubumbashi,"1,140,000",Congo D.R.,Moise Katumbi,"1,250,000",347
Mbuji-Mayi,"905,000",Congo D.R.,n/k,"1,054,000",444
Kolwezi,"803,000",Congo D.R.,n/k,"803,000",497
Kisangani,"510,000",Congo D.R.,n/k,"818,000",n/r
SAN JOSE,"357,000",Costa Rica,Johnny Araya,"1,370,000",n/r
ZAGREB,"804,000",Croatia,Milan Bandic,"1,288,000",495
HAVANA,"2,430,000",Cuba,Juan Contino Asl�n,"3,700,000",116
PRAGUE,"1,242,000",Czech Republic,Zdenek Tuma,"1,900,000",315
COPENHAGEN,"1,096,000",Denmark,Frank Jensen,"1,096,000",369
SANTO DOMINGO,"2,989,000",Dominican Republic,Roberto Salcedo,"3,813,000",80
Santiago de los Caballeros,"1,329,000",Dominican Republic,Gilberto Serulle,"1,937.000",284
