Conscription,Country,GDP nominal (US$M),Government,Land area,Per capita GDP (US$),Population
Yes,Syria,"$24,260,",republic under an authoritarian military-dominated regime,"184,050","$1,356.90","19,043,380"
No,Swaziland,"$2,195",monarchy,"17,203","$1,937.22","1,131,000"
Yes,Switzerland,"$386,100",formally a confederation but similar in structure to a federal republic,"41,285","$51,107.52","7,508,700"
Yes (alternative service available,Taiwan (Republic of China),"$681,800",multiparty democracy,"32,260","$29,600","22,858,872"
Yes,Thailand,"$197,700",constitutional monarchy,"511,770","$3,038.35","64,232,760"
No,Tonga,$244,constitutional monarchy,718,"$2,086.88","116,921"
No,Trinidad and Tobago,"$14,900",parliamentary democracy,"5,128","$14,101.73","1,056,608"
Yes,Turkey,"$635,600",republican parliamentary democracy,"780,580","$9,000","71,158,647"
No (except Bermuda Regiment ),United Kingdom,"$2,346,000",constitutional monarchy,"241,590","$38,600.61","60,776,238"
No,United States,"$13,210,000",federal republic,"9,161,923","$42,137.52","296,410,400"
No,Vanuatu,$341,parliamentary republic,"12,200","$1,608.71","211,971"
