Amazon,Director(s),Rating,Released,Title,View Date
Buy It,Gary Hustwit,,2007,Helvetica,2008-01-10
Buy It,Yimou Zhang,,2002,Hero,2004-09-05
Buy It,Stephen Frears,,2000,High Fidelity,2007-02-16
Buy It,Garth Jennings,,2005,The Hitchhiker's Guide to the Galaxy,2005-04-29
Buy It,Edgar Wright,,2007,Hot Fuzz,2010-10-30
Buy It,John McTiernan,,1990,The Hunt for Red October,2008-11-01
Buy It,Kathryn Bigelow,,2008,The Hurt Locker,2010-03-15
Buy It,Francis Lawrence,,2007,I Am Legend,2008-03-22
Buy It,David O. Russell,,2004,I Heart Huckabees,2005-08-13
Buy It,John Hamburg,,2009,"I Love You, Man",2010-08-08
Buy It,Alex Proyas,,2004,"I, Robot",2007-04-29
Buy It,Mike Judge,,2006,Idiocracy,2007-10-31
Buy It,Paul Weitz,,2004,In Good Company,2008-03-22
Buy It,Davis Guggenheim,,2006,An Inconvenient Truth,2007-01-20
Buy It,Brad Bird,,2004,The Incredibles,2004-11-13
Buy It,Steven Spielberg,,2008,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-31
Buy It,Steven Soderbergh,,2009,The Informant!,2009-09-20
Buy It,Quentin Tarantino,,2009,Inglourious Basterds,2009-08-22
Buy It,Michael Mann,,1999,The Insider,2010-12-29
Buy It,Sean Penn,,2007,Into the Wild,2010-09-11
n/a,"Ricky Gervais, Matthew Robinson",,2009,The Invention of Lying,2009-10-23
Buy It,Jon Favreau,,2008,Iron Man,2008-11-27
Buy It,David Lickley,,2002,Jane Goodall's Wild Chimpanzees,2004-01-21
Buy It,Jason Reitman,,2007,Juno,2008-01-06
Buy It,Steven Spielberg,,1993,Jurassic Park,unknown
Buy It,Joe Johnston,,2001,Jurassic Park III,2001-07-19
n/a,Matthew Vaughn,,2010,Kick-Ass,2010-05-15
Buy It,Quentin Tarantino,,2003,"Kill Bill, Volume 1",unknown
Buy It,Quentin Tarantino,,2004,"Kill Bill, Volume 2",unknown
Buy It,Peter Jackson,,2005,King Kong,2006-01-01
Buy It,Steven Soderbergh,,1993,King of the Hill,2007-03-10
Buy It,Tom Hooper,,2010,The King's Speech,2011-05-05
Buy It,Shane Black,,2005,Kiss Kiss Bang Bang,2008-07-13
Buy It,Judd Apatow,,2007,Knocked Up,2007-06-01
Buy It,Stephen Chow,,2004,Kung Fu Hustle,2007-03-30
Buy It,Jim Henson,,1986,Labyrinth,2005-08-29
Buy It,Craig Gillespie,,2007,Lars and the Real Girl,2009-12-20
Buy It,"Jonathan Dayton, Valerie Faris",,2006,Little Miss Sunshine,2007-01-13
Buy It,Florian Henckel von Donnersmarck,,2006,The Lives of Others,2008-03-29
Buy It,Guy Ritchie,,1998,"Lock, Stock and Two Smoking Barrels",2007-07-20
Buy It,Andrew Niccol,,2005,Lord of War,2005-09-24
Buy It,Sofia Coppola,,2003,Lost in Translation,unknown
Buy It,Steven Spielberg,,1997,The Lost World: Jurassic Park,unknown
Buy It,Richard Curtis,,2003,Love Actually,unknown
Buy It,Brad Anderson,,2004,The Machinist,2009-01-19
Buy It,Marilyn Agrelo,,2005,Mad Hot Ballroom,2006-11-11
Buy It,John Whitesell,,2003,Malibu's Most Wanted,2006-01-22
Buy It,Tony Scott,,2004,Man on Fire,2007-11-24
Buy It,James Marsh,,2008,Man on Wire,2009-09-12
Buy It,Jonathan Demme,,2004,The Manchurian Candidate,2005-11-12
Buy It,Ridley Scott,,2003,Matchstick Men,2010-10-29
Buy It,"Andy Wachowski, Larry Wachowski",,1999,The Matrix,unknown
Buy It,"Andy Wachowski, Larry Wachowski",,2003,The Matrix Reloaded,2003-08-21
Buy It,"Andy Wachowski, Larry Wachowski",,2003,The Matrix Revolutions,2003-11-05
Buy It,Mark Waters (VIII),,2004,Mean Girls,2005-03-19
Buy It,Jay Roach,,2004,Meet the Fockers,2006-01-01
Buy It,Christopher Nolan,,2000,Memento,2007-12-01
Buy It,"Joe Berlinger, Bruce Sinofsky",,2004,Metallica: Some Kind of Monster,2006-07-11
Buy It,Tony Gilroy,,2007,Michael Clayton,2008-03-29
Buy It,Clint Eastwood,,2004,Million Dollar Baby,2010-07-05
Buy It,Steven Spielberg,,2002,Minority Report,unknown
Buy It,Gavin O'Connor,,2004,Miracle,unknown
Buy It,J.J. Abrams,,2006,Mission: Impossible III,2008-12-27
Buy It,Gil Kenan,,2006,Monster House,2007-08-11
Buy It,Robert Luketic,,2005,Monster-in-Law,2007-12-15
Buy It,"Terry Gilliam, Terry Jones",,1975,Monty Python and the Holy Grail,2008-11-26
Buy It,Walter Salles,,2004,The Motorcycle Diaries,2006-09-15
Buy It,Doug Liman,,2005,Mr. & Mrs. Smith,2005-06-11
Buy It,Errol Morris,,1999,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",2011-04-16
Buy It,Stephen Herek,,1995,Mr. Holland's Opus,unknown
Buy It,Brian Henson,,1996,Muppet Treasure Island,2009-05-02
Buy It,"Henry Alex Rubin, Dana Adam Shapiro",,2005,Murderball,2007-02-05
Buy It,Jared Hess,,2004,Napoleon Dynamite,2005-03-18
Buy It,John Landis,,1978,National Lampoons: Animal House,unknown
Buy It,Peter Sollett,,2008,Nick and Norah's Infinite Playlist,2009-09-12
Buy It,Henry Selick,,1993,The Nightmare Before Christmas,2007-11-03
Buy It,Shane Acker,,2009,9,2009-09-13
Buy It,"Ethan Coen, Joel Coen",,2007,No Country for Old Men,2008-01-12
Buy It,Alfred Hitchcock,,1959,North by Northwest,unknown
Buy It,Steven Soderbergh,,2001,Ocean's Eleven,2002-01-08
Buy It,Steven Soderbergh,,2007,Ocean's Thirteen,2008-02-22
Buy It,Steven Soderbergh,,2004,Ocean's Twelve,2008-01-26
Buy It,Mike Judge,,1999,Office Space,unknown
Buy It,Todd Phillips,,2003,Old School,2006-03-11
Buy It,Chan-wook Park,,2003,Oldboy,2008-07-05
Buy It,John Carney,,2007,Once,2011-02-19
Buy It,Milos Forman,,1975,One Flew Over the Cuckoo's Nest,2007-11-24
Buy It,Adam McKay,,2010,The Other Guys,2011-09-09
Buy It,Guillermo del Toro,,2006,Pan's Labyrinth,2008-02-04
Buy It,David Fincher,,2002,Panic Room,unknown
Buy It,Franklin J. Schaffner,,1970,Patton,2006-08-18
Buy It,Darren Aronofsky,,1998,Pi,2007-02-17
Buy It,David Gordon Green,,2008,Pineapple Express,2009-02-07
Buy It,Gore Verbinski,,2007,Pirates of the Caribbean: At World's End,2007-05-28
Buy It,Gore Verbinski,,2006,Pirates of the Caribbean: Dead Man's Chest,2006-08-05
Buy It,Gore Verbinski,,2003,Pirates of the Caribbean: The Curse of the Black Pearl,2003-08-30
n/a,Leslie Iwerks,,2007,The Pixar Story,2011-06-28
Buy It,John McTiernan,,1987,Predator,2011-03-19
Buy It,Christopher Nolan,,2006,The Prestige,2007-08-07
Buy It,Garry Marshall,,1990,Pretty Woman,2008-04-20
Buy It,Joe Wright,,2005,Pride & Prejudice,2005-12-11
Buy It,Shane Carruth,,2004,Primer,2006-07-02
Buy It,Susan Stroman,,2005,The Producers,2006-05-17
Buy It,Mel Brooks,,1968,The Producers,2005-09-03
n/a,Michael Mann,,2009,Public Enemies,2009-07-04
Buy It,Quentin Tarantino,,1994,Pulp Fiction,2005-07-11
Buy It,Paul Thomas Anderson,,2002,Punch-Drunk Love,unknown
Buy It,Gabriele Muccino,,2006,The Pursuit of Happyness,2008-05-24
Buy It,Marc Forster,,2008,Quantum of Solace,2008-12-14
Buy It,Stephen Frears,,2006,The Queen,2007-01-21
Buy It,Michael Rymer,,2002,Queen of the Damned,unknown
Buy It,John Ford,,1952,The Quiet Man,2009-09-26
Buy It,Jonathan Demme,,2008,Rachel Getting Married,2009-03-20
Buy It,Joel Coen,,1987,Raising Arizona,2010-04-26
Buy It,"Henriette Mantel, Steve Skrovan",,2006,Ralph Nader: An Unreasonable Man,2008-01-20
Buy It,"Brad Bird, Jan Pinkava",,2007,Ratatouille,2007-11-28
Buy It,Stephen Daldry,,2008,The Reader,2011-04-21
Buy It,Alfred Hitchcock,,1954,Rear Window,2005-10-30
Buy It,Brett Ratner,,2002,Red Dragon,2007-10-14
Buy It,John Frankenheimer,,2000,Reindeer Games,unknown
Buy It,Quentin Tarantino,,1992,Reservoir Dogs,2006-05-27
Buy It,"Tim Hetherington, Sebastian Junger",,2010,Restrepo,2011-02-14
Buy It,John Hillcoat,,2009,The Road,2011-08-06
Buy It,Rowdy Herrington,,1989,Road House,2006-12-29
Buy It,Sam Mendes,,2003,Road to Perdition,unknown
Buy It,Rob Reiner,,2005,Rumor Has It,2006-06-25
Buy It,Ryan Murphy,,2006,Running with Scissors,2008-01-17
Buy It,Billy Wilder,,1954,Sabrina,2006-05-01
Buy It,Brian Dannelly,,2004,Saved!,2005-07-08
Buy It,Steven Spielberg,,1998,Saving Private Ryan,unknown
Buy It,Richard Linklater,,2006,A Scanner Darkly,2006-07-13
Buy It,Steven Spielberg,,1993,Schindler's List,unknown
Buy It,Gary Ross,,2003,Seabiscuit,unknown
Buy It,Don Bluth,,1982,The Secret of NIMH,2009-03-22
Buy It,Clark Johnson,,2006,The Sentinel,2007-07-06
Buy It,David Fincher,,1995,Se7en,unknown
Buy It,Edgar Wright,,2004,Shaun of the Dead,2006-07-03
n/a,Guy Ritchie,,2009,Sherlock Holmes,2009-12-27
Buy It,Stanley Kubrick,,1980,The Shining,2006-07-28
Buy It,Alexander Payne,,2004,Sideways,2005-07-20
Buy It,Jonathan Demme,,1991,The Silence of the Lambs,2006-06-24
Buy It,Andrew Niccol,,2002,Simone,unknown
Buy It,"Robert Rodriguez, Frank Miller",,2000,Sin City,2005-04-01
Buy It,Tom Ford,,2009,A Single Man,2010-08-01
Buy It,M. Night Shyamalan,,1999,The Sixth Sense,unknown
Buy It,Nora Ephron,,1993,Sleepless in Seattle,2007-09-02
Buy It,"Danny Boyle, Loveleen Tandan",,2008,Slumdog Millionaire,2009-04-25
Buy It,David Fincher,,2010,The Social Network,2011-05-14
Buy It,Trey Parker,,1999,"South Park: Bigger, Longer, and Uncut",unknown
Buy It,Clint Eastwood,,2000,Space Cowboys,2008-01-05
Buy It,James L. Brooks,,2004,Spanglish,2005-06-24
Buy It,Barry Levinson,,1998,Sphere,2006-01-07
Buy It,Sam Raimi,,2002,Spider-Man,unknown
Buy It,Sam Raimi,,2004,Spider-Man 2,2004-08-01
Buy It,Sam Raimi,,2007,Spider-Man 3,2007-05-06
Buy It,George Lucas,,2005,Star Wars: Episode III - Revenge of the Sith,2005-05-27
n/a,Kevin Macdonald,,2009,State of Play,2009-05-10
Buy It,Frank Oz,,2004,The Stepford Wives,2004-06-11
Buy It,Rob Reiner,,1999,The Story of Us,unknown
Buy It,Marc Forster,,2006,Stranger Than Fiction,2007-08-28
Buy It,Jay Chandrasekhar,,2001,Super Troopers,2005-12-26
Buy It,Greg Mottola,,2007,Superbad,2007-08-25
Buy It,Bryan Singer,,2006,Superman Returns,2006-07-03
Buy It,Tim Burton,,2007,Sweeney Todd: The Demon Barber of Fleet Street,2007-12-18
Buy It,Andy Tennant,,2002,Sweet Home Alabama,unknown
Buy It,Stephen Gaghan,,2005,Syriana,2006-07-31
Buy It,Pierre Morel,,2008,Taken,2009-06-13
Buy It,Adam McKay,,2006,Talladega Nights: The Ballad of Ricky Bobby,2006-08-26
Buy It,Martin Scorsese,,1976,Taxi Driver,2010-04-30
Buy It,Trey Parker,,2004,Team America: World Police,2008-04-02
n/a,McG,,2009,Terminator Salvation,2009-05-23
Buy It,Jason Reitman,,2005,Thank You for Smoking,2006-11-24
Buy It,Wayne Kramer,,2003,The Cooler,2009-03-01
Buy It,Paul Thomas Anderson,,2007,There Will Be Blood,2008-05-03
Buy It,Rob Reiner,,1984,This Is Spinal Tap,2007-11-21
Buy It,David O. Russell,,1999,Three Kings,unknown
Buy It,Ben Affleck,,2010,The Town,2011-08-27
Buy It,John Landis,,1983,Trading Places,2008-03-05
Buy It,Antoine Fuqua,,2001,Training Day,2010-12-27
Buy It,Peter Kuran,,1995,Trinity and Beyond,2006-09-12
Buy It,Joseph Kosinski,,2010,TRON: Legacy,2011-01-07
Buy It,Ben Stiller,,2008,Tropic Thunder,2010-02-06
Buy It,Terry Gilliam,,1995,12 Monkeys,2008-04-19
Buy It,Catherine Hardwicke,,2008,Twilight,2009-04-18
Buy It,"Pete Docter, Bob Peterson",,2009,Up,2010-05-29
Buy It,Jason Reitman,,2009,Up in the Air,2010-12-27
Buy It,James McTeigue,,2005,V for Vendetta,2007-02-09
Buy It,Bryan Singer,,2008,Valkyrie,2011-04-09
Buy It,Cameron Crowe,,2001,Vanilla Sky,unknown
Buy It,Alfred Hitchcock,,1958,Vertigo,2006-12-29
Buy It,Barry Levinson,,1997,Wag the Dog,2005-10-06
Buy It,Don Hahn,,2009,Waking Sleeping Beauty,2010-12-18
Buy It,Jake Kasdan,,2007,Walk Hard: The Dewey Cox Story,2010-03-27
Buy It,James Mangold,,2005,Walk the Line,2006-09-04
Buy It,Andrew Stanton,,2008,WALL-E,2009-01-10
Buy It,"Steve Box, Nick Park",,2005,Wallace & Gromit in The Curse of the Were-Rabbit,2006-04-02
Buy It,Byron Haskin,,1953,The War of the Worlds,2007-10-20
Buy It,Steven Spielberg,,2005,War of the Worlds,2005-07-04
Buy It,Zack Snyder,,2009,Watchmen,2009-03-07
Buy It,David Dobkin,,2005,Wedding Crashers,2006-07-01
Buy It,Lasse Hallstr?m,,1993,What's Eating Gilbert Grape,2006-07-25
Buy It,Roger Donaldson,,2005,The World's Fastest Indian,2006-08-12
Buy It,Darren Aronofsky,,2008,The Wrestler,2010-03-23
