,% of Ballots,Inducted As,Voted By,Votes,Year
High Pockets Kelly,,Player,Veterans,,1973
Warren Spahn,83.2%,Player,BBWAA,316.0,1973
Mickey Welch,,Player,Veterans,,1973
Yogi Berra,85.6%,Player,BBWAA,339.0,1972
Josh Gibson,,Player,Negro League,,1972
Lefty Gomez,,Player,Veterans,,1972
Will Harridge,,Pioneer/Executive,Veterans,,1972
Sandy Koufax,86.9%,Player,BBWAA,344.0,1972
Buck Leonard,,Player,Negro League,,1972
Early Wynn,76.0%,Player,BBWAA,301.0,1972
Ross Youngs,,Player,Veterans,,1972
Dave Bancroft,,Player,Veterans,,1971
Jake Beckley,,Player,Veterans,,1971
Chick Hafey,,Player,Veterans,,1971
Harry Hooper,,Player,Veterans,,1971
Joe Kelley,,Player,Veterans,,1971
Rube Marquard,,Player,Veterans,,1971
Satchel Paige,,Player,Negro League,,1971
George Weiss,,Pioneer/Executive,Veterans,,1971
Lou Boudreau,77.3%,Player,BBWAA,232.0,1970
Earle Combs,,Player,Veterans,,1970
Ford Frick,,Pioneer/Executive,Veterans,,1970
Jesse Haines,,Player,Veterans,,1970
Roy Campanella,79.4%,Player,BBWAA,270.0,1969
Stan Coveleski,,Player,Veterans,,1969
Waite Hoyt,,Player,Veterans,,1969
Stan Musial,93.2%,Player,BBWAA,317.0,1969
Kiki Cuyler,,Player,Veterans,,1968
Goose Goslin,,Player,Veterans,,1968
Joe Medwick,84.8%,Player,BBWAA,240.0,1968
Branch Rickey,,Pioneer/Executive,Veterans,,1967
Red Ruffing,86.9%,Player,Run Off,266.0,1967
Lloyd Waner,,Player,Veterans,,1967
Casey Stengel,,Manager,Veterans,,1966
Ted Williams,93.4%,Player,BBWAA,282.0,1966
Pud Galvin,,Player,Veterans,,1965
Luke Appling,94.0%,Player,Run Off,189.0,1964
Red Faber,,Player,Veterans,,1964
Burleigh Grimes,,Player,Veterans,,1964
Miller Huggins,,Manager,Veterans,,1964
Tim Keefe,,Player,Veterans,,1964
Heinie Manush,,Player,Veterans,,1964
Monte Ward,,Player,Veterans,,1964
John Clarkson,,Player,Veterans,,1963
Elmer Flick,,Player,Veterans,,1963
Sam Rice,,Player,Veterans,,1963
Eppa Rixey,,Player,Veterans,,1963
Bob Feller,93.8%,Player,BBWAA,150.0,1962
Bill McKechnie,,Manager,Veterans,,1962
Jackie Robinson,77.5%,Player,BBWAA,124.0,1962
Edd Roush,,Player,Veterans,,1962
Max Carey,,Player,Veterans,,1961
Billy Hamilton,,Player,Veterans,,1961
Zack Wheat,,Player,Veterans,,1959
Sam Crawford,,Player,Veterans,,1957
Joe McCarthy,,Manager,Veterans,,1957
Joe Cronin,78.8%,Player,BBWAA,152.0,1956
Hank Greenberg,85.0%,Player,BBWAA,164.0,1956
Home Run Baker,,Player,Veterans,,1955
Joe DiMaggio,88.8%,Player,BBWAA,223.0,1955
Gabby Hartnett,77.7%,Player,BBWAA,195.0,1955
Ted Lyons,86.5%,Player,BBWAA,217.0,1955
Ray Schalk,,Player,Veterans,,1955
Dazzy Vance,81.7%,Player,BBWAA,205.0,1955
Bill Dickey,80.2%,Player,BBWAA,202.0,1954
Rabbit Maranville,82.9%,Player,BBWAA,209.0,1954
Bill Terry,77.4%,Player,BBWAA,195.0,1954
Ed Barrow,,Pioneer/Executive,Veterans,,1953
Chief Bender,,Player,Veterans,,1953
Tommy Connolly,,Umpire,Veterans,,1953
Dizzy Dean,79.2%,Player,BBWAA,209.0,1953
Bill Klem,,Umpire,Veterans,,1953
Al Simmons,75.4%,Player,BBWAA,199.0,1953
Bobby Wallace,,Player,Veterans,,1953
Harry Wright,,Pioneer/Executive,Veterans,,1953
Harry Heilmann,86.8%,Player,BBWAA,203.0,1952
Paul Waner,83.3%,Player,BBWAA,195.0,1952
Jimmie Foxx,79.2%,Player,BBWAA,179.0,1951
Mel Ott,87.2%,Player,BBWAA,197.0,1951
Mordecai Brown,,Player,Old Timers,,1949
Charlie Gehringer,85.0%,Player,Run Off,159.0,1949
Kid Nichols,,Player,Old Timers,,1949
Herb Pennock,77.7%,Player,BBWAA,94.0,1948
Pie Traynor,76.9%,Player,BBWAA,93.0,1948
Mickey Cochrane,79.5%,Player,BBWAA,128.0,1947
Frankie Frisch,84.5%,Player,BBWAA,136.0,1947
Lefty Grove,76.4%,Player,BBWAA,123.0,1947
Carl Hubbell,87.0%,Player,BBWAA,140.0,1947
Jesse Burkett,,Player,Old Timers,,1946
Frank Chance,,Player,Old Timers,,1946
Jack Chesbro,,Player,Old Timers,,1946
Johnny Evers,,Player,Old Timers,,1946
Clark Griffith,,Player,Old Timers,,1946
Tommy McCarthy,,Player,Old Timers,,1946
Joe McGinnity,,Player,Old Timers,,1946
Eddie Plank,,Player,Old Timers,,1946
Joe Tinker,,Player,Old Timers,,1946
Rube Waddell,,Player,Old Timers,,1946
Ed Walsh,,Player,Old Timers,,1946
Roger Bresnahan,,Player,Old Timers,,1945
Dan Brouthers,,Player,Old Timers,,1945
Fred Clarke,,Player,Old Timers,,1945
Jimmy Collins,,Player,Old Timers,,1945
Ed Delahanty,,Player,Old Timers,,1945
Hugh Duffy,,Player,Old Timers,,1945
Hughie Jennings,,Player,Old Timers,,1945
King Kelly,,Player,Old Timers,,1945
Jim O'Rourke,,Player,Old Timers,,1945
Wilbert Robinson,,Manager,Old Timers,,1945
Kenesaw Landis,,Pioneer/Executive,Old Timers,,1944
Rogers Hornsby,78.1%,Player,BBWAA,182.0,1942
Cap Anson,,Player,Old Timers,,1939
Eddie Collins,77.7%,Player,BBWAA,213.0,1939
Charlie Comiskey,,Pioneer/Executive,Old Timers,,1939
Candy Cummings,,Pioneer/Executive,Old Timers,,1939
Buck Ewing,,Player,Old Timers,,1939
Lou Gehrig,,Player,Special Election,,1939
Willie Keeler,75.5%,Player,BBWAA,207.0,1939
Old Hoss Radbourn,,Player,Old Timers,,1939
George Sisler,85.8%,Player,BBWAA,235.0,1939
Al Spalding,,Pioneer/Executive,Old Timers,,1939
Pete Alexander,80.9%,Player,BBWAA,212.0,1938
Alexander Cartwright,,Pioneer/Executive,Centennial,,1938
Henry Chadwick,,Pioneer/Executive,Centennial,,1938
Morgan Bulkeley,,Pioneer/Executive,Centennial,,1937
Ban Johnson,,Pioneer/Executive,Centennial,,1937
Nap Lajoie,83.6%,Player,BBWAA,168.0,1937
Connie Mack,,Manager,Centennial,,1937
John McGraw,,Manager,Veterans,,1937
Tris Speaker,82.1%,Player,BBWAA,165.0,1937
George Wright,,Pioneer/Executive,Centennial,,1937
Cy Young,76.1%,Player,BBWAA,153.0,1937
Ty Cobb,98.2%,Player,BBWAA,222.0,1936
Walter Johnson,83.6%,Player,BBWAA,189.0,1936
Christy Mathewson,90.7%,Player,BBWAA,205.0,1936
Babe Ruth,95.1%,Player,BBWAA,215.0,1936
Honus Wagner,95.1%,Player,BBWAA,215.0,1936
