#,% of World,Country,Country-Specific Search,Cumulative %,Population
125,0.047%,Armenia,Safe Search for Armenia,99.3%,"2,967,004"
126,0.044%,Jamaica,Safe Search for Jamaica,99.4%,"2,825,928"
127,0.042%,Kuwait,Safe Search for Kuwait,99.4%,"2,692,526"
128,0.035%,Latvia,Safe Search for Latvia,99.4%,"2,231,503"
129,0.034%,Lesotho,Safe Search for Lesotho,99.5%,"2,130,819"
130,0.033%,Namibia,Safe Search for Namibia,99.5%,"2,108,665"
131,0.033%,Macedonia,Safe Search for Macedonia,99.5%,"2,066,718"
132,0.032%,Slovenia,Safe Search for Slovenia,99.6%,"2,005,692"
133,0.031%,Botswana,Safe Search for Botswana,99.6%,"1,990,876"
134,0.024%,Guinea-Bissau,Safe Search for Guinea-Bissau,99.6%,"1,533,964"
135,0.024%,Gabon,Safe Search for Gabon,99.7%,"1,514,993"
136,0.021%,Swaziland,Safe Search for Swaziland,99.7%,"1,337,186"
137,0.020%,Estonia,Safe Search for Estonia,99.7%,"1,299,371"
138,0.020%,Mauritius,Safe Search for Mauritius,99.7%,"1,284,264"
139,0.019%,Trinidad and Tobago,Safe Search for Trinidad and Tobago,99.7%,"1,229,953"
140,0.018%,East Timor,Safe Search for East Timor,99.7%,"1,131,612"
141,0.017%,Cyprus,Safe Search for Cyprus,99.8%,"1,084,748"
142,0.015%,Fiji,Safe Search for Fiji,99.8%,"944,720"
143,0.013%,Qatar,Safe Search for Qatar,99.8%,"833,285"
144,0.012%,Guyana,Safe Search for Guyana,99.8%,"752,940"
145,0.012%,Comoros,Safe Search for Comoros,99.8%,"752,438"
146,0.011%,Bahrain,Safe Search for Bahrain,99.8%,"728,709"
147,0.011%,Djibouti,Safe Search for Djibouti,99.8%,"724,622"
148,0.011%,Bhutan,Safe Search for Bhutan,99.9%,"691,141"
149,0.010%,Equatorial Guinea,Safe Search for Equatorial Guinea,99.9%,"633,441"
150,0.0094%,Solomon Islands,Safe Search for Solomon Islands,99.9%,"595,613"
151,0.0088%,Macau,Safe Search for Macau,99.9%,"559,846"
152,0.0077%,Luxembourg,Safe Search for Luxembourg,99.9%,"491,775"
153,0.0076%,Suriname,Safe Search for Suriname,99.9%,"481,267"
154,0.0068%,Cape Verde,Safe Search for Cape Verde,99.90%,"429,474"
155,0.0064%,Western Sahara,Safe Search for Western Sahara,99.91%,"405,210"
156,0.0064%,Malta,Safe Search for Malta,99.91%,"405,165"
157,0.0062%,Maldives,Safe Search for Maldives,99.92%,"396,334"
158,0.0061%,Brunei,Safe Search for Brunei,99.93%,"388,190"
159,0.0048%,Belize,Safe Search for Belize,99.93%,"307,899"
160,0.0048%,The Bahamas,Safe Search for The Bahamas,99.94%,"307,552"
161,0.0048%,Iceland,Safe Search for Iceland,99.94%,"306,694"
162,0.0045%,French Polynesia,Safe Search for French Polynesia,99.95%,"287,032"
163,0.0045%,Barbados,Safe Search for Barbados,99.95%,"284,589"
164,0.0036%,New Caledonia,Safe Search for New Caledonia,99.95%,"227,436"
165,0.0036%,Netherlands Antilles,Safe Search for Netherlands Antilles,99.96%,"227,049"
166,0.0035%,Mayotte,Safe Search for Mayotte,99.96%,"223,765"
167,0.0035%,Samoa,Safe Search for Samoa,99.96%,"219,998"
168,0.0034%,Vanuatu,Safe Search for Vanuatu,99.97%,"218,519"
169,0.0033%,Sao Tome and Principe,Safe Search for Sao Tome and Principe,99.97%,"212,679"
170,0.0025%,Saint Lucia,Safe Search for Saint Lucia,99.97%,"160,267"
171,0.0019%,Tonga,Safe Search for Tonga,99.98%,"120,898"
172,0.0018%,Kiribati,Safe Search for Kiribati,99.98%,"112,850"
173,0.0017%,Micronesia,Safe Search for Micronesia,99.98%,"107,434"
174,0.0016%,Saint Vincent and Grenadines,Safe Search for Saint Vincent and Grenadines,99.98%,"104,574"
175,0.0016%,Aruba,Safe Search for Aruba,99.98%,"103,065"
176,0.0014%,Grenada,Safe Search for Grenada,99.98%,"90,739"
177,0.0014%,Seychelles,Safe Search for Seychelles,99.98%,"87,476"
178,0.0013%,Antigua and Barbuda,Safe Search for Antigua and Barbuda,99.99%,"85,632"
179,0.0013%,Andorra,Safe Search for Andorra,99.99%,"83,888"
180,0.0011%,Dominica,Safe Search for Dominica,99.99%,"72,660"
181,0.0011%,Bermuda,Safe Search for Bermuda,99.990%,"67,837"
182,0.0010%,American Somoa,Safe Search for American Somoa,99.991%,"65,628"
183,0.0010%,Marshall Islands,Safe Search for Marshall Islands,99.992%,"64,522"
184,0.0009%,Greenland,Safe Search for Greenland,99.993%,"57,600"
185,0.0008%,Northern Mariana Islands,Safe Search for Northern Mariana Islands,99.994%,"51,484"
186,0.0008%,Cayman Islands,Safe Search for Cayman Islands,99.994%,"49,035"
187,0.0008%,Faroe Islands,Safe Search for Faroe Islands,99.995%,"48,856"
188,0.0006%,Saint Kitts and Nevis,Safe Search for Saint Kitts and Nevis,99.996%,"40,131"
189,0.0005%,Liechtenstein,Safe Search for Liechtenstein,99.996%,"34,761"
190,0.0005%,Monaco,Safe Search for Monaco,99.997%,"32,965"
191,0.0005%,San Marino,Safe Search for San Marino,99.997%,"30,167"
192,0.0005%,Gibraltar,Safe Search for Gibraltar,99.998%,"28,796"
193,0.0004%,Virgin Islands (British),Safe Search for Virgin Islands (British),99.998%,"24,491"
194,0.0003%,Palau,Safe Search for Palau,99.998%,"20,796"
195,0.0002%,Wallis and Futuna Islands,Safe Search for Wallis and Futuna Islands,99.999%,"15,289"
196,0.0002%,Anguilla,Safe Search for Anguilla,99.999%,"14,436"
197,0.0002%,Nauru,Safe Search for Nauru,99.9991%,"14,019"
198,0.0002%,Tuvalu,Safe Search for Tuvalu,99.9993%,"12,373"
199,0.0002%,Cook Islands,Safe Search for Cook Islands,99.9995%,"11,870"
200,0.0001%,Saint Helena,Safe Search for Saint Helena,99.9996%,"7,637"
201,0.0001%,St. Pierre and Miquelon,Safe Search for St. Pierre and Miquelon,99.9997%,"7,063"
202,0.0001%,Montserrat,Safe Search for Montserrat,99.9998%,"5,097"
203,0.0000%,Falkland Islands (Malvinas),Safe Search for Falkland Islands (Malvinas),99.9998%,"3,140"
204,0.00003%,Norfolk Island,Safe Search for Norfolk Island,99.99988%,"2,141"
205,0.00003%,Svalbard and Jan Mayen Islands,Safe Search for Svalbard and Jan Mayen Islands,99.99991%,"2,116"
206,0.00002%,Tokelau,Safe Search for Tokelau,99.99993%,"1,416"
207,0.00002%,Christmas Island,Safe Search for Christmas Island,99.99995%,"1,402"
208,0.00002%,Niue,Safe Search for Niue,99.99998%,"1,398"
209,0.00001%,Vatican,Safe Search for Vatican,99.99999%,826
210,0.00001%,Cocos (Keeling) Islands,Safe Search for Cocos (Keeling) Islands,99.999999%,596
211,0.000001%,Pitcairn,Safe Search for Pitcairn,100.000000%,48
212,-,French Guiana,Safe Search for French Guiana,100.000000%,-
213,-,Guadeloupe,Safe Search for Guadeloupe,100.000000%,-
214,-,Martinique,Safe Search for Martinique,100.000000%,-
215,-,Palestinian Territory (Occupied),Safe Search for Palestinian Territory (Occupied),100.000000%,-
216,-,Reunion,Safe Search for Reunion,100.000000%,-
217,-,United States Minor Outlying Islands,Safe Search for United States Minor Outlying Islands,100.000000%,-
218,-,Virgin Islands (U.S.),Safe Search for Virgin Islands (U.S.),100.000000%,-
219,-,Antarctica,Safe Search for Antarctica,100.000000%,-
220,-,Bouvet Island,Safe Search for Bouvet Island,100.000000%,-
221,-,French Southern Territories,Safe Search for French Southern Territories,100.000000%,-
222,-,Guam,Safe Search for Guam,100.000000%,-
223,-,Heard and McDonald Islands,Safe Search for Heard and McDonald Islands,100.000000%,-
224,-,British Indian Ocean Territory,Safe Search for British Indian Ocean Territory,100.000000%,-
225,-,South Georgia and the Sandwich Islands,Safe Search for South Georgia and the Sandwich Islands,100.000000%,-
