...Bericht,Datum,H�he,Kanton,Name,Schwierigkeit,Tourenart
,16.08.2009,2158,SG,Silberplatten,6c+,Sportklettern
,23.01.2010,2137,SZ,Tr?smerenh?reli,ZS,Skitour
,25.05.2011,2133,GL/SZ,Br?nnelistock,T4 I,Bergwandern
,10.06.2011,2129,NW/OW,Tomlishorn,T5 II,Berglauf
,28.08.2011,2126,SZ,Teuf Hund,T6 II,Bergwandern
,10.06.2011,2124,GL,Fronalpstock,T4 I,Bergwandern
,04.06.2011,2120,NW/OW,Pilatus,T4 I,Berglauf
,27.12.2010,2117,SZ,Tw?riberg,WS+,Skitour
,23.02.2011,2111,GR,Stelli,L,Skitour
,11.01.2010,2111,SG,Stoss,WS+,Skitour
,02.04.2009,2101,SG,Leistchamm,WS+,Skitour
,02.04.2009,2098,SG,Glattchamm,S+,Skitour
,25.05.2011,2097,GL/SZ,Zindlenspitz,T4 I,Bergwandern
,16.12.2007,2093,SZ,Fluebrig,SS+,Skitour
,29.05.2011,2082,GL/SZ,Plattenberg,T4,Bergwandern
,25.05.2011,2075,GL/SZ,Rossalpelispitz,T4,Bergwandern
,26.12.2010,2069,SZ,Turner,SS,Skitour
,16.06.2002,2065,SG,Kreuzberge,IV,Sportklettern
,22.04.2011,2062,BE,Gemmenalphorn,T2,Bergwandern
,10.12.2010,2060,BE,Schibenspitz,WS,Skitour
,23.02.2011,2058,GR,Fadeuer,L,Skitour
,28.08.2011,2057,SZ,Lauiberg,T5,Bergwandern
,29.11.2008,2044,GL/SZ,Schiberg,T6 III,Bergwandern
,10.06.2011,2041,OW,Matthorn,T3,Berglauf
,29.05.2011,2027,GL/SZ,Lachenstock,T4,Bergwandern
,16.01.2011,2025,SZ,R?tistein,WS-,Skitour
,21.06.2011,2018,SZ,Wyss R?ssli,T4,Bergwandern
,01.07.2002,2012,SZ,Schmal St?ckli,5c+,Sportklettern
,25.04.2011,2004,BE/OW,Wilerhorn,T2,Bergwandern
,15.06.2011,1989,GL/SZ,Tierberg,T6,Bergwandern
,28.06.2011,1988,GL/SZ,Wannenst?ckli,T5,Bergwandern
,21.06.2011,1970,SZ,Gantspitz,T6,Bergwandern
,23.02.2011,1970,GR,Wannenspitz,WS,Skitour
,28.08.2011,1966,SZ,Biet,T3,Bergwandern
,22.04.2011,1950,BE,Niederhorn,T2,Bergwandern
,11.01.2010,1949,SG,Schwarzchopf,SS,Skitour
,15.06.2011,1932,SZ,Bockmattli,T4,Bergwandern
,28.08.2011,1930,SZ,Sch?lberg,T5,Bergwandern
,05.12.2009,1923,GL,Firzstock,WS,Skitour
,28.08.2011,1919,SZ,Fidisberg,T4,Bergwandern
,05.06.2011,1899,SZ,Grosser Mythen,T3,Bergwandern
,15.06.2011,1896,GL/SZ,Ch?pfenberg,T5 I,Bergwandern
,10.12.2010,1850,BE,Birehubel,WS,Skitour
,04.05.2011,1829,SG,Gonzen,T3,Bergwandern
,23.12.2007,1818,SG,Gmeinenwis,WS,Skitour
,23.12.2007,1816,SG,Neuenalpspitz,S,Skitour
,10.05.2009,1811,SZ,Kleiner Mythen,T5,Bergwandern
,12.02.2006,1789,SG,Gulmen,WS,Schneeschuhtour
,27.05.2008,1777,GL,Br?ggler,7a,Sportklettern
,02.02.2002,1755,GL,Wageten,WS-,Snowboardtour
,04.12.2010,1695,SZ,Gross Aubrig,SS,Skitour
,08.05.2011,1656,SZ,Furggelenstock,T2,Bergwandern
,04.12.2010,1642,SZ,Chli Aubrig,SS,Skitour
,08.05.2011,1594,SZ,Br?nnelistock,T1,Bergwandern
,08.05.2011,1590,SZ,Hudelschijen,T4,Bergwandern
,08.05.2011,1572,SZ,Gross Schijen,T5 II,Bergwandern
,29.08.2010,1566,SZ,Hochstuckli,T2,Wandern
,08.05.2011,1557,SZ,Chli Schijen,T5 II,Bergwandern
,21.06.2011,1504,SZ,Chli Mutzenstein,T4,Bergwandern
,10.04.2011,1452,LU,Vitznauerstock,T3,Bergwandern
,30.10.2005,1287,SO,Weissenstein,T1,Wandern
,18.04.2011,1110,ZH,Bachtel,T1,Wandern
