Animal,Baby,Family,Female,Group of Animals,Male
Opossum,joey,,jill,-,jack
Ostrich,chick,,hen,flock,cock
Otter,"whelp, pup",,female,"family, raft",male
Owl,owlet,,-,parliament,-
Ox,"stot, calf",bovine,cow,"drove, herd, yoke","steer, bull"
Oyster,spat,,-,bed,-
Panda,cub,,sow,-,boar
Parrot,chick,,hen,"company, flock",cock
Peafowl,peachick,,peahen,"muster, ostentation",peacock
Penguin,chick,,female,rookery,male
Pheasant,chick,,hen,"brood (a family), nye (a large group)",cock
Pig,"piglet, shoat, farrow",porcine,sow,"drove, herd, litter (of pups), sounder",boar
Pigeon,"squab, squeaker",,hen,"flock, kit",cock
Platypus,puggle,,-,-,-
Porpoise,calf,,cow,"herd, pod, school",bull
Prairie dog,pup,,sow,"coterie, town",boar
Pronghorn,fawn,,doe,herd,buck
Quail,chick,,hen,"bevy, covey, drift",cock
Rabbit,"kitten, bunny, kit",lapine,doe,"colony, drove, leash, nest, trace, warren",buck
Raccoon,cub,,sow,nursery,boar
Rat,"pup, pinkie, kitten",murine,doe,"horde, mischief",buck
Raven,-,,-,"congress, unkindness",-
Rhinoceros,calf,,cow,crash,bull
Sand Dollar,"larva, pluteus (free-swimming stage), juvenile (young urchin)",,female,-,male
Seal,pup,,cow,"herd, pod, rookery, harem",bull
Seastar,"larva, pluteus (free-swimming stage), juvenile (young urchin)",,female,-,male
Sea Urchin,"larva, pluteus (free-swimming stage), juvenile (young urchin)",,female,-,male
Serval,kitten,,female,-,male
Shark,pup,,female,"school, shiver",bull
Sheep,"lamb, lambkin, cosset",ovine,"ewe, dam","drift, drove, flock, herd, mob, trip","buck, ram"
Skunk,kit,,-,surfeit,-
Snake,"Snakelet, neonate (a newly-born snake), hatchling (a newly-hatched snake)",,female,"bed, nest, pit",male
Spider,spiderling,,female,-,male
Squirrel,"pup, kit, kitten",,doe,dray,buck
Swallow,-,,-,flight,-
Swan,"cygnet, flapper",,pen,"bevy, game, herd, team, wedge (flying in a ""V"" formation)",cob
Termite,larva,,female,"swarm (while flying), colony",male
Tiger,"cub, whelp",feline,tigress,"ambush, streak",tiger
Toad,tadpole,,female,knot,male
Turkey,poult,,hen,rafter,tom
Turtle,hatchling,,female,bale,male
Wallaby,joey,,jill,mob,jack
Walrus,"cub, pup",,cow,"herd, pod",bull
Wasp,larva,,"queen (reproducing female), worker (non-reproducing female)",colony,drone
Weasel,kit,musteline,"bitch, doe, Jill",gang,"dog, buck, Jack, hob"
Whale,calf,,cow,"gam, grind, herd, pod, school",bull
Wolf,"pup, whelp",lupine,bitch,"pack, rout",dog
Wombat,joey,,jill,mob,jack
Woodpecker,chick,,female,descent,male
Wren,chick,,jenny,"flock, herd",cock
Yak,calf,,cow,herd,bull
Yellow Jacket,larva,,"queen (egg-laying female), worker (non-reproducing female)",colony,drone
Zebra,"colt, foal",,mare,"herd, crossing",stallion
