Prize,Winner1,Winner2,Winner3,Year
The Nobel Prize in Physics,Pyotr Kapitsa,Arno Penzias,Robert Woodrow Wilson,1978
The Nobel Prize in Physics,Sheldon Glashow,Abdus Salam,Steven Weinberg,1979
The Nobel Prize in Physics,James Cronin,Val Fitch,,1980
The Nobel Prize in Physics,Nicolaas Bloembergen,Arthur L. Schawlow,Kai M. Siegbahn,1981
The Nobel Prize in Physics,Kenneth G. Wilson,,,1982
The Nobel Prize in Physics,Subramanyan Chandrasekhar,William A. Fowler,,1983
The Nobel Prize in Physics,Carlo Rubbia,Simon van der Meer,,1984
The Nobel Prize in Physics,Klaus von Klitzing,,,1985
The Nobel Prize in Physics,Ernst Ruska,Gerd Binnig,Heinrich Rohrer,1986
The Nobel Prize in Physics,J. Georg Bednorz,K. Alex M?ller,,1987
The Nobel Prize in Physics,Leon M. Lederman,Melvin Schwartz,Jack Steinberger,1988
The Nobel Prize in Physics,Norman F. Ramsey,Hans G. Dehmelt,Wolfgang Paul,1989
The Nobel Prize in Physics,Jerome I. Friedman,Henry W. Kendall,Richard E. Taylor,1990
The Nobel Prize in Physics,Pierre-Gilles de Gennes,,,1991
The Nobel Prize in Physics,Georges Charpak,,,1992
The Nobel Prize in Physics,Russell A. Hulse,Joseph H. Taylor Jr.,,1993
The Nobel Prize in Physics,Bertram N. Brockhouse,Clifford G. Shull,,1994
The Nobel Prize in Physics,Martin L. Perl,Frederick Reines,,1995
The Nobel Prize in Physics,David M. Lee,Douglas D. Osheroff,Robert C. Richardson,1996
The Nobel Prize in Physics,Steven Chu,Claude Cohen-Tannoudji,William D. Phillips,1997
The Nobel Prize in Physics,Robert B. Laughlin,Horst L. St?rmer,Daniel C. Tsui,1998
The Nobel Prize in Physics,Gerardus 't Hooft,Martinus J.G. Veltman,,1999
The Nobel Prize in Physics,Zhores I. Alferov,Herbert Kroemer,Jack S. Kilby,2000
The Nobel Prize in Physics,Eric A. Cornell,Wolfgang Ketterle,Carl E. Wieman,2001
The Nobel Prize in Physics,Raymond Davis Jr.,Masatoshi Koshiba,Riccardo Giacconi,2002
The Nobel Prize in Physics,Alexei A. Abrikosov,Vitaly L. Ginzburg,Anthony J. Leggett,2003
The Nobel Prize in Physics,David J. Gross,H. David Politzer,Frank Wilczek,2004
The Nobel Prize in Physics,Roy J. Glauber,John L. Hall,Theodor W. H?nsch,2005
