,Money (US$),Scores,Total,Winner/2nd,Year
T2,"24,200.00",70-70-68-69-68,345,Tom Purtzer,
T2,"24,200.00",71-70-65-71-68,345,Mike Sullivan,
1,"50,000.00",66-66-71-71-69,343,John Mahaffey,1979
2,"29,700.00",71-68-66-70-69,344,Lee Trevino,
1,"45,000.00",69-67-67-67-69,339,Bill Rogers,1978
2,"25,650.00",71-68-65-70-67,341,Jerry McGee,
1,"40,000.00",64-66-70-70-67,337,Rik Massengale,1977
2,"22,800.00",67-67-70-72-67,343,Bruce Lietzke,
1,"36,000.00",71-69-73-68-63,344,Johnny Miller,1976
2,"20,520.00",69-72-71-68-67,347,Rik Massengale,
1,"32,000.00",64-69-72-66-68,339,Johnny Miller,1975
2,"18,240.00",74-67-67-68-66,342,Bob Murphy,
1,"32,048.00",72-69-66-69-65,341,Hubert Green,1974
2,"18,267.40",71-72-61-69-70,343,Bert Yancey,
1,"32,000.00",71-66-69-68-69,343,Arnold Palmer,1973
T2,"14,800.00",70-70-70-63-72,345,Johnny Miller,
T2,"14,800.00",64-70-71-68-72,345,Jack Nicklaus,
1,"29,000.00",66-69-72-70-67,344,Bob Rosburg,1972
2,"16,530.00",70-69-70-69-67,345,Lanny Wadkins,
1,"28,000.00",67-71-66-68-70,342,Arnold Palmer,1971
2,"16,000.00",68-71-70-66-67,342,Ray Floyd,
1,"25,000.00",67-68-68-70-66,339,Bruce Devlin,1970
2,"14,300.00",67-65-68-71-72,343,Larry Ziegler,
1,"20,000.00",71-68-71-69-66,345,Billy Casper,1969
2,"11,400.00",69-72-70-71-66,348,Dave Hill,
1,"20,000.00",72-70-67-71-68,348,Arnold Palmer,1968
2,"12,000.00",72-74-70-67-65,348,Deane Beman,
1,"17,600.00",76-68-68-68-69,349,Tom Nieporte,1967
2,"10,560.00",70-73-69-67-71,350,Doug Sanders,
1,"15,000.00",70-72-68-73-66,349,Doug Sanders,1966
2,"8,000.00",71-70-71-67-70,349,Arnold Palmer,
1,"15,000.00",70-70-69-67-72,348,Billy Casper,1965
T2,"6,600.00",69-69-69-72-70,349,Tommy Aaron,
T2,"6,600.00",70-70-72-67-70,349,Arnold Palmer,
1,"7,500.00",66-74-74-69-70,353,Tommy Jacobs,1964
2,"4,000.00",75-68-67-72-71,353,Jimmy Demaret,
1,"9,000.00",69-66-67-71-72,345,Jack Nicklaus,1963
2,"4,600.00",67-69-73-69-67,345,Gary Player,
1,"5,300.00",69-67-66-71-69,342,Arnold Palmer,1962
T2,"2,800.00",69-70-66-69-71,345,Jay Hebert,
T2,"2,800.00",67-71-64-68-75,345,Gene Littler,
1,"5,300.00",68-70-68-68-71,345,Billy Maxwell,1961
2,"3,400.00",68-73-71-66-69,347,Doug Sanders,
1,"12,000.00",67-73-67-66-65,338,Arnold Palmer,1960
2,"6,600.00",69-69-71-67-65,341,Fred Hawkins,
