??,????,???O,???[?O,?N,?`?[??
.,05-19,Mickey Vernon,?`?k,1946,Senators
.,08-04,Bill Salked,?m?k,1945,Pirates
.,07-15,Bob Elliott,?m?k,1945,Pirates
.,09-02,Dixie Walker,?m?k,1944,Dodgers
.,07-06,Bob Johnson,?`?k,1944,Red Sox
1,05-17,Bobby Doerr,?`?k,1944,Red Sox
.,07-03,Leon Culberson,?`?k,1943,Red Sox
.,07-19,George McQuinn,?`?k,1941,Browns
.,09-08,Joe Gordon,?`?k,1940,Yankees
2,08-02,Joe Cronin,?`?k,1940,Red Sox
.,07-19,Buddy Rosar,?`?k,1940,Yankees
.,07-13,Johnny Mize,?m?k,1940,Cardinals
.,06-15,Harry Danning,?m?k,1940,Giants
.,06-08,Harry Craft,?m?k,1940,Reds
2,07-19,Arky Vaughan,?m?k,1939,Pirates
.,05-27,Charlie Gehringer,?`?k,1939,Tigers
.,05-05,Sam Chapman,?`?k,1939,Athletics
.,07-12,Odell Hale,?`?k,1938,Indians
2,08-01,Lou Gehrig,?`?k,1937,Yankees
1,07-09,Joe DiMaggio,?`?k,1937,Yankees
.,04-20,Gee Walker,?`?k,1937,Tigers
.,05-24,Sam Leslie,?m?k,1936,Giants
.,06-29,Joe Medwick,?m?k,1935,Cardinals
.,08-19,Moose Solters,?`?k,1934,Red Sox
.,06-25,Lou Gehrig,?`?k,1934,Yankees
.,06-10,Roger Cramer,?`?k,1934,Athletics
3,09-30,Babe Herman,?m?k,1933,Cubs
.,08-17,Earl Averill,?`?k,1933,Indians
.,08-14,Jimmie Foxx,?`?k,1933,Athletics
.,08-06,Pinky Higgins,?`?k,1933,Athletics
2,08-02,Mickey Cochrane,?`?k,1933,Athletics
1,06-24,Arky Vaughan,?m?k,1933,Pirates
2,05-26,Chuck Klein,?m?k,1933,Phillies
.,05-05,Pepper Martin,?m?k,1933,Cardinals
.,07-22,Mickey Cochrane,?`?k,1932,Athletics
.,06-03,Tony Lazzeri,?`?k,1932,Yankees
2,07-24,Babe Herman,?m?k,1931,Dodgers
1,07-01,Chuck Klein,?m?k,1931,Phillies
1,05-18,Babe Herman,?m?k,1931,Dodgers
.,08-21,Chick Hafey,?m?k,1930,Cardinals
.,06-23,Hack Wilson,?m?k,1930,Cubs
.,05-08,Freddy Lindstrom,?m?k,1930,Giants
1,09-02,Joe Cronin,?`?k,1929,Senators
.,05-23,Oscar Melillo,?`?k,1929,Browns
.,05-16,Mel Ott,?m?k,1929,Giants
3,07-26,Bob Meusel,?`?k,1928,Yankees
.,05-29,Bill Terry,?m?k,1928,Giants
.,08-05,Cy Williams,?m?k,1927,Phillies
.,07-15,Jim Bottomley,?m?k,1927,Cardinals
.,09-26,Bob Fothergill,?`?k,1926,Tigers
.,07-21,Roy Carlyle,?`?k,1925,Red Sox
.,06-20,Max Carey,?m?k,1925,Pirates
.,06-04,Kiki Cuyler,?m?k,1925,Pirates
.,08-28,Goose Goslin,?`?k,1924,Senators
.,04-17,Baby Doll Jacobson,?`?k,1924,Browns
.,07-07,Pie Traynor,?m?k,1923,Pirates
2,07-03,Bob Meusel,?`?k,1922,Yankees
.,06-27,Ray Schalk,?`?k,1922,White Sox
.,05-25,Jimmy Johnston,?m?k,1922,Dodgers
.,04-29,Ross Youngs,?m?k,1922,Giants
.,08-30,Dave Robertson,?m?k,1921,Pirates
2,08-13,George Sisler,?`?k,1921,Browns
.,06-01,Dave Bancroft,?m?k,1921,Giants
1,05-07,Bob Meusel,?`?k,1921,Yankees
.,09-17,Bobby Veach,?`?k,1920,Tigers
.,09-17,George Burns,?m?k,1920,Giants
1,08-08,George Sisler,?`?k,1920,Browns
.,07-13,Cliff Heathcote,?m?k,1918,Cardinals
.,07-05,Heinie Groh,?m?k,1915,Reds
.,08-22,Honus Wagner,?m?k,1912,Pirates
.,07-25,Bert Daniels,?`?k,1912,Yankees
.,06-10,Chief Meyers,?m?k,1912,Giants
.,06-09,Tris Speaker,?`?k,1912,Red Sox
.,08-19,Mike Mitchell,?m?k,1911,Reds
.,07-03,Frank Baker,?`?k,1911,Athletics
.,10-06,Bill Collins,?m?k,1910,Braves
.,08-25,Danny Murphy,?`?k,1910,Athletics
.,07-03,Owen Wilson,?m?k,1910,Pirates
.,10-02,Otis Clymer,?`?k,1908,Senators
.,04-26,John Bates,?m?k,1907,Braves
.,10-04,Sam Mertes,?m?k,1904,Giants
.,06-20,Duff Cooley,?m?k,1904,Braves
.,09-24,Bill Bradley,?`?k,1903,Indians
.,07-29,Pat Dougherty,?`?k,1903,Red Sox
.,07-21,Buck Freeman,?`?k,1903,Red Sox
2,05-07,Fred Clarke,?m?k,1903,Pirates
.,07-30,Nap Lajoie,?`?k,1901,Athletics
1,07-23,Fred Clarke,?m?k,1901,Pirates
.,07-10,Harry Davis,?`?k,1901,Athletics
.,05-30,Bill Joyce,?m?k,1896,Washington
.,05-09,Herman Long,?m?k,1896,Boston
.,09-30,Ed Cartwright,?m?k,1895,Washington
.,08-16,Tom Dowd,?m?k,1895,St. Louis
.,09-28,Tom Parrett,?m?k,1894,Cincinnati
.,08-17,Sam Thompson,?m?k,1894,Philadelphia
.,06-13,Bill Hassamaer,?m?k,1894,Washington
.,04-24,Lave Cross,?m?k,1894,Philadelphia
2,07-01,Jimmy Ryan,?m?k,1891,Chicago
.,08-06,John Reilly,?m?k,1890,Cincinnati
.,08-01,Tom Burns,?m?k,1890,Brooklyn
.,08-15,Larry Twitchell,?m?k,1889,Cleveland
.,08-08,John Glasscock,?m?k,1889,Indianapolis
.,08-25,Mike Tiernan,?m?k,1888,New York
1,07-28,Jimmy Ryan,?m?k,1888,Chicago
.,05-02,Fred Carroll,?m?k,1887,Pittsburgh
.,08-21,John Rowe,?m?k,1886,Detroit
.,05-24,Fred Dunlap,?m?k,1886,St. Louis
.,09-28,Bill McQuery,?m?k,1885,Detroit
.,06-13,George Wood,?m?k,1885,Detroit
.,06-16,Jim O'Rourke,?m?k,1884,Buffalo
.,05-25,Charles Foley,?m?k,1882,Buffalo
