ALPHABETIC CODE,CURRENCY,ENTITY,NUMERIC CODE
TJS,Somoni,Tajikistan,972
TJR,Tajik Ruble (old),Tajikistan (Old),762
TZS,Tanzanian Shilling,"Tanzania, United Republic Of",834
THB,Baht,Thailand,764
XOF,CFA Franc BCEAO,Togo,952
NZD,New Zealand Dollar,Tokelau,554
TOP,Pa'anga,Tonga,776
TTD,Trinidad and Tobago Dollar,Trinidad and Tobago,780
TND,Tunisian Dinar,Tunisia,788
TRL,Turkish Lira,Turkey,792
TMM,Manat,Turkmenistan,795
USD,US Dollar,Turks and Caicos Islands,840
AUD,Australian Dollar,Tuvalu,36
UGX,Uganda Shilling,Uganda,800
UAH,Hryvnia,Ukraine,980
AED,UAE Dirham,United Arab Emirates,784
GBP,Pound Sterling,United Kingdom,826
USD,US Dollar,United States,840
USS,(Same day),,998
USN,(Next day),,997
USD,US Dollar,United States Minor Outlaying Islands,840
UYU,Peso Uruguayo,Uruguay,858
UZS,Uzbekistan Sum,Uzbekistan,860
VUV,Vatu,Vanuatu,548
ITL,Italian Lira,Vatican City State (Holy See),380
VEB,Bolivar,Venezuela,862
VND,Dong,Vietnam,704
USD,US Dollar,Virgin Islands (British),840
USD,US Dollar,Virgin Islands (U.S.),840
XPF,CFP Franc,Wallis and Futuna Islands,953
MAD,Moroccan Dirham,Western Sahara,504
YER,Yemeni Rial,Yemen,886
YUM,New Dinar,Yugoslavia,891
ZRN,New Zaire,Zaire,180
ZMK,Kwacha,Zambia,894
ZWD,Zimbabwe Dollar,Zimbabwe,716
,,,
XAU,Gold Bond Markets Units,,959
,Bond Markets Units,,
XBA,European Composite Unit (EURCO),,955
XBB,European Monetary Unit (E.M.U.-6),,956
XBC,European Unit of Account 9 (E.U.A.- 9),,957
XBD,European Unit of Account 17 (E.U.A.- 17),,958
XPD,Palladium,,964
XPT,Platinum,,962
XAG,Silver,,961
,,,
,Special settlement currencies,,
XFU,UIC-Franc,,Nil
XFO,Gold-Franc,,Nil
XTS,Codes specifically reserved for testing purposes,,963
XXX,The codes assigned for transactions where no currency is involved are:,,999
EUR,Euro,,978
