Diva,Emily,Fell Name,GPS reference,Guide,Height (Ft),Height (m),Justine,Number,Sophie,Steve
,,Mell Break,NY 14843 18562,,1680,512,,142,,
,,Middle Dodd,NY 39736 09571,The Eastern Fells,2146,654,,143,,
,,Middle Fell?,NY 15080 07269,,1909,582,,144,,
,,Mungrisdale Common,NY 31059 29231,,2077,633,,145,,
,,Nab Scar,NY 35538 07240,The Eastern Fells,1444,440,,146,,
,,"Nab, The",NY 43423 15194,,1890,576,,147,,
,,Nethermost Pike,NY 34408 14154,The Eastern Fells,2923,891,,148,,
,,Outerside,NY 21112 21460,,1864,568,,149,,
,,Pavey Ark,NY 28457 07903,,2297,700,,150,,
,,Pike O' Blisco,NY 27118 04212,,2313,705,,151,,
,,Pike O'Stickle,NY 27399 07356,,2326,709,,152,,
,,Pillar,NY 17126 12101,The Western Fells,2927,892,,153,,
,,Place Fell,NY 40564 16955,,2156,657,,154,,
,,Raise,NY 34277 17414,The Eastern Fells,2897,883,,155,,
,,Rampsgill Head,NY 44332 12861,,2598,792,,156,,
,,Rannerdale Knotts,NY 16730 18251,,1165,355,,157,,
,,Raven Crag,NY 30346 18757,,1512,461,,158,,
,,Red Pike ( Buttermere),NY 16054 15453,The Western Fells,2477,755,,159,,
,,Red Pike (Wasdale),NY 16530 10610,,2710,826,,160,,
,,Red Screes,NY 39649 08767,The Eastern Fells,2546,776,,161,,
,,Rest Dodd,NY 43272 13701,The Far Eastern Fells,2283,696,,162,,
,,Robinson,NY 20183 16876,,2418,737,,163,,
,,Rossett Pike,NY 24920 07565,,2133,650,,164,,
,,Rosthwaite Fell,NY 25832 12479,,1807,550,,165,,
,,Sail,NY 19820 20276,,2536,773,,166,,
,,St Sunday Crag,NY 36930 13404,The Eastern Fells,2759,841,,167,,
,,Sale Fell,NY 19443 29659,,1178,359,,168,,
,,Sallows,NY 43653 03983,,1693,516,,169,,
,,Scafell?,NY 20682 06484,,3163,964,,170,,
,,Scafell Pike,NY 21534 07218,,3210,978,,171,,
,,Scar Crags,NY 20853 20661,,2205,672,,172,,
,,Scoat Fell,NY 15940 11384,The Western Fells,2759,841,,173,,
,,Seat Sandal,NY 34399 11424,The Eastern Fells,2415,736,,174,,
,,Seatallan,NY 13964 08403,,2270,692,,175,,
,,Seathwaite Fell,NY 22904 10181,,2073,632,,176,,
,,Selside Pike,NY 49079 11183,,2149,655,,177,,
,,Sergeant Man,NY 28647 08896,,2395,730,,178,,
,,Sergeant's Crag,NY 27394 11379,,1873,571,,179,,
,,Sheffield Pike,NY 36910 18178,The Eastern Fells,2215,675,,180,,
,,Shipman Knotts,NY 47241 06212,,1926,587,,181,,
,,Silver How,NY 32479 06641,,1293,394,,182,,
,,Skiddaw,NY 26040 29085,,3054,931,,183,,
,,Skiddaw Little Man,NY 26679 27785,,2838,865,,184,,
,,Slight Side,NY 20969 05028,,2500,762,,185,,
,,Sour Howes,NY 42830 03203,,1585,483,,186,,
,,Souther Pike,NY 35472 29140,,1713,522,,187,,
,,Starling Dodd,NY 14206 15747,The Western Fells,2077,633,,188,,
,,Steel Fell,NY 31944 11157,,1814,553,,189,,
,,Steel Knotts,NY 44037 18125,,1417,432,,190,,
,,Steeple,NY 15757 11678,,2687,819,,191,,
,,Stone Arthur,NY 34752 09233,The Eastern Fells,1640,500,,192,,
,,Stybarrow Dodd,NY 34295 18923,The Eastern Fells,2766,843,,193,,
,,Swirl How,NY 27282 00551,,2631,802,,194,,
,,Tarn Crag (Easedale),NY 30358 09326,,1804,550,,195,,
,,Tarn Crag (Longsleddale),NY 48848 07852,,2178,664,,196,,
,,Thornthwaite Crag,NY 43154 10039,,2572,784,,197,,
,,Thunacar Knott,NY 27967 07990,,2372,723,,198,,
,,Troutbeck Tongue,NY 42233 06384,,1194,364,,199,,
,,Ullock Pike,NY 24441 28758,,2231,680,,200,,
,,Ullscarf,NY 29157 12172,,2382,726,,201,,
,,Walla Crag,NY 27684 21285,,1243,379,,202,,
,,Wandope,NY 18818 19737,,2533,772,,203,,
,,Wansfell,NY 40370 05267,,1598,487,,204,,
,,Watson's Dodd,NY 33568 19560,The Eastern Fells,2589,789,,205,,
,,Wether Hill,NY 45570 16780,,2198,670,,206,,
,,Wetherlam,NY 28820 01108,,2500,762,,207,,
,,Whin Rigg,NY 15135 03447,,1755,535,,208,,
,,Whinlatter,NY 19695 24903,,1722,525,,209,,
,,White Side,NY 33780 16663,The Eastern Fells,2831,863,,210,,
,,Whiteless Pike,NY 18021 18977,,2165,660,,211,,
,,Whiteside,NY 17047 21951,,2320,707,,212,,
,,Yewbarrow,NY 17338 08472,,2060,628,,213,,
,,Yoke,NY 43773 06734,,2316,706,,214,,
81,33,Totals,,,,,36,,33,87
,,,,,,,,,,
Diva,Emily,Fell Name,GPS reference,,Height (Ft),Height (m),Justine,,Sophie,Steve
,,Pen-y-ghent,SD 83853 73385,,2276,694,,,,
,,Whernside,SD 73840 81410,,2415,736,,,,
,,Ingleborough,SD 74118 74560,,2372,723,,,,
,,,,,,,,,,
,,Wales,,,,,,,,
,,Snowdon,SH 60990 54375,,3560,1085,,,,
,,,,,,,,,,
