Company,Company TER vs Industry TER,Industry,Rank,Temkin Experience Rating (TER)
AAA,-2.2,Insurance Carrier,111,63%
Cablevision,8.4,Internet Service Provider,111,63%
Toshiba,-1.0,Appliance Maker,117,62%
Honda,-1.1,Auto Dealer,117,62%
Citizens,-3.1,Bank,117,62%
Enterprise,1.1,Car Rental Agency,117,62%
Toshiba,3.4,Computer Maker,117,62%
Lenovo,3.5,Computer Maker,117,62%
ING Direct,-1.4,Investment Firm,117,62%
Hewlett-Packard,1.9,Computer Maker,124,61%
Dish Network/EchoStar,6.9,TV Service Provider,124,61%
Bright House Networks,7.2,TV Service Provider,124,61%
Verizon Wireless,7.0,Wireless Carrier,124,61%
AT&T,7.2,Wireless Carrier,124,61%
Regions,-5.4,Bank,129,60%
Capital One,-5.3,Bank,129,60%
Super 8,-6.2,Hotel Chain,129,60%
Liberty Mutual,-5.8,Insurance Carrier,129,60%
Sprint,6.2,Wireless Carrier,129,60%
Ford,-4.0,Auto Dealer,134,59%
Sony,0.1,Computer Maker,134,59%
Wells Fargo,-1.7,Credit Card Issuer,134,59%
TriCare,5.8,Health Plan,134,59%
MetLife,-7.0,Insurance Carrier,134,59%
American Family,-6.3,Insurance Carrier,134,59%
AOL,4.2,Internet Service Provider,134,59%
Merrill Lynch,-4.0,Investment Firm,134,59%
E*TRADE,-3.9,Investment Firm,134,59%
Virgin Mobile,4.8,Wireless Carrier,134,59%
US Cellular,5.4,Wireless Carrier,134,59%
Delta/Northwest Airlines,-2.7,Airline,145,58%
HSBC,-7.2,Bank,145,58%
Acer,-0.8,Computer Maker,145,58%
Compaq,-0.5,Computer Maker,145,58%
Motel 6,-8.3,Hotel Chain,145,58%
DirecTV,4.4,TV Service Provider,145,58%
Continental Airlines,-3.6,Airline,151,57%
Avis,-3.2,Car Rental Agency,151,57%
eMachines,-1.8,Computer Maker,151,57%
Bank of America,-3.7,Credit Card Issuer,151,57%
21st Century,-8.8,Insurance Carrier,151,57%
Travelers,-8.8,Insurance Carrier,151,57%
Verizon,1.9,Internet Service Provider,151,57%
Morgan Stanley Smith Barney,-6.0,Investment Firm,151,57%
TD Ameritrade,-6.0,Investment Firm,151,57%
DHL,-15.1,Parcel Delivery Service,151,57%
RadioShack,-14.8,Retailer,151,57%
Cox Communication,3.5,TV Service Provider,151,57%
Hyundai,-6.9,Auto Dealer,163,56%
Nissan,-6.8,Auto Dealer,163,56%
Chrysler,-6.1,Auto Dealer,163,56%
Dollar,-4.8,Car Rental Agency,163,56%
HSBC,-4.7,Credit Card Issuer,163,56%
Medicare,3.0,Health Plan,163,56%
Road Runner,0.8,Internet Service Provider,163,56%
AT&T,0.9,Internet Service Provider,163,56%
United Airlines,-6.2,Airline,171,55%
Dodge,-7.2,Auto Dealer,171,55%
Bank of America,-10.4,Bank,171,55%
Aetna,2.1,Health Plan,171,55%
United Healthcare,2.2,Health Plan,171,55%
Optimum (iO)/Cablevision,0.9,TV Service Provider,171,55%
T-Mobile,1.2,Wireless Carrier,171,55%
Kia,-8.3,Auto Dealer,178,54%
Dell,-4.8,Computer Maker,178,54%
Gateway,-4.7,Computer Maker,178,54%
Capital One,-6.6,Credit Card Issuer,178,54%
Humana,0.8,Health Plan,178,54%
Cox Communications,-1.2,Internet Service Provider,178,54%
Qwest,-0.7,Internet Service Provider,178,54%
Comcast,-0.5,Internet Service Provider,178,54%
Wells Fargo Advisors,-9.3,Investment Firm,178,54%
American Airlines,-8.3,Airline,187,53%
Citigroup,-6.9,Credit Card Issuer,187,53%
MSN (Microsoft Network),-1.4,Internet Service Provider,187,53%
US Airways,-9.1,Airline,190,52%
Days Inn,-13.6,Hotel Chain,190,52%
Comcast,-2.4,TV Service Provider,190,52%
Citibank,-14.4,Bank,193,51%
Empire (BCBS),-2.0,Health Plan,193,51%
Time Warner Cable,-3.2,TV Service Provider,193,51%
Verizon,-2.9,TV Service Provider,193,51%
AT&T,-2.6,TV Service Provider,193,51%
CIGNA,-2.5,Health Plan,198,50%
Blue Shield of California,-2.3,Health Plan,198,50%
Anthem (BCBS),-4.4,Health Plan,200,48%
Medicaid,-6.6,Health Plan,201,46%
Health Net,-8.5,Health Plan,202,44%
Charter Communications,-10.5,Internet Service Provider,202,44%
Highmark (BCBS),-9.9,Health Plan,204,43%
Charter Communications,-12.0,TV Service Provider,205,42%
Earthlink,-13.5,Internet Service Provider,206,41%
