,Capital,Country,Italian
162,Saipan,Northern Mariana Islands,
163,Oslo,Norway,
164,Muscat,Oman,Mascate
165,Islamabad,Pakistan,
166,Koror,Palau,
167,Panama (Tocumen Int?l),Panama,
168,Port Moresby,Papua New Guinea,
169,Asuncion,Paraguay,
170,Lima,Peru,
171,Manila,Philippines,
172,Adamstown,Pitcairn Islands,
173,Warsaw,Poland,Varsavia
174,Lisbon,Portugal,Lisbona
175,San Juan,Puerto Rico,
176,Doha,Qatar,
177,St. Denis,Reunion Island,
178,Bucharest,Romania,Bucarest
179,Moscow,Russian Federation,Mosca
180,Kigali,Rwanda,
181,"Apia, Upolu Island (Faleolo)",Samoa,
182,San Marino,San Marino,
183,Sao Tome,Sao Tome and Principe,
184,Riyadh,Saudi Arabia,
185,Dakar,Senegal,
186,"Victoria, Mahe Island",Seychelles,
187,Freetown,Sierra Leone,
188,Singapore,Singapore,
189,Bratislava,"Slovakia, Republic of",
190,Ljubljana,Slovenia,Lubiana
191,Honiara,Solomon Islands,
192,Mogadishu,"Somalia, Republic of",Mogadiscio
193,Pretoria,South Africa,
194,Madrid,Spain,
195,Sri Jayawardenapura,Sri Lanka,
196,Jamestown,St. Helena,
197,"Basseterre, St. Kitts",St. Kitts and Nevis,
198,Castries,St. Lucia,
199,St. Pierre,St. Pierre et Miquelon,
200,"Kingstown, St. Vincent Island",St. Vincent and the Grenadines,
201,Khartoum,Sudan,
202,Paramaribo,Suriname,
203,Longyearbyen,"Svalbard, Norway",
204,Mbabane,Swaziland,
205,Stockholm,Sweden,Stoccolma
206,Bern,Switzerland,Berna
207,Damascus,Syria,Damasco
208,Taipei,Taiwan,
209,Dushanbe,Tajikistan,
210,Dodoma,"Tanzania, Republic of",
211,Bangkok,Thailand,
212,Lome,"Togolese, Republic of",Lom?
213,"Nukualofa, Tongatapu Island",Tonga,Nuku?alofa
214,Port-of-Spain,Trinidad and Tobago,Port of Spain
215,Tunis,Tunisia,Tunisi
216,Ankara,Turkey,
217,Ashgabat,Turkmenistan,Ashabad
218,"Cockburn Town, Grand Turk",Turks and Caicos Islands,
219,Funafuti,Tuvalu,
220,Kampala,Uganda,
221,Kiev,Ukraine,
222,Abu Dhabi,United Arab Emirates,
223,London,United Kingdom,Londra
224,"Washington, D.C.",United States of America,
225,Montevideo,Uruguay,
226,Tashkent,Uzbekistan,
227,Port-Vila,Vanuatu (New Hebrides),
228,Caracas,Venezuela,
229,Hanoi,Vietnam,
230,"Road Town, Tortola (Beef Island)","Virgin Islands, British",
231,"Charlotte Amalie, St. Thomas","Virgin Islands, U.S.",
232,Wake Island,"Wake Island, U.S.",
233,Mata Utu,Wallis and Futuna Islands,Mata-Utu
234,Sanaa,Yemen,Sana?a
235,Belgrade,Yugoslavia,Belgrado
236,Lusaka,Zambia,
237,Harare,Zimbabwe,
