Embargo Period in Months,Journal Name,Optional Fee for Immediate Access,PMC Deposit Policy,Publisher Link to NIH Policy Page or Related Policy,Who Deposits to PMC
12,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,No Specific Information,Yes,ASSOCIATION FOR RESEARCH IN VISION AND OPHTHALMOLOGY INC,Publisher OR Author
6,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,No Specific Information,Yes,AMERICAN MEDICAL ASSOCIATION,Author Only
12,JOURNAL OF APPLIED PHYSIOLOGY,Yes,Yes,AMERICAN PHYSIOLOGICAL SOCIETY,Publisher Only
6,JOURNAL OF BACTERIOLOGY,No Specific Information,Yes,AMERICAN SOCIETY FOR MICROBIOLOGY,Publisher Only
12,JOURNAL OF BIOLOGICAL CHEMISTRY,Yes,Yes,AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY,Publisher Only
12,JOURNAL OF BIOMEDICAL OPTICS,Yes,Yes,SOCIETY OF PHOTOPTICAL INSTRUMENTATION ENGINEERS **,Publisher Only
12,JOURNAL OF CHEMICAL PHYSICS,Yes,Yes,AMERICAN INSTITUTE OF PHYSICS,Publisher Only
12,JOURNAL OF CLINICAL ONCOLOGY,No Specific Information,Yes,AMERICAN SOCIETY OF CLINICAL ONCOLOGY,Publisher Only
12,JOURNAL OF COMPARATIVE NEUROLOGY,Yes,Yes,WILEY,Publisher Only
12,JOURNAL OF COMPUTATIONAL PHYSICS,Yes,Yes,ELSEVIER,Publisher Only
12,JOURNAL OF ENDOUROLOGY,Yes,Yes,MARY ANN LIEBERT INC,Publisher Only
6,JOURNAL OF EXPERIMENTAL BIOLOGY,Yes,Yes,THE COMPANY OF BIOLOGISTS LTD,Publisher only
No Specific Information,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,Yes,No Specific Policy,AMERICAN GEOPHYSICAL UNION,No Specific Information
12,JOURNAL OF IMMUNOLOGY,No Specific Information,Yes,AMERICAN ASSOCIATION OF IMMUNOLOGISTS,Author Only
12,JOURNAL OF INVESTIGATIVE MEDICINE,No Specific Information,Yes,LIPPINCOTT WILLIAMS & WILKINS,Publisher Only
12,JOURNAL OF MATHEMATICAL PSYCHOLOGY,Yes,Yes,ELSEVIER,Publisher Only
12,JOURNAL OF NEUROPHYSIOLOGY,Yes,Yes,AMERICAN PHYSIOLOGICAL SOCIETY,Publisher Only
6,JOURNAL OF NEUROSCIENCE,Yes,Yes,SOCIETY FOR NEUROSCIENCE,Publisher Only
No Specific Information,JOURNAL OF NUCLEAR MEDICINE,No Specific Information,No Specific Policy,SOCIETY OF NUCLEAR MEDICINE INC,No Specific Information
12,JOURNAL OF ORGANIC CHEMISTRY,Yes,Yes,AMERICAN CHEMICAL SOCIETY,Publisher OR Author
12,JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,No Specific Information,Yes,AMERICAN SOCIETY FOR PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Publisher Only
12,JOURNAL OF PHYSICAL CHEMISTRY A,Yes,Yes,AMERICAN CHEMICAL SOCIETY,Publisher OR Author
12,JOURNAL OF PHYSICAL CHEMISTRY B,Yes,Yes,AMERICAN CHEMICAL SOCIETY,Publisher OR Author
12,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,Yes,Yes,ACOUSTICAL SOCIETY OF AMERICA (AMERICAN INSTITUTE OF PHYSICS),Publisher Only
12,JOURNAL OF THE AMERICAN ACADEMY OF CHILD & ADOLESCENT PSYCHIATRY,Yes,Yes,ELSEVIER,Publisher Only
12,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,Yes,Yes,ELSEVIER,Publisher Only
12,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,Yes,Yes,AMERICAN CHEMICAL SOCIETY,Publisher OR Author
12,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,Yes,Yes,ELSEVIER,Publisher Only
6,JOURNAL OF VIROLOGY,No Specific Information,Yes,AMERICAN SOCIETY FOR MICROBIOLOGY,Publisher Only
6,KIDNEY INTERNATIONAL,Yes,Yes,NATURE PUBLISHING GROUP,Publisher OR Author
12,LASERS IN SURGERY AND MEDICINE,Yes,Yes,WILEY,Publisher Only
12,LEARNING & MEMORY,Yes,Yes,COLD SPRING HARBOR LABORATORY PRESS,Publisher Only
12,LECTURE NOTES IN COMPUTER SCIENCE,Yes,Yes,SPRINGER-VERLAG BERLIN,Publisher OR Author
12,MATERIALS SCIENCE AND ENGINEERING A,Yes,Yes,ELSEVIER,Publisher Only
12,MEDICAL PHYSICS,Yes,Yes,AMERICAN ASSOCIATION OF PHYSICISTS IN MEDICINE (AMERICAN INSTITUTE OF PHYSICS),Publisher Only
6,MOLECULAR AND CELLULAR BIOLOGY,No Specific Information,Yes,AMERICAN SOCIETY FOR MICROBIOLOGY,Publisher Only
12,MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,Yes,Yes,WILEY-BLACKWELL,Publisher Only
12,NANO LETTERS,Yes,Yes,AMERICAN CHEMICAL SOCIETY,Publisher OR Author
6,NATURE,Yes,Yes,NATURE PUBLISHING GROUP,Publisher OR Author
12,NEUROBIOLOGY OF AGING,Yes,Yes,ELSEVIER,Publisher Only
12,NEUROBIOLOGY OF LEARNING AND MEMORY,Yes,Yes,ELSEVIER,Publisher Only
12,NEUROIMAGE,Yes,Yes,ELSEVIER,Publisher Only
12,NEURON,Yes,Yes,CELL PRESS,Publisher Only
12,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A,Yes,Yes,ELSEVIER,Publisher Only
12,NUCLEIC ACIDS RESEARCH,Yes,Yes,OXFORD UNIVERSITY PRESS,Publisher Only
6,ONCOGENE,Yes,Yes,NATURE PUBLISHING GROUP,Publisher OR Author
12,OPTICS LETTERS,Yes,Yes,OPTICAL SOCIETY OF AMERICA,Author Only
12,ORGANIC LETTERS,Yes,Yes,AMERICAN CHEMICAL SOCIETY,Publisher OR Author
12,ORGANOMETALLICS,Yes,Yes,AMERICAN CHEMICAL SOCIETY,Publisher OR Author
No Specific Information,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,No Specific Information,No Specific Policy,ROYAL SOCIETY OF CHEMISTRY,No Specific Information
No Specific Information,PHYSICAL REVIEW B,Yes,No Specific Policy,AMERICAN PHYSICAL SOCIETY,No Specific Information
No Specific Information,PHYSICAL REVIEW D,Yes,No Specific Policy,AMERICAN PHYSICAL SOCIETY,No Specific Information
No Specific Information,PHYSICAL REVIEW E,Yes,No Specific Policy,AMERICAN PHYSICAL SOCIETY,No Specific Information
No Specific Information,PHYSICAL REVIEW LETTERS,Yes,No Specific Policy,AMERICAN PHYSICAL SOCIETY,No Specific Information
12,PHYSICS IN MEDICINE AND BIOLOGY,No Specific Information,Yes,IOP PUBLISHING LTD,Publisher OR Author
12,PHYSICS OF PLASMAS,Yes,Yes,AMERICAN INSTITUTE OF PHYSICS,Publisher Only
6,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE USA,Yes,Yes,NATIONAL ACADEMY OF SCIENCES,Publisher OR Author
6,SCIENCE,No Specific Information,Yes,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,Author Only
12,SOCIAL FORCES,No Specific Information,Yes,UNIVERSITY OF NORTH CAROLINA PRESS **,Author Only
12,STROKE,No Specific Information,Yes,LIPPINCOTT WILLIAMS & WILKINS,Publisher Only
12,UROLOGY,Yes,Yes,ELSEVIER,Publisher Only
12,VIROLOGY,Yes,Yes,ELSEVIER,Publisher Only
12,VISION RESEARCH,Yes,Yes,ELSEVIER,Publisher Only
