Director,IMDB Rating,IMDB Votes,N,Title,Year
Roman Polanski,8.5,86744,85,Chinatown,1974
Francis Ford Coppola,9,275384,86,"The Godfather, Part II",1974
Francis Ford Coppola,9.2,452038,87,The Godfather,1972
Stanley Kubrick,8.5,213573,88,A Clockwork Orange,1971
Dennis Hopper,7.3,34720,89,Easy Rider,1969
John Schlesinger,8,36136,90,Midnight Cowboy,1968
Sergio Leone,8.8,84553,91,Once Upon a Time in the West,1968
Franklin J. Schaffner,8,62673,92,Planet of the Apes,1968
Arthur Penn,8,44756,93,Bonnie And Clyde,1967
Mike Nichols,8.2,85917,94,The Graduate,1967
Sergio Leone,9,183850,95,"The Good, the Bad and the Ugly",1966
Alfred Hitchcock,8.7,159840,96,Psycho,1960
Sidney Lumet,8.9,138336,97,12 Angry Men,1957
Charles Laughton,8.2,28418,98,The Night of the Hunter,1955
Nicholas Ray,7.9,29327,99,Rebel Without a Cause,1955
Michael Curtiz,8.8,182487,100,Casablanca,1942
