Country / Territory,Population,Rank
Kyrgyzstan,"5,264,000",111
Finland,"5,249,000[3]",112
Turkmenistan,"4,833,000",113
Norway,"4,620,000[4]",114
Croatia,"4,551,000",115
United Arab Emirates,"4,496,000",116
Georgia,"4,474,000",117
Eritrea,"4,401,000",118
Costa Rica,"4,401,000",119
Singapore,"4,326,000",120
Moldova,"4,206,000",121
Republic of Ireland,"4,148,000",122
Central African Republic,"4,038,000",123
New Zealand,"4,028,000",124
Republic of the Congo,"3,999,000",125
Puerto Rico (US),"3,955,000",126
Bosnia and Herzegovina,"3,907,000",127
Occupied Palestinian territories,"3,702,000",128
Lebanon,"3,577,000",129
Uruguay,"3,463,000",130
Lithuania,"3,431,000",131
Liberia,"3,283,000",132
Panama,"3,232,000",133
Albania,"3,130,000",134
Mauritania,"3,069,000",135
Armenia,"3,016,000",136
Kuwait,"2,687,000",137
Jamaica,"2,651,000",138
Mongolia,"2,646,000",139
Oman,"2,567,000",140
Latvia,"2,307,000",141
Bhutan,"2,163,000",142
Republic of Macedonia,"2,034,000",143
Namibia,"2,031,000",144
Slovenia,"1,967,000",145
Lesotho,"1,795,000",146
Botswana,"1,765,000",147
Guinea-Bissau,"1,586,000",148
The Gambia,"1,517,000",149
Gabon,"1,384,000",150
Estonia,"1,330,000",151
Trinidad and Tobago,"1,305,000",152
Mauritius,"1,245,000[5]",153
Swaziland,"1,032,000",154
East Timor,"947,000",155
Fiji,"848,000",156
Cyprus,"835,000",157
Qatar,"813,000",158
Comoros,"798,000[6]",159
Djibouti,"793,000",160
R?union (France),"785,000",161
Guyana,"751,000",162
Bahrain,"727,000",163
Cape Verde,"507,000",164
Equatorial Guinea,"504,000",165
Solomon Islands,"478,000",166
Luxembourg,"465,000",167
Macau (PRC),"460,000",168
Suriname,"449,000",169
Guadeloupe (France),"448,000",170
Malta,"402,000",171
Martinique (France),"396,000",172
Brunei,"374,000",173
Western Sahara,"341,000",174
Maldives,"329,000",175
The Bahamas,"323,000",176
Iceland,"295,000",177
Barbados,"270,000",178
Belize,"270,000",179
French Polynesia (France),"257,000",180
New Caledonia (France),"237,000",181
Vanuatu,"211,000",182
French Guiana (France),"187,000",183
Samoa,"185,000",184
Netherlands Antilles (Netherlands),"183,000",185
Guam (US),"170,000",186
Saint Lucia,"161,000",187
S?o Tom? and Pr?ncipe,"157,000",188
Channel Islands (UK),"149,000[7]",189
Saint Vincent and the Grenadines,"119,000",190
U.S. Virgin Islands (US),"112,000",191
Federated States of Micronesia,"110,000",192
Grenada,"103,000",193
Tonga,"102,000",194
Aruba (Netherlands),"99,000",195
Kiribati,"99,000",196
Antigua and Barbuda,"81,000",197
Northern Mariana Islands (US),"81,000",198
Seychelles,"81,000",199
Dominica,"79,000",200
Isle of Man (UK),"77,000",201
Andorra,"67,000",202
American Samoa (US),"65,000",203
Bermuda (UK),"64,000",204
Marshall Islands,"62,000",205
Greenland (Denmark),"57,000",206
Faroe Islands (Denmark),"47,000",207
Cayman Islands (UK),"45,000",208
Saint Kitts and Nevis,"43,000",209
Liechtenstein,"35,000",210
Monaco,"35,000",211
Gibraltar (UK),"28,000",212
San Marino,"28,000",213
Turks and Caicos Islands (UK),"26,000",214
British Virgin Islands (UK),"22,000",215
Palau,"20,000",216
Cook Islands (NZ),"18,000",217
Wallis and Futuna (France),"15,000",218
Nauru,"14,000",219
Anguilla (UK),"12,000",220
Tuvalu,"10,000",221
Saint-Pierre and Miquelon (France),"6,000",222
Saint Helena (UK),"5,000[8]",223
Montserrat (UK),"4,000",224
Falkland Islands (UK),"3,000",225
Vatican City,"1,000",226
Niue (NZ),"1,000",227
Tokelau (UK),"1,000",228
Pitcairn Islands (UK),67,229
