1040?85,Adam av Bremen,Historieskriver
1800?91,Helmuth Carl Bernhard Moltke,"Offiser; betydelig feltherre, hvis ideer danner grunnlaget for moderne generalstabsvirksomhet"
1803?73,Justus von Liebig,Kjemiker; en av 1800-tallets mast betydelige vitenskapsmenn
1809?47,Felix Mendelssohn-Bartholdy,Komponist; en av romantikkens f?rende skikkelser
1810?56,Robert Schumann,Komponist; en av romantikkens f?rende skikkelser
1813?83,Richard Wagner,Komponist; operakunstens store fornyer
1815?98,Otto von Bismarck,Statsmann; skaperen av Det tyske rike
1817?1903,Theodor Mommsen,Historiker og forfatter
1818?83,Karl Marx,Filosof; marxismens opphavsmann og forfatter av Kapitalen
1819?96,Clara Schumann (f. Wieck),Pianist og komponist: en av 1800-tallets fremste pianister
1820?95,Friedrich Engels,Filosof; medforfatter av Det kommunistiske manifest
1822?90,Heinrich Schliemann,Arkeolog; ledet utgravningene av Troja
1823?91,Leopold Kronecker,Matematiker; sentral innen tallteori og algebra
1824?87,Gustav Robert Kirchhoff,Fysiker; grunnlegger av den matematiske fysikk
1826?66,Georg Friedrich Bernhard Riemann,"Matematiker; meget sentral innen analyse og funksjonsteori, ogs? stor innflytelse p? fysikken"
1833?97,Johannes Brahms,"Komponist, skrev bl.a. fire symfonier og Ein deutsches Requiem"
1834?1900,Gottlieb Daimler,Ingeni?r; en av bilens ?fedre?
1834?1919,Ernst Haeckel,"Biolog; arbeidet mye med utviklingsl?ren, formulerte den biogenetiske grunnlov"
1844?1900,Friedrich Wilhelm Nietzsche,Filosof og dikter; en av filosofiens mest omstridte skikkelser
1844?1929,Carl Friedrich Benz,Ingeni?r; konstruerte Benz-motoren som ble grunnlaget for produksjon av Benz-bilene
1845?1918,Georg Cantor,Matematiker; grunnlegger av mengdel?ren
1845?1923,Wilhelm von R?ntgen,"Fysiker; oppdaget r?ntgenstr?lingen, Nobelprisen 1901"
1852?1919,Emil Fischer,Kjemiker; en av de betydeligste organiske kjemikere. Nobelprisen 1902
1858?1947,Max Karl Ernst Ludwig Planck,"Fysiker; viktige bidrag til kvanteteorien, Nobelprisen 1918"
1862?1943,David Hilbert,Matematiker; viktige arbeider innen geometriens aksiomer og oppbygning
1864?1920,Max Weber,"Sosiolog; en av sosiologiens grunnleggere, skrev bl.a. Den protestantiske etikk og kapitalismens ?nd (1904?05)"
1864?1949,Richard Strauss,Komponist og dirigent: skrev bl.a. operaen Rosenkavaleren
1870?1919,Rosa Luxemburg,Revolusjon?r politiker: en av initiativtakerne till Spartakusforbundet
1875?1955,Thomas Mann,Forfatter; kjent for sine romaner og noveller. Nobelprisen 1929
1879?1955,Albert Einstein,Fysiker; s?rlig kjent for sin relativitetsteori
1883?1969,Waiter Gropius,Arkitekt; en av funksjonalismens skapere
1886?1954,Wilhelm Furtw?ngler,Dirigent; en av 1900-tallets st?rste dirigenter
1886?1969,Ludwig Mies van der Rohe,Arkitekt; en av modernismens st?rste arkitekter
1886?1982,Karl von Frisch,Zoolog; s?rlig kjent for atferdsstudier hos bier. Nobelprisen 1973
1888?1931,Friedrich Wilhelm Murnau,Filmregiss?r; stumfilmens st?rste tyske navn
1889?1976,Martin Heidegger,Filosof; f?rende navn innenfor eksistensfilosofien
1892?1940,Walter Benjamin,Filosof; sentral marxistisk kulturteoretiker
1895?1991,Wilhelm Kempff,"Pianist og komponist; en av sin tids fremste tolkere av Beethoven, Schumann og Brahms"
1898?1956,Bertolt Brecht,Forfatter og teaterleder; kjent for sine skuespill
1900?50,Kurt Weill,Komponist; kjent for sitt samarbeid med Bertolt Brecht
1901?76,Warner Karl Heisenberg,"Fysiker; en av grunnleggerne av kvantefysikken, s?rlig kjent for sin usikkerhetsrelasjon. Nobelprisen 1932"
1901?92,Marlene Dietrich,Filmskuespiller og kabaretartist
1903?69,Theodor Adorno,Filosof; innflytelsesrik estetikkteoretiker og kulturfilosof
1903?89,Konrad Lorenz,Zoolog og lege; en av grunnleggerne av etologien. Nobelprisen i fysiologi og medisin 1973
1912?77,Wernher von Braun,"Rakettforsker, sentral i USAs romfartsprogram"
1913?92,Willy Brandt,Politiker; forbundskansler 1969?74. Nobels fredspris 1971 for sin tiln?rmingspolitikk overfor ?st-Europa
1917?85,Heinrich B?ll,Forfatter; kjent for sine romaner og noveller; Nobelprisen 1972
1926?,Siegfried Lenz,Forfatter; kjent for sine romaner og noveller
1927?,G?nter Grass,"Forfatter og billedkunstner; kjent for sine romaner og noveller, Nobelprisen 1999"
1929?,Christa Wolf,Forfatter; kjent for sine romaner og noveller
1929?,J?rgen Habermas,Filosof; en hovedtalsmann for den ?kritiske teori?.
1945?,Franz Beckenbauer,Fotballspiller; ?rets spiller i Europa 1972 og 1976
1945?,Anselm Kiefer,Billedkunstner; forl?per for retningen ?Die neue Wilden?
1946?82,Rainer Werner Fassbinder,Filmregiss?r; en av filmens produktive realister
1946?,Daniel Libeskind,Arkitekt; en rekke monumentalbygg i de senere ?r
1948?,Joschka Fischer,"Politiker; den ledende politiker fra De gr?nne, utenriksminister og visekansler 1998?2005"
1969?,Michael Schumacher,Racerkj?rer; sju verdensmesterskap i formel 1
