,Country,Members,Pop/Mem Ratio,Population
,Madagascar,108066,0,"18,912"
,Marshall Islands,683,0,53
,"Moldova, Republic of",11079,0,"4,136"
,Mauritius,4273,0,"1,268"
,Malawi,305090,0,"13,630"
,Mexico,616521,0,"107,677"
,Malaysia,50569,1,"27,711"
,Mozambique,236740,0,"20,387"
,Namibia,17104,0,"2,089"
,New Caledonia,672,0,247
,Northern Mariana Islands,231,0,87
,Martinique,14724,0,405
,Montserrat,1165,0,10
,Norfolk Island,43,0,2
,Nigeria,266705,1,"148,071"
,Nicaragua,102307,0,"5,669"
,Nauru,20,1,10
,Niue,14,0,1
,New Zealand,10569,0,"4,272"
,Panama,86944,0,"3,391"
,Peru,487935,0,"27,903"
,French Polynesia,4905,0,265
,Papua New Guinea,240296,0,"6,458"
,Philippines,620896,0,"90,457"
,Haiti,328029,0,"9,104"
,Honduras,219697,0,"7,322"
,India,1422326,1,"1,149,285"
,Iceland,561,1,319
,Jamaica,239998,0,"2,692"
,Kenya,620520,0,"37,954"
,Kiribati,2056,0,98
,Saint Kitts and Nevis,2087,0,48
,Cayman Islands,3846,0,54
,"Korea, Republic of",209017,0,"48,607"
,Saint Lucia,15064,0,171
,Liberia,24530,0,"3,942"
,Lesotho,6428,0,"1,801"
,Latvia,3950,1,"2,266"
,Cook Islands,769,0,11
,Chile,125420,0,"16,770"
,Cameroon,107946,0,"18,468"
,Colombia,263293,0,"44,447"
,Costa Rica,60338,0,"4,519"
,Cuba,29096,0,"11,233"
,Cape Verde,6208,0,503
,Belize,32091,0,318
,Canada,59354,1,"33,304"
,"Congo, Democratic Republic of the",525849,0,"66,515"
,Central African Republic,9521,0,"4,435"
,Bermuda,3707,0,64
,"Bolivia, Plurinational State of",209130,0,"10,028"
,Brazil,1227005,0,"195,138"
,Bahamas,17576,0,337
,Botswana,28601,0,"1,842"
,Australia,54130,0,"21,348"
,Aruba,676,0,105
,Barbados,17759,0,280
,Netherlands Antilles,8489,0,199
,Angola,340126,0,"16,752"
,Argentina,102320,0,"39,746"
,American Samoa,1797,0,70
,Antigua and Barbuda,8159,0,86
,Anguilla,767,0,15
,Fiji,28241,0,864
,Micronesia (Federated States of),1159,0,108
,Faeroe Islands,61,1,48
,Ethiopia,167961,0,"79,087"
,Burundi,113929,0,"8,856"
,Dominica,6600,0,73
,Dominican Republic,252703,0,"9,890"
,Guadeloupe,12034,0,456
,Equatorial Guinea,2268,0,617
,Guatemala,206875,0,"13,677"
,Guam,1232,0,177
,Guinea-Bissau,1967,1,"1,746"
,Guyana,53020,0,773
,Grenada,12663,0,106
,French Guiana,2308,0,207
,Ghana,346682,0,"23,947"
,Gabon,3258,0,"1,350"
,Ecuador,76437,0,"13,801"
,Estonia,1683,1,"1,340"
,Palau,876,0,20
,Paraguay,15318,0,"6,230"
,Reunion,1393,1,812
,Romania,67393,0,"21,498"
,Puerto Rico,36620,0,"3,958"
,Saint Helena,80,0,6
,Rwanda,445556,0,"9,609"
,Solomon Islands,39252,0,507
,Seychelles,852,0,87
,Tokelau,4,0,1
,Tonga,2288,0,102
,Togo,10474,1,"6,761"
,Sierra Leone,17433,0,"5,450"
,Suriname,3724,0,500
,Sao Tome and Principe,2261,0,158
,El Salvador,188372,0,"7,218"
,Swaziland,4894,0,"1,129"
,Turks and Caicos Islands,1804,0,37
,Samoa,5783,0,188
,South Africa,86557,1,"48,315"
,Zambia,612644,0,"12,197"
,Zimbabwe,570754,0,"13,481"
,Vanuatu,16499,0,240
,Trinidad and Tobago,61987,0,"1,338"
,Tuvalu,139,0,10
,"Tanzania, United Republic of",406850,0,"40,213"
,Ukraine,61035,1,"46,237"
,Uganda,193210,0,"29,194"
,United States of America,1021884,0,"304,487"
,Uruguay,6955,0,"3,334"
,Saint Vincent and the Grenadines,13512,0,110
,"Venezuela, Bolivarian Republic of",197257,0,"27,935"
,British Virgin Islands,1432,0,23
,United States Virgin Islands,7958,0,108
