Abbreviation,Common Name,Species
CALRUB,pinegrass,Calamagrostis rubescens
CARAQU,water sedge,Carex aquatilis
CARBIG,Bigelow sedge,Carex bigelowii
CARCAP,capitate sedge,Carex capitata
CARCHO,rope-root sedge,Carex chordorrhiza
CARCOC,low northern sedge,Carex concinna
CARELE,goose-grass sedge,Carex eleusinoides
CARFIL,threadleaf sedge,Carex filifolia
CARGAR,Garber sedge,Carex garberi
CARGEY,elk sedge,Carex geyeri
CARINO,long-stolon sedge,Carex inops
CARINOH,sun sedge,Carex inops subsp. heliophila
CARINOI,long-stolon sedge (typical subspecies),Carex inops subsp. inops
CARLEND,Kellog's sedge,Carex lenticularis var. dolia
CARLIV,pale sedge,Carex livida
CARPEN,yellow sedge,Carex pensylvanica
CARPET,rock sedge,Carex petricosa
CARROS,Ross's sedge,Carex rossii
CARROT,beaked sedge,Carex rostrata
CARSAX,russet sedge,Carex saxatilis
CARSTR,tussock sedge,Carex stricta
CARUTR,Northwest Territory sedge,Carex utriculata
CARVAG,sheathed sedge,Carex vaginata
CLAJAM,sawgrass,Cladium jamaicense
CYNDAC,Bermuda grass,Cynodon dactylon
DACGLO,orchardgrass,Dactylis glomerata
DANCOM,mountain oatgrass,Danthonia compressa
DANINT,timber oatgrass,Danthonia intermedia
DANSPI,poverty oatgrass,Danthonia spicata
DANUNI,onespike oatgrass,Danthonia unispicata
DESCES,tufted hairgrass,Deschampsia cespitosa
DESELO,slender hairgrass,Deschampsia elongata
DICACU,woolly panicum,Dichanthelium acuminatum
DIGCAL,Arizona cottontop,Digitaria californica
DISSPI,saltgrass,Distichlis spicata
ECHCRU,barnyard grass,Echinochloa crus-galli
ELEPAL,common spikerush,Eleocharis palustris
ELEROS,beaked spikerush,Eleocharis rostellata
ELYCAN,Canada wildrye,Elymus canadensis
ELYELY,bottlebrush squirreltail,Elymus elymoides
ELYGLA,blue wildrye,Elymus glaucus
ELYLAN,thickspike wheatgrass,Elymus lanceolatus
ELYMAC,thickspike wildrye,Elymus macrourus
ELYREP,quackgrass,Elymus repens
ELYTRA,slender wheatgrass,Elymus trachycaulus
ERACUR,weeping lovegrass,Eragrostis curvula
ERAINT,plains lovegrass,Eragrostis intermedia
ERALEH,Lehmann lovegrass,Eragrostis lehmanniana
EREOPH,centipede grass,Eremochloa ophiuroides
ERIVAG,sheathed cottonsedge,Eriophorum vaginatum
ERIVIR,green-keeled cottonsedge,Eriophorum viridi-carinatum
FESSPP,northern rough fescue,Festuca altaica
FESARI,Arizona fescue,Festuca arizonica
FESCAL,California fescue,Festuca californica
FESSPP,mountain rough fescue,Festuca campestris
FESSPP,plains rough fescue,Festuca hallii
FESIDA,Idaho fescue,Festuca idahoensis
FESOVI,viviparous sheep fescue,Festuca ovina var. vivipara
FESRUB,red fescue,Festuca rubra
FESSUB,bearded fescue,Festuca subulata
FESTHU,Thurber fescue,Festuca thurberi
HESCOM,needle-and-thread grass,Hesperostipa comata
HESSPA,porcupine grass,Hesperostipa spartea
HIEODO,sweet grass,Hierochloe odorata
HILBEL,curlymesquite,Hilaria belangeri
HOLLAN,common velvetgrass,Holcus lanatus
HORJUB,foxtail barley,Hordeum jubatum
IMPBRA,Brazilian satintail,Imperata brasiliensis
IMPCYL,cogon grass,Imperata cylindrica
JUNBAL,Baltic rush,Juncus balticus
JUNCAS,chestnut rush,Juncus castaneus
JUNROE,black rush,Juncus roemerianus
JUNTRIA,three-flowered rush,Juncus triglumis var. albescens
KOBSIM,simple kobresia,Kobresia simpliciuscula
KOEMAC,prairie Junegrass,Koeleria macrantha
LEUKIN,spike fescue,Leucopoa kingii
LEYAMB,Colorado wildrye,Leymus ambiguus
LEYCIN,basin wildrye,Leymus cinereus
LEYINN,boreal wildrye,Leymus innovatus
LEYSAL,Salina wildrye,Leymus salinus
LOLMUL,Italian ryegrass,Lolium multiflorum
LOLPER,perennial ryegrass,Lolium perenne
LUZHIT,smooth woodrush,Luzula hitchcockii
LYCSPP,common wolfstail,Lycurus phleoides
LYCSPP,bristly wolfstail,Lycurus setosus
LYCSPP,wolfstail,Lycurus spp.
MELMIN,molasses grass,Melinis minutiflora
MICVIM,Japanese stiltgrass,Microstegium vimineum
MISSIN,Chinese silvergrass,Miscanthus sinensis
MUHCUS,plains muhly,Muhlenbergia cuspidata
MUHGLO,spiked muhly,Muhlenbergia glomerata
MUHMON,mountain muhly,Muhlenbergia montana
MUHPOR,bush muhly,Muhlenbergia porteri
MUHRAC,green muhly,Muhlenbergia racemosa
MUHRIC,mat muhly,Muhlenbergia richardsonis
NASPUL,purple needlegrass,Nassella pulchra
NASVIR,green needlegrass,Nassella viridula
NEYREY,silk reed,Neyraudia reynaudiana
PANHEM,maidencane,Panicum hemitomon
PANOBT,vine-mesquite,Panicum obtusum
PANREP,torpedograss,Panicum repens
PANVIR,switchgrass,Panicum virgatum
PASDIS,knotgrass,Paspalum distichum
PASSMI,western wheatgrass,Pascopyrum smithii
PENCIL,buffelgrass,Pennisetum ciliare
PHAARU,reed canarygrass,Phalaris arundinacea
PHLPRA,timothy,Phleum pratense
PHRAUS,common reed,Phragmites australis
PHYAUR,golden bamboo,Phyllostachys aurea
PLEJAM,galleta,Pleuraphis jamesii
PLEMUT,tobosa,Pleuraphis mutica
PLERIG,big galleta,Pleuraphis rigida
POAARI,plains bluegrass,Poa arida
POABUL,bulbous bluegrass,Poa bulbosa
POACOM,Canada bluegrass,Poa compressa
POACUS,Cusick's bluegrass,Poa cusickii
POAPRA,Kentucky bluegrass,Poa pratensis
POASEC,Sandberg bluegrass,Poa secunda
PSAJUN,Russian wildrye,Psathyrostachys juncea
PSESPI,bluebunch wheatgrass,Pseudoroegneria spicata
SCHARU,tall fescue,Schedonorus arundinaceus
SCHPRA,meadow fescue,Schedonorus pratensis
SCHSCO,little bluestem,Schizachyrium scoparium
SCHTEN,slender bluestem,Schizachyrium tenerum
SCHACU,hardstem bulrush,Schoenoplectus acutus
SCHAME,Olney's three-square bulrush,Schoenoplectus americanus
SCHSUB,water bulrush,Schoenoplectus subterminalis
SCHTAB,soft-stem bulrush,Schoenoplectus tabernaemontani
SCOFES,common river grass,Scolochloa festucacea
SORHAL,Johnson grass,Sorghum halepense
SORNUT,indiangrass,Sorghastrum nutans
SPAALT,smooth cordgrass,Spartina alterniflora
SPAPAT,saltmeadow cordgrass,Spartina patens
SPAPEC,prairie cordgrass,Spartina pectinata
SPOAIR,alkali sacaton,Sporobolus airoides
SPOCOM,tall dropseed,Sporobolus compositus
SPOCRY,sand dropseed,Sporobolus cryptandrus
SPOFLE,mesa dropseed,Sporobolus flexuous
SPOHET,prairie dropseed,Sporobolus heterolepis
SPOWRI,big sacaton,Sporobolus wrightii
TAECAP,medusahead,Taeniatherum caput-medusae
TRIALP,alpine bulrush,Trichophorum alpinum
TRIMUT,slim tridens,Tridens muticus
TYPANG,narrow-leaved cattail,Typha angustifolia
TYPLAT,common cattail,Typha latifolia
UNIPAN,sea oats,Uniola paniculata
UROMUT,para grass,Urochloa mutica
VULMIC,small sixweeks grass,Vulpia microstachys
VULMYU,rattail sixweeks grass,Vulpia myuros
VULOCT,sixweeks grass,Vulpia octoflora
