Director,Length,Matting,Media Type,Title,Writer,Year
Jeff Tremaine,87,Widescreen,DVD,Jackass - The Movie,Jeff Tremaine,2002
Jeff Tremaine,95,Widescreen,DVD,Jackass Number Two,Jeff Tremaine,2006
Kevin Smith,104,Widescreen,DVD,Jay and Silent Bob Strike Back,Kevin Smith,2001
Norman Jewison,108,Widescreen,DVD,Jesus Christ Superstar,Tim Rice,1973
Jason Reitman,96,Widescreen,Blu-Ray,Juno,Diablo Cody,2007
John G. Avildsen,127,Widescreen,DVD,"Karate Kid, The",Robert Mark Kamen,1984
Ken Block,37,Widescreen,DVD,Ken Block Stunts Vol. 1,N/A,2009
Jeff Stein,101,Widescreen,Blu-Ray,"Kids Are Alright, The",Jeff Stein,1979
Judd Apatow,133,Widescreen,DVD,Knocked Up,Judd Apatow,2007
Kevin Macdonald,123,Widescreen,DVD,"Last King of Scotland, The",Peter Morgan,2006
Lee H. Katzin,106,Widescreen,DVD,Le Mans,Harry Kleiner,1971
Paul Miller,116,Fullscreen,DVD,Lewis Black Unleashed,Lewis Black,2002
Luc Besson,133,Widescreen,Blu-Ray,L?on The Professional,Luc Besson,1994
Tom Shadyac,86,Widescreen,DVD,Liar Liar,Paul Guay,1997
Andrew Scheinman,119,Fullscreen,DVD,Little Big League,Gregory K. Pincus,1994
Sofia Coppola,102,Widescreen,DVD,Lost in Translation,Sofia Coppola,2003
Kevin Smith,94,Widescreen,DVD,Mallrats,Kevin Smith,1995
Milos Forman,118,Widescreen,DVD,Man on the Moon,Scott Alexander,1999
Brothers Wachowski,136,Widescreen,DVD,"Matrix, The",Brothers Wachowski,1999
Grant Gee,95,Fullscreen,DVD,Meeting People Is Easy,N/A,1999
Christopher Nolan,113,Widescreen,DVD,Memento,Christopher Nolan,2000
Barry Sonnenfeld,98,Widescreen,Blu-Ray,Men In Black,Ed Solomon,1997
Paul Gross,102,Widescreen,DVD,Men with Brooms,Paul Gross,2002
Stephen Herek,100,Widescreen,DVD,"Mighty Ducks, The",Steven Brill,1992
Gus Van Sant,129,Widescreen,Blu-Ray,Milk,Dustin Lance Black,2008
Gavin O'Connor,135,Widescreen,DVD,Miracle,Eric Guggenheim,2004
Brian De Palma,110,Widescreen,DVD,Mission: Impossible,David Koepp,1996
Comedy Central,65,Fullscreen,DVD,Mitch Hedberg: Mitch All Together,Mitch Hedberg,2003
Terry Gilliam,91,Widescreen,DVD,Monty Python and the Holy Grail,Graham Chapman,1975
Terry Jones,94,Widescreen,DVD,Monty Python's Life of Brian,Graham Chapman,1979
Terry Jones,108,Widescreen,DVD,Monty Python's The Meaning of Life,Graham Chapman,1983
Stephen Herek,143,Widescreen,DVD,Mr. Holland's Opus,Patrick Sheane Duncan,1996
Jeff Bleckner,133,Fullscreen,DVD,"Music Man, The",Sally Robinson,2003
Herbert Ross,96,Fullscreen,DVD,My Blue Heaven,Nora Ephron,1990
Jonathan Lynn,120,Widescreen,DVD,My Cousin Vinny,Dale Launer,1992
Jay Roach,119,Widescreen,DVD,"Mystery, Alaska",David E. Kelley,1999
Jared Hess,82,Both,DVD,Napoleon Dynamite,Jared Hess,2004
Joel Gallen,89,Widescreen,DVD,Not Another Teen Movie,Michael G. Bender,2001
Nick Cassavetes,124,Both,DVD,"Notebook, The",Jeremy Leven,2004
Ken Kwapis,135,Widescreen,DVD,"Office - Season One, The",Greg Daniels,2005
Mike Judge,89,Widescreen,DVD,Office Space,Mike Judge,1999
Milos Forman,133,Widescreen,Blu-Ray,One Flew Over the Cuckoo's Nest,Lawrence Hauben,1975
Francis Ford Coppola,91,Both,DVD,"Outsiders , The",Kathleen Knuten Rowell,1983
Adam Dubin,35,Fullscreen,DVD,"Pair of Lewis Black Shorts, A",Adam Dubin,2003
Michael Bay,183,Widescreen,Blu-Ray,Pearl Harbor,Randall Wallace,2001
Tim Burton,90,Widescreen,DVD,Pee-wee's Big Adventure,Phil Hartman,1985
Joel Schumacher,143,Widescreen,DVD,"Phantom of the Opera, The",Andrew Lloyd Webber,2004
Darren Aronofsky,84,Widescreen,DVD,Pi,Darren Aronofsky,1998
Martyn Burke,95,Fullscreen,DVD,Pirates of Silicon Valley,Martyn Burke,1999
Michael Schultz,358,Fullscreen,DVD,"Practice - Volume One - Discs 1&2, The",David E. Kelley,1997
Michael Schultz,226,Fullscreen,DVD,"Practice - Volume One - Discs 3&4, The",David E. Kelley,1997
Christopher Nolan,130,Widescreen,DVD,"Prestige, The",Jonathan Nolan,2006
Susan Stroman,134,Widescreen,DVD,"Producers, The",Mel Brooks,2005
Marc Forster,106,Widescreen,Blu-Ray,Quantum of Solace,Paul Haggis,2008
Intersport,107,Widescreen,DVD,Racing into Darkness,N/A,2010
Martin Scorsese,129,Widescreen,Blu-Ray,Raging Bull,Paul Schrader,1980
Barry Levinson,133,Widescreen,DVD,Rain Man,Ronald Bass,1988
Boaz Yakin,113,Widescreen,Blu-Ray,Remember the Titans,Gregory Allen Howard,2000
Claude Lelouch,9,Fullscreen,DVD,Rendezvous,Claude Lelouch,1976
Chris Columbus,135,Widescreen,DVD,Rent,Stephen Chbosky,2005
Michael John Warren,165,Widescreen,Blu-Ray,Rent: Filmed Live on Broadway,Jonathan Larson,2008
Darren Aronofsky,102,Widescreen,DVD,Requiem for a Dream,Hubert Selby Jr.,2000
Quentin Tarantino,100,Both,DVD,Reservoir Dogs,Quentin Tarantino,1992
Mel Brooks,104,Widescreen,DVD,Robin Hood - Men in Tights,Mel Brooks,1993
Jim Sharman,100,Widescreen,DVD,"Rocky Horror Picture Show, The",Richard O'Brien,1975
Franco Zeffirelli,138,Widescreen,DVD,Romeo and Juliet,Franco Brusati,1968
John Frankenheimer,121,Both,DVD,Ronin,J.D. Zeik,1998
John Dahl,121,Widescreen,DVD,Rounders,David Levien,1998
David Anspaugh,112,Widescreen,DVD,Rudy,Angelo Pizzo,1993
Neils Alpert,87,Fullscreen,DVD,Rufus Wainwright: Live at the Fillmore,Rufus Wainwright,2004
William Friedkin,127,Widescreen,DVD,Rules of Engagement,Stephen Gaghan,2000
Wes Anderson,93,Widescreen,DVD,Rushmore,Wes Anderson,1998
Nicholas Webster,81,Fullscreen,DVD,Santa Claus Conquers the Martians,Glenville Mareth,1964
Liam Lynch,72,Widescreen,DVD,Sarah Silverman: Jesus is Magic,Sarah Silverman,2005
James Wan,102,Widescreen,DVD,Saw,Leigh Whannell,2004
Darren Lynn Bousman,93,Widescreen,DVD,Saw II,Leigh Whannell,2005
Richard Linklater,108,Widescreen,DVD,"School of Rock , The",Mike White,2003
David Fincher,127,Widescreen,DVD,Se7en,Andrew Kevin Walker,1995
Steven Zaillian,110,Widescreen,DVD,Searching for Bobby Fischer,Steven Zaillian,1993
Tom Cherones,115,Fullscreen,DVD,Seinfeld - Season 1 - Disc 1,Larry David,1989
Tom Cherones,115,Fullscreen,DVD,Seinfeld - Season 2 - Disc 1,Larry David,1990
Tom Cherones,115,Fullscreen,DVD,Seinfeld - Season 2 - Disc 2,Larry David,1990
Tom Cherones,115,Fullscreen,DVD,Seinfeld - Season 2 - Disc 3,Larry David,1990
Tom Cherones,115,Fullscreen,DVD,Seinfeld - Season 3 - Disc 1,Larry David,1991
Tom Cherones,115,Fullscreen,DVD,Seinfeld - Season 3 - Disc 2,Larry David,1991
Tom Cherones,138,Fullscreen,DVD,Seinfeld - Season 3 - Disc 3,Larry David,1991
Tom Cherones,138,Fullscreen,DVD,Seinfeld - Season 3 - Disc 4,Larry David,1991
Tom Cherones,138,Fullscreen,DVD,Seinfeld - Season 4 - Disc 1,Larry David,1992
Tom Cherones,115,Fullscreen,DVD,Seinfeld - Season 4 - Disc 2,Larry David,1992
Tom Cherones,138,Fullscreen,DVD,Seinfeld - Season 4 - Disc 3,Larry David,1992
Tom Cherones,161,Fullscreen,DVD,Seinfeld - Season 4 - Disc 4,Larry David,1992
Tom Cherones,115,Fullscreen,DVD,Seinfeld - Season 5 - Disc 1,Larry David,1993
Tom Cherones,115,Fullscreen,DVD,Seinfeld - Season 5 - Disc 2,Larry David,1993
Tom Cherones,138,Fullscreen,DVD,Seinfeld - Season 5 - Disc 3,Larry David,1993
Tom Cherones,138,Fullscreen,DVD,Seinfeld - Season 5 - Disc 4,Larry David,1993
Andy Ackerman,138,Fullscreen,DVD,Seinfeld - Season 6 - Disc 1,Larry David,1994
Andy Ackerman,138,Fullscreen,DVD,Seinfeld - Season 6 - Disc 2,Larry David,1994
Andy Ackerman,138,Fullscreen,DVD,Seinfeld - Season 6 - Disc 3,Larry David,1994
Andy Ackerman,138,Fullscreen,DVD,Seinfeld - Season 6 - Disc 4,Larry David,1994
Ingmar Bergman,97,Fullscreen,Blu-Ray,"Seventh Seal, The",Ingmar Bergman,1957
John Madden,123,Widescreen,DVD,Shakespeare in Love,Marc Norman,1999
Frank Darabont,142,Widescreen,DVD,"Shawshank Redemption, The",Frank Darabont,1994
Paul Verhoeven,128,Widescreen,DVD,Showgirls,Joe Eszterhas,1995
Jonathan Demme,118,Widescreen,DVD,"Silence of the Lambs , The",Ted Tally,1991
Rob Cohen,107,Widescreen,DVD,"Skulls, The",John Pogue,2000
George Roy Hill,123,Widescreen,DVD,Slap Shot,Nancy Dowd,1977
Dave Wilson,76,Fullscreen,DVD,SNL: Best of Will Ferrell,SNL Writing Staff,2003
Trey Parker,81,Widescreen,DVD,"South Park: Bigger, Longer & Uncut",Matt Stone,1999
Mel Brooks,96,Both,DVD,Spaceballs,Mel Brooks,1987
Jan de Bont,116,Widescreen,DVD,Speed,Graham Yost,1994
Thomas Schlamme,,Fullscreen,DVD,Sports Night - Season 1 - Discs 1 & 2,Aaron Sorkin,1998
Thomas Schlamme,,Fullscreen,DVD,Sports Night - Season 1 - Discs 3 & Bonus,Aaron Sorkin,1999
Thomas Schlamme,,Fullscreen,DVD,Sports Night - Season 2 - Discs 1 & 2,Aaron Sorkin,1999
Thomas Schlamme,,Fullscreen,DVD,Sports Night - Season 2 - Discs 3 & Bonus,Aaron Sorkin,2000
Jonas ?kerlund,101,Widescreen,DVD,Spun,Creighton Vero,2002
Ram?n Men?ndez,103,Fullscreen,DVD,Stand and Deliver,Ram?n Men?ndez,1988
George Lucas,133,Widescreen,DVD,Star Wars: Episode I - The Phantom Menace,George Lucas,1999
George Lucas,142,Widescreen,DVD,Star Wars: Episode II - Attack of the Clones,George Lucas,2002
George Lucas,140,Widescreen,DVD,Star Wars: Episode III - Revenge of the Sith,George Lucas,2005
George Lucas,123,Widescreen,DVD,Star Wars: Episode IV - A New Hope,George Lucas,1977
Irvin Kershner,129,Widescreen,DVD,Star Wars: Episode V - The Empire Strikes Back,Leigh Brackett,1980
Richard Marquand,136,Widescreen,DVD,Star Wars: Episode VI - Return of the Jedi,Lawrence Kasdan,1983
George Lucas,236,Widescreen,DVD,Star Wars: Trilogy Bonus Material,N/A,2004
David Koepp,94,Widescreen,Blu-Ray,Stir of Echoes,David Koepp,1999
Marc Forster,113,Widescreen,DVD,Stranger Than Fiction,Zach Helm,2006
Morgan Spurlock,100,Widescreen,DVD,Super Size Me,N/A,2004
Jay Chandrasekhar,103,Widescreen,DVD,Super Troopers,Jay Chandrasekhar,2001
Dominic Sena,99,Widescreen,DVD,Swordfish,Skip Woods,2001
Anthony Minghella,139,Widescreen,DVD,"Talented Mr. Ripley, The",Anthony Minghella,1999
Adam McKay,121,Widescreen,DVD,Talladega Nights: The Ballad of Ricky Bobby,Will Ferrell,2006
Liam Lynch,95,Widescreen,DVD,Tenacious D in The Pick of Destiny,Jack Black,2006
Tom Gianas,133,Fullscreen,DVD,Tenacious D: The Complete Masterworks,Jack Black,2003
Jason Reitman,91,Widescreen,DVD,Thank You for Smoking,Jason Reitman,2006
Paul Thomas Anderson,158,Widescreen,Blu-Ray,There Will Be Blood,Paul Thomas Anderson,2007
Rob Reiner,82,Widescreen,DVD,This Is Spinal Tap,Christopher Guest,1984
John McTiernan,113,Both,DVD,"Thomas Crown Affair, The",Leslie Dixon,1999
Robert Mulligan,130,Widescreen,DVD,To Kill a Mockingbird,Horton Foote,1962
Tom Green,50,Fullscreen,DVD,"Tom Green Subway Monkey Hour, The",Scott Tomlinson,2002
Tom Green,600,Fullscreen,DVD,Tom Green: Inside and Outside the Box,Tom Green,1996
Ken Russell,111,Both,DVD,Tommy,Ken Russell,1975
Peter Segal,97,Widescreen,DVD,Tommy Boy,Bonnie Turner,1995
Brian Klein,571,Fullscreen,DVD,Top Gear Season 1,Jeremy Clarkson,2002
Brian Klein,512,Fullscreen,DVD,Top Gear Season 2,Jeremy Clarkson,2003
Brian Klein,476,Fullscreen,DVD,Top Gear Season 3,Jeremy Clarkson,2003
Brian Klein,591,Widescreen,DVD,Top Gear Season 4,Jeremy Clarkson,2004
Brian Klein,529,Widescreen,DVD,Top Gear Season 5,Jeremy Clarkson,2004
Brian Klein,652,Widescreen,DVD,Top Gear Season 6,Jeremy Clarkson,2005
Brian Klein,416,Widescreen,DVD,Top Gear Season 7,Jeremy Clarkson,2005
Brian Klein,476,Widescreen,DVD,Top Gear Season 8,Jeremy Clarkson,2006
Brian Klein,417,Widescreen,DVD,Top Gear Season 9,Jeremy Clarkson,2007
Brian Klein,604,Widescreen,DVD,Top Gear Season 10,Jeremy Clarkson,2007
Brian Klein,366,Widescreen,DVD,Top Gear Season 11,Jeremy Clarkson,2008
Brian Klein,497,Widescreen,DVD,Top Gear Season 12,Jeremy Clarkson,2008
Brian Klein,,Widescreen,DVD,Top Gear Season 13,Jeremy Clarkson,2009
Brian Klein,440,Widescreen,DVD,Top Gear Season 14,Jeremy Clarkson,2009
Brian Klein,,Widescreen,DVD,Top Gear Season 15,Jeremy Clarkson,2010
Tony Scott,110,Both,DVD,Top Gun,Jim Cash,1986
Antoine Fuqua,120,Widescreen,Blu-Ray,Training Day,David Ayer,2001
Peter Weir,103,Widescreen,DVD,"Truman Show , The",Andrew Niccol,1998
Keith Cossrow,95,Widescreen,DVD,Truth in 24,Bennett Viseltear,2008
Jay Levey,97,Both,DVD,UHF,Al Yankovic,1989
M. Night Shyamalan,107,Widescreen,DVD,Unbreakable,M. Night Shyamalan,2000
Brian De Palma,119,Widescreen,DVD,"Untouchables, The",David Mamet,1987
Bryan Singer,106,Both,DVD,"Usual Suspects, The",Christopher McQuarrie,1995
James McTeigue,132,Widescreen,DVD,V for Vendetta,Brothers Wachowski,2005
Brian Robbins,104,Widescreen,DVD,Varsity Blues,W. Peter Iliff,1999
Tony Maylam,88,Widescreen,DVD,Victory by Design: Porsche,Tony Maylam,2004
Mick Jackson,104,Widescreen,DVD,Volcano,Jerome Armstrong,1997
Rob McKittrick,94,Widescreen,DVD,Waiting...,Rob McKittrick,2005
Alan Parker,95,Widescreen,DVD,"Wall, The",Roger Waters,1982
Oliver Stone,126,Widescreen,Blu-Ray,Wall Street,Stanley Weiser,1987
Chris Hegedus,97,Fullscreen,DVD,"War Room, The",N/A,1994
John Badham,113,Widescreen,DVD,WarGames,Lawrence Lasker,1983
Frank Coraci,95,Both,DVD,"Wedding Singer , The",Tim Herlihy,1998
Francis Delia,75,Fullscreen,DVD,Weird Al Yankovic: The Videos,Al Yankovic,1996
Jerome Robbins,151,Fullscreen,DVD,West Side Story,Arthur Laurents,1961
Chris Paine,91,Widescreen,DVD,Who Killed the Electric Car?,Chris Paine,2006
Mel Stuart,100,Fullscreen,DVD,Willy Wonka & the Chocolate Factory,Roald Dahl,1971
Victor Fleming,203,Fullscreen,DVD,"Wizard of Oz, The",Noel Langley,1939
Ned Rodgers,66,Fullscreen,DVD,World's Greatest Roller Coaster Thrills In 3-D,Ned Rodgers,1995
Darren Aronofsky,111,Widescreen,Blu-Ray,"Wrestler, The",Robert D. Siegel,2008
Bryan Singer,104,Widescreen,Blu-Ray,X-Men,David Hayter,2000
Michael Blieden,72,Widescreen,DVD,Zach Galifianakis: Live at the Purple Onion,Zach Galifianakis,2006
Ben Stiller,89,Widescreen,DVD,Zoolander,Drake Sather,2001
