City,City population,Country,Mayor,Metro population,World rank
Memphis,"670,000",USA,AC Wharton,"1,281,000",555
Mendoza,"113,000",Argentina,V�ctor Fayad,"849,000",n/r
Merida,"734,000",Mexico,C�sar Boj�rquez Zapata,"890,000",525
Mexicali,"1,000,000",Mexico,n/k,"1,000,000",411
MEXICO CITY,"8,841,000",Mexico,Marcelo Ebrard,"21,163,000",14
Miami,"386,000",USA,Tom�s Regalado,"5,413,000",n/r
Mianyang,"1,300,000",China,Liu Dong,"5,200,000",292
Milan,"1,302,000",Italy,Letizia Moratti,"4,051,000",289
Milwaukee,"604,000",USA,Tom Barrett,"1,740,000",569
Minneapolis,"392,000",USA,R T Rybak,"3,503,000",n/r
MINSK,"1,831,000",Belarus,Nikolai Ladutko,,155
Mirat,"1,095,000",India,n/k,"1,095,000",370
MOGADISHU,"1,500,000",Somalia,Mohamud Ahmed Tarzan,"2,500,000",218
Mombasa,"880,000",Kenia,Ahmed Abubakar Mohdhar,,458
MONROVIA,"543,000",Liberia,Ophelia Hoff Saytumah,"1,010,000",594
Monterrey,"2,057,000",Mexico,Fernando Larrazabal,"3,650,000",137
MONTEVIDEO,"1,326,000",Uruguay,Ana Olivera,"1,723,000",285
Montpellier,"252,000",France,H�l�ne Mandroux-Colas,,n/r
Montreal,"1,621,000",Canada,G�rald Tremblay,"3,636,000",189
MOSCOW,"10,524,000",Russia,Sergei Sobyanin,"14,800,000",10
Mosul,"1,139,000",Iraq,n/k,"1,139,000",348
Mudanjiang,"1,014,000",China,n/k,"2,707,000",402
Multan,"1,424,000",Pakistan,Mian Faisal Mukhtar,"1,500,000",243
Mumbai (Bombay),"13,900,000",India,Shraddha Jadhav,"21,200,000",3
Munich,"1,367,000",Germany,Christian Ude,"2,600,000",271
M�nster,"274,000",Germany,Markus Lewe,,n/r
Mysore,"799,000",India,Purushotham,,501
Nagoya,"2,260,000",Japan,Takashi Kawamura,"9,250,000",125
Nagpur,"2,420,000",India,Archana Dehankar,,117
NAIROBI,"3,130,000",Kenya,Geoffrey Majiwa,"3,300,000",74
Nanan,"1,480,000",China,Chen Law,,224
Nanchang,"1,844,000",China,Hu Xian,"3.790,000",154
Nanchong,"1,950,000",China,Liu Hongjian,"7,300,000",144
Nanjing,"4,150,000",China,Ji Jianye,"7,600,000",51
Nanning,"2,450,000",China,Huang Fangfang,"6,480,000",115
Nantes,"283,000",France,Jean-Marc Ayrault,"804,000",n/r
Nanyang,"800,000",China,Huang Xingwei,"10,700,000",500
Naples,"963,000",Italy,Rosa Russo Jervolino,"3,000,000",423
Nashik,"1,620,000",India,Nayana Gholap,,190
Nashville,"626,000",USA,Karl Dean,"1,633,000",565
Natal,"790,000",Brazil,n/k,"1,100,000",503
Naucalpan,"822,000",Mexico,Azucena Olivares Villag�mez,"835,000",478
Neijiang,"1,560,000",China,n/k,,201
New Orleans,"488,000",USA,Mitch Landrieu,"1,350,000",n/r
New York City,"8,364,000",USA,Michael Bloomberg,"20,090,000",17
Newcastle upon Tyne,"234,000",UK,n/k,"800,000",n/r
Nezahualcoyotl,"1,141,000",Mexico,Edgar Ces�reo Navarro S�nchez,"1,150,000",346
Nice,"347,000",France,Christian Estrosi,"943,000",n/r
Niigata,"812,000",Japan,Akira Shinoda,,486
Ningbo,"2,201,000",China,Mao Guanglie,"5,600,000",130
Nizhniy Novgorod,"1,280,000",Russia,Vadim Bulavinov,"1,900,000",304
Norfolk,"850,000",USA,Paul D Fraim,"1,616,000",466
Nova Iguacu,"846,000",Brazil,Lindberg Farias,"959,000",469
Novosibirsk,"1,396,000",Russia,Vladimir Gorodetsky,"1,429,000",258
Nuremberg,"504,000",Germany,Ulrich Maly,"1,008,000",n/r
Oakland,"446,900",USA,Jean Quan,,n/r
Oberhausen,"216,000",Germany,Klaus Wehling,,n/r
Odessa,"1,080,000",Ukraine,Eduard Gurwits,"1,200,000",377
Ogbomosho,"726,000",Nigeria,n/k,"985,000",527
Okayama,"700,000",Japan,Shigeo Takaya,"1,250,000",539
Okinawa,"129,000",Japan,Kita Kurose,,n/r
Oklahoma City,"551,000",USA,Mick Cornett,"1,276,000",588
Omdurman,"2,400,000",Sudan,Al-Fatih Az-ddin,,118
Omsk,"1,137,000",Russia,Viktor Shreyder,"1,145,000",350
Onitsha,"509,000",Nigeria,n/k,"1,001,000",n/r
Oran,"683,000",Algeria,Saddek Benkada,"772,000",547
Orlando,"231,000",USA,Buddy Dyer,"2,055,000",n/r
Osaka,"2,647,000",Japan,Kunio Hiramatsu,"17,590,000",95
Osh,"230,000",Kyrgyztan,Melis Myrzakmatov,,n/r
Oshogbo,"421,000",Nigeria,n/k,"1,309,000",n/r
OSLO,"584,000",Norway,Fabian Stang,"876,000",575
OTTAWA,"815,000",Canada,Larry O'Brien,"1,131,000",483
OUAGADOUGOU,"1,475,000",Burkina Faso,Simon Compaor�,"1,727,000",225
Padang,"820,000",Indonesia,Fauzi Bahar,"900,000",481
Palembang,"1,600,000",Indonesia,Eddy Santana Putra,,195
Palermo,"684,000",Italy,Diego Cammarata,"947,000",546
PANAMA CITY,"850,000",Panama,Bosco Vallarino,"1,220,000",467
Panzhihua,"478,000",China,n/k,"771,000",n/r
PARIS,"2,113,000",France,Bertrand Delano�,"11,769,000",133
Patna,"1,800,000",India,GhanShyam Kumar,"2,500,000",160
Perm,"1,010,000",Russia,Igor Shubin,"1,200,000",404
Perth,"1,603,000",Australia,Lisa Scaffidi,,193
Peshawar,"1,100,000",Pakistan,Muhammad Umar Khan,"3,100,000",367
Philadelphia,"1,540,000",USA,Michael Nutter,"5,345,000",205
PHNOM PENH,"1,242,000",Cambodia,Keb Chutema,"2,001,000",314
Phoenix,"1,568,000",USA,Phil Gordon,"4,282,000",199
Pikine-Guediawaye,"1,200,000",Senegal,n/k,,325
Pimpri Chinchwad,"1,515,000",India,Yogesh Behl,,213
Pingdingshan,"1,230,000",China,Deng Yongjian,"5,200,000",316
Pingdu,"1,340,000",China,n/k,,281
Pittsburgh,"335,000",USA,Luke Ravenstahl,"2,411,000",n/r
Pointe Noire,"527,000",Congo Br,n/k,"789,000",n/r
Port Elizabeth,"833,000",South Africa,Nondumiso Maphasi,"1,245,000",471
Port Harcourt,"2,667,000",Nigeria,Azubuike Nmerukini,"3,761,000",94
PORT-AU-PRINCE,"1,083,000",Haiti,Jean Yves Jason,"1,728,000",376
Portland,"542,000",USA,Sam Adams,"2,255,000",596
Porto,"263,000",Portugal,Rui Rio,"1,210,000",n/r
Porto Alegre,"1,355,000",Brazil,Jos� Fortunati,"3,646,000",273
PRAGUE,"1,242,000",Czech Republic,Zdenek Tuma,"1,900,000",315
Puebla,"1,888,000",Mexico,Blanca Alcala Ruiz,"2,500,000",150
Pune,"3,337,000",India,Mohansingh Rajpal,"4,470,000",71
PYONGYANG,"3,255,000",North Korea,n/k,"3,400,000",72
Qianjiang,"1,190,000",China,n/k,,330
Qidong,"1,160,000",China,n/k,,342
Qingdao,"2,755,000",China,Xia Geng,"7,580,000",88
Qiqihaer,"1,439,000",China,Liu Gang,"6,011,000",240
Qom,"1,042,000",Iran,n/k,,393
Quanzhou,"1,490,000",China,Zhu Ming,"7,790,000",220
Qu�bec,"495,000",Canada,R�gis Labeaume,"717,000",n/r
Quezon City,"2,680,000",Philippines,Herbert M Bautis,,92
QUITO,"1,648,000",Ecuador,Augusto Barrera,"1,842,000",187
RABAT,"627,000",Morocco,Omar El Bahraoui,"1,790,000",564
Rajkot,"1,336,000",India,Sandhya Vyas,,283
Raleigh,"393,000",USA,Charles Meeker,"1,691,000",n/r
Ranchi,"1,290,000",India,Rama Khalkho,,298
Rawalpindi,"1,558,000",Pakistan,Raja Hamid Nawaz,"2,548,000",202
Recife,"1,561,000",Brazil,Jo�o da Costa Bezerra Filho,"3,769,000",200
Rennes,"206,000",France,Daniel Delaveau,,n/r
Ribeirao Preto,"547,000",Brazil,D�rcy Vera,"789,000",591
Richmond,"200,000",USA,Dwight Clinton Jones,"1,213,000",n/r
RIGA,"725,000",Latvia,Nils Usakovs,"878,000",528
Rio de Janeiro,"6,093,000",Brazil,Eduardo Paes,"14,387,000",31
RIYADH,"4,950,000",Saudi Arabia,Abdul Aziz ibn 'Ayyaf Al Migrin,"5,855,000",40
Rizhao,"1,290,000",China,Zhao Xiaowei,,299
Rochester,"220,000",USA,n/k,"1,100,000",n/r
ROME,"2,732,000",Italy,Gianni Alemanno,"3,555,000",90
Rosario,"1,160,000",Argentina,Miguel Lifschitz,"1,358,000",343
Rostock,"201,000",Germany,Roland Methling,,n/r
Rostov on Don,"1,068,000",Russia,Mikhail Chernyshyov,"1,250,000",382
Rotterdam,"590,000",Netherlands,Ahmed Aboutaleb,"1,187,000",572
Rugao,"1,453,000",China,Ding Dawei,,232
Ruian,"1,250,000",China,n/k,,311
