,Director,Movie,Rel.,Reviewed
,"McCarthy, Thomas",Win Win,2011,20120202
,"McKay, Adam",Talladega Nights,2006,20070316
,"McTeigue, James",V for Vendetta,2005,20070622
,"Menaul, Christopher",The Passion of Ayn Rand,1999,20100114
,"Mendes, Sam",American Beauty,1999,20080229
,"Mendes, Sam",Revolutionary Road,2008,20090716
,"Meyers, Nancy",It's Complicated,2009,20101006
,"Meyjes, Menno",Martian Child,2007,20080314
,"Miller, David",Executive Action,1973,20111221
,"Miller, Robert Ellis",The Girl from Petrovka,1974,20110706
,"Minnelli, Vincente",Gigi,1958,20110223
,"Moore, Michael",Sicko,2007,20090416
,"Moorhouse, Jocelyn",How to Make an American Quilt,1995,20080912
,"Muccino, Gabriele",The Pursuit of Happyness,2006,20070608
,"Murphy, Ryan",Eat Pray Love,2010,20111228
,"Nalluri, Bharat",Miss Pettigrew Lives for a Day,2008,20090507
,"Nava, Gregory",Selena,1997,20071214
,"Nichols, Mike",Charlie Wilson's War,2007,20080425
,"Nichols, Mike",The Graduate,1967,20100915
,"Nichols, Mike",Postcards from the Edge,1990,20070118
,"Nolan, Christopher",Dark Knight,2008,20080808
,"Nunez, Victor",Ulee's Gold,1997,20070420
,"Paine, Chris",Who Killed the Electric Car?,2005,20061125
,"Paxton, Michael",Ayn Rand: A Sense of Life,1997,20100107
,"Payne, Alexander",Sideways,2004,20100401
,"Peirce, Kimberly",Stop-Loss,2008,20090806
,"Petrie, Daniel",Lifeguard,1976,20111123
,"Poll, Jon",Charlie Bartlett,2007,20081106
,"Polanski, Roman",Ghost Writer,2010,20110216
,"Pollack, Sydney",They Shoot Horses Don't They,1970,20091119
,"Redford, Robert",The Legend of Bagger Vance,2000,20081226
,"Reed, Carol",The Third Man,1949,20101208
,"Reiner, Rob",The Bucket List,2007,20080620
,"Reiner, Rob",A Few Good Men,1992,20070601
,"Reitman, Jason",Up in the Air,2009,20100708
,"Ritt, Martin",Spy Who Came In from the Cold,1965,20090903
,"Robbins, Tim",Bob Roberts,1992,20061119
,"Roeg, Nicolas",Walkabout,1971,20110209
,"Ross, Gary",Pleasantville,1998,20070907
,"Rowley, Christopher",Bonneville,2006,20090730
,"Russell, David O.",The Fighter,2010,20110406
,"Sajbel, Michael",The Ultimate Gift,2007,20080822
,"Sandrich, Mark",Follow the Fleet,1936,20070810
,"Sargent, Joseph",Colossus: The Forbin Project,1970,20110413
,"Sayles, John",Lone Star,1996,20070124
,"Schneider, Aaron",Get Low,2009,20110316
,"Scorsese, Martin",The Aviator,2004,20070629
,"Scorcese, Martin",The Departed,2006,20070615
,"Scott, Ridley",Robin Hood,2010,20110112
,"Scott, Tony",Enemy of the State,1998,20070406
,"Seftel, Joshua","War, Inc.",2008,20081030
,"Shadyac, Tom",Evan Almighty,2007,20071019
,"Shankman, Adam",Hairspray,2007,20070817
,"Shelly, Adrienne",Waitress,2007,20080215
,"Shyamalan, M. Night",The Happening,2008,20081127
,"Sirk, Douglas",Imitation of Life,1959,20111130
,"Sonnenberg, Barry",RV,2006,20061118
,"Stahl, John",Imitation of Life (1934),1934,20111207
,"Stanton, Andrew",WALL-E,2008,20081120
,"Stoller, Nicholas",Forgetting Sarah Marshall,2008,20081010
,"Stone, Oliver",JFK,1991,20081113
,"Stone, Oliver",W.,2008,20090305
,"Strouse, James",Grace is Gone,2008,20081016
,"Tennant, Andy",Fool's Gold,2008,20080703
,"Tourneur, Jacques",Out of the Past,1947,20091015
,"Trumbull, Douglas",Silent Running,1972,20101013
,"Tykwer, Tom",The International,2009,20090723
,"Underwood, Ron",City Slickers,1991,20110824
,"Van Sant, Gus",Good Will Hunting,1997,20090402
,"Van Zant, Gus",Milk,2008,20090709
,"Verhoeven, Paul",Black Book,2006,20071123
,"Vidor, Charles",Gilda,1946,20100211
,"Wachowski, A and L",The Matrix,1999,20070330
,"Wallace, Randall",Secretariat,2010,20110907
,"Washington, Denzel",The Great Debaters,2007,20080523
,"Webb, Marc",(500) Days of Summer,2009,20100311
,"Weir, Peter",The Way Back,2010,20110608
,"Weitz, Chris",A Better Life,2011,20111116
,"Wells, John",The Company Men,2010,20110810
,"Wilder, Billy",Lost Weekend,1945,20110427
,"Winterbottom, Michael",Road to Guantanamo,2006,20070207
,"Wright, Edgar",Hot Fuzz,2007,20070504
,"Wyler, William",The Best Years of Our Lives,1946,20101117
,"Zinnemann, Fred",High Noon,1952,20091029
,"Zwick, Edward",Blood Diamond,2006,20070706
,"Zwick, Edward",Legends of the Fall,1995,20100714
,,,,
