?,Area,Feet,Grid Ref,Met,Name,No.,Trips
1,Far E Fells,1890,NY434152,576,The Nab,137,-
3,NW Fells,1886,NY237182,575,Maiden Moor,138,1
3,W Fells,1880,NY110196,573,Blake Fell,139,1
1,C Fells,1873,NY274113,571,Sergeant?s Crag,140,-
2,E Fells,1870,NY385121,570,Hartsop Above How,141,1
1,NW Fells,1864,NY211215,568,Outerside,142,-
1,Far E Fells,1860,NY414148,567,Angletarn Pikes,143,-
1,Far E Fells,1841,NY418136,561,Brock Crags,144,-
3,NW Fells,1824,NY197187,556,Knott Rigg,145,12
4,C Fells,1814,NY320111,553,Steel Fell,146,1
2,NW Fells,1811,NY204265,552,Lord's Seat,147,-
1,S Fells,1808,NY258125,551,Rosthwaite Fell - Bessyboot,148,-
3,C Fells,1804,NY304093,550,Tarn Crag (Easedale),149,1
1,N Fells,1804,NY283337,550,Meal Fell,150,-
5,S Fells,1801,NY231023,549,Hard Knott,151,1234
5,C Fells,1775,NY301078,541,Blea Rigg,152,123
3,W Fells,1775,NY092119,541,Lank Rigg,153,1
5,C Fells,1762,NY301104,537,Calf Crag,154,12
1,E Fells,1762,NY396253,537,Great Mell Fell,155,-
3,S Fells,1755,NY152034,535,Whin Rigg,156,12
1,Far E Fells,1749,NY461207,533,Arthur?s Pike,157,-
3,W Fells,1726,NY117184,526,Gavel Fell,158,1
1,N Fells,1726,NY273333,526,Great Cockup,159,-
1,C Fells,1722,NY276121,525,Eagle Crag,160,-
1,Far E Fells,1719,NY453200,524,Bonscale Pike,161,-
1,N Fells,1713,NY355291,522,Souther Fell,162,-
3,W Fells,1706,NY097143,520,Crag Fell,163,12
1,E Fells,1703,NY393107,519,High Hartsop Dodd,164,-
1,NW Fells,1696,NY191251,517,Whinlatter,165,-
4,Far E Fells,1693,NY436040,516,Sallows,166,123
3,C Fells,1690,NY288166,515,High Tove,167,1
5,W Fells,1680,NY148186,512,Mellbreak,168,1
2,NW Fells,1677,NY195271,511,Broom Fell,169,-
1,Far E Fells,1670,NY429171,509,Beda Fell,170,-
1,W Fells,1670,NY132181,509,Hen Comb,171,-
1,E Fells,1667,NY373078,508,Low Pike,172,-
1,E Fells,1657,NY423240,505,Little Mell Fell,173,-
1,N Fells,1647,NY245273,502,Dodd,174,-
1,E Fells,1640,NY347092,500,Stone Arthur,175,-
4,S Fells,1604,SD200982,489,Green Crag,176,12
1,Far E Fells,1601,NY403051,488,Baystones (Wansfell),177,-
1,W Fells,1594,NY085141,486,Grike,178,-
1,Far E Fells,1585,NY426031,483,Sour Howes,179,-
1,N Fells,1585,NY276354,483,Longlands Fell,180,-
2,E Fells,1578,NY407218,481,Gowbarrow Fell,181,-
1,C Fells,1572,NY298157,479,Armboth Fell,182,-
3,W Fells,1558,NY110209,475,Burnbank Fell,183,1
5,S Fells,1539,NY302046,469,Lingmoor Fell,184,1234
3,NW Fells,1535,NY214267,468,Barf,185,-
1,C Fells,1512,NY303188,461,Raven Crag,186,-
1,NW Fells,1493,NY227218,455,Barrow,187,-
1,NW Fells,1483,NY176266,452,Graystones,188,-
5,NW Fells,1480,NY244199,451,Cat Bells,189,123
1,E Fells,1476,NY356073,450,Nab Scar,190,-
1,C Fells,1476,NY270147,450,Great Crag,191,-
1,N Fells,1467,NY225355,447,Binsey,192,-
1,E Fells,1450,NY380175,442,Glenridding Dodd,193,-
2,E Fells,1421,NY393150,433,Arnison Crag,194,1
1,Far E Fells,1417,NY440182,432,Steel Knotts,195,-
2,W Fells,1388,NY137226,423,Low Fell,196,-
3,C Fells,1378,NY317100,420,Gibson Knott,197,1
1,W Fells,1365,NY132242,416,Fellbarrow,198,-
1,C Fells,1362,NY264162,415,Grange Fell,199,-
1,W Fells,1329,NY136061,405,Buckbarrow,200,-
3,C Fells,1299,NY327093,396,Helm Crag,201,1
2,C Fells,1296,NY325066,395,Silver How,202,1
1,Far E Fells,1273,NY433198,388,Hallin Fell,203,-
2,C Fells,1234,NY277213,376,Walla Crag,204,-
1,NW Fells,1224,NY179286,373,Ling Fell,205,-
1,N Fells,1204,NY279247,367,Latrigg,206,-
1,Far E Fells,1194,NY422064,364,Troutbeck Tongue,207,-
2,C Fells,1171,NY308219,357,High Rigg,208,-
1,NW Fells,1165,NY195297,355,Sale Fell,209,-
2,NW Fells,1165,NY167183,355,Rannerdale Knotts,210,-
2,C Fells,1099,NY347051,335,Loughrigg Fell,211,1
1,S Fells,1060,NY340016,323,Black Fell,212,-
1,S Fells,1040,NY315006,317,Holme Fell,213,-
1,NW Fells,978,NY249159,298,Castle Crag,214,-
