Assets ($bil),Company,Country,Industry,Market Value ($bil),Profits ($bil),Rank,Sales ($bil)
697.44,CCB-China Construction Bank,China,Banking,126.55,5.93,62,29.16
67.34,Microsoft,United States,Software & Services,253.15,16.96,63,57.90
114.89,Suez Group,France,Utilities,83.56,5.37,64,64.96
387.67,Zurich Financial Services,Switzerland,Insurance,45.76,5.63,65,55.05
149.71,Nippon Telegraph & Tel,Japan,Telecommunications Services,60.27,4.06,66,91.57
104.98,Sanofi-aventis,France,Drugs & Biotechnology,101.17,7.68,67,40.95
101.82,Honda Motor,Japan,Consumer Durables,56.82,5.04,68,94.35
52.62,Nokia,Finland,Technology Hardware & Equip,145.66,10.52,69,74.54
306.03,Munich Re,Germany,Insurance,37.34,5.63,70,67.57
"1,272.17",Mizuho Financial,Japan,Banking,48.80,5.28,71,32.52
71.89,Novartis,Switzerland,Drugs & Biotechnology,111.62,12.62,72,40.22
558.56,MetLife,United States,Insurance,41.32,4.32,73,53.01
67.72,Roche Holding,Switzerland,Drugs & Biotechnology,169.32,8.60,74,40.65
"1,045.41",Morgan Stanley,United States,Diversified Financials,46.53,2.56,75,85.33
74.70,Vale,Brazil,Materials,161.39,10.26,76,33.23
100.81,Rio Tinto,United Kingdom/Australia,Materials,165.48,7.31,77,29.70
62.44,China Mobile,Hong Kong/China,Telecommunications Services,308.59,8.29,78,37.06
57.16,GlaxoSmithKline,United Kingdom,Drugs & Biotechnology,120.05,10.35,79,45.07
67.33,BASF,Germany,Chemicals,60.96,5.93,80,84.60
119.50,RWE Group,Germany,Utilities,68.19,3.64,81,56.17
850.75,Sumitomo Mitsui Financial,Japan,Banking,56.10,3.76,82,33.04
53.36,BHP Billiton,Australia/United Kingdom,Materials,190.62,13.42,83,39.50
133.83,Time Warner,United States,Media,55.83,4.39,84,46.48
192.65,Banco Bradesco,Brazil,Banking,59.80,4.11,85,36.12
517.98,KBC Group,Belgium,Banking,43.66,4.66,85,35.22
889.98,Dexia,Belgium,Banking,28.04,3.47,87,140.78
57.21,Altria Group,United States,Food Drink & Tobacco,154.20,9.16,88,38.05
499.44,National Australia Bank,Australia,Banking,43.95,4.06,89,38.88
55.30,Cisco Systems,United States,Technology Hardware & Equip,145.39,8.07,90,37.68
178.58,Manulife Financial,Canada,Insurance,59.18,4.01,91,33.08
431.30,Bank of Nova Scotia,Canada,Banking,48.08,4.25,92,28.02
55.65,Intel,United States,Semiconductors,115.59,6.98,93,38.33
53.40,Unilever,Netherlands/United Kingdom,Food Drink & Tobacco,92.75,5.30,94,54.82
443.56,Toronto-Dominion Bank,Canada,Banking,48.38,4.20,95,26.51
104.20,Nissan Motor,Japan,Consumer Durables,37.90,3.92,96,89.09
691.06,Lehman Bros Holdings,United States,Diversified Financials,27.05,4.19,97,59.00
75.73,Carrefour Group,France,Food Markets,49.95,3.15,98,112.40
360.42,Commonwealth Bank,Australia,Banking,51.86,3.80,99,26.48
58.99,Boeing,United States,Aerospace & Defense,63.32,4.07,100,66.39
