Developer [14][16],ESRB/ ELSPA rating [10][17][21],Genre [10][11][15][18][22][23],Number of players [10][12][13][20],Publisher [10][11][14][17][18],Regions released [10][11][12][13][19],Title(s) [10][11][12][13],Year first released [10][11][14][15]
Saffire,M/11+,Arcade/Fighting,4 !1?4,Midway,"NA, PAL",Bio F.R.E.A.K.S.,1998
Rare,K-A/3+,Strategy/Demolition,1,Nintendo,"JP, NA, PAL",Blast Corps ?Blast DozerJP,1997
Player 1,E/3+,Adventure/3D Platformer,2 !1?2,Titus Software,"NA, PAL",Blues Brothers 2000,2000
DMA Design,T/11+,Action/Adventure/3D shooter,1,Midway,"NA, PAL",Body Harvest,1998
Hudson Soft,K-A/3+,Adventure/Puzzle,4 !1?4,Nintendo,"JP, NA, PAL",Bomberman 64 ?Baku BombermanJP,1997
Racjin,?,Arcade/Action/Puzzle,4 !1?4,Hudson Soft,JP,Bomberman 64,2001
Hudson Soft,E/?,Action/Adventure,4 !1?4,Vatical Entertainment,"JP, NA",Bomberman 64: The Second Attack ?Baku Bomberman 2JP,1999
Hudson Soft,E/3+,Action/Adventure,1,Nintendo,"JP, NA, PAL",Bomberman Hero ?Bomberman Hero: Millian Ojosama wo SukueJP,1999
Konami,E/?,Sports/Baseball,4 !1?4,Konami,NA,Bottom of the 9th,1999
Point of View,E/?,Sports/Bowling,4 !1?4,THQ,NA,Brunswick Circuit Pro Bowling,1999
Argonaut Games,E/3+,Action/Adventure/Shooter,4 !1?4,Ubisoft,"JP, NA, PAL",Buck Bumble,1998
Traveller's Tales,E/3+,Adventure/3D Platformer,1,Activision,"NA, PAL",BugA Bug's Life,1999
Distinctive Developments,E/3+,Arcade/Action/Puzzle,4 !1?4,Acclaim,"JP, NA, PAL",Bust-A-Move '99 ?Bust-A-Move 3 DXPAL ?Puzzle Booble 64JP,1999
Taito,E/3+,Arcade/Action/Puzzle,2 !1?2,Taito,"NA, PAL",Bust-A-Move 2: Arcade Edition,1998
Atari Games,E/?,Racing/Automobile,4 !1?4,Midway,NA,California Speed,1999
SCi,M/15+,Racing/Battle,2 !1?2,Titus Software,"NA, PAL",Carmageddon 64,2000
Konami,T/11+,Adventure/3D Platformer,1,Konami,"JP, NA, PAL",Castlevania ?Akumajo Dracula MokushirokuJP,1999
Konami,T/11+,Adventure/3D Platformer,1,Konami,"JP, NA, PAL",Castlevania: Legacy of Darkness ?Akumajo Dracula Mokushiroku Gaiden: Legend of CornellJP,1999
Hudson Soft,?/3+,Sports/Tennis,4 !1?4,BigBen Interactive Hudson Soft,"JP, PAL",Centre Court Tennis ?Let's SmashJP,1998
Japan System Supply,K-A/3+,Adventure/3D Platformer,4 !1?4,Sunsoft,"JP, NA, PAL",Chameleon Twist,1997
Japan System Supply,E/3+,Adventure/3D Platformer,1,Sunsoft,"JP, NA, PAL",Chameleon Twist 2,1999
Realtime Associates,E/3+,Strategy/Puzzle,4 !1?4,Kemco,"NA, PAL",Charlie Blast's Territory,1999
SETA,T/11+,Simulation/Helicopter/Shooter,1,Midway SETA,"JP, NA, PAL",Chopper Attack ?Wild ChoppersJP,1998
Locomotive Games,?,Racing/Battle,4 !1?4,Takara,JP,Choro Q 64 2: Hachamecha Grand Prix Race,1999
Genki,?,Sports/Baseball,4 !1?4,Imagineer,JP,Ch?k?kan Night: Pro Yaky? King,1996
Genki,?,Sports/Baseball,4 !1?4,Imagineer,JP,Ch?k?kan Night: Pro Yaky? King 2,1999
Interplay,T/3+,Arcade/Fighting,4 !1?4,Interplay,"NA, PAL",ClayFighter 63?,1997
Interplay,T/?,Arcade/Fighting,4 !1?4,Interplay,NA,ClayFighter 63 1/3 Sculptor's Cut,1998
Westwood Studios,T/11+,Simulation/War Plan/Strategy,1,Nintendo,"NA, PAL",Command & Conquer,1999
Rare,M/15+,Action/Adventure/3D Platformer,4 !1?4,"THQ, Rare","NA, PAL",Conker's Bad Fur Day,2001
Gratuitous Games,E/?,Racing/Automobile,2 !1?2,Midway,NA,Cruis'n Exotica,2000
Midway,K-A/3+,Racing/Automobile,2 !1?2,Midway,"NA, PAL",Cruis'n USA,1996
Midway,E/3+,Racing/Automobile,4 !1?4,Midway,"NA, PAL",Cruis'n World,1998
Noise,?,Arcade/Action/Fighting,4 !1?4,Nintendo,JP,Custom Robo,1999
Noise,?,Arcade/Action/Fighting,4 !1?4,Nintendo,JP,Custom Robo V2,2000
Saffire,E/3+,Sports/Golf,4 !1?4,Electronic Arts,"NA, PAL",CyberTiger,2000
Kemco,M/15+,Action/3D Shooter,4 !1?4,Kemco,"JP, NA, PAL",Daikatana,2000
Konami,?,Arcade/Dancing Skills,2 !1?2,Konami,JP,Dance Dance Revolution Disney Dancing Museum,2000
Kronos Digital,T/15+,Arcade/Fighting,2 !1?2,Vic Tokai,"JP, NA, PAL",Dark Rift ?Space DynamitesJP,1997
Taito,?,Simulation/Train,1,Taito,JP,Densha de Go! 64,1999
Parity Bit,?,Sports/Horse racing,4 !1?4,Media Factory,JP,Derby Stallion 64,1999
Looking Glass Studios,E/11+,Racing/Battle,4 !1?4,THQ,"NA, PAL",Destruction Derby 64,1999
Athena,?,Game design/Action/Shooter,1,Athena,JP,Dezaemon 3D,1998
Rare,K-A/3+,Racing/Adventure/Battle,4 !1?4,Nintendo,"JP, NA, PAL",Diddy Kong Racing,1997
Ubisoft,E/3+,Adventure/3D Platformer,1,Ubisoft,"NA, PAL",Donald Duck: Goin' Quackers ?Donald Duck's Quack AttackPAL,2000
Eurocom,E/3+,Adventure/3D Platformer,1,Activision,"NA, PAL",Disney's Tarzan,2000
Rare,E/3+,Action/Adventure/3D Platformer,4 !1?4,Nintendo,"JP, NA, PAL",Donkey Kong 64,1999
Midway,M/15+,Action/Adventure/3D Shooter,1,Midway,"JP, NA, PAL",Doom 64,1997
Epoch,?,Adventure/3D Platformer,4 !1?4,Epoch,JP,Doraemon: Nobita to Mittsu no Seirei Ishi,1997
Epoch,?,Adventure/3D Platformer,1,Epoch,JP,Doraemon 2: Nobita to Hikari no Shinden,1998
Epoch,?,Adventure/3D Platformer,1,Epoch,JP,Doraemon 3: Nobita no Machi SOS!,2000
Nintendo,E/?,Arcade/Action/Puzzle,4 !1?4,Nintendo,NA,Dr. Mario 64,2001
Hudson Soft,T/11+,Arcade/Fighting,4 !1?4,Electro Brain,"JP, NA, PAL",Dual Heroes,1998
Paradigm Entertainment,E/3+,Adventure/3D Platformer,4 !1?4,Atari Games,"NA, PAL",Duck Dodgers Starring Daffy Duck ?Daffy Duck starring as Duck DodgersPAL,2000
Eurocom,M/18+,Action/Adventure/3D Shooter,4 !1?4,GT Interactive,"NA, PAL",Duke Nukem 64,1997
Eurocom,M/15+,Action/Adventure/3D Shooter,4 !1?4,GT Interactive,"NA, PAL",Duke Nukem: Zero Hour,1999
VIS Entertainment,E/3+,Action/Adventure/3D Platformer,1,Rockstar Games,"NA, PAL",Earthworm Jim 3D,1999
Acclaim,M/15+,Sports/Wrestling,4 !1?4,Acclaim,"NA, PAL",ECW Hardcore Revolution,2000
SETA,?,Sports/Golf,4 !1?4,SETA,JP,Eik? no Saint Andrews,1996
Realtime Associates,eC/?,Learning/Mini games,1,NewKidCo,NA,Elmo's Letter Adventure,1999
Realtime Associates,eC/?,Learning/Mini games,1,NewKidCo,NA,Elmo's Number Journey,1999
Left Field Productions,E/3+,Racing/Simulation/Motorcycle,4 !1?4,Nintendo,"JP, NA, PAL",Excitebike 64,2000
Probe Entertainment,K-A/3+,Racing,4 !1?4,Acclaim,"JP, NA, PAL",Extreme-G,1997
Probe Entertainment,E/3+,Racing,4 !1?4,Acclaim,"JP, NA, PAL",Extreme-G 2,1998
Paradigm Entertainment,E/3+,Racing/Grand Prix,4 !1?4,Video System,"JP, NA, PAL",F-1 World Grand Prix,1998
Paradigm Entertainment,?/3+,Racing/Grand Prix,4 !1?4,Video System,PAL,F-1 World Grand Prix II,2000
Nintendo,E/3+,Racing/Battle,4 !1?4,Nintendo,"JP, NA, PAL",F-Zero X,1998
Human Entertainment,K-A/3+,Racing/Grand Prix,1,Ubisoft,"JP, NA, PAL",F1 Pole Position 64 ?Human Grand Prix: The New GenerationJP,1997
Ubisoft,?/3+,Racing/Grand Prix,2 !1?2,Ubisoft,PAL,F1 Racing Championship,2000
Namco,?,Sports/Baseball,4 !1?4,Namco,JP,Famista 64,1997
Electronic Arts,E/3+,Sports/Soccer,4 !1?4,Electronic Arts,"NA, PAL",FIFA '99,1998
Electronic Arts,K-A/3+,Sports/Soccer,4 !1?4,Electronic Arts,"JP, NA, PAL",FIFA: Road to World Cup 98,1997
Electronic Arts,K-A/3+,Sports/Soccer,4 !1?4,Electronic Arts,"NA, PAL",FIFA Soccer 64,1997
Imagineer,T/11+,Arcade/3D Fighting,2 !1?2,Ocean,"JP, NA, PAL",Fighters Destiny ?Fighting CupJP,1998
Imagineer,T/?,Arcade/3D Fighting,2 !1?2,SouthPeak Interactive,"JP, NA",Fighter Destiny 2 ?Kakuto Densho: F-Cup ManiaxJP,2000
Core Design,T/15+,Action/Adventure/Fighting,2 !1?2,Crave Entertainment,"NA, PAL",Fighting Force 64,1999
Culture Brain,T/3+,Arcade/3D Fighting,4 !1?4,Natsume,"JP, NA, PAL",Flying Dragon ?Hiryu Ken TwinJP,1998
Probe Entertainment,M/15+,Action/Adventure/3D Shooter,4 !1?4,Iguana UK,"NA, PAL",Forsaken 64,1998
Z-Axis,E/?,Sports/Basketball,4 !1?4,Fox Interactive,NA,Fox Sports College Hoops '99,1998
Chunsoft,?,Adventure/RolePlaying,4 !1?4,Chunsoft,JP,Fushigi no Dungeon: F?rai no Shiren 2: Oni Sh?rai! Siren-j?!,2000
Konami,T/11+,Arcade/Fighting,4 !1?4,Konami,"JP, NA, PAL",G.A.S.P!! Fighters' NEXTream ?Deadly ArtsNA,1998
Atari Games,T/15+,Action/Adventure/Hack and Slash,4 !1?4,Midway,"JP, NA, PAL",Gauntlet Legends,1998
Hudson Soft,?,Simulation/Social,4 !1?4,Hudson Soft,JP,Getter Love!!,1998
Gratuitous Games,E/11+,Adventure/3D Platformer,1,Crave Entertainment,"NA, PAL",Gex 3: Deep Cover Gecko,1998
Realtime Associates,E/3+,Adventure/3D Platformer,1,Midway,"NA, PAL",Gex 64,1998
Interactive Studios,E/3+,Adventure/3D Platformer,1,Hasbro Interactive,"NA, PAL",Glover,1998
Konami,?,Board Game/Mini games,4 !1?4,Konami,JP,Goemon Mononoke Sugoroku,1998
Konami,E/3+,Adventure/Role Playing,4 !1?4,Konami,"JP, NA, PAL",Goemon's Great Adventure ?Mystical Ninja 2: Starring GoemonPAL ?Ganbare Goemon: Dero Dero Dochu Obake Tenko MoriJP,1998
Westwood Studios,E/?,Gambling/Casino,4 !1?4,Electronic Arts,NA,Golden Nugget 64,1998
Rare,T/15+,Action/Adventure/3D Shooter,4 !1?4,Nintendo,"JP, NA, PAL",GoldenEye 007,1997
Imagineer,E/3+,Racing/Autombile,4 !1?4,Ocean Imagineer,"JP, NA, PAL",GT 64: Championship Edition ?City Tour Grandprix: Zen Nihon GT SenshukenJP,1998
Culture Brain,?,Simulation/Role Playing/Mini games,1,Culture Brain,JP,Hamster Monogatari 64,2001
Toy Box Creative,E/?,Simulation/Role Playing/Farming,1,Natsume,"JP, NA",Harvest Moon 64 ?Bokujo MonogatariJP,1999
Shouei System,?,Gambling/Pachinko,1,Shouei System,JP,Heiwa Pachinko World 64,1997
Player 1,T/11+,Adventure/ Fighting,1,Titus Software,"NA, PAL",Hercules: The Legendary Journeys,2000
Software Creations,M/11+,Action/Adventure/3D Shooter,4 !1?4,GT Interactive,"JP, NA, PAL",HeXen,1997
Ambrella,E/?,Simulation/Life,1,Nintendo,"JP, NA","Hey You, Pikachu! ?Pikachu Genki DechuJP",1998
Stormfront Studios,E/3+,Racing/Stunt,4 !1?4,Electronic Arts,"NA, PAL",Hot Wheels Turbo Racing,1999
Konami,T/11+,Action/Adventure,2 !1?2,Konami,"JP, NA, PAL",Hybrid Heaven,1999
Eurocom,E/3+,Racing/Speed boat,4 !1?4,Midway,"NA, PAL",Hydro Thunder,2000
SETA,?,Gambling/Mahjong,1,SETA,JP,Ide Y?suke no Mahjong Juku,2000
Iguana Entertainment,E/3+,Racing/Battle,4 !1?4,Acclaim,"JP, NA, PAL",Iggy's Reckin' Balls ?Iggy Kun no Bura2PoyonJP,1998
Factor 5,T/?,Adventure/Action/3D Platformer,1,LucasArts,NA,Indiana Jones and the Infernal Machine,2000
Paradigm Entertainment,E/?,Racing/Automobile,4 !1?4,Infogrames,NA,Indy Racing 2000,2000
Konami,E/3+,Sports/Soccer,4 !1?4,Konami,"JP, NA, PAL",International Superstar Soccer '98 ?Jikky? World Soccer: World Cup France '98JP,1998
Konami,E/3+,Sports/Soccer,4 !1?4,Konami,"JP, NA, PAL",International Superstar Soccer 2000 ?Jikky? J-League 1999: Perfect Striker 2JP,1999
Konami,K-A/3+,Sports/Soccer,4 !1?4,Konami,"JP, NA, PAL",International Superstar Soccer 64 ?Jikky? World Soccer 3JP,1997
Konami,E/3+,Sports/Track and Field,4 !1?4,Konami,"JP, NA, PAL",International Track & Field 2000 ?International Track & Field: Summer GamesPAL ?Ganbare! Nippon! Olympics 2000JP,2000
HAL Laboratory,?,Sports/Fishing,1,Nintendo,JP,Itoi Shigesato no Bass Tsuri No. 1,2000
A-Max,?,Sports/Soccer,4 !1?4,Imagineer,JP,J-League Dynamite Soccer 64,1997
Hudson Soft,?,Sports/Soccer,4 !1?4,Hudson Soft,JP,J-League Eleven Beat 1997,1997
Electronic Arts,?,Sports/Soccer,4 !1?4,Electronic Arts,JP,J. League Live 64,1997
ASCII Entertainment,?,Sports/Soccer,4 !1?4,ASCII Entertainment,JP,J-League Tactics Soccer,1999
Konami,?,Gambling/Mahjong,1,Konami,JP,Jang? Simulation Mahjong-d? 64,1998
GameTek,K-A/?,Game Show,1,GameTek,NA,Jeopardy!,1998
Acclaim,E/3+,Racing/Motorcycle,4 !1?4,Acclaim,"NA, PAL",Jeremy McGrath Supercross 2000,2000
Rare,T/11+,Action/Adventure,4 !1?4,Rare,"JP, NA, PAL",Jet Force Gemini ?Star TwinsJP,1999
Konami,?,Sports/Horse Racing,4 !1?4,Konami,JP,Jikky? GI Stable,1999
Konami,?,Sports/Soccer,4 !1?4,Konami,JP,Jikky? J. League: Perfect Striker,1996
Konami,?,Sports/Baseball,4 !1?4,Konami,JP,Jikky? Powerful Pro Yaky? 4,1997
Konami,?,Sports/Baseball,4 !1?4,Konami,JP,Jikky? Powerful Pro Yaky? 5,1998
Konami,?,Sports/Baseball,4 !1?4,Konami,JP,Jikky? Powerful Pro Yaky? 6,1999
Konami,?,Sports/Baseball,4 !1?4,Konami,JP,Jikky? Powerful Pro Yaky? 2000,2000
Konami,?,Sports/Baseball,4 !1?4,Konami,JP,Jikky? Powerful Pro Yaky? Basic-ban 2001,2001
Takara,?,Board Game,4 !1?4,Takara,JP,Jinsei Game 64,1999
Angel Studios,E/?,Sports/Baseball,4 !1?4,Nintendo,NA,"Ken Griffey, Jr.'s Slugfest",1999
Rare,T/15+,Arcade/3D Fighting,2 !1?2,Nintendo,"NA, PAL",Killer Instinct Gold,1996
Pandora Box,?,Adventure/Detective/Puzzle,4 !1?4,Imagineer,JP,Kira tto Kaiketsu! 64 Tanteidan,1999
HAL Laboratory,E/3+,Adventure/2D Platformer,4 !1?4,Nintendo,"JP, NA, PAL",Kirby 64: The Crystal Shards ?Hoshi no Kirby 64JP,2000
Kemco,E/3+,Action/3D Rail Shooter,4 !1?4,Kemco,"JP, NA, PAL",Knife Edge: Nose Gunner ?Knife EdgePAL,1998
Black Ops Entertainment,T/11+,Sports/Boxing,2 !1?2,Electronic Arts,"NA, PAL",Knockout Kings 2000,1999
Left Field Productions,E/3+,Sports/Basketball,4 !1?4,Nintendo,"NA, PAL",Kobe Bryant in NBA Courtside,1998
Yuke's,?,Arcade/3D Fighting/Robots,4 !1?4,Hudson Soft,JP,Last Legion UX,1999
Nintendo,E/11+,Action/Adventure,1,Nintendo,"JP, NA, PAL",Legend MThe Legend of Zelda: Majora's Mask,2000
Nintendo,E/3+,Action/Adventure,1,Nintendo,"JP, NA, PAL",Legend OThe Legend of Zelda: Ocarina of Time,1998
High Voltage Software,E/3+,Simulation/Auto Racing,2 !1?2,LEGO Media,"NA, PAL",LEGO Racers,1999
Big Bang,E/3+,Adventure/Strategy/Puzzle,1,Infogrames,"JP, NA, PAL",Lode Runner 3-D,1999
Atari Games,M/15+,Arcade/ 3D Fighting,4 !1?4,Midway,"NA, PAL",Mace: The Dark Age,1997
Electronic Arts,K-A/3+,Sports/American Football,4 !1?4,Electronic Arts,"NA, PAL",Madden Football 64,1997
Electronic Arts,E/3+,Sports/American Football,4 !1?4,Electronic Arts,"NA, PAL",Madden NFL 99,1998
Electronic Arts,E/?,Sports/American Football,4 !1?4,Electronic Arts,NA,Madden NFL 2000,1999
Electronic Arts,E/?,Sports/American Football,4 !1?4,Electronic Arts,NA,Madden NFL 2001,2000
Electronic Arts,E/?,Sports/Rugby/American Football,4 !1?4,Electronic Arts,NA,Madden NFL 2002,2001
Capcom,E/3+,Arcade/Action/Puzzle,4 !1?4,Capcom,"JP, NA, PAL",Magical Tetris Challenge,1999
Chat Noir,?,Simulation/Gambling,1,Koei,JP,Mahjong 64,1997
Imagineer,?,Simulation/Gambling,1,Imagineer,JP,Mahjong H?r?ki Classic,1997
Konami,?,Simulation/Gambling,1,Konami,JP,Mahjong Master,1996
Angel Studios,E/?,Sports/Baseball,4 !1?4,Nintendo,"NA, PAL","Major League Baseball Featuring Ken Griffey, Jr.",1998
Camelot,E/3+,Sports/Golf,4 !1?4,Nintendo,"JP, NA, PAL",Mario Golf,1999
Nintendo,K-A/3+,Racing/Battle,4 !1?4,Nintendo,"JP, NA, PAL",Mario Kart 64,1996
Tokyo Electron,?,Photography/Puzzle,1,Tokyo Electron,JP,Mario no Photopi,1998
Hudson Soft,E/3+,Board Games,4 !1?4,Nintendo,"JP, NA, PAL",Mario Party,1998
Hudson Soft,E/3+,Board Games,4 !1?4,Nintendo,"JP, NA, PAL",Mario Party 2,1999
Hudson Soft,E/3+,Board Games,4 !1?4,Nintendo,"JP, NA, PAL",Mario Party 3,2000
Camelot,E/3+,Sports/Tennis,4 !1?4,Nintendo,"JP, NA, PAL",Mario Tennis ?Mario Tennis 64JP,2000
T&E Soft,?,Sports/Golf,4 !1?4,T&E Soft,JP,Masters '98: Haruka Naru Augusta,1997
Capcom,E/?,Action/Adventure,1,Capcom,"JP, NA",Mega Man 64 ?Rockman Dash: Hagane no BokenshinJP,2000
Silicon Dreams,E/3+,Sports/Soccer,4 !1?4,THQ SouthPeak Interactive,"NA, PAL",Michael Owen's WLS 2000 ?Mia Hamm 64 SoccerNA ?RTL World League Soccer 2000GER ?Telefoot Soccer 2000FRA,2000
Rare,E/3+,Racing/Battle,4 !1?4,Nintendo,"JP, NA, PAL",Mickey's Speedway USA ?Mickey no Racing Challenge USAJP,2000
Codemasters,E/3+,Racing/Battle,4 !1?4,Midway,"NA, PAL",Micro Machines 64 Turbo,1999
Digital Eclipse,E/?,Arcade/Compilation,1,Midway,NA,Midway's Greatest Arcade Hits: Volume 1,2000
Devil's Thumb Entertainment,E/?,Sports/Baseball,2 !1?2,GT Interactive,NA,Mike Piazza's Strike Zone,1998
Player 1,E/3+,Sports/Bowling,4 !1?4,Crave Entertainment,"NA, PAL",Milo's Astro Lanes,1998
Treasure,K-A/3+,Action/Adventure/2D Platformer,1,Nintendo,"JP, NA, PAL",Mischief Makers ?Yuke Yuke!! Trouble MakersJP,1997
Infogrames,T/11+,Action/Adventure,1,Ocean,"NA, PAL",Mission: Impossible,1998
Ubisoft,E/3+,Racing/Automobile,4 !1?4,Ubisoft,"NA, PAL",Monaco Grand Prix ?Racing Simulation: Monaco Grand PrixPAL,1999
Mind's Eye,E/?,Board Games,4 !1?4,Hasbro Interactive,NA,Monopoly,1999
Edge of Reality,E/3+,Racing/Automobile/Off Road,4 !1?4,Rockstar Games,"NA, PAL",Monster Truck Madness 64,1999
SETA,?,Board Game/Strategy,1,SETA,JP,Morita Shogi 64,1998
Eurocom,M/18+,Arcade/3D Fighting,2 !1?2,Midway,"NA, PAL",Mortal Kombat 4,1998
Avalanche Software,M/18+,Action/Adventure/2D Fighting,1,Midway,"NA, PAL",Mortal Kombat Mythologies: Sub-Zero,1997
Midway,M/15+,Arcade/2D Fighting,2 !1?2,Midway,"NA, PAL",Mortal Kombat Trilogy,1996
Mass Media,E/?,Arcade/Adventure/Maze,4 !1?4,Namco,NA,Ms. Pac-Man Maze Madness,2000
Genki,K-A/3+,Racing/Automobile,4 !1?4,Ocean,"JP, NA, PAL",Multi-Racing Championship,1997
Konami,E/11+,Adventure/Role Playing,1,Konami,"JP, NA, PAL",Mystical Ninja Starring Goemon ?Ganbare Goemon: Neo Momoyama Bakufu no OdoriJP,1997
Konami,K-A/3+,Sports/Winter Sports,4 !1?4,Konami,"JP, NA, PAL",Nagano Winter Olympics '98 ?Hyper Olympics in NaganoJP,1997
Mass Media,E/?,Arcade/Compilation,1,Namco,NA,Namco Museum 64,1999
Stormfront Studios,E/3+,Simulation/Automotive Racing,4 !1?4,Electronic Arts,"NA, PAL",NASCAR 99,1998
Stormfront Studios,E/?,Simulation/Automotive Racing,4 !1?4,Electronic Arts,NA,NASCAR 2000,1999
Left Field Productions,E/?,Sports/Basketball,4 !1?4,Nintendo,NA,NBA Courtside 2: Featuring Kobe Bryant,1999
Midway,K-A/3+,Sports/Basketball,4 !1?4,Midway,"NA, PAL",NBA Hangtime,1997
Konami,K-A/3+,Sports/Basketball,4 !1?4,Konami,"JP, NA, PAL",NBA In The Zone '98 ?NBA Pro '98PAL,1998
Konami,E/3+,Sports/Basketball,4 !1?4,Konami,"JP, NA, PAL",NBA In The Zone '99 ?NBA Pro '99PAL ?NBA in the Zone 2JP,1999
Konami,E/3+,Sports/Basketball,4 !1?4,Konami,"NA, PAL",NBA In The Zone 2000,2000
Iguana Entertainment,E/3+,Sports/Basketball,4 !1?4,Acclaim,"NA, PAL",NBA Jam '99,1998
Iguana Entertainment,E/3+,Sports/Basketball,4 !1?4,Acclaim,"NA, PAL",NBA Jam 2000,1999
NuFX,E/3+,Sports/Basketball,4 !1?4,Electronic Arts,"NA, PAL",NBA Live '99,1998
NuFX,E/3+,Sports/Basketball,4 !1?4,Electronic Arts,"NA, PAL",NBA Live 2000,1999
Eurocom,E/?,Sports/Basketball,4 !1?4,Midway,NA,NBA Showtime: NBA on NBC,1999
BEC,?,Arcade/Fighting,4 !1?4,Bandai,JP,Neon Genesis Evangelion,1999
Yuke's,?,Sports/Wrestling,4 !1?4,Hudson Soft,JP,New Japan Pro Wrestling: T?hkon Road Brave Spirits,1998
Yuke's,?,Sports/Wrestling,4 !1?4,Hudson Soft,JP,"New Japan Pro Wrestling: T?hkon Road Brave Spirits 2, The Next Generation",1998
H2O Entertainment,E/3+,Arcade/Action/Puzzle,4 !1?4,Nintendo,"NA, PAL",New TThe New Tetris,1999
Midway,E/?,Sports/American Football,4 !1?4,Midway,NA,NFL Blitz,1998
Midway,E/?,Sports/American Football,4 !1?4,Midway,NA,NFL Blitz 2000,1999
Point of View,E/?,Sports/American Football,4 !1?4,Midway,NA,NFL Blitz 2001,2000
