Developer,Game Title,Platform,Units Sold (in millions)
Sega,Sonic Adventure,DC,1.27
Sega,Sonic Mega Collection,GC,1.38
Sega,NFL 2K1,DC,1.01
Sega,NFL 2K,DC,1.13
Sega,Crazy Taxi,DC,1.11
Sega,Sonic & Knuckles,GEN,1.24
Sega,Sonic The Hedgehog 3,GEN,1.02
,,,
Sony,Gran Turismo,PSX,4.00
Sony,Gran Turismo 2,PSX,3.96
Sony,Crash Bandicoot 2,PSX,3.87
Sony,Crash Bandicoot 3: Warpped,PSX,3.76
Sony,Crash Bandicoot,PSX,3.29
Sony,Spyro The Dragon,PSX,3.31
Sony**,Final Fantasy VII,PSX,3.09
Sony,Crash Team Racing,PSX,1.90
Sony,Twisted Metal 2,PSX,1.74
Sony,Spyro The Dragon 2,PSX,1.74
Sony,Syphon Filter,PSX,1.75
Sony,A Bug's Life,PSX,1.50
Sony,Spyro: Year of the Dragon,PSX,2.04
Sony,NFL GameDay 98,PSX,1.47
Sony,Cool Boarders 3,PSX,1.43
Sony,Cool Boarders 2,PSX,1.21
Sony,Syphon Filter 2,PSX,1.32
Sony,Jet Moto 2,PSX,1.31
Sony,Twisted Metal 3,PSX,1.29
Sony,Twisted Metal 4,PSX,1.08
Sony,NFL GameDay 99,PSX,1.12
Sony,Jet Moto,PSX,1.27
Sony,Crash Bash,PSX,1.60
Sony,Twisted Metal,PSX,1.08
Sony,2Xtreme,PSX,1.09
Sony,Gran Turismo 3: A-Spec,PS2,7.13
Sony,SOCOM: U.S. Navy Seals,PS2,2.65
Sony,Gran Turismo 4,PS2,2.26
Sony,SOCOM II: U.S. Navy Seals,PS2,2.14
Sony,ATV Offroad Fury,PS2,1.99
Sony,Jak & Daxter: The Precursor Legacy,PS2,2.01
Sony,ATV Offroad Fury 2,PS2,1.77
Sony,God of War,PS2,2.33
Sony,God of War II,PS2,1.17
Sony,Jak II,PS2,1.57
Sony,Ratchet & Clank,PS2,1.36
Sony,Ratchet & Clank 2,PS2,1.35
Sony,Jak III,PS2,1.23
Sony,Ratchet & Clank 3,PS2,1.15
Sony,The Getaway,PS2,1.13
Sony,Twisted Metal Black,PS2,1.12
Sony,Motorstorm,PS3,1.16
Sony,Resistance: Fall of Man,PS3,1.00
Sony,Daxter,PSP,1.14
,,,
Square Enix,Final Fantasy VII,PSX,3.09
Square Enix,Final Fantasy VIII,PSX,2.34
Square Enix,Final Fantasy IX,PSX,1.66
Square Enix,Final Fantasy X,PS2,2.77
Square Enix,Kingdom Hearts,PS2,3.45
Square Enix,Final Fantasy X-2,PS2,1.85
Square Enix,Kingdom Hearts II,PS2,2.03
Square Enix,Final Fantasy XII,PS2,1.70
Square Enix,Kingdom Hearts: Chain of Memories,GBA,1.20
,,,
Take 2,Spec Ops,PSX,1.27
Take 2,Grand Theft Auto 2,PSX,1.15
Take 2,Grand Theft Auto: San Andreas,PS2,7.89
Take 2,Grand Theft Auto: Vice City,PS2,8.20
Take 2,Grand Theft Auto 3,PS2,6.55
Take 2,Max Payne,PS2,1.90
Take 2,Midnight Club: Street Racing,PS2,1.87
Take 2,Midnight Club 2,PS2,1.18
Take 2,Midnight Club 3: Dub Edition,PS2,1.00
Take 2,Grand Theft Auto: Liberty City Stories,PS2,1.32
Take 2,Grand Theft Auto Double Pack,Xbox,1.59
Take 2,Grand Theft Auto: San Andreas,Xbox,1.26
Take 2,Grand Theft Auto: Liberty City Stories,PSP,1.83
Take 2,ESPN NBA 2K5,PS2,1.19
,,,
Tecmo,Dead or Alive 3,Xbox,1.06
,,,
THQ,WCW/NWO Revenge,N64,1.88
THQ,WCW Vs NWO: World Tour,N64,1.30
THQ,WWE No Mercy,N64,1.19
THQ,WWE Wrestlemania 2000,N64,1.14
THQ,WWE Smackdown! 2,PSX,1.57
THQ,Rugrats: Search Reptar,PSX,1.46
THQ,WWE Smackdown!,PSX,1.62
THQ,WCW Nitro,PSX,1.30
THQ,Spongebob Supersponge,PSX,1.06
THQ,WWE Smackdown! Shut Your Mouth,PS2,1.38
THQ,WWE: Here Comes the Pain,PS2,1.24
THQ,WWE Smackdown vs Raw 2006,PS2,1.42
THQ,WWE Smackdown vs Raw 2007,PS2,1.23
THQ,WWE Smackdown vs Raw,PS2,1.31
THQ,WWE Smackdown: Bring it On,PS2,1.11
THQ,Finding Nemo,PS2,1.12
THQ,Scooby Doo: 100 Frights,PS2,1.07
THQ,Finding Nemo,GBA,1.55
THQ,Sonic Advance,GBA,1.21
THQ,The Incredibles,GBA,1.18
THQ,Disney Princess,GBA,1.07
,,,
Ubisoft,Rayman,PSX,1.58
Ubisoft,Tom Clancy's Ghost Recon,PS2,1.32
Ubisoft,Tom Clancy's Ghost Recon,Xbox,1.12
Ubisoft,Tom Clancy's Splinter Cell,Xbox,1.80
Ubisoft,Tom Clancy's Rainbox Six: Vegas,Xbox 360,1.27
Ubisoft,Assassins Creed,Xbox 360,1.35
,,,
Viacom,The Lion King,SNES,1.27
,,,
Vivendi Universal,Crash Bandicoot: Wrath of Cortex,PS2,1.95
Vivendi Universal,Scarface: The World is Yours,PS2,1.02
Vivendi Universal,Spyro: Season of Ice,GBA,1.19
,,,
