Category,Common Name (Animals),Scientific Name
Bird,Connecticut warbler,Oporornis agilis
Bird,Cooper's hawk,Accipiter cooperii
Fish,Creek chub,Semotilus atromaculatus
Bird,Dark-eyed junco,Junco hyemalis
Amphibian,Dark-sided salamander,Eurycea longicauda melanopleura
Mammal,Deer mouse,Peromyscus maniculatus
Crustacean,Devil crayfish,Cambarus diogenes
Bird,Dickcissel,Spiza americana
Bird,Double-crested cormorant,Phalacrocorax auritus
Bird,Downy woodpecker,Picoides pubescens
Amphibian,Dwarf American toad,Bufo americanus charlesmithi
Bird,Eastern bluebird,Sialia sialis
Mammal,Eastern chipmunk,Tamias striatus
Reptile,Eastern coachwhip,Masticophis flagellum flagellum
Reptiles,Eastern collared lizard,Crotaphytus collaris collaris
Mammal,Eastern cottontail,Sylvilagus floridanus
Reptile,Eastern garter snake,Thamnophis sirtalis sirtalis
Amphibian,Eastern gray treefrog,Hyla versicolor
Amphibian,Eastern hellbender,Cryptobranchus alleganiensis alleganiensis
Reptile,Eastern hognose snake,Heterodon platirhinos
Bird,Eastern kingbird,Tyrannus tyrannus
Bird,Eastern meadowlark,Sturnella magna
Amphibian,Eastern narrowmouth toad,Gastrophryne carolinensis
Bird,Eastern phoebe,Sayornis phoebe
Mammal,Eastern pipistrelle,Pipistrellus subflavus
Bird,Eastern screech-owl,Otus asio
Mammal,Eastern small-footed myotis,Myotis leibii
Reptile,Eastern spiny softshell,Apalone spinifer spinifer
Amphibian,Eastern tiger salamander,Ambystoma tigrinum tigrinum
Bird,Eastern towhee,Pipilo erythrophthalmus
Mammal,Eastern wood rat,Neotoma floridana
Bird,Eastern wood-pewee,Contopus virens
Reptile,Eastern yellowbelly racer,Coluber constrictor flaviventris
Mammal,Elk,Cervus elaphus
Mollusk,Elktoe,Alasmidonta marginata
Mussel,Ellipse,Venustaconcha ellipsiformis
Bird,European starling,Sturnus vulgaris
Bird,Evening grosbeak,Coccothraustes vespertinus
Reptile,False map turtle,Graptemys p. pseudogeographica
Fish,Fantail darter,Etheostoma flabellare
Fish,Fathead minnow,Pimephales promelas
Mussel,Fatmucket or eastern lampmussel,Lampsilis siliquoidea (=radiata)
Bird,Field sparrow,Spizella pusila
Reptile,Five-lined skink,Eumeces fasciatus
Fish,Flathead catfish,Pylodictis olivaris
Reptile,Flathead snake,Tantilla gracilis
Mussel,Fluted-shell,Lasmigona costata
Bird,Forster's tern,Sterna forsteri
Amphibian,Four-toed salamander,Hemidactylium scutatum
Amphibian,Fowler's toad,Bufo woodhousei fowleri
Bird,Fox sparrow,Passerella iliaca
Mussel,Fragile papershell,Leptodea fragilis
Fish,Freshwater drum,Aplodinotus grunniens
Bird,Gadwall,Anas strepera
Mussel,Giant floater,Pyganodon (=Anodonta) grandis
Fish,Gilt darter,Percina evides
Fish,Gizzard shad,Dorosoma cepedianum
Crustacean,Golden crayfish,Orconectes luteus
Bird,Golden eagle,Aquila chrysaetos
Mammal,Golden mouse,Ochrotomys nuttalli
Fish,Golden redhorse,Moxostoma erythrurum
Fish,Golden shiner,Notemigonus crysoleucas
Bird,Golden-crowned kinglet,Regulus satrapa
Bird,Golden-winged warbler,Vermivora chrysoptera
Fish,Goldfish,Carassius auratus
Bird,Grasshopper sparrow,Ammodramus savannarum
Fish,Gravel chub,Erimystax x-punctatus
Mammal,Gray bat,Myotis grisecens
Bird,Gray catbird,Dumetella carolinensis
Mammal,Gray wolf,Canis lupus
Amphibian,Graybelly salamander,Eurycea multiplicata griseogaster
Bird,Gray-cheeked thrush,Catharus minimus
Bird,Great blue heron,Ardea herodias
Bird,Great crested flycatcher,Myiarchus crinitus
Bird,Great egret,Ardea albus
Bird,Great horned owl,Bubo virginianus
Reptile,Great Plains rat snake,Elaphe guttata emoryi
Bird,Greater yellowlegs,Tringa melanoleuca
Amphibian,Green frog,Rana clamitans melanota
Bird,Green heron,Butorides virescens
Fish,Green sunfish,Lepomis cyanellus
Fish,Greenside darter,Etheostoma blennioides
Bird,Green-winged teal,Anas crecca
Amphibian,Grotto salamander,Typhlotriton spelaeus
Reptile,Ground skink,Scincella lateralis
Bird,Hairy woodpecker,Picoides villosus
Bird,Henslow's sparrow,Ammodramus henslowii
Bird,Hermit thrush,Catharus guttatus
Bird,Herring gull,Larus argentatus
Fish,Highfin carpsucker,Carpiodes velifer
Bird,Hooded merganser,Lophodytes cucullatus
Bird,Hooded warbler,Wilsonia citrina
Bird,Horned grebe,Podiceps auritus
Bird,Horned lark,Eremophila alpestris
Fish,Hornyhead chub,Nocomis biguttatus
Bird,House sparrow,Passera domesticus
Bird,House wren,Troglodytes aedon
Fish,Hybrid sunfish,Lepomis sp.
Mammal,Indiana bat,Myotis sodalis
Bird,Indigo bunting,Passerina cyanea
Bird,Kentucky warbler,Oporornis formosus
Bird,Killdeer,Charadrius vociferus
Fish,Largemouth bass,Micropterus salmoides
Fish,Largescale stoneroller,Campostoma oligolepis
Bird,Lark sparrow,Chondestes grammacus
Bird,Laughing gull,Larus atricilla
Bird,Least flycatcher,Empidonax minimus
Bird,Least sandpiper,Calidris minutilla
Bird,Lesser scaup,Aythya affinis
Bird,Lesser yellowlegs,Tringa flavipes
Mammal,Little brown bat,Myotis lucifugus
Bird,Loggerhead shrike,Lanius ludovicianus
Fish,Logperch,Percina caprodes
Fish,Longear sunfish,Lepomis megalotis
Fish,Longnose gar,Lepisosteus osseus
Mammal,Long-tailed weasel,Mustela frenata
Bird,Louisiana waterthrush,Seiurus motacilla
Bird,Magnolia warbler,Dendroica magnolia
Bird,Mallard,Anas platyrhynchos
Amphibian,Marbled salamander,Ambystoma opacum
Bird,Marsh wren,Cistothorus palustris
Bird,Merlin,Falco columbarius
Reptile,Midland brown snake,Storeria dekayi wrightorum
Reptile,Midland smooth softshell,Apalone muticus muticus
Mammal,Mink,Mustela vison
Reptile,Missouri River cooter,Pseudemys concinna metteri
Fish,Missouri saddled darter,Etheostoma tetrazonum
Mussel,Monkeyface,Quadrula metanevra
Fish,Mooneye,Hiodon tergisus
Fish,Mosquitofish,Gambusia affinis
Mammal,Mountain lion,Felis concolor
Bird,Mourning dove,Zenaida macroura
Bird,Mourning warbler,Oporornis philadelphia
Mussel,Mucket,Actinonaias ligamentina
Amphibian,Mudpuppy,Necturus maculosus
Mammal,Muskrat,Ondatra zibethicus
Bird,Nashville warbler,Vermivora ruficapilla
Amphibian,Northen spring peeper,Hyla crucifer crucifer
Bird,Northern bobwhite,Colinus virginianus
Mussel,Northern broken-ray,Lampsilis reeviana brittsi
Fish,Northern brook lamprey,Ichthyomyzon fossor
Bird,Northern cardinal,Cardinalis cardinalis
Reptile,Northern fence lizard,Sceloporus undulatus hyacinthinus
Bird,Northern flicker,Colaptes auratus
Bird,Northern harrier,Circus cyaneus
Fish,Northern hog sucker,Hypentelium nigricans
Bird,Northern mockingbird,Mimus polyglottos
Bird,Northern parula,Parula americana
Bird,Northern pintail,Anas acuta
Reptile,Northern redbelly snake,Storeria occipitomaculata occipitomaculata
Bird,Northern rough-winged swallow,Stelgidopteryx serripennis
Reptiles,Northern scarlet snake,Cemophora coccinea copei
Bird,Northern shoveler,Anas clypeata
Fish,Northern studfish,Fundulus catenatus
Reptile,Northern water snake,Nerodia sipedon sipedon
Bird,Northern waterthrush,Seiurus noveboracensis
Crustacean,Onondaga cave amphipod,Stygobromus onondagaensis
Bird,Orange-crowned warbler,Vermicora celata
Fish,Orangespotted sunfish,Lepomis humilis
Fish,Orangethroat darter,Etheostoma spectabile
Bird,Orchard oriole,Icterus spurius
Reptile,Ornate box turtle,Terrapene ornata ornata
Reptile,Osage copperhead,Agkistrodon contortrix phaeogaster
Bird,Osprey,Pandion haliaetus
Mussel,Ouachita kidneyshell,Ptychobranchus occidentalis
Bird,Ovenbird,Seiurus aurocapillus
Mussel,Ozark broken-ray,Lampsilis reeviana brevicula
Fish,Ozark minnow,Notropis nubilus
Mussel,Ozark pigtoe,Fusconaia ozarkensis
Fish,Ozark sculpin,Cottus hypselurus
Bird,Palm warbler,Dendroica palmarum
Mussel,Paper pondshell,Utterbackia (=Anodonta) imbecillis
Amphibian,Pickerel frog,Rana palustris
Bird,Pied-billed grebe,Podilymbus podiceps
Bird,Pileated woodpecker,Dryocopus pileatus
Mussel,Pimpleback,Quadrula pustulosa
Bird,Pine warbler,Dendroica pinus
Mussel,Pink heelsplitter,Potamilus alatus
Mussel,Pistolgrip,Tritogonia verrucosa
Mussel,Plain pocketbook,Lampsilis cardium
Fish,Plains topminnow,Fundulus sciadicus
Mussel,Pondmussel,Ligumia subrostrata
Reptile,Prairie kingsnake,Lampropeltis calligaster calligaster
Reptile,Prairie racerunner,Cnemidophorus sexlineatus viridis
Reptile,Prairie ringneck snake,Diadophis punctatus arnyi
Mammal,Prairie vole,Microtus ochrogaster
Bird,Prairie warbler,Dendroica discolor
Bird,Prothonotary warbler,Protonotaria citrea
Bird,Purple finch,Carpodacus purpureus
Bird,Purple martin,Progne subis
Mussel,Purple wartyback,Cyclonaias tuberculata
Fish,Quillback,Carpiodes cyprinus
Mammal,Raccoon,Procyon lotor
Fish,Rainbow darter,Etheostoma caeruleum
Fish,Rainbow trout,Oncorhynchus mykiss
Reptile,Red milk snake,Lampropeltis triangulum syspila
Bird,Red-bellied woodpecker,Melanerpes carolinus
Bird,Red-breasted nuthatch,Sitta canadensis
Reptile,Red-eared slider,Trachemys scripta elegans
Bird,Red-eyed vireo,Vireo olivaceus
Fish,Redfin shiner,Lythrurus umbratilis
Bird,Redhead,Aythya americana
Bird,Red-headed woodpecker,Melanerpes erythrocephalus
Fish,Redhorse sp.,Moxostoma sp.
Bird,Red-shouldered hawk,Buteo lineatus
Bird,Red-tailed hawk,Buteo jamaicensis
Bird,Red-winged blackbird,Agelaius phoeniceus
Amphibian,Ringed salamander,Ambystoma annulatum
Bird,Ring-necked duck,Aythya collaris
Fish,River carpsucker,Carpiodes carpio
Fish,River redhorse,Moxostoma carinatum
Fish,Rock bass,Ambloplites rupestris
Bird,Rock dove,Columba livia
Bird,Rose-breasted grosbeak,Pheucticus ludovicianus
Fish,Rosyface shiner,Notropis rubellus
Reptile,Rough earth snake,Virginia striatula
Reptile,Rough green snake,Opheodrys aestivus
Mussel,Round pigtoe,Pleurobema coccineum
Bird,Ruby-crowned kinglet,Regulus calendula
Bird,Ruby-throated hummingbird,Archilochus colubris
Bird,Ruddy duck,Oxyura jamaicensis
Bird,Ruffed grouse,Bonasa umbellus
Crustacean,Salem cave crayfish,Cambarus hubrichti
Fish,Sand shiner,Notropis stramineus
Bird,Savannah sparrow,Passerculus sandwichensis
Bird,Scarlet tanager,Piranga olivacea
Bird,Scissor-tailed flycatcher,Tyrannus forficatus
Bird,Sedge wren,Cistothorus platensis
Bird,Semipalmated sandpiper,Calidris pusilla
Bird,Sharp-shinned hawk,Accipiter striatus
Fish,Shorthead redhorse,Moxostoma macrolepidotum
Fish,Shortnose gar,Lepisosteus platostomus
Fish,Silver redhorse,Moxostoma anisurum
Fish,Skipjack herring,Alosa chrysochloris
Fish,Slender madtom,Noturus exilis
Fish,Slenderhead darter,Percina phoxocephala
Mussel,Slippershell mussel,Alasmidonta viridis
Fish,Smallmouth bass,Micropterus dolomieu
Fish,Smallmouth buffalo,Ictiobus bubalus
Bird,Snow goose,Chen caerulescens
Bird,Snowy egret,Egretta thula
Reptile,Softshell turtles,Trionyx spp.
Bird,Solitary vireo,Vireo solitarius
Bird,Song sparrow,Melospiza melodia
Bird,Sora,Porzana carolina
Reptile,Southern coal skink,Eumeces anthracinus pluvialis
Amphibian,Southern leopard frog,Rana utricularia
Amphibian,Southern redback salamander,Plethodon serratus
Fish,Southern redbelly dace,Phoxinus erythrogaster
Reptile,Speckled kingsnake,Lampropeltis getula holbrooki
Mollusk,Spectaclecase,Cumberlandia monodonta
Mussel,Spike,Elliptio dilatata
Fish,Spotfin shiner,Cyprinella spiloptera
Crustacean,Spothanded crayfish,Orconectes punctimanus
Fish,Spotted bass,Micropterus punctulatus
Amphibian,Spotted salamander,Ambystoma maculatum
Bird,Spotted sandpiper,Actitis macularia
Mussel,Squawfoot,Strophitus undulatus
Fish,Stippled darter,Etheostoma punctulatum
Fish,Stonecat,Noturus flavus
Fish,Striped shiner,Luxilus chrysocephalus
Mammal,Striped skunk,Mephitis mephitis
Bird,Summer tanager,Piranga rubra
Bird,Swainson's thrush,Catharus ustulatus
Bird,Swainson's warbler,Limnothlypis swainsonii
Bird,Tennessee warbler,Vermivora peregrina
Mussel,Threehorn wartyback,Obliquaria reflexa
Mussel,Threeridge,Amblema plicata
Reptile,Three-toed box turtle,Terrapene carolina triunguis
Reptile,Timber rattlesnake,Crotalus horridus
Bird,Tree swallow,Tachycineta bicolor
Bird,Tufted titmouse,Parus bicolor
Bird,Tundra swan,Cygnus columbianus
Bird,Turkey vulture,Cathartes aura
Fish,Unknown minnow,Cyprinidae sp.
Bird,Veery,Catharus fuscescens
Bird,Virginia rail,Rallus limicola
Mussel,Wabash pigtoe,Fusconaia flava
Fish,Walleye,Stizostedion vitreum
Bird,Warbling vireo,Vireo gilvus
Fish,Wedgespot shiner,Notropis greenei
Amphibian,Western chorus frog,Pseudacris triseriata triseriata
Reptile,Western cottonmouth,Agkistrodon piscivorus leucostoma
Reptile,Western earth snake,Virginia valeriae elegans
Reptile,Western painted turtle,Chrysemys picta bellii
Reptile,Western ribbon snake,Thamnophis proximus proximus
Reptile,Western slender glass lizard,Ophisaurus attenuatus attenuatus
Amphibian,Western slimy salamander,Plethodon albagula
Reptile,Western spiny softshell,Apalone spinifera hartwegi
Reptile,Western worm snake,Carphophis vermis
Bird,Whip-poor-will,Caprimulgus vociferus
Fish,White crappie,Pomoxis annularis
Fish,White sucker,Catostomus commersoni
Bird,White-breasted nuthatch,Sitta carolinensis
Bird,White-crowned sparrow,Zonotrichia leucophrys
Bird,White-eyed vireo,Vireo griseus
Mammal,White-footed mouse,Peromyscus leucopus
Mammal,White-tailed deer,Odocoileus virginianus
Bird,White-throated sparrow,Zonotrichia albicollis
Bird,Wild turkey,Meleagris gallopavo
Bird,Willow flycatcher,Empidonax traillii
Bird,Wilson's phalarope,Phalaropus tricolor
Bird,Wilson's warbler,Wilsonia pusilla
Bird,Winter wren,Troglodytes troglodytes
Bird,Wood duck,Aix sponsa
Bird,Wood thrush,Hylocichla mustelina
Bird,Worm-eating warbler,Helmitheros vermivorus
Fish,Yellow bullhead,Ameiurus natalis
Mussel,Yellow sandshell,Lampsilis teres
Bird,Yellow warbler,Dendroica petechia
Bird,Yellow-bellied sapsucker,Sphyrapicus varius
Bird,Yellow-billed cuckoo,Coccyzus americanus
Bird,Yellow-breasted chat,Icteria virens
Bird,Yellow-crowned night-heron,Nyctanessa violaceus
Bird,Yellow-rumped warbler,Dendroica coronata
Bird,Yellow-throated vireo,Vireo flavifrons
Bird,Yellow-throated warbler,Dendroica dominica
