Basin countries,Lake,Location,Residence time
Switzerland,Lake Lauerz / Lauerzersee,Canton of Schwyz,000000.3380.3378 years
Canada,Morris Lake,"Halifax Regional Municipality, Nova Scotia",000000.3454.1 months
Brazil,Sobradinho,,000000.3500.35 years
United States,Stump Pond /Balch Pond,"Carroll County, New Hampshire; York County, Maine",000000.373136 days
Sweden,Magelungen,,000000.3754-5 months
Canada,Russell Lake,"Halifax Regional Municipality, Nova Scotia",000000.3834.6 months
United Kingdom,Loweswater,"Lake District, Cumbria",000000.411150 days
Sweden,Lappk?rret,,000000.4175 months
Ireland,Lough Feeagh,County Mayo,000000.4700.47 year
Switzerland,Egelsee,"Bubikon, Canton of Zurich",000000.493180 days
France,Lac de Vouglans,,000000.493180 days
Switzerland,Mettmenhaslisee,Canton of Zurich,000000.493180 days
Sweden,Albysj?n,,000000.5000.5 year
United States,Chesuncook Lake,"Piscataquis County, Maine",000000.5006 months
United States,Clinton Lake,"DeWitt County, Illinois",000000.5006 months
United States,Flagstaff Lake,"Somerset County and Franklin County, Maine",000000.5006 months
United States,Lake Coeur d'Alene,Northern Idaho,000000.5000.5 years
France,Lac de Saint-Point,"Doubs department, Franche-Comt?",000000.548200 days
Sweden,Kyrksj?n,,000000.5837 months
United States,Newnan's Lake,"Gainesville, Florida",000000.6000.6 years
United States,Staples Pond,"Temple, Maine",000000.6838.2 months
France,Lac Cornu,"Chamonix-Mont-Blanc, Haute-Savoie",000000.685250 days
France,Lac du Br?vent,"Chamonix, Haute-Savoie",000000.685250 days
Switzerland,Lake Silvaplana / Silvaplanersee / Lej da Silvaplauna,"Engadin, Grisons",000000.685250 days
United Kingdom,Loch Awe,"Argyll and Bute, Scotland",000000.7000.7 year
Sweden,L?ngsj?n,,000000.7929-10 months
Switzerland,Lake Sarnen / Sarnersee,Obwalden,000000.8000.8 years
Russia,Lake Lovozero,"Kola Peninsula, Murmansk Oblast",000000.83310 months
Sweden,Drevviken,,000000.87510-11 months
Sweden,M?rtsj?n,,000000.900< 1 year
Sweden,Judarn,"Bromma, Stockholm",000000.91711 months
United Kingdom,Coniston Water,"Lake District, Cumbria",000000.932340 days
United Kingdom,Ullswater,"Lake District, England",000000.959350 days
"China, Russia",Khanka Lake,"Heilongjiang Province, China and Primorsky Krai, Russia",0000001.0001 year
United States,Lake Monona,"Dane County, Wisconsin",0000001.1001.1 years
United States,Long Lake,Maine,0000001.1001.1 years
United States,Mooselookmeguntic Lake,"Franklin County, Maine",0000001.1001.1 years
Switzerland,Greifensee,Canton of Zurich,0000001.118408 days
India,Nainital Lake,Uttarakhand,0000001.1601.16 years
India,Manasbal Lake,Kashmir Valley,0000001.2001.2 years
Switzerland,Lake Zurich / Z?richsee,,0000001.205440 days
Germany,Tegernsee,Bavaria,0000001.2801.28 years
United States,Deer Creek Reservoir,Utah,0000001.3001.3 year
Sweden,Orl?ngen,,0000001.3301.33 years
United Kingdom,Haweswater Reservoir,"Lake District, Cumbria",0000001.370500 days
United Kingdom,Loch Shiel,"Lochaber, Highland, Scotland",0000001.3701.37 year
Switzerland,Lake Walen /Walensee / Lake Walenstadt,"St. Gallen, Glarus",0000001.4261.4258 years
United States,Keoka Lake,Maine,0000001.5001.5 years
Switzerland,Lake Murten /Lac de Morat /Murtensee,Canton of Fribourg/Vaud,0000001.6001.6 years
Switzerland,Oeschinen Lake,Bernese Oberland,0000001.6101.61 years
France,Lac de Lessy,Haute-Savoie,0000001.644600 days
"Canada, United States",East Grand Lake,Maine / New Brunswick,0000001.7001.7 years
Japan,Lake Ikeda,Ky?sh? island,0000001.7001.7 years
Austria,Faaker See,Carinthia,0000001.8001.8 years
Austria,Ossiacher See / Lake Ossiach,Carinthia,0000001.8001.8 years
Italy,Varese Lake/Lago di Varese,"Province of Varese, Lombardy",0000001.8001.8 years
United States,Long Lost Lake,"Clearwater County, Minnesota",0000001.8001.8 years
Sweden,?ltasj?n,,0000001.8001.8 years
Switzerland,Lake Thun / Thunersee,Canton of Berne,0000001.874684 days
United States,Green Lake,Maine,0000001.9001.9 years
Sweden,G?mmaren,,0000001.9001.9 yrs
"Scotland, United Kingdom",Loch Lomond,"Dunbartonshire, Central Scotland",0000001.9001.9 years
Hungary,Lake Balaton,Hungary,0000002.0002 years
New Zealand,Lake Rotoroa,"Hamilton, Waikato, North Island",0000002.000approx. 2 years
New Zealand,Lake Tutira,"Hawke's Bay, North Island",0000002.0002 years
Switzerland,T?rlersee,Canton of Zurich,0000002.000730 days
Switzerland,Pf?ffikersee,Canton of Zurich,0000002.0852.085 years
Canada,Caniapiscau Reservoir,Quebec,0000002.2002.2 years
Switzerland,Lake Sils / Silsersee /Lej da Segl,"Engadin, Grisons",0000002.2002.2 years
Switzerland,Wilersee,Canton of Zug,0000002.2002.2 years
United States,Great Pond,Maine,0000002.3002.3 years
Canada,Moberly Lake,British Columbia,0000002.4002.4 years
Finland,P?ij?nne,,0000002.5002.5 years
"Canada, United States",Lake Erie,North America,0000002.6002.6 years
United States,Rangeley Lake,"Franklin County, Maine",0000002.6002.6 years
Switzerland,Lake Brienz / Brienzersee,Canton of Berne,0000002.6902.69 years
Germany,Ammersee / Lake Ammer,Upper Bavaria,0000002.7002.7 years
Germany,Gro?er Pl?ner See,Schleswig-Holstein,0000003.0003 years
Canada,Paudash Lake,"Haliburton County, Ontario",0000003.0003 years
United States,Moosehead Lake,Maine,0000003.1003.1 years
Sweden,Trekanten,,0000003.1003.1 years
United States,Great East Lake,"Carroll County, New Hampshire; York County, Maine",0000003.3003.3 years
"Canada, United States",Lake Champlain,North America,0000003.3003.3 years
United States,Flathead Lake,Montana,0000003.4003.4 years
Switzerland,Lake Lucerne /Vierwaldst?ttersee,Central Switzerland,0000003.4003.4 years
"Canada, United States",Lake Winnipeg,"Manitoba, Canada",0000003.5003.5 years
France,Lac de Paladru,Is?re,0000003.6003.6 years
Switzerland,Lake Hallwil / Hallwilersee,Aargau,0000003.9003.9 years
Sweden,Flaten,southern Stockholm,0000004.0004 years
France,Lake Annecy / Lac d'Annecy,Haute-Savoie,0000004.0004 years
"Italy, Switzerland",Lake Maggiore / Verbano / Lago Maggiore,"Lombardy and Piedmont, Italy; Canton Ticino, Switzerland",0000004.0004 years
Chile,Todos los Santos Lake,,0000004.0004 years
Switzerland,Lake Baldegg / Baldeggersee,Canton of Lucerne,0000004.2004.2 years
Italy,Lake Iseo / Lago d'Iseo,Lombardy,0000004.2004.2 years
"Germany, Switzerland, Austria, Liechtenstein",Lake Constance / Bodensee,"Germany, Switzerland, Austria",0000004.3004.3 years
United States,Corey Lake,Michigan,0000004.4004.4 years
Canada,Elk and Beaver Lakes,"Saanich, British Columbia","0000004.4004.4 years (Elk Lake),"
Italy,Lake Como,"Lombardy, Italy",0000004.5004.5 years
United States,Lake Mendota,Wisconsin,0000004.5004.5 years
Israel,Sea of Galilee,,0000005.0005 years
Germany,Bannwaldsee,"Allg?u, Bavaria",0000005.2005.2 years
United States,Sebago Lake,"Cumberland County, Maine",0000005.2505.1 to 5.4 yrs
Canada,Kennisis Lake,"Haliburton Highlands, Ontario",0000005.2605.26 years
United States,Bay Lake,"Crow Wing County, Minnesota",0000005.5004-7 years
Japan,Lake Biwa / ???,,0000005.5005.5 years
United States,Jordan Pond,"Hancock County, Maine",0000006.0006 years
Italy,Lago di Mergozzo,Piedmont,0000006.0006 years
"Canada, United States",Lake Ontario,North America,0000006.0006 years
Canada,Lac la Nonne,Alberta,0000006.5006.5 years
Italy,Lago di Candia,Province of Turin,0000006.5006 or 7 years
Switzerland,?gerisee,Canton of Zug,0000006.8006.8 years
United Kingdom,Loch Morar,"Morar, Lochaber, Highland, Scotland",0000006.8706.87 years
United States,Lake Powell,Utah/Arizona,0000007.2007.2 years
Austria,Millst?tter See / Lake Millstatt,Carinthia,0000007.5007.5 years
Canada,Moose Lake,Alberta,0000007.5007.5 years
Germany,Schaalsee,Schleswig-Holstein,0000007.5005 to 10 years
United States,Iliamna Lake,"Lake and Peninsula Borough, Alaska",0000007.8007.8 years
France,Lac du Bourget,"Savoie, France",0000008.0008 years
United States,Odell Lake,"Klamath County, Oregon",0000008.0008 years
"Switzerland, Italy",Lake Lugano /Lago di Lugano,"Ticino, Lombardy",0000008.2008.2 years
Switzerland,Lake Neuch?tel / Lac de Neuch?tel / Neuenburgersee,,0000008.2008.2 years
Italy,Lake Orta /Lago d?Orta /Cusio,Piedmont,0000008.9008.9 years
Austria,Weissensee,Carinthia,0000009.2009.2 years
Canada,Quesnel Lake,British Columbia,0000010.10010.1 years
Germany,Schweriner See,Mecklenburg-Vorpommern,0000010.10010.1 years
New Zealand,Lake Taupo,"Taupo District, Waikato Region, North Island",0000010.50010.5 years
Austria,W?rthersee / Lake W?rth,west of Klagenfurt,0000010.50010.5 years
United States,Lake Chelan,Washington,0000010.60010.6 years
"Switzerland, France",Lake Geneva,"Switzerland, France",0000011.40011.4 years
New Zealand,Lake Wakatipu,"Queenstown-Lakes District, Otago Region, South Island",0000012.000c. 12 years
United States,Higgins Lake,Michigan,0000012.50012.5 years
United States,Crescent Lake,"Klamath County, Oregon",0000013.00013 years
Switzerland,Lake Zug / Zugersee,,0000014.70014.7 years
Germany,M?ritz,Mecklenburg-Vorpommern,0000015.00015 years (?)
Canada,Western Brook Pond,"Gros Morne National Park, Newfoundland, Newfoundland and Labrador",0000015.40015.4 years
Switzerland,Lake Sempach / Sempachersee,Canton of Lucerne,0000016.90016.9 years
United States,Skaneateles Lake,New York,0000018.00018 years
United States,Cayuga Lake,New York,0000018.20018.2 years
United States,Bear Lake,Idaho/Utah,0000019.60019.6 years
United States,Green Lake,"Green Lake County, Wisconsin",0000021.00021 years
Germany,Lake Starnberg /Starnberger See,Bavaria,0000021.00021 years
"Canada, United States",Lake Huron,North America,0000022.00022 years
Italy,Lake Garda / Lago di Garda,Northern Italy,0000026.80026.8 years
United States,Waldo Lake,"Cascade Mountains, OregonPortland, Oregon",0000032.00032 years
United States,Crystal Lake,"Benzie County, Michigan",0000045.00030 to 60 years
United States,Lake Columbia,"Jackson County, Michigan",0000047.00047 years
Canada,Okanagan Lake,British Columbia,0000052.80052.8 years
"the Republic of Macedonia, Albania",Lake Ohrid,,0000070.00070 years
United States,Lake Michigan,United States,0000099.00099 years
Germany,Arendsee,Saxony-Anhalt,0000100.000100 years
Canada,Gull Lake,Alberta,0000101.000>100 years
United States,Lake Yosemite,California,0000121.000121 years
Canada,Great Bear Lake,Northwest Territories,0000124.000124 years
United States,Crater Lake,Oregon,0000157.000157 years
"Canada, United States",Lake Superior,North America,0000191.000191 years
"Azerbaijan, Iran, Kazakhstan, Russia. Turkmenistan",Caspian Sea,,0000250.000250 years
Russia,Lake Baikal,,0000350.000330 years
United States,Lake Tahoe,"California, Nevada",0000650.000650 years
Peru Bolivia,Lake Titicaca,,0001343.0001343 years
Russia,Lakes Qaban,,0002000.000several thousand years
China,Lake Poyang,,0005000.0005000 years
Antarctica,Lake Vostok,,"13300.00013,300 years"
Australia,Lake Eucumbene,New South Wales,13300.0001958 Years
