Airport Name,City,Code,State
Eppley Airfield,Omaha,OMA,NE
Ontario International Airport,Ontario,ONT,CA
John Wayne Airport,Orange County,SNA,CA
Orlando International Airport,Orlando,MCO,FL
Palm Springs International Airport,Palm Springs,PSP,CA
Pensacola Regional Airport,Pensacola,PNS,FL
Philadelphia International Airport,Philadelphia,PHL,PA
Phoenix Sky Harbor International Airport,Phoenix,PHX,AZ
Pittsburgh International Airport,Pittsburgh,PIT,PA
Portland International Airport,Portland,PDX,OR
Portland International Jetport,Portland,PWM,ME
T.F. Green Airport,Providence,PVD,RI
Raleigh-Durham International Airport,Rdu Airport,RDU,NC
Reno-Tahoe International Airport,Reno,RNO,NV
Richmond International Airport,Richmond,RIC,VA
Greater Rochester International Airport,Rochester,ROC,NY
Sacramento International Airport,Sacramento,SMF,CA
Lambert-St. Louis International Airport,Saint Louis,STL,MO
St. Petersburg-Clearwater International Airport,Saint Petersburg,PIE,FL
Saipan International Airport,Saipan Island,GSN,CQ
Salt Lake City International Airport,Salt Lake City,SLC,UT
San Antonio International Airport,San Antonio,SAT,TX
San Diego International Airport,San Diego,SAN,CA
San Francisco International Airport,San Francisco,SFO,CA
San Jose International Airport,San Jose,SJC,CA
Luis Munoz Marin International Airport,San Juan,SJU,PR
Orlando Sanford International Airport,Sanford,SFB,FL
Santa Barbara Airport,Santa Barbara,SBA,CA
Sarasota-Bradenton International Airport,Sarasota,SRQ,FL
Savannah/Hilton Head International Airport,Savannah,SAV,GA
Seattle/Tacoma International Airport,Seattle,SEA,WA
South Bend Regional Airport,South Bend,SBN,IN
Burlington International Airport,South Burlington,BTV,VT
Spokane International Airport,Spokane,GEG,WA
Syracuse Hancock International Airport,Syracuse,SYR,NY
Tallahassee Regional Airport,Tallahassee,TLH,FL
Tampa International Airport,Tampa,TPA,FL
Tucson International Airport,Tucson,TUS,AZ
Tulsa International Airport,Tulsa,TUL,OK
Fort Walton Beach Airport,Valparaiso,VPS,FL
Ronald Reagan Washington National Airport,Washington,DCA,DC
Washington Dulles International Airport,Washington,IAD,DC
Palm Beach International Airport,West Palm Beach,PBI,FL
Westchester County Airport,White Plains,HPN,NY
Wichita Mid-Continent Airport,Wichita,ICT,KS
Bradley International Airport,Windsor Locks,BDL,CT
