Area sq.km.,Capital,Country,Population 2008 est.
"19,060",Noumea,New Caledonia,"224,824"
"268,680",Wellington,New Zealand,"4,173,460"
"129,494",Managua,Nicaragua,"5,785,846"
"1,267,000",Niamey,Niger,"13,272,679"
"923,768",Abuja,Nigeria,"146,255,312"
260,Alofi,Niue,"1,444"
35,Kingston,Norfolk Island,"2,128"
477,Saipan,Northern Mariana Islands,"86,616"
"323,802",Oslo,Norway,"4,644,457"
"212,460",Muscat,Oman,"3,311,640"
"803,940",Islamabad,Pakistan,"172,800,048"
458,Melekeok,Palau,"21,093"
"6,220",Ramallah,"Palestinian Territory, Occupied","3,907,883"
"78,200",Panama,Panama,"3,309,679"
"462,840",Port Moresby,Papua New Guinea,"5,931,769"
"406,750",Asuncion,Paraguay,"6,831,306"
"1,285,220",Lima,Peru,"29,180,900"
"300,000",Manila,Philippines,"96,061,680"
47,Adamstown,Pitcairn Islands,48
"312,685",Warsaw,Poland,"38,500,696"
"92,391",Lisbon,Portugal,"10,676,910"
"13,790",San Juan,Puerto Rico,"3,958,128"
"11,437",Doha,Qatar,"824,789"
"237,500",Bucharest,Romania,"22,246,862"
"17,075,200",Moscow,Russia,"140,702,096"
"26,338",Kigali,Rwanda,"10,186,063"
21,Gustavia,Saint Barthelemy,"7,492"
413,Jamestown,Saint Helena,"7,601"
261,Basseterre,Saint Kitts and Nevis,"39,817"
616,Castries,Saint Lucia,"159,585"
54,Marigot,Saint Martin,"29,376"
242,Saint-Pierre,Saint Pierre and Miquelon,"7,044"
389,Kingstown,Saint Vincent and the Grenadines,"118,432"
"2,944",Apia,Samoa,"217,083"
61,San Marino,San Marino,"29,973"
"1,001",Sao Tome,Sao Tome and Principe,"206,178"
"2,149,690",Riyadh,Saudi Arabia,"28,146,656"
"196,190",Dakar,Senegal,"12,853,259"
"77,474",Belgrade,Serbia,"10,159,046"
455,Victoria,Seychelles,"82,247"
"71,740",Freetown,Sierra Leone,"6,294,774"
693,Singapore,Singapore,"4,608,167"
"48,845",Bratislava,Slovakia,"5,455,407"
"20,273",Ljubljana,Slovenia,"2,007,711"
"28,450",Honiara,Solomon Islands,"581,318"
"637,657",Mogadishu,Somalia,"9,558,666"
"1,219,912",Pretoria ?,South Africa,"48,782,756"
"504,782",Madrid,Spain,"40,491,052"
"65,610",Colombo,Sri Lanka,"21,128,772"
"2,505,810",Khartoum,Sudan,"40,218,456"
"163,270",Paramaribo,Suriname,"475,996"
"61,020",Longyearbyen,Svalbard,"2,165"
"17,363",Mbabane ?,Swaziland,"1,128,814"
"449,964",Stockholm,Sweden,"9,045,389"
"41,290",Bern,Switzerland,"7,581,520"
"185,180",Damascus,Syria,"19,747,586"
"35,980",Taipei,Taiwan,"22,920,946"
"143,100",Dushanbe,Tajikistan,"7,211,884"
"945,087",Dar es Salaam,Tanzania,"40,213,160"
"514,000",Bangkok,Thailand,"65,493,296"
"15,007",Dili,Timor-Leste (East-Timor),"1,108,777"
"56,785",Lome,Togo,"5,858,673"
10,none,Tokelau,"1,433"
748,Nuku'alofa,Tonga,"119,009"
"5,128",Port-of-Spain,Trinidad and Tobago,"1,047,366"
"163,610",Tunis,Tunisia,"10,383,577"
"780,580",Ankara,Turkey,"71,892,808"
"488,100",Ashgabat,Turkmenistan,"5,179,571"
430,Cockburn Town,Turks and Caicos Islands,"22,352"
26,Fongafale,Tuvalu,"12,177"
"236,040",Kampala,Uganda,"31,367,972"
"603,700",Kiev,Ukraine,"45,994,288"
"83,600",Abu Dhabi,United Arab Emirates,"4,621,399"
"244,820",London,United Kingdom,"60,943,912"
"9,826,630",Washington DC,United States of America,"303,824,640"
"176,220",Montevideo,Uruguay,"3,477,778"
"447,400",Tashkent,Uzbekistan,"27,345,026"
"12,200",Port-Vila,Vanuatu,"215,446"
"912,050",Caracas,Venezuela,"26,414,816"
"329,560",Hanoi,Vietnam,"86,116,560"
"1,910",Charlotte Amalie,"Virgin Islands, U.S.","109,840"
274,Mata-Utu,Wallis and Futuna,"15,237"
"266,000",none,Western Sahara,"393,831"
"527,970",Sanaa,Yemen,"23,013,376"
"752,614",Lusaka,Zambia,"11,669,534"
"390,580",Harare,Zimbabwe,"11,350,111"
"510,072,000",,World,"6,706,993,152"
