City,Country,Feets,Meters,Name,Pictures
Shanghai,P.R. China,643,196,China Insurance Building,
Canberra,Australia,640,195,Telstra Tower,
Mexico City,Mexico,640,195,Altus Tower,[1]
"Pittsburgh, PA",USA,636,194,PPG Place,
Kuala Lumpur,Malaysia,633,193,Belmont Centre,
"Seattle, WS",USA,630,192,1001 Fourth Avenue Plaza,
"Dallas, TX",USA,629,192,Energy Plaza,[1] [2]
Calgary,Canada,626,191,Calgary Tower,
"Dallas, TX",USA,625,191,Elm Place,[1] [2]
Cairo,Egypt,623,190,Cairo Television Tower,
London,United Kingdom,620,189,BT Tower,[1]
"Detroit, MI",USA,620,189,Comerica Tower,
"Nashville, TN",USA,617,188,Bellsouth Building,
"New York, NY",USA,614,187,750 7th Avenue,
Shanghai,P.R. China,610,186,China Merchants Tower,
Frankfurt,Germany,610,186,Trianon Building,
"Atlanta, GE",USA,609,186,GLG Grand/Four Seasons Hotel,
Rotterdam,Netherlands,607,185,Euromast Tower,
Dubai,UAE,605,184,World Trade Center,
"Seattle, WS",USA,605,184,The Space Needle,[1]
"Dallas, TX",USA,598,182,Republic Center Tower II,[1]
M�nster,Germany,598,182,WDR Sendemast,
Mexico City,Mexico,594,181,Latinoamericana Tower,
Chiba,Mexico,594,181,Makuhari Prince Hotel,[1]
Instanbul,Turkey,594,181,Bankasi Towers,[1]
Tokyo,Japan,590,180,NEC Supertower,
Benidorm,Spain,591,180,Hotel Bali 3,
Kuwait,Kuwait,591,180,Kuwait Water Towers,[1]
"Chicago, IL",USA,587,179,Marina City,[1] [2] [3]
Hong Kong,PR China,587,179,Hong Kong and Shanghai Bank,[1]
Vancouver,Canada,581,177,Harbour Center Tower,[1]
Pretoria,South Africa,581,177,Lukasrand Tower,
"Seattle, WA",USA,581,177,US Bank Center,
"Dunwoody, GA",USA,581,177,Concourse Tower 5,
"Dallas, TX",USA,580,177,One Bell Plaza,[1] [2]
"Dallas, TX",USA,579,176,Lincoln Plaza,[1] [2] [3]
"Seattle, WA",USA,577,176,800 Fifth Avenue Plaza,
"Seattle, WA",USA,574,175,Wells Fargo Center,
Montreal,Canada,574,175,Montreal Tower,[1]
"Atlanta, GE",USA,570,174,Concourse Tower 5,
Osaka,Japan,568,173,Umeda Sky Building,
"Dallas, TX",USA,560,171,Reunion Tower,[1] [2]
Riyadh,Saudi-Arabia,558,170,Riyadh Television Tower,[1]
"Dunwoody, GA",USA,554,169,Concourse Tower 6,
"Boston, MA",USA,554,169,111 Huntington Avenue,
Tampere,Finland,551,168,N?sinneula Tower,[1]
"Dallas, TX",USA,550,168,Adam's Mark Hotel,[1]
Monterrey,Mexico,548,167,Torre Dataflux,[1]
Frankfurt,Germany,545,166,Dresdner Bank,[1]
"Seattle, WA",USA,545,166,800 5th Avenue Plaza,
Sydney,Australia,545,166,The Peak,[1]
"Seattle, WA",USA,534,163,Union Bank of California Center,
Abu Dhabi,UAE,534,163,Baynunah Tower,
Essen,Germany,531,162,RWE-Tower,[1]
Ermingen,Germany,531,162,Telecommunications Tower,
Frankfurt,Germany,531,162,PBC [Marriott Hotel),
"Columbus, OH",USA,531,162,William Green Building,
Mexico City,Mexico,529,162,Arch Tower One,[1]
Ulm,Germany,528,161,Ulmer M�nster,[1]
"Hartford, CT",USA,528,161,Travelers Tower,
K�ln,Germany,525,160,K�lner Dom,
"New York, NY",USA,525,160,Seagram Building,[1] [2]
"Florida, FL",USA,525,160,Vehicle Assembly Building,[1] [2]
"Hartford, CT",USA,521,159,Goodwin Square,
Blackpool,United Kingdom,518,158,Blackpool Tower,[1] [2] [3]
Istanbul,Turkey,518,158,Akbank Tower,[1]
"Seattle, WA",USA,514,157,Rainier Tower,
Kuala Lumpur,Malaysia,514,157,Dayabumi Complex,[1] [2]
"Dallas, TX",USA,512,156,Bryan Tower,[1]
Makati City,Philippines,509,155,Urban Bank Plaza,[1]
Frankfurt,Germany,509,155,Deutsche Bank Headquarters,[1]
Stockholm,Sweden,509,155,Kaknas Tower,[1]
,,,,,
