Date,Director,Movie,Year
2009-01-27,Lasse Hallstr?m,The Cider House Rules,1999
2009-01-25,Eran Kolirin,The Band's Visit,2008
2009-01-24,Davis Guggenheim,Gossip,2000
2009-01-21,James Mangold,3:10 to Yuma,2007
2009-01-19,Rob Reiner,The Bucket List,2007
2009-01-16,Werner Herzog,Rescue Dawn,2006
2009-01-10,David Gordon Green,Pineapple Express,2008
2009-01-09,Steve Buscemi,Interview,2007
2009-01-02,David Koepp,Ghost Town,2008
2009-01-01,Danny Boyle,Slumdog Millionaire,2008
2008-12-30,John Dahl,The Last Seduction,1994
2008-11-30,Kevin Smith,Zack and Miri Make a Porno,2008
2008-11-18,Lawrence Kasdan,Body Heat,1981
2008-11-12,Ben Stiller,Tropic Thunder,2008
2008-11-08,Louis Leterrier,The Incredible Hulk,2008
2008-11-05,Martin Gero,Young People Fucking,2007
2008-10-28,Tom McCarthy,The Visitor,2007
2008-10-09,Steven Soderbergh,Erin Brockovich,2000
2008-10-07,Sidney Lumet,12 Angry Men,1957
2008-10-04,Peter Travis,Vantage Point,2008
2008-09-24,Jon Favreau,Iron Man,2008
2008-09-19,Ethan Coen and Joel Coen,Burn After Reading,2008
2008-09-17,Tim Burton,Sweeney Todd: The Demon Barber of Fleet Street,2007
2008-09-14,Mike White,Year of the Dog,2007
2008-08-25,Ben Affleck,Gone Baby Gone,2007
2008-08-21,Adam Brooks,"Definitely, Maybe",2008
2008-07-19,Christopher Nolan,The Dark Knight,2008
2008-07-17,Noam Murro,Smart People,2008
2008-06-28,Andrew Stanton,WALL-E,2008
2008-06-11,Michael Patrick King,Sex and the City,2008
2008-05-31,Kent Alterman,Semi-Pro,2008
2008-05-26,Justin Chadwick,The Other Boleyn Girl,2008
2008-05-23,Richard LaGravenese,P.S. I Love You,2007
2008-05-18,Gary Winick,13 Going on 30,2004
2008-05-11,Robert Luketic,21,2008
2008-05-08,Marc Lawrence,Music and Lyrics,2007
2008-04-25,C?line Sciamma,Water Lilies,2007
2008-04-18,Nick Stoller,Forgetting Sarah Marshall,2008
2008-04-11,Roger Donaldson,The Bank Job,2008
2008-04-03,Martin McDonagh,In Bruges,2008
2008-03-18,Jimmy Hayward and Steve Martino,Horton Hears a Who,2008
2008-03-13,Anne Fletcher,27 Dresses,2008
2008-03-11,Mark Steven Johnson,Simon Birch,1998
2008-03-02,Kevin Lima,Enchanted,2007
2008-03-01,Francis Lawrence,I Am Legend,2007
2008-02-26,Julian Schnabel,The Diving Bell and the Butterfly,2007
2008-02-22,Michel Gondry,Be Kind Rewind,2008
2008-02-17,Noah Baumbach,Margot at the Wedding,2007
2008-02-06,Marjane Satrapi and Vincent Paronnaud,Persepolis,2007
2008-01-26,Jeff Garlin,I Want Someone to Eat Cheese With,2006
2008-01-22,Tamara Jenkins,The Savages,2007
2008-01-20,Matt Reeves,Cloverfield,2008
2008-01-13,Paul Thomas Anderson,There Will Be Blood,2007
2008-01-09,Joe Wright,Atonement,2007
2008-01-04,Mike Nichols,Charlie Wilson?s War,2007
2008-01-01,Jason Reitman,Juno,2007
2007-12-30,Julie Delpy,2 Days in Paris,2007
2007-12-29,Jake Kasdan,Walk Hard: The Dewey Cox Story,2007
2007-12-15,Bob Odenkirk,The Brothers Solomon,2007
2007-12-08,Sean Ellis,Cashback,2004
2007-12-05,Ethan Coen and Joel Coen,No Country for Old Men,2007
2007-12-03,Alejandro Gonz?lez I??rritu,Babel,2006
2007-11-29,Sidney Lumet,Before the Devil Knows You?re Dead,2007
2007-11-26,Michael Curtiz,White Christmas,1954
2007-11-24,John Jeffcoat,Outsourced,2007
2007-11-24,Jennifer Baichwal,Manufactured Landscapes,2006
2007-11-22,Michael Apted,Amazing Grace,2006
2007-11-18,"Olivier Assayas, Ethan Coen, Joel Coen, Wes Craven, Alfonso Cuar?n, G?rard Depardieu, Christopher Doyle, Richard LaGravenese, Alexander Payne, Walter Salles, Jr., Oliver Schmitz, Gus Van Sant, Fr?d?ric Auburtin, Gurinder Chadha, Daniela Thomas, Isabel Coi","Paris, je t?aime",2006
2007-11-16,Greg Mottola,Superbad,2007
2007-11-13,Ridley Scott,Black Hawk Down,2001
2007-11-10,Steven Soderbergh,Ocean?s Thirteen,2007
2007-11-07,Peter Hedges,Dan in Real Life,2007
2007-11-06,Ridley Scott,American Gangster,2007
2007-11-03,Taika Waititi,Eagle vs. Shark,2007
2007-10-31,Wes Anderson,Hotel Chevalier,2007
2007-10-31,Wes Anderson,The Darjeeling Limited,2007
2007-10-28,Craig Gillespie,Lars and the Real Girl,2007
2007-10-24,Emmanuel Carr?re,La Moustache,2005
2007-10-06,Florian Henckel von Donnersmarck,The Lives of Others,2006
2007-10-03,David Cronenberg,Eastern Promises,2007
2007-09-30,Judd Apatow,Knocked Up,2007
2007-09-26,Anton Corbijn,Control,2007
2007-09-12,Michael Davis,Shoot ?Em Up,2007
2007-09-05,Jeffrey Blitz,Rocket Science,2007
2007-08-29,David Lynch,Inland Empire,2006
2007-08-24,Jeffrey Blitz,Spellbound,2002
2007-07-25,Joel Schumacher,The Number 23,2007
2007-07-18,Michael Moore,Sicko,2007
2007-06-19,Edgar Wright,Hot Fuzz,2007
2007-05-19,Juan Carlos Fresnadillo,28 Weeks Later,2007
2007-05-15,Kevin MacDonald,The Last King of Scotland,2006
2007-05-11,Joe Johnston,The Rocketeer,1991
2007-04-27,Richard Linklater,Fast Food Nation,2006
2007-04-23,Dave Willis & Matt Maiellaro,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007
2007-04-07,Quentin Tarantino,Death Proof,2007
2007-04-07,Robert Rodriguez,Planet Terror,2007
2007-04-03,Will Speck & Josh Gordon,Blades of Glory,2007
2007-03-24,Shawn Levy,Night at the Museum,2006
2007-03-18,Rob Reiner,The Princess Bride,1987
2007-03-03,David Fincher,Zodiac,2007
2007-03-02,Pedro Almod?var,Volver,2006
2007-02-28,Michael Guest,For Your Consideration,2006
2007-02-26,Marc Forster,Stranger Than Fiction,2006
2007-02-10,Todd Field,Little Children,2006
2007-02-04,Alfonso Cuar?n,Great Expectations,1998
2007-01-25,Christopher Nolan,The Prestige,2006
2007-01-20,John J. Curran,The Painted Veil,2006
2007-01-19,Guillermo del Toro,Pan's Labyrinth,2006
2007-01-15,Zhang Yimou,Curse of the Golden Flower,2006
2007-01-10,Kirby Dick,This Film Is Not Yet Rated,2005
2007-01-06,Alfonso Cuar?n,Children of Men,2006
2006-12-30,Neil Burger,The Illusionist,2006
2006-12-12,Morgan J. Freeman,Piggy Banks,2005
2006-12-03,Darren Aronofsky,The Fountain,2006
2006-12-01,Oliver Stone,World Trade Center,2006
2006-11-28,Martin Campbell,Casino Royale,2006
2006-11-17,Bob Odenkirk,Let's Go to Prison!,2006
2006-11-15,Heidi Ewing and Rachel Grady,Jesus Camp,2005
2006-11-14,Liam Lynch,Tenacious D in The Pick of Destiny,2006
2006-11-11,Steve Pink,Accepted,2006
2006-11-08,Sofia Coppola,Marie Antoinette,2006
2006-11-03,Larry Charles,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006
2006-10-29,Darren Lynn Bousman,Saw III,2006
2006-10-26,Peyton Reed,The Break-Up,2006
2006-10-21,Jared Hess,Nacho Libre,2006
2006-10-16,Richard Linklater,A Scanner Darkly,2006
2006-10-14,Michel Gondry,The Science of Sleep,2006
2006-10-10,Jason Reitman,Thank You for Smoking,2005
2006-10-10,Martin Scorsese,The Departed,2006
2006-10-04,Terry Zwigoff,Art School Confidential,2006
2006-09-09,Paul Dinello,Strangers with Candy,2005
2006-09-05,Caveh Zahedi,I Am a Sex Addict,2005
2006-08-30,Richard Shepard,The Matador,2005
2006-08-28,Marc Forster,Stay,2005
2006-08-21,Salvador Litvak,When Do We Eat?,2005
2006-08-21,David R. Ellis,Snakes on a Plane,2006
2006-08-19,Woody Allen,Melinda and Melinda,2004
2006-08-16,Albert Hughes,From Hell,2001
2006-08-10,Michael Haneke,Cach?,2005
2006-08-07,Scott Coffey,Ellie Parker,2004
2006-08-04,Adam McKay,Talladega Nights: The Ballad of Ricky Bobby,2006
2006-08-02,David Slade,Hard Candy,2004
2006-08-02,Karey Kirkpatrick and Tim Johnson,Over the Hedge,2006
2006-07-31,Audrey Wells,Under the Tuscan Sun,2003
2006-07-26,Stuart Gordon,Edmond,2005
2006-07-25,Jonathan Dayton and Valerie Faris,Little Miss Sunshine,2006
2006-07-23,Shane Black,"Kiss Kiss, Bang Bang",2005
2006-07-22,Rian Johnson,Brick,2005
2006-07-19,Jez Butterworth,Birthday Girl,2001
2006-07-16,Philip Kaufman,The Unbearable Lightness of Being,1988
2006-07-14,Bahman Ghobadi,Turtles Can Fly,2004
2006-07-13,Dennis Dugan,The Benchwarmers,2006
2006-07-12,Neil Armfield,Candy,2006
2006-07-07,Richard Donner,16 Blocks,2006
2006-07-06,Lasse Hallstr?m,The Shipping News,2001
2006-07-04,Rodrigo Garc?a,Nine Lives,2004
2006-07-04,Jesse Dylan,Kicking & Screaming,2005
2006-07-03,Mark S. Waters,The House of Yes,1997
2006-06-28,Miguel Arteta,The Good Girl,2002
2006-06-23,Steven Baigelman,Feeling Minnesota,1996
2006-06-20,Joshua Marston,Maria Full of Grace,2003
2006-06-19,Paul McGuigan,Lucky Number Slevin,2006
2006-06-18,Roman Polanski,The Pianist,2002
2006-06-14,Sidney Lumet,Network,1976
2006-06-10,Billy Morrissette,"Scotland, PA",2001
2006-06-09,Gregg Araki,Mysterious Skin,2004
2006-06-08,Phil Morrison,Junebug,2005
2006-06-03,Greg Marcks,11:14,2003
2006-05-29,Tom Dey,Failure to Launch,2006
2006-05-26,John Hazlett,These Girls,2005
2006-05-21,Josh Kornbluth and Jacob Kornbluth,Haiku Tunnel,2001
2006-05-20,Michael Radford,Nineteen Eighty-Four,1984
2006-05-18,Miranda July,Me You and Everyone We Know,2005
2006-05-17,Marc Forster,Monster's Ball,2001
2006-05-16,Pedro Almod?var,Talk to Her,2002
2006-05-12,Keith Gordon,Waking the Dead,2000
2006-05-11,George Lucas,American Graffiti,1973
2006-05-09,Woody Allen,Hollywood Ending,2002
2006-05-06,J.J. Abrams,Mission Impossible III,2006
2006-05-02,Joe Wright,Pride & Prejudice,2005
2006-04-25,Liev Schreiber,Everything is Illuminated,2005
2006-04-21,Park Chan-wook,Oldboy,2004
2006-04-19,Richard Kwietniowski,Owning Mahowny,2003
2006-04-08,James McTeigue,V for Vendetta,2006
2006-03-30,James Gunn,Slither,2006
2006-03-25,Spike Lee,Inside Man,2006
2006-03-18,Jonathan Demme,The Manchurian Candidate,2004
2006-03-15,Laurence Dunmore,The Libertine,2004
2006-03-08,Paul Haggis,Crash,2004
2006-03-07,Alexander Payne,Election,1999
2006-03-06,Tony Scott,Domino,2005
2006-03-04,Wes Craven,Red Eye,2005
2006-02-26,Anand Tucker,Shopgirl,2005
2006-02-24,George Clooney,"Good Night, and Good Luck",2005
2006-02-20,Terry George,Hotel Rwanda,2004
2006-02-18,Gore Verbinski,The Weather Man,2005
2006-02-12,Ang Lee,Brokeback Mountain,2005
2006-02-10,Abdel Kechiche,Games of Love and Chance,2005
2006-02-03,Mike Mills,Thumbsucker,2005
2006-01-31,Bennett Miller,Capote,2005
2006-01-30,Steven Spielberg,Saving Private Ryan,1998
2006-01-21,Troy Miller,Run Ronnie Run!,2002
2006-01-20,Shawn Levy,Cheaper by the Dozen,2003
2006-01-13,Takashi Shimizu,The Grudge,2004
2006-01-12,Arie Posin,The Chumscrubber,2005
2006-01-08,Tom Brady,The Hot Chick,2002
2006-01-07,Andrei Tarkovsky,Solaris,1972
2006-01-02,Fernando Meirelles,The Constant Gardner,2005
2006-01-01,Luc Jacquet,March of the Penguins,2005
2005-12-31,Dean Parisot,Fun with Dick and Jane,2005
2005-12-28,Noah Baumbach,The Squid and the Whale,2005
2005-12-28,Edward Zwick,Last Samurai,2003
2005-12-26,Bobby Farrelly and Peter Farrelly,Shallow Hal,2001
2005-12-26,Mel Brooks,Blazing Saddles,1974
2005-12-24,Eric Darnell and Tom McGrath,Madagascar,2005
2005-12-23,Frank Capra,It's A Wonderful Life,1946
2005-12-20,Jim Jarmusch,Broken Flowers,2005
2005-12-18,Ben Younger,Prime,2005
2005-12-14,Peter Jackson,King Kong,2005
2005-12-11,Shainee Gabel,A Love Song for Bobby Long,2004
2005-12-10,Sydney Pollack,The Interpreter,2005
2005-12-07,Vincent Gallo,Brown Bunny,2003
2005-12-05,Todd Louiso,Love Liza,2002
2005-12-04,Jay Chandrasekhar,Dukes of Hazzard,2005
2005-12-03,Andrew Niccol,Lord of War,2005
2005-11-26,Roger Kumble,Just Friends,2005
2005-11-25,Harold Ramis,Ice Harvest,2005
2005-11-24,Mike Mitchell,Surviving Christmas,2004
2005-11-24,James Mangold,Walk the Line,2005
