City,City population,Country,Mayor,Metro population,World rank
TEHRAN,"8,430,000",Iran,Mohammad Bagher Ghalibaf,"13,450,000",16
TEL AVIV,"383,000",Israel,Ron Huldai,"3,250,000",n/r
Tengzhou,"1,750,000",China,Du Yongguang,,170
Teresina,"893,000",Brazil,Silvio Mendes,"949,000",453
Thane,"1,375,000",India,Ashjok Vaity,,268
The Hague,"486,000",Netherlands,Van Aartsen,"1,011,000",n/r
Thessaloniki,"407,000",Greece,Vasilis Papageorgopoulos,"798,000",n/r
Thiruvananthapuram,"810,000",India,C Jayan Babu,"955,000",488
Tianjin,"7,500,000",China,Huang Xingguo,"11,750,000",24
Tianmen,"1,790,000",China,n/k,,165
Tianshui,"1,630,000",China,Li Wenqing,"3,450,000",188
Tijuana,"1,484,000",Mexico,Carlos Bustamante,"1,500,000",222
Tiruchchirappalli,"760,000",India,n/k,"863,000",517
Tlalnepantla de Baz,"685,000",Mexico,Arturo Ugalde Meneses,"800,000",545
TOKYO,"8,653,000",Japan,Shintaro Ishihara,"31,036,000",15
Toluca,"785,000",Mexico,Maria Elena Barrera Tapia,"1,650,000",505
Tongzhou,"1,400,000",China,Ding Dawei,,257
Toronto,"2,571,000",Canada,Rob Ford,"5,100,000",101
Torreon,"1,001,000",Mexico,Eduardo Olmos Castro,,410
Toulouse,"438,000",France,Pierre Cohen,"851,000",n/r
TRIPOLI,"1,683,000",Libya,Abdullatif Abdulrahman Aldaali,"2,270,000",179
TSHWANE (PRETORIA),"1,530,000",South Africa,Gwen Ramokgopa,"2,346,000",209
Tucson,"542,000",USA,Bob Walkup,"720,000",597
Tucuman,"528,000",Argentina,Domingo Amaya,"830,000",n/r
Tulsa,"399,000",USA,"Dewey F. Bartlett, Jr","813,000",n/r
TUNIS,"1,200,000",Tunisia,Abb�s Mohsen,"3,980,000",327
Turin,"910,000",Italy,Sergio Chiamparino,"1,617,000",442
Ufa,"1,023,000",Russia,Pavel Kachkayev,"1,050,000",398
Ujung Pandang,"1,170,000",Indonesia,n/k,"1,254,000",338
ULAANBAATAR,"1,108,000",Mongolia,n/k,,364
Ulsan,"1,127,000",South Korea,Bak Maeng-woo,,356
Urumqi,"1,800,000",China,Jerla Isamudin,"2,680,000",162
Vadodara,"1,500,000",India,Balakrishna Shukla,"3,642,000",219
Valencia,"810,000",Spain,Rita Barber� Nolla,"1,720,000",489
Valencia,"1,200,000",Venezuela,Edgardo Parra,"1,750,000",328
Valparaiso,"301,000",Chile,Aldo Cornej,"904,000",n/r
Vancouver,"580,000",Canada,Gregor Robertson,"2,120,000",580
Varanasi,"1,375,000",India,Kaushalendra Singh,"3,150,000",269
Vereeniging,"385,000",South Africa,n/k,"774,000",n/r
VIENNA,"1,681,000",Austria,Michael H�upl,"2,269,000",180
Vijayawada,"957,000",India,Ratna Bindu,"1,150,000",428
VILNIUS,"545,000",Lithuania,Vilius Navickas,,593
Visakhapatnam,"970,000",India,B N Vishnu,"1,330,000",421
Vitoria,"313,000",Brazil,Jo�o Carlos Coser,"1,628,000",n/r
Volgograd,"1,012,000",Russia,Roman Grebennikov,"1,292,000",403
Voronezh,"849,000",Russia,Sergey Koliukh,"950,000",468
Wafangdian,"1,100,000",China,n/k,,368
WARSAW,"1,712,000",Poland,Hanna Gronkiewicz-Waltz,"3,350,000",176
WASHINGTON DC,"600,000",USA,Vincent Gray,"5,300,000",571
Weifang,"1,450,000",China,Xu Liquan,"8,500,000",235
Weinan,"925,000",China,n/k,,435
Wiesbaden,"277,000",Germany,Helmut M�ller,,n/r
Wuhan,"4,500,000",China,Ruan Chengfa,"6,200,000",46
Wujiang,"970,000",China,n/k,"1,500,000",422
Wuppertal,"353,000",Germany,Peter Jung,,n/r
Wuxi,"1,750,000",China,Mao Xiaoping,"2,230,000",171
Xiamen,"2,490,000",China,Liu Cigui,,112
Xian,"2,670,000",China,Chen Baogen,"4,480,000",93
Xining,"713,000",China,n/k,"894,000",533
Xintai,"1,480,000",China,Liu Daqun,,223
Xinyang,"1,460,000",China,Guo Ruimin,,230
Xuzhou,"1,830,000",China,Cao Xinping,"9,410,000",156
Yangon,"4,468,000",Myanmar (Burma),Aung Thein Lynn,"5.500,000",47
Yantai,"1,800,000",China,Zhang Jiangting,"6,500,000",163
YAOUND�,"1,430,000",Cameroon,n/k,"1,550,000",242
YEREVAN,"1,108,000",Armenia,Gagik Beglaryan,"1,246,000",365
Yichun,"1,020,000",China,Gong Jianhua,"958,000",400
Yiyang,"1,300,000",China,n/k,"4,500,000",293
Yogyakarta,"417,000",Indonesia,n/k,"840,000",n/r
Yokohama,"3,655,000",Japan,Fumiko Hayashi,,59
Yongcheng,"1,347,000",China,n/k,,279
Yuzhou,"1,230,000",China,n/k,,317
ZAGREB,"804,000",Croatia,Milan Bandic,"1,288,000",495
Zapopan,"1,155,000",Mexico,Hector Vielma Ordo�ez,"1,200,000",345
Zaporizhzhya,"782,000",Ukraine,Yevgeni Kartashov,,508
Zaria,"898,000",Nigeria,n/k,,450
Zhangjiakou,"680,000",China,n/k,"882,000",551
Zhanjiang,"1,450,000",China,Ruan Risheng,"6,900,000",236
Zhengzhou,"2,600,000",China,Zhao Jiancai,"4,510,000",99
Zhongshan,"2,495,000",China,n/k,,111
Zibo,"2,850,000",China,Liu Huiyan,"4,200,000",83
Zurich,"333,000",Switzerland,Corine Mauch,"965,000",n/r
