,1998 Data Country,GDP,GDP Growth Rate,GDP Per Capita,Infant Mortality,Inflation,Popul. Growth,Population
54,Colombia,$231.1,3.10%,"$6,200",25.44,17.70%,1.89%,"38,580,949"
55,South Africa,$270.0,3.00%,"$6,200",52.04,9.70%,1.42%,"42,834,520"
56,Turkey,$388.3,7.20%,"$6,100",38.27,99.00%,1.60%,"64,566,511"
57,Tunisia,$56.5,5.60%,"$6,100",32.64,4.60%,1.43%,"9,380,404"
58,Iran,$371.2,3.20%,"$5,500",48.95,23.00%,2.04%,"68,959,931"
59,Costa Rica,$19.6,3.00%,"$5,500",13.10,11.20%,1.95%,"3,604,642"
60,Romania,$114.2,-6.60%,"$5,300",18.83,151.00%,-0.32%,"22,395,848"
61,Belarus,$50.4,8.50%,"$4,800",14.16,65.00%,-0.05%,"10,409,050"
62,Jordan,$20.7,5.30%,"$4,800",33.29,3.00%,2.54%,"4,434,978"
63,Dominican Rep.,$38.3,7.00%,"$4,700",44.26,10.90%,1.63%,"7,998,766"
64,Russia,$692.0,0.40%,"$4,700",23.26,11.00%,-0.31%,"146,861,022"
65,Indonesia,$960.0,4.00%,"$4,600",59.23,50.00%,1.49%,"212,941,810"
66,Croatia,$22.7,4.40%,"$4,500",8.00,3.70%,0.13%,"4,671,584"
67,Peru,$110.2,7.30%,"$4,420",43.42,6.70%,1.97%,"26,111,110"
68,Egypt,$267.1,5.20%,"$4,400",69.23,4.90%,1.86%,"66,050,004"
69,Lebanon,$15.2,4.00%,"$4,400",31.64,9.00%,1.62%,"3,505,794"
70,Ecuador,$53.4,3.40%,"$4,400",32.07,31.00%,1.86%,"12,336,572"
71,Latvia,$10.4,6.00%,"$4,260",17.44,7.40%,-1.41%,"2,385,396"
72,Lithuania,$15.4,6.00%,"$4,230",14.75,8.60%,-0.45%,"3,600,158"
73,Bulgaria,$35.6,-7.40%,"$4,100",12.78,1.00%,-0.60%,"8,240,426"
74,Guatemala,$45.8,4.10%,"$4,000",47.68,9.00%,2.71%,"12,007,580"
75,Algeria,$120.4,2.50%,"$4,000",45.44,7.00%,2.14%,"30,480,793"
76,Paraguay,$21.9,2.60%,"$3,900",37.39,6.20%,2.68%,"5,291,020"
77,Sri Lanka,$72.1,6.00%,"$3,800",16.33,9.60%,1.12%,"18,933,558"
78,Swaziland,$3.9,3.00%,"$3,800",103.37,9.50%,1.96%,"966,462"
79,Namibia,$6.2,3.00%,"$3,700",66.76,8.00%,1.60%,"1,622,328"
80,Jamaica,$9.5,-1.40%,"$3,660",14.47,17.00%,0.70%,"2,634,678"
81,Morocco,$107.0,-2.20%,"$3,500",52.99,3.00%,1.89%,"29,114,497"
82,China,"$4,250.0",8.80%,"$3,460",45.46,2.80%,0.83%,"1,236,914,658"
83,Armenia,$9.5,2.70%,"$2,750",40.77,13.20%,-0.36%,"3,421,775"
84,Ukraine,$124.9,-3.20%,"$2,500",21.80,10.00%,-0.64%,"50,125,108"
85,Moldova,$10.8,-2.00%,"$2,400",43.72,11.20%,0.04%,"4,457,729"
86,Serbia,$24.3,7.00%,"$2,280",17.11,7.00%,0.02%,"11,206,039"
87,Bosnia & Herzeg.,$4.4,35.00%,"$1,690",30.80,?,3.63%,"3,365,727"
88,India,"$1,534.0",5.00%,"$1,600",63.14,7.00%,1.71%,"984,003,683"
89,Georgia,$8.1,11.80%,"$1,570",51.07,7.10%,-0.92%,"5,108,527"
90,Azerbaijan,$11.9,5.80%,"$1,460",81.64,3.70%,0.70%,"7,855,576"
91,Albania,$4.5,-8.00%,"$1,370",45.01,40.00%,0.97%,"3,330,754"
92,F.Y.R.O.M. (3),$2.0,1.50%,$960,19.49,3.50%,0.68%,"2,009,387"
