#,Durchschnitt,Reviews,System,Titel
124,5.64,17,Nintendo GameCube,Mario Kart Double Dash!!
125,5.63,11,Sony Playstation 2,Need For Speed: Underground 2
126,5.6,5,Sony Playstation 2,God of War
127,5.6,5,Sony Playstation 3,Call of Duty 4: Modern Warfare
128,5.6,5,Nintendo GameCube,Luigis Mansion
129,5.6,5,C64,Giana Sisters
130,5.6,5,Gameboy,Wario Land - Super Mario Land 3
131,5.6,5,Sony Playstation,Tony Hawk's Skateboarding
132,5.6,5,Sony Playstation 2,Buzz! Das gro?e Quiz
133,5.6,5,PC,Sim City 4
134,5.57,7,NES,Super Mario Bros. 2
135,5.57,7,Sony Playstation 2,Tekken 5
136,5.56,16,Gameboy,Super Mario Land 2 - 6 Golden Coins
137,5.55,29,Gameboy,Tetris
138,5.55,20,PC,Grand Theft Auto: San Andreas
139,5.53,15,Nintendo DS,New Super Mario Bros.
140,5.52,17,Sony Playstation 3,Grand Theft Auto IV
141,5.5,20,Nintendo 64,The Legend of Zelda: Ocarina of Time
142,5.5,8,Nintendo 64,The Legend of Zelda: Majora's Mask
143,5.5,8,Nintendo Wii,Wii Sports Resort
144,5.5,6,PC,Anno 1503
145,5.5,6,PC,Command & Conquer - Gener?le
146,5.5,6,PC,Civilization
147,5.5,6,PC,The Curse of Monkey Island
148,5.5,4,Sony Playstation 2,DTM Race Driver 3
149,5.5,4,PC,Command & Conquer 3: Tiberium Wars
150,5.5,4,PC,F.E.A.R.
151,5.5,4,Gameboy Color,Super Mario Bros. Deluxe
152,5.5,4,Sony PSP,Grand Theft Auto: Vice City Stories
153,5.5,4,Super NES,Donkey Kong Country 3: Dixie Kong's Double Trouble
154,5.5,4,Xbox,Halo
155,5.5,4,Sony Playstation 2,Jak and Daxter - The Precursor Legacy
156,5.45,22,PC,GTA: Vice City
157,5.43,16,Gameboy Color,Pok?mon - Silberne Edition
158,5.42,7,Sony Playstation 2,GTA: Liberty City Stories
159,5.42,7,Sony Playstation 2,Pro Evolution Soccer 5
160,5.4,5,Sony Playstation 2,Soul Calibur III
161,5.4,5,Nintendo Wii,Wii Play
162,5.4,5,PC,Die Sims 2 - Haustiere
163,5.4,5,Sony Playstation,Tony Hawk's Pro Skater 2
164,5.4,5,PC,RollerCoaster Tycoon 2
165,5.38,13,Gameboy Advance,Mario Kart Super Circuit
166,5.37,8,Gameboy Advance,Pok?mon Saphir Edition
167,5.37,8,PC,Empire Earth
168,5.36,11,PC,World Of Warcraft
169,5.36,11,Gameboy Advance,Pok?mon Rubin-Edition
170,5.33,6,Nintendo DS,Super Mario 64 DS
171,5.33,6,Sony Playstation 3,Assassin's Creed
172,5.33,3,Sony Playstation 2,WRC 4
173,5.33,3,Sony Playstation 2,SingStar Summer Party
174,5.33,3,Sony Playstation 2,James Bond 007 - Nightfire
175,5.33,3,Sony Playstation 2,Pro Evolution Soccer 3
176,5.33,3,Xbox 360,Assassin's Creed
177,5.33,3,Xbox 360,FIFA 11
178,5.33,3,Sony Playstation 3,NHL 10
179,5.33,3,Nintendo DS,Pok?mon Platin-Edition
180,5.33,3,PC,Assassin's Creed
181,5.33,3,Nintendo GameCube,Mario Power Tennis
182,5.33,3,Gameboy Advance,Advance Wars
183,5.33,3,Gameboy Color,Pok?mon Trading Card Game
184,5.33,3,Gameboy,Die Schl?mpfe im Albtraumland
185,5.33,3,Amiga,California Games
186,5.33,3,Amiga,North & South
187,5.33,3,Amiga,Oil Imperium
188,5.33,3,PC,Trackmania
189,5.33,3,PC,Theme Park World
190,5.33,3,Sony Playstation,Spyro The Dragon
191,5.33,3,Sony Playstation,V-Rally 2
192,5.33,3,Sony Playstation,Formel Eins 2001
193,5.33,3,Sony Playstation 2,Dead or Alive 2
194,5.33,3,PC,Fifa 07
195,5.33,3,PC,Midtown Madness
196,5.33,3,PC,Die Siedler - Das Erbe der K?nige
197,5.33,3,PC,Day Of The Tentacle
198,5.3,10,Sony Playstation 2,FIFA 07
199,5.28,7,PC,Warcraft III: Reign of Chaos
200,5.28,7,Sony Playstation 3,FIFA 10
201,5.27,11,PC,Grand Theft Auto 2
202,5.25,8,Gameboy Advance,Pok?mon Blattgr?ne Edition
203,5.25,4,Nintendo GameCube,Mario Smash Football
204,5.25,4,PC,Frankreich 98 - Die Fussball WM
205,5.25,4,PC,Lemmings
206,5.25,4,PC,Trackmania Nations
207,5.25,4,Sony Playstation 2,Def Jam Fight For NY
208,5.25,4,Sony Playstation,Grand Theft Auto 2
209,5.25,4,Sony Playstation 2,Age of Empires 2: The Age of Kings
210,5.25,4,Super NES,Secret Of Mana
211,5.25,4,Xbox,Halo 2
212,5.23,13,Nintendo DS,Animal Crossing: Wild World
213,5.2,20,Gameboy,Pok?mon - Blaue Edition
214,5.2,15,Sony Playstation 2,Gran Turismo 4
215,5.2,5,Sony Playstation 3,Virtua Tennis 3
216,5.2,5,Gameboy Advance,Wario Land 4
217,5.2,5,Nintendo Wii,Mario & Sonic At The Olympic Games
218,5.2,5,PC,Midtown Madness 2
219,5.2,5,PC,GTA
220,5.17,28,PC,Die Sims 2
221,5.12,8,PC,Half-Life 2
222,5.12,8,Nintendo 64,Banjo-Kazooie
223,5.12,8,Sony Playstation 2,SingStar Pop Hits
224,5.11,9,Sony Playstation 2,Grand Theft Auto III
225,5.09,20,Nintendo DS,Mario Kart DS
226,5.09,10,Gameboy,Pok?mon - Gelbe Edition
227,5.08,12,Gameboy,Kirby's Dream Land
228,5.07,14,Nintendo DS,Dr. Kawashimas Gehirn-Jogging
229,5.05,17,Gameboy,Pok?mon - Rote Edition
230,5,19,PC,Age Of Empires
231,5,10,Nintendo 64,Pok?mon Stadium
232,5,8,Gameboy,Donkey Kong
233,5,7,Gameboy Advance,Pok?mon Feuerrote Edition
234,5,7,PC,Far Cry
235,5,7,PC,Call Of Duty 4: Modern Warfare
236,5,6,Nintendo 64,Donkey Kong 64
237,5,5,Nintendo DS,Wario Ware Touched!
238,5,5,PC,Icy Tower
239,5,5,PC,Tomb Raider
240,5,5,Sony Playstation 2,Final Fantasy XII
241,5,4,Sony Playstation 3,FIFA 09
242,5,4,Super NES,Street Fighter II
243,5,4,PC,Stronghold
244,5,4,PC,Sim City 3000
245,5,4,Sony Playstation,Gran Turismo
246,5,4,PC,Call Of Duty 5: World At War
247,5,4,PC,BioShock
248,5,4,Nintendo 64,Mario Party 2
249,5,3,Nintendo GameCube,Super Mario Sunshine
250,5,3,Nintendo GameCube,Mario Party 5
251,5,3,Nintendo GameCube,Pikmin
252,5,3,NES,Gradius
253,5,3,Nintendo 64,1080? Snowboarding
254,5,3,Amiga,Turrican II
255,5,3,PC,Leisure Suit Larry - The Land Of The Lounge Lizards
256,5,3,PC,Oil Imperium
257,5,3,PC,Escape from Monkey Island
258,5,3,Sony Playstation,Hercules
259,5,3,PC,Theme Park Manager
260,5,3,PC,Warcraft II: Tides of Darkness
261,5,3,Super NES,Secret Of Evermore
262,5,3,Sony Playstation 3,FIFA 11
263,5,3,Xbox 360,Halo 3
264,5,3,Sony Playstation 2,Midnight Club II
265,5,3,Sony Playstation 2,SingStar '90s
266,5,3,Sony Playstation 3,Assassin's Creed 2
267,5,3,Sony Playstation 2,Wipeout Fusion
268,5,3,Sony Playstation 2,Tony Hawk's Pro Skater 4
269,4.91,12,Sony Playstation 2,GTA Vice City
270,4.86,15,Gameboy,Wario Land
271,4.86,15,Nintendo Wii,Wii Sports
272,4.85,7,PC,RollerCoaster Tycoon 3
273,4.84,13,Sony Playstation 2,Buzz! Das Musik-Quiz
274,4.83,6,PC,Die Sims - Tierisch gut drauf
275,4.83,6,Nintendo GameCube,Pok?mon Colosseum
276,4.81,11,Sony Playstation 2,Need For Speed: Most Wanted (Platinum)
277,4.8,10,Nintendo DS,Dr. Kawashimas Mehr Gehirn-Jogging
278,4.8,5,PC,Anno 1701
279,4.8,5,Gameboy,Dr. Mario
280,4.75,4,PC,Call Of Duty: Modern Warfare 2
281,4.75,4,Sony Playstation,Frontschweine
282,4.66,15,PC,RollerCoaster Tycoon
283,4.66,12,Sony Playstation 2,FIFA 08
284,4.66,6,PC,Battlefield 2
285,4.66,6,PC,Die Sims - Hokus Pokus
286,4.66,3,PC,Indiana Jones And The Last Crusade
287,4.66,3,PC,Herr der Ringe: Die Schlacht um Mittelerde 2
288,4.66,3,Sony Playstation 2,Crash Bandicoot: Der Zorn des Cortex
289,4.66,3,PC,Police Quest - In Pursuit Of The Death Angel
290,4.66,3,PC,Rollercoaster Tycoon 3: Soaked Expansion
291,4.66,3,PC,Tom Clancy's Rainbow Six 3: Ravenshield
292,4.66,3,Gameboy,Duck Tales
293,4.66,3,Amiga,Die Siedler
294,4.66,3,Nintendo 64,Cruis'n USA
295,4.66,3,NES,Ice Hockey
296,4.66,3,Nintendo 64,Yoshi's Story
297,4.66,3,Sony Playstation 2,Medal of Honor: Vanguard
298,4.66,3,Sony Playstation 2,Final Fantasy X-2
299,4.66,3,Sony Playstation 2,Ratchet & Clank 3
300,4.66,3,Xbox 360,Burnout 5: Paradise
301,4.59,10,PC,Counterstrike Source
302,4.57,7,PC,Zoo Tycoon
303,4.51,25,PC,Die Sims
304,4.5,8,Nintendo GameCube,Mario Party 4
305,4.5,8,Xbox,GTA San Andreas
306,4.5,6,Sony Playstation 3,Far Cry 2
307,4.5,6,PC,Die Sims 2 - Vier Jahreszeiten
308,4.5,4,PC,Die Sims 2 - H&M Fashion Stuff
309,4.5,4,PC,Die Sims - Hot Date
310,4.5,4,PC,Elder Scrolls 4: Oblivion
311,4.5,4,PC,Warcraft: Orcs & Humans
312,4.5,4,Sony Playstation 2,The Simpsons - Hit & Run
313,4.5,4,Sony Playstation 2,Tony Hawk's Underground 2
314,4.5,4,Sony Playstation 2,FIFA Street
315,4.5,4,Sony Playstation 2,Killzone
316,4.46,15,Gameboy Color,Pok?mon - Goldene Edition
317,4.42,7,Nintendo 64,Pok?mon Snap
318,4.42,7,Sony Playstation 2,Tekken 4
319,4.4,5,Sony Playstation 2,SingStar
320,4.4,5,Sony Playstation 2,Ratchet & Clank
321,4.33,6,Nintendo DS,Pok?mon Perl-Edition
322,4.33,3,Gameboy,F-1 Race
323,4.33,3,Gameboy,Tiny Toon
324,4.33,3,Sony Playstation 2,Der Herr der Ringe: Die R?ckkehr des K?nigs
325,4.33,3,Sony Playstation 2,Der Herr der Ringe: Die zwei T?rme
326,4.33,3,Sony Playstation,Final Fantasy 9
327,4.33,3,PC,Max Payne 2 - The Fall Of Max Payne
328,4.33,3,Sony Playstation 2,SingStar Party
329,4.33,3,Sony Playstation 2,Spider-Man 2
330,4.33,3,Sony Playstation 3,Resistance: Fall Of Man
331,4.33,3,Sony PSP,Need For Speed Most Wanted 5-1-0
332,4.25,4,Sony Playstation 2,SingStar - The Dome
333,4.25,4,PC,Die Sims Urlaub Total
334,4.25,4,Sony Playstation 2,Driver 3
335,4.25,4,PC,Quake III Arena
336,4.22,9,Sony Playstation 2,SingStar Rocks!
337,4.2,5,Sony Playstation 2,Tony Hawk's Underground
338,4.2,5,Sony Playstation 2,FIFA Street 2
339,4.18,11,Sony Playstation 2,Need For Speed: Carbon
340,4.16,6,Sony Playstation 3,Little Big Planet
341,4.16,6,Gameboy,Tennis
342,4.11,9,Sony Playstation 2,Need For Speed: Underground
343,4,7,PC,Doom
344,4,6,Sony Playstation 2,FIFA Football 2005
345,4,5,Sony Playstation 2,GTA: Vice City Stories
346,4,5,Sony Playstation 3,MotorStorm
347,4,5,PC,World Of Warcraft: Wrath Of The Lich King - Addon
348,4,4,Sony Playstation 2,Der Herr der Ringe: Die Gef?hrten
349,4,4,Sony Playstation 2,Burnout Revenge
350,4,4,PC,Die Sims Superstar
351,4,4,Nintendo Wii,Big Brain Academy
352,4,3,Nintendo DS,Prof. Kageyama's Math's Training
353,4,3,Nintendo 64,Turok: Dinosaur Hunter
354,4,3,PC,Loom
355,4,3,PC,Die Siedler 2 - Die N?chste Generation
356,4,3,Sony Playstation,Spyro 2 - Gateway to Glimmer
357,4,3,PC,Stronghold 2
358,4,3,Sony Playstation 3,Need For Speed: Undercover
359,4,3,Sony Playstation 3,Resistance 2
360,4,3,Sony Playstation 2,Prince of Persia - The Sands of Time
361,4,3,Sony Playstation 2,FlatOut 2
362,3.88,9,Sony Playstation 2,FIFA 06
363,3.88,9,Nintendo Wii,Mario Party 8
364,3.83,6,PC,FIFA Football 2004
365,3.83,6,Sony Playstation 2,FIFA Fussball-Weltmeisterschaft 2006
366,3.8,5,PC,Wer wird Million?r
367,3.8,5,PC,Wolfenstein 3D
368,3.75,4,PC,S.T.A.L.K.E.R.: Shadow Of Chernobyl
369,3.75,4,Nintendo Wii,Need For Speed: Carbon
370,3.75,4,Nintendo Wii,Wario Ware: Smooth Moves
371,3.75,4,Nintendo DS,Mario Party DS
372,3.66,3,Gameboy Advance,Pok?mon Pinball: Rubin & Saphir
373,3.66,3,Sony Playstation 2,Die Sims
374,3.66,3,Sony Playstation 2,Age of Empires II
375,3.66,3,PC,Microsoft Train Simulator
376,3.66,3,PC,Planescape Torment
377,3.66,3,PC,Die Sims - Das volle Leben
378,3.66,3,PC,Crazy Taxi 3
379,3.66,3,Sony Playstation 2,FIFA 10
380,3.66,3,Sony Playstation 2,UEFA Euro 2008
381,3.66,3,Sony Playstation 2,WWE SmackDown! Here Comes The Pain
382,3.6,5,Sony Playstation 2,Need for Speed: ProStreet
383,3.6,5,PC,Doom II
384,3.5,4,Nintendo DS,Nintendogs Labrador & Friends
385,3.33,3,PC,Die Siedler 4
386,3.33,3,PC,Need For Speed: Carbon
387,3.33,3,PC,Sim City
388,3.25,4,Gameboy Color,Pok?mon Pinball
389,3.25,4,Gameboy,Tetris 2
390,3.25,4,Sony Playstation 2,Medal of Honor Frontline
391,3,3,PC,FIFA Football 2006
392,2.75,4,Sony Playstation 2,FIFA Football 2003
393,2.66,3,Sony Playstation 2,FIFA Fussball Weltmeisterschaft 2002
394,2.66,3,PC,Football Mania
395,2.66,3,Gameboy Advance,Findet Nemo - Das Abenteuer geht weiter
396,2.5,4,PC,Counter Strike: Source
397,2.2,5,Sony Playstation 2,Spider-Man 3
398,2,4,PC,Die Sims 3
