Fläche-(km2),Länge-(km),Max.-Tiefe-(m),Name,Rang,Staat(en),Volumen-(km?)
2622,120,>150,Iliamna-Lake,46.,USA,-
2620,136,262,Chubsogol-Nor,47.,Mongolei,-
2600,-,-,Poop?-See,48.,Bolivien,"4,02"
2538,-,-,Lake-Garry,49.,Kanada,-
2325,65,112,Eduardsee,50.,DR-Kongo Uganda,-
2286,-,71,Wollaston-Lake,51.,Kanada,75
2279,-,-,Nueltin-Lake,52.,Kanada,-
2250,-,-,Tai-Hu,53.,VR-China,-
2248,-,-,Southern-Indian-Lake,54.,Kanada,-
2227,-,-,Yathkyed-Lake,55.,Kanada,-
2207,70,33,Nam-Tso,56.,VR-China,-
2176,150,-,Lake-Mistassini,57.,Kanada,-
1960,-,-,Hungtze-Hu,58.,VR-China,-
1912,-,119,V?ttern,59.,Schweden,-
1890,56,4,Lake-Okeechobee,60.,USA,-
1850,-,590,Lago-Buenos-Aires,61.,Chile Argentinien,-
1825,-,-,Tschelkar-Tengis,62.,Kasachstan,-
1760,-,-,Hara-Usa-Nor,63.,Mongolei,-
1760,-,85,Saimaa,64.,Finnland,36
1709,-,-,Manzalasee,65.,?gypten,-
1700,-,12,Tschanysee,66.,Russland,-
1640,72,33,Ziling-Tso,67.,VR-China,-
1630,64,"4,26",Lake-Pontchartrain,68.,USA,-
1620,80,2,Tuz-G?l?,69.,T?rkei,-
1590,-,-,Tengis-Ozero,70.,Kasachstan,-
1490,-,500,Lago-Argentino,71.,Argentinien,-
1480,-,-,Baker-Lake,72.,Kanada,-
1436,59,-,Lake-Claire,73.,Kanada,-
1425,-,-,Island-Lake,74.,Kanada,-
1396,241,47,Lac-Seul,75.,Kanada,-
1386,-,-,Lac-a-l'eau-Claire,76.,Kanada,-
1360,-,-,Hirgis-Nur,77.,Mongolei,-
1359,-,-,Moose-Lake,78.,Kanada,-
1339,-,-,Cedar-Lake,79.,Kanada,-
1295,-,-,Tangra-Tso,80.,VR-China,-
1264,100,505,Tobasee,81.,Indonesien,240
1256,-,-,Lac-Minto,82.,Kanada,-
1230,90,-,Lake-Aberdeen,83.,Kanada,-
1200,-,-,Wyg-ozero,84.,Russland,-
1174,-,-,Lac-La-Martre,85.,Kanada,-
1168,97,"20,5",Kleiner-Sklavensee,86.,Kanada,-
1166,-,-,Lac-La-Ronge,87.,Kanada,-
1155,-,-,Cree-Lake,88.,Kanada,-
1150,72,13,Abajasee,89.,?thiopien,-
1142,-,-,Hawr-as-Saniyah,90.,Irak,-
1140,115,66,M?laren,91.,Schweden,"14,3"
1130,180,121,Lake-Champlain,92.,USA-Kanada,-
1125,-,-,Beloje-Ozero,93.,Russland,-
1114,42,"8,2",Lake-St.Clair,94.,Kanada-USA,4
1100,-,-,Lac-Sakami,95.,Kanada,-
1080,-,-,Napaktulik-Lake,96.,Kanada,-
1077,-,-,Kasba-Lake,97.,Kanada,-
1068,-,95,P?ij?nne,98.,Finnland,-
1061,-,-,MacKay-Lake,99.,Kanada,-
1056,80,12,Chapalasee,100.,Mexiko,-
1049,-,-,Top-ozero,101.,Russland,-
1040,80,92,Inarisee,102.,Finnland,-
1036,-,-,Kamilukuak-Lake,103.,Kanada,-
1036,-,-,Kuschmurunsee,104.,Kasachstan,-
1035,65,-,Managuasee,105.,Nicaragua,-
1024,-,-,Ebi-Nor,106.,VR-China,-
1015,-,-,Lac-Bienville,107.,Kanada,-
1015,-,-,Granville-Lake,108.,Kanada,-
1010,-,-,Lago-San-Martin,109.,Chile Argentinien,-
1003,"43,8",63,Lac-St.-Jean,110.,Kanada,-
