Baujahr,H?he,Kanton,Name,See,Typ
1952,72 m,Ticino,Palagnedra,4.26 Mio m3,PG/TE
1967,69 m,Ticino,Vasasca,0.40 Mio m3,VA
1967,68 m,Ticino,Robiei,6.70 Mio m3,PG
1965,68 m,Graub�nden/Grigioni,Roggiasca,0.52 Mio m3,VA
1975,67 m,Valais/Wallis,Ferden,1.89 Mio m3,VA
1960,64 m,Graub�nden/Grigioni,B�renburg,1.00 Mio m3,PG
1986,61 m,Graub�nden/Grigioni,Solis,4.07 Mio m3,VA
1965,60 m,Valais/Wallis,Gries,18.60 Mio m3,PG
1962,58 m,Graub�nden/Grigioni,Sufers,17.50 Mio m3,VA
1920,55 m,Fribourg/Freiburg,Montsalvens,12.60 Mio m3,VA
1951,54 m,Graub�nden/Grigioni,Molina,0.81 Mio m3,PG
1989,53 m,Graub�nden/Grigioni,Panix,7.30 Mio m3,PG
1952,52 m,Valais/Wallis,Salanfe,40.00 Mio m3,PG
1984,51 m,Valais/Wallis,St-Barth�lemy C,0.50 Mio m3,VA
1970,50 m,Valais/Wallis,Illgraben,0.00 Mio m3,PG
1963,47 m,Fribourg/Freiburg,Schiffenen,65.00 Mio m3,VA
1960,45 m,Graub�nden/Grigioni,Isola,6.50 Mio m3,VA
1970,45 m,Ticino,Naret II,31.60 Mio m3,PG
1975,45 m,Valais/Wallis,St-Barth�lemy B,0.15 Mio m3,VA
1955,45 m,Valais/Wallis,Vieux-Emosson,13.80 Mio m3,VA
1957,44 m,Graub�nden/Grigioni,Zervreila A'becken,0.14 Mio m3,ER
1931,42 m,Glarus,Garichte,3.29 Mio m3,PG
1971,42 m,Graub�nden/Grigioni,Orden,1.67 Mio m3,VA
1965,42 m,Valais/Wallis,Sanetsch,2.80 Mio m3,PG
1932,42 m,Bern,Seeuferegg,101.00 Mio m3,PG
1969,40 m,Ticino,Carmena,0.30 Mio m3,VA
1949,40 m,Graub�nden/Grigioni,Egschi,0.40 Mio m3,PG
1963,39 m,Ticino,Carassina,0.31 Mio m3,VA
1937,37 m,Nidwalden,Bannalp,1.70 Mio m3,TE
1949,36 m,Uri,G�schenerreuss,0.10 Mio m3,PG
1947,36 m,Ticino,Sella,9.20 Mio m3,PG
1967,36 m,Ticino,Z�t,1.65 Mio m3,VA
1929,35 m,Bern,Gelmer,14.00 Mio m3,PG
1974,35 m,Valais/Wallis,Godey,0.93 Mio m3,TE
1943,34 m,Gen�ve,Verbois,12.00 Mio m3,PG
1975,33 m,Valais/Wallis,Ch�telard CFF,0.25 Mio m3,TE
1936,33 m,Schwyz,In den Schlagen,96.50 Mio m3,PG
1976,33 m,Fribourg/Freiburg,Lessoc,1.50 Mio m3,CB
1961,33 m,Graub�nden/Grigioni,Runcahez,0.48 Mio m3,PG
1955,32 m,Vaud,Les Cl�es,0.74 Mio m3,PG
1921,32 m,Uri,Pfaffensprung,0.15 Mio m3,VA
1924,32 m,Schwyz,Rempen,0.50 Mio m3,PG
1958,32 m,Valais/Wallis,Turtmann,0.80 Mio m3,VA
1965,32 m,Ticino,Val d'Ambra,0.40 Mio m3,TE
1957,31 m,Valais/Wallis,Bagnes GD,0.30 Mio m3,TE
1910,30 m,Glarus,Rhodannenberg,56.40 Mio m3,TE
1972,30 m,Vaud,Rossini�re,2.90 Mio m3,PG
1989,30 m,Uri,Tobel,0.10 Mio m3,VA
1947,29 m,Graub�nden/Grigioni,Barcuns,0.12 Mio m3,PG
1920,29 m,Bern,M�hleberg,25.00 Mio m3,PG
1908,29 m,St. Gallen,Muslen,0.08 Mio m3,PG
1933,29 m,Aargau,Wettingen,3.35 Mio m3,PG
1964,28 m,Valais/Wallis,Ferp�cle,0.10 Mio m3,VA
1961,28 m,Graub�nden/Grigioni,Innerferrera,0.23 Mio m3,PG
2000,28 m,Luzern,Steinibach,0.02 Mio m3,PG
1950,27 m,Bern,Mattenalp,2.10 Mio m3,PG/TE
1920,27 m,Ticino,Piora,53.90 Mio m3,PG
1912,26 m,Graub�nden/Grigioni,Lago Bianco S�d,18.60 Mio m3,PG
1959,26 m,Graub�nden/Grigioni,L�bbia,0.20 Mio m3,PG
1923,25 m,Valais/Wallis,Illsee,6.60 Mio m3,PG
1965,25 m,Schwyz,Schlattli,0.36 Mio m3,PG
1958,25 m,Obwalden,Tannensee,3.80 Mio m3,TE
1995,24 m,Graub�nden/Grigioni,Alp Dado,0.06 Mio m3,TE
1900,24 m,St. Gallen,G�bsensee Ost,1.50 Mio m3,PG
1872,24 m,Fribourg/Freiburg,Maigrauge,0.40 Mio m3,PG
1958,22 m,Graub�nden/Grigioni,Darbola,0.11 Mio m3,PG
1970,22 m,Vaud,Le Pontet,0.07 Mio m3,PG
1836,22 m,St. Gallen,R�tiweiher,0.20 Mio m3,TE
2000,22 m,Luzern,Schlundbach,0.01 Mio m3,VA/PG
1952,22 m,Valais/Wallis,Serra,0.20 Mio m3,VA
1953,22 m,Valais/Wallis,Zen Binnen,0.17 Mio m3,VA
1962,21 m,Valais/Wallis,Hospitalet,0.01 Mio m3,PG
1937,21 m,Vaud,Jougnenaz,0.01 Mio m3,PG
1996,21 m,Ticino,Lor�,0.07 Mio m3,TE
1982,21 m,Ticino,Secada,,VA
1968,20 m,Ticino,Airolo,0.37 Mio m3,PG/TE
1989,20 m,Valais/Wallis,Bortelsee,3.66 Mio m3,ER
1949,20 m,Graub�nden/Grigioni,Burvagn,0.20 Mio m3,PG
1948,20 m,St. Gallen,Chapfensee Nord,0.43 Mio m3,PG
1955,20 m,Uri,Isenthal,0.03 Mio m3,PG
1973,20 m,Valais/Wallis,Les Esserts,0.26 Mio m3,TE
2000,20 m,Valais/Wallis,Othmarhang,0.06 Mio m3,TE
1971,20 m,Valais/Wallis,Plans Mayens,0.13 Mio m3,TE
1961,20 m,Graub�nden/Grigioni,Pr�,0.00 Mio m3,PG
1961,20 m,Graub�nden/Grigioni,Preda,0.27 Mio m3,VA
1957,20 m,Valais/Wallis,Proz-Riond,51.00 Mio m3,TE
1908,20 m,Bern,Simmenporte,0.25 Mio m3,PG
1963,20 m,Ticino,Sosto,,VA
1950,20 m,Valais/Wallis,Totensee,2.60 Mio m3,PG
1975,19 m,Aargau,Bremgarten-Zufikon,2.20 Mio m3,PG
1892,19 m,St. Gallen,Buchholz,0.25 Mio m3,PG
1925,19 m,Valais/Wallis,Les Mar�cottes,0.05 Mio m3,MV
1961,19 m,Schwyz,Sihl-H�fe,0.08 Mio m3,PG
1960,18 m,Graub�nden/Grigioni,Brigels,0.30 Mio m3,TE
1931,18 m,Glarus,Garichte Nebenmauer,3.29 Mio m3,PG
1945,18 m,Nidwalden,K�ppelistutz,0.06 Mio m3,PG
1972,18 m,Valais/Wallis,La Fouly,0.02 Mio m3,PG
1942,17 m,Bern,Arnensee,10.50 Mio m3,TE
1984,17 m,Aargau,Greuel,0.11 Mio m3,TE
1900,17 m,St. Gallen,G�bsensee West,1.50 Mio m3,TE
1937,17 m,Schwyz,H�hnermatt,96.50 Mio m3,TE
1962,17 m,Valais/Wallis,Icogne,0.04 Mio m3,TE
1901,17 m,Appenzell A.-Rh.,List,0.04 Mio m3,PG
1920,17 m,Z�rich,Pilgersteg,0.07 Mio m3,PG
1957,17 m,Vaud,Plan-Dessous,0.10 Mio m3,PG
1961,17 m,Uri,Sch�ni,0.02 Mio m3,PG
1874,17 m,Z�rich,Sternenweiher,0.10 Mio m3,TE
1988,16 m,Z�rich,Esslingen,0.10 Mio m3,TE
1895,16 m,Z�rich,Teufenbachweiher,0.23 Mio m3,TE
1962,16 m,Graub�nden/Grigioni,Ual da Mulin,0.06 Mio m3,TE
1910,15 m,Uri,Arniboden S�d,0.24 Mio m3,TE
1955,15 m,Valais/Wallis,Croix,0.09 Mio m3,TE
1965,15 m,Valais/Wallis,Gi�troz-du-Fond,0.02 Mio m3,PG
1918,15 m,Valais/Wallis,La Luette,0.40 Mio m3,PG
1912,15 m,Graub�nden/Grigioni,Lago Bianco Nord,18.60 Mio m3,PG
1894,15 m,Vaud,Le Chalet,0.10 Mio m3,PG
1957,15 m,Graub�nden/Grigioni,Safien-Platz,0.24 Mio m3,TE
1916,15 m,Appenzell AR / St.Gallen,Schw�nberg,0.08 Mio m3,VA
1986,15 m,Valais/Wallis,Vordersee,0.56 Mio m3,TE
1961,15 m,Schwyz,Waldialp Nord,0.25 Mio m3,TE
