Common name English name,Nom commun Nom fran�ais,Number of seedlots per species Nombre de lots le semences par essence,Scientific name/Nom scientifique
European beech,h?tre commun,1,Fagus sylvatica
Patagonia cypress,cypr?s de Patagonie,1,Fitzroya cupressoides
white ash,fr?ne blanc,75,Fraxinus americana
Chinese ash,,1,Fraxinus chinensis
European ash,fr?ne commun,1,Fraxinus excelsior
black ash,fr?ne noir,10,Fraxinus nigra
red ash,fr?ne rouge,69,Fraxinus pennsylvanica
Northern red ash,fr?ne d'Austin,2,Fraxinus pennsylvanivca var. austini
honey-locust,f?vier ?pineux,2,Gleditsia triacanthos
witch-hazel,hamam?lis de Virginie,2,Hamamelis virginiana
sea buckthorn,argousier faux-nerprun,1,Hippophae rhamnoides
common winterberry,houx verticill?,1,Ilex verticillata
black walnut,noyer noir,1,Juglans nigra
common juniper,gen?vrier commun,3,Juniperus communis
,1,,Juniperus procera hochst. ex. endl
Rocky Mountain juniper,gen?vrier des Rocheuses,1,Juniperus scopulorum
Eastern redcedar,gen?vrier de Virginie,5,Juniperus virginiana
,,1,Keteleeria chien-peii flous
,,,
,,2,Koelreuteria formosana
golden rain tree,,1,Koelreuteria paniculata
European larch,m?l?ze d'Europe,12,Larix decidua
European larch,m?l?ze d'Europe,1,Larix decidua var. sudetica
Dunkeld larch,,5,Larix eurolepis
Dahurian larch,m?l?ze de Dahurie,3,Larix gmelini
Japanese larch,m?l?ze du Japon,4,Larix kaempferi
tamarack,m?l?ze laricin,55,Larix laricina
Western larch,m?l?ze de l'Ouest,1,Larix occidentalis
Siberian larch,m?l?ze de Sib?rie,2,Larix sibirica
tulip-tree,tulipier de Virginie,4,Liriodendron tulipifera
cucumber-tree,magnolia acumin?,3,Magnolia acuminata
,,2,Maytenus boaria
mountain-holly,n?mopanthe mucron?,1,Nemopanthus mucronatus
,,3,Nothofagus dombeyi
,,2,Nothofagus nervosa
Roble beech,,3,Nothofagus obliqua
lenga,,1,Nothofagus pumilio
black gum,nyssa sylvestre,2,Nyssa sylvatica
ironwood,ostryer de Virginie,6,Ostrya virginiana
,,1,Paulownia fargesii
,,1,Paulownia fortunei
,,1,Paulownia kawakamii
,,1,Paulownia taiwaniana
Amur corktree,arbre li?ge de Chine,2,Phellodendron amurense
Norway spruce,?pinette de Norv?ge,105,Picea abies
Engelmann spruce,?pinette d'Engelmann,13,Picea engelmannii
white spruce,?pinette blanche,953,Picea glauca
interior spruce,,6,Picea glauca x engelmanii
,,3,Picea glauca x mariana
Saghalin spruce,,2,Picea glehnii
Yeddo spruce,,1,Picea jezoensis
,,3,Picea koraiensis
black spruce,?pinette noire,98,Picea mariana
Oriental spruce,,1,Picea orientalis
Colorado blue spruce,,2,Picea pungens var. glauca
red spruce,?pinette rouge,71,Picea rubens
Schrenk's spruce,,2,Picea schrenkiana
Sitka spruce,?pinette de Sitka,34,Picea sitchensis
whitebark pine,pin ? blanche ?corce,2,Pinus albicaulis
,2,,Pinus armandi var. mastersiana
jack pine,pin gris,54,Pinus banksiana
lacebark pine,,1,Pinus bungeana
,,2,Pinus caribaea var caribaea
,1,,Pinus caribaea var. bahamensis
,3,,Pinus caribaea var. hondurensis
,,2,Pinus cembra var. sibirica
shore pine,pin tordu,3,Pinus contorta var. contorta
lodgepole pine,pin tordu latifoli?,98,Pinus contorta var. latifolia
lodgepole pine,pin tordu latifoli?,1,Pinus contorta var. murrayana
big-cone pine,,1,Pinus coulteri
,,1,Pinus densata
Japanese red pine,,2,Pinus densiflora
slash pine,,10,Pinus elliottii
limber pine,pin flexible,1,Pinus flexilis
Himalayan white pine,,1,Pinus griffithii
Aleppo pine,,1,Pinus halepensis
,1,,Pinus heldreichii var. leucodermis
Khasi pine,,3,Pinus kesiya
Korean pine,,1,Pinus koraiensis
,,2,Pinus maximinoi
,,1,Pinus merkusii
Western white pine,pin argent?,11,Pinus monticola
mugho pine,pin mugo,1,Pinus mugo
,,1,Pinus mugo var. pumilio
,,1,Pinus mugo var. rostrata
,,1,Pinus muricata
Austrian pine,pin noir d'Autriche,9,Pinus nigra
,,4,Pinus nigra var. austriaca
,,1,Pinus nigra var. koekelare
,,4,Pinus oocarpa
,,2,Pinus patula tecunmanii
Macedonean pine,,1,Pinus peuce
ponderosa pine,pin ponderosa,5,Pinus ponderosa
,,2,Pinus pumila
red pine,pin rouge,34,Pinus resinosa
pitch pine,pin rigide,29,Pinus rigida
,,4,Pinus sibirica
Southwestern white pine,,1,Pinus strobiformis
Eastern white pine,pin blanc,47,Pinus strobus
,1,,Pinus strobus var. chiapensis
Scots pine,pin sylvestre,43,Pinus sylvestris
,4,,Pinus sylvestris var. mongolica
,1,,Pinus sylvestris var. rigensis
Chinese pine,,1,Pinus tabulaeformis
Formosa pine,,2,Pinus taiwanensis hayata
Japanese black pine,,3,Pinus thunbergii
Himalayan pine,,3,Pinus wallichiana
,,1,Pladycladus orientalis
sycamore,platane occidental,2,Platanus occidentalis
balsam poplar,peuplier baumier,1,Populus balsamifera
largetooth aspen,peuplier ? grandes dents,15,Populus grandidentata
trembling aspen,peuplier faux-tremble,16,Populus tremuloides
sweet cherry,cerisier sauvage,1,Prunus avium
pin cherry,cerisier de Pennsylvanie,3,Prunus pensylvanica
black cherry,cerisier tardif,2,Prunus serotina
choke cherry,cerisier de Virginie,4,Prunus virginiana var. virginiana
Rocky Mountain Douglas-fir,Douglas bleu,18,Pseudotsuga menziesii var. glauca
Douglas-fir,Douglas vert,15,Pseudotsuga menziesii var. menziesii
common hoptree,pt?l?a trifoli?,1,Ptelea trifoliata
,,1,Pterocarpus macrocarpus
red oak,ch?ne rouge,1,Quercus rubra
glossy buckthorn,nerprun bourdaine,1,Rhamnus frangula
staghorn sumac,sumac vinaigrier,3,Rhus typhina
black locust,robinier faux-acacia,2,Robinia pseudoacacia
,,1,Sabin chinensio
American elder,sureau blanc,2,Sambucus canadensis
Eastern red elderberry,sureau rouge,3,Sambucus pubens
European red elder,,1,Sambucus racemosa
sassafras,sassafras officinal,1,Sassafras albidum
,,1,Schinus patagonicus
American mountain-ash,sorbier d'Am?rique,3,Sorbus americana
European mountain-ash,sorbier des oiseleurs,2,Sorbus aucuparia
showy mountain-ash,sorbier d?coratif,3,Sorbus decora
Swedish whitebeam,,1,Sorbus intermedia
Eastern white-cedar,thuya occidental,10,Thuja occidentalis
Western redcedar,thuya g?ant,7,Thuja plicata
basswood,tilleul d'Am?rique,5,Tilia americana
Crimea linden,,1,Tilia euchlora
Eastern hemlock,pruche du Canada,12,Tsuga canadensis
Western hemlock,pruche de l'Ouest,8,Tsuga heterophylla
mountain hemlock,pruche subalpine,4,Tsuga mertensiana
white elm,orme d'Am?rique,4,Ulmus americana
Scotch elm,orme de montagne,1,Ulmus glabra
European white elm,,1,Ulmus laevis
hobblebush,viorne ? feuilles d'aulne,1,Viburnum alnifolium
witherod,viorne cassino?de,1,Viburnum cassinoides
sweet viburnum,viorne flexible,1,Viburnum lentago
European cranberry,viorne obier,1,Viburnum opulus
cranberry viburnum,viorne trilob?e,2,Viburnum trilobum
,,,
,,,
,,,Total number of seedlots
,2694,,Nombre total de lots de semences
