"table1","column1","columnNumber1","table2","column2","columnNumber2","similarityScore"
"11278409_0_3742771475298785475.csv","Company","0","90723763_0_874013697986950454.csv","Company","0","0.9919491525423729"
"11278409_0_3742771475298785475.csv","Industry","2","90723763_0_874013697986950454.csv","Industry","2","0.14661016949152544"
"11278409_0_3742771475298785475.csv","Company TER vs Industry TER","1","90723763_0_874013697986950454.csv","Company TCSR vs Industry TCSR","1","0.8700779107239877"
"11278409_0_3742771475298785475.csv","Company","0","93702496_0_39013305210829591.csv","Company","0","0.17666666666666664"
"11278409_0_3742771475298785475.csv","Industry","2","93702496_0_39013305210829591.csv","Industry","2","0.05"
"11278409_0_3742771475298785475.csv","Rank","3","93702496_0_39013305210829591.csv","Rank","3","0.050000000000527456"
"11278409_0_3742771475298785475.csv","Company","0","96203994_0_2127964719640427252.csv","Company??","0","0.24"
"11278409_0_3742771475298785475.csv","Industry","2","96203994_0_2127964719640427252.csv","Industry??","2","0.05"
"11278409_0_3742771475298785475.csv","Company","0","96203994_0_2127964719640427252.csv","Symbol??","3","0.03166666666666666"
"1146722_1_7558140036342906956.csv","PEAK","5","88353875_0_4876234304797064286.csv","Fell Name","1","0.95"
"1146722_1_7558140036342906956.csv","ALT (ft)","0","99070098_0_2074872741302696997.csv","Feet","2","0.2600804927403366"
"1146722_1_7558140036342906956.csv","PEAK","5","99070098_0_2074872741302696997.csv","Name","5","0.7916666666666666"
"1146722_1_7558140036342906956.csv","ALT (m)","1","99070098_0_2074872741302696997.csv","Met","4","0.26018383699582437"
"1146722_1_7558140036342906956.csv","RANKING","6","99070098_0_2074872741302696997.csv","No.","6","0.3968002658260423"
"1146722_1_7558140036342906956.csv","GRID REF","2","99070098_0_2074872741302696997.csv","Grid Ref","3","0.05"
"11599512_1_280388135214354946.csv","A","0","11688006_0_8123036130090004213.csv","Country Name:","3","0.2658031088082901"
"11599512_1_280388135214354946.csv","Capitale","1","11688006_0_8123036130090004213.csv","Country Name:","3","0.054145077720207255"
"11599512_1_280388135214354946.csv","Nom en anglais","4","11688006_0_8123036130090004213.csv","Country Name:","3","0.8318652849740932"
"11599512_1_280388135214354946.csv","A","0","12183399_0_6725061928072492226.csv","Country","0","0.23598726114649682"
"11599512_1_280388135214354946.csv","Capitale","1","12183399_0_6725061928072492226.csv","Country","0","0.04235668789808917"
"11599512_1_280388135214354946.csv","Nom en anglais","4","12183399_0_6725061928072492226.csv","Country","0","0.7684713375796178"
"11599512_1_280388135214354946.csv","Nom en anglais","4","12183399_0_6725061928072492226.csv","Currency","3","0.048407643312101914"
"11599512_1_280388135214354946.csv","A","0","12193237_0_8699643798888088574.csv","","0","0.059375"
"11599512_1_280388135214354946.csv","Capitale","1","12193237_0_8699643798888088574.csv","Capital","1","0.8015625"
"11599512_1_280388135214354946.csv","Nom en anglais","4","12193237_0_8699643798888088574.csv","","0","0.8312499999999999"
"11599512_1_280388135214354946.csv","Capitale","1","12193237_0_8699643798888088574.csv","","0","0.059375"
"11599512_1_280388135214354946.csv","Nom en anglais","4","14067031_0_559833072073397908.csv","OAU State","6","0.7528301886792453"
"11599512_1_280388135214354946.csv","A","0","14067031_0_559833072073397908.csv","OAU State","6","0.2688679245283019"
"11599512_1_280388135214354946.csv","Capitale","1","14067031_0_559833072073397908.csv","Capital","0","0.6990566037735848"
"11599512_1_280388135214354946.csv","A","0","24036779_0_5608105867560183058.csv","Country","1","0.1357142857142857"
"11599512_1_280388135214354946.csv","Nom en anglais","4","24036779_0_5608105867560183058.csv","Country","1","0.8369047619047618"
"11599512_1_280388135214354946.csv","A","0","34899692_0_6530393048033763438.csv","Country","0","0.17554347826086955"
"11599512_1_280388135214354946.csv","Nom en anglais","4","34899692_0_6530393048033763438.csv","Country","0","0.7641304347826087"
"11599512_1_280388135214354946.csv","Capitale","1","34899692_0_6530393048033763438.csv","Country","0","0.06195652173913043"
"11599512_1_280388135214354946.csv","Capitale","1","37856682_0_6818907050314633217.csv","State, Province, Territory, Country, etc","2","0.0407725321888412"
"11599512_1_280388135214354946.csv","A","0","37856682_0_6818907050314633217.csv","State, Province, Territory, Country, etc","2","0.21609442060085834"
"11599512_1_280388135214354946.csv","Nom en anglais","4","37856682_0_6818907050314633217.csv","State, Province, Territory, Country, etc","2","0.6931330472103003"
"11599512_1_280388135214354946.csv","Capitale","1","3917335_0_7791699395300625164.csv","Capital","1","0.7175965665236052"
"11599512_1_280388135214354946.csv","Heure","3","3917335_0_7791699395300625164.csv","Population 2008 est.","3","0.06956031507292429"
"11599512_1_280388135214354946.csv","Capitale","1","3917335_0_7791699395300625164.csv","Country","2","0.0407725321888412"
"11599512_1_280388135214354946.csv","A","0","3917335_0_7791699395300625164.csv","Country","2","0.21201716738197426"
"11599512_1_280388135214354946.csv","Heure","3","3917335_0_7791699395300625164.csv","Area sq.km.","0","0.22902985478089669"
"11599512_1_280388135214354946.csv","Nom en anglais","4","3917335_0_7791699395300625164.csv","Capital","1","0.04892703862660944"
"11599512_1_280388135214354946.csv","Nom en anglais","4","3917335_0_7791699395300625164.csv","Country","2","0.7379828326180258"
"11599512_1_280388135214354946.csv","A","0","41194422_0_7231546114369966811.csv","Country / Territory","0","0.22717391304347825"
"11599512_1_280388135214354946.csv","Nom en anglais","4","41194422_0_7231546114369966811.csv","Country / Territory","0","0.7352173913043477"
"11599512_1_280388135214354946.csv","Heure","3","41194422_0_7231546114369966811.csv","Population","1","0.06344683703413806"
"11599512_1_280388135214354946.csv","Capitale","1","41194422_0_7231546114369966811.csv","Country / Territory","0","0.041304347826086954"
"11599512_1_280388135214354946.csv","A","0","41194422_1_1172256090552737974.csv","Country / Territory","0","0.22717391304347825"
"11599512_1_280388135214354946.csv","Nom en anglais","4","41194422_1_1172256090552737974.csv","Country / Territory","0","0.7352173913043477"
"11599512_1_280388135214354946.csv","Heure","3","41194422_1_1172256090552737974.csv","Population","1","0.06344683703413806"
"11599512_1_280388135214354946.csv","Capitale","1","41194422_1_1172256090552737974.csv","Country / Territory","0","0.041304347826086954"
"11599512_1_280388135214354946.csv","Nom en anglais","4","41648740_0_6959523681065295632.csv","COUNTRY","6","0.7506172839506172"
"11599512_1_280388135214354946.csv","A","0","41648740_0_6959523681065295632.csv","COUNTRY","6","0.16419753086419753"
"11599512_1_280388135214354946.csv","Capitale","1","41648740_0_6959523681065295632.csv","COUNTRY","6","0.03518518518518518"
"11599512_1_280388135214354946.csv","A","0","49772588_0_6549847739640234347.csv","Country","2","0.278343949044586"
"11599512_1_280388135214354946.csv","Capitale","1","49772588_0_6549847739640234347.csv","Country","2","0.048407643312101914"
"11599512_1_280388135214354946.csv","Nom en anglais","4","49772588_0_6549847739640234347.csv","Country","2","0.8047770700636943"
"11599512_1_280388135214354946.csv","A","0","52299421_0_4473286348258170200.csv","1998 Data Country","1","0.13423913043478258"
"11599512_1_280388135214354946.csv","Capitale","1","52299421_0_4473286348258170200.csv","1998 Data Country","1","0.05163043478260869"
"11599512_1_280388135214354946.csv","Nom en anglais","4","52299421_0_4473286348258170200.csv","1998 Data Country","1","0.7847826086956522"
"11599512_1_280388135214354946.csv","A","0","55004961_0_2904467548072189860.csv","Capital City","0","0.055882352941176466"
"11599512_1_280388135214354946.csv","Capitale","1","55004961_0_2904467548072189860.csv","Country Name (Click For Destination Guides)","1","0.11176470588235293"
"11599512_1_280388135214354946.csv","A","0","55004961_0_2904467548072189860.csv","Country Name (Click For Destination Guides)","1","0.16764705882352943"
"11599512_1_280388135214354946.csv","Nom en anglais","4","55004961_0_2904467548072189860.csv","Capital City","0","0.11176470588235293"
"11599512_1_280388135214354946.csv","Nom en anglais","4","55004961_0_2904467548072189860.csv","Country Name (Click For Destination Guides)","1","0.726470588235294"
"11599512_1_280388135214354946.csv","Capitale","1","55004961_0_2904467548072189860.csv","Capital City","0","0.726470588235294"
"11599512_1_280388135214354946.csv","A","0","55238374_0_3379409961751009152.csv","Country Name (Click For Destination Guides)","1","0.2714285714285714"
"11599512_1_280388135214354946.csv","Nom en anglais","4","55238374_0_3379409961751009152.csv","Country Name (Click For Destination Guides)","1","0.769047619047619"
"11599512_1_280388135214354946.csv","Capitale","1","55238374_0_3379409961751009152.csv","Capital City","0","0.6333333333333333"
"11599512_1_280388135214354946.csv","A","0","57943722_0_8666078014685775876.csv","Country Name (Click For Destination Guides)","1","0.12391304347826086"
"11599512_1_280388135214354946.csv","Nom en anglais","4","57943722_0_8666078014685775876.csv","Country Name (Click For Destination Guides)","1","0.5369565217391303"
"11599512_1_280388135214354946.csv","Nom en anglais","4","57943722_0_8666078014685775876.csv","Geographic Info (Click for info)","2","0.041304347826086954"
"11599512_1_280388135214354946.csv","Capitale","1","57943722_0_8666078014685775876.csv","Capital City","0","0.6608695652173913"
"11599512_1_280388135214354946.csv","A","0","61121469_0_6337620713408906340.csv","Capital City","0","0.038"
"11599512_1_280388135214354946.csv","Capitale","1","61121469_0_6337620713408906340.csv","Country Name (Click For Destination Guides)","1","0.076"
"11599512_1_280388135214354946.csv","A","0","61121469_0_6337620713408906340.csv","Country Name (Click For Destination Guides)","1","0.22799999999999998"
"11599512_1_280388135214354946.csv","Nom en anglais","4","61121469_0_6337620713408906340.csv","Capital City","0","0.11399999999999999"
"11599512_1_280388135214354946.csv","Nom en anglais","4","61121469_0_6337620713408906340.csv","Country Name (Click For Destination Guides)","1","0.6839999999999999"
"11599512_1_280388135214354946.csv","Nom en anglais","4","61121469_0_6337620713408906340.csv","Geographic Info (Click for info)","2","0.076"
"11599512_1_280388135214354946.csv","Capitale","1","61121469_0_6337620713408906340.csv","Capital City","0","0.57"
"11599512_1_280388135214354946.csv","A","0","67865873_0_8259587610208037357.csv","Country","2","0.21533333333333332"
"11599512_1_280388135214354946.csv","Capitale","1","67865873_0_8259587610208037357.csv","Country","2","0.042222222222222223"
"11599512_1_280388135214354946.csv","Nom en anglais","4","67865873_0_8259587610208037357.csv","Country","2","0.7262222222222222"
"11599512_1_280388135214354946.csv","A","0","68779923_0_3859283110041832023.csv","Capital","0","0.03220338983050847"
"11599512_1_280388135214354946.csv","Nom en anglais","4","68779923_0_3859283110041832023.csv","Name","4","0.7889830508474576"
"11599512_1_280388135214354946.csv","A","0","68779923_0_3859283110041832023.csv","Name","4","0.09661016949152543"
"11599512_1_280388135214354946.csv","Capitale","1","68779923_0_3859283110041832023.csv","Capital","0","0.7567796610169492"
"11599512_1_280388135214354946.csv","Capitale","1","68779923_0_3859283110041832023.csv","Name","4","0.08050847457627118"
"11599512_1_280388135214354946.csv","Nom en anglais","4","68779923_0_3859283110041832023.csv","Capital","0","0.06440677966101695"
"11599512_1_280388135214354946.csv","Nom en anglais","4","68779923_1_3240042497463101224.csv","Name","4","0.8233333333333334"
"11599512_1_280388135214354946.csv","A","0","68779923_1_3240042497463101224.csv","Name","4","0.21111111111111108"
"11599512_1_280388135214354946.csv","Capitale","1","68779923_1_3240042497463101224.csv","Capital","0","0.7177777777777777"
"11599512_1_280388135214354946.csv","Capitale","1","68779923_1_3240042497463101224.csv","Name","4","0.042222222222222223"
"11599512_1_280388135214354946.csv","Nom en anglais","4","68779923_2_1000046510804975562.csv","Name","4","0.7945454545454544"
"11599512_1_280388135214354946.csv","Nom en anglais","4","68779923_2_1000046510804975562.csv","Previous Names","5","0.03454545454545454"
"11599512_1_280388135214354946.csv","A","0","68779923_2_1000046510804975562.csv","Name","4","0.3281818181818182"
"11599512_1_280388135214354946.csv","A","0","68779923_2_1000046510804975562.csv","Previous Names","5","0.03454545454545454"
"11599512_1_280388135214354946.csv","Capitale","1","68779923_2_1000046510804975562.csv","Capital","0","0.829090909090909"
"11599512_1_280388135214354946.csv","Capitale","1","68779923_2_1000046510804975562.csv","Name","4","0.03454545454545454"
"11599512_1_280388135214354946.csv","Nom en anglais","4","68779923_4_1832350971585698643.csv","Name","4","0.6418918918918919"
"11599512_1_280388135214354946.csv","A","0","68779923_4_1832350971585698643.csv","Name","4","0.28243243243243243"
"11599512_1_280388135214354946.csv","Capitale","1","68779923_4_1832350971585698643.csv","Capital","0","0.4878378378378378"
"11599512_1_280388135214354946.csv","Capitale","1","68779923_4_1832350971585698643.csv","Name","4","0.07702702702702703"
"11599512_1_280388135214354946.csv","Nom en anglais","4","68779923_5_2067037721454758189.csv","Name","4","0.771875"
"11599512_1_280388135214354946.csv","A","0","68779923_5_2067037721454758189.csv","Name","4","0.17812499999999998"
"11599512_1_280388135214354946.csv","Capitale","1","68779923_5_2067037721454758189.csv","Capital","0","0.7124999999999999"
"11599512_1_280388135214354946.csv","A","0","69537082_0_7789694313271016902.csv","Country","0","0.22017167381974248"
"11599512_1_280388135214354946.csv","Nom en anglais","4","69537082_0_7789694313271016902.csv","Country","0","0.7583690987124464"
"11599512_1_280388135214354946.csv","Capitale","1","69537082_0_7789694313271016902.csv","Country","0","0.0407725321888412"
"11599512_1_280388135214354946.csv","Heure","3","69537082_0_7789694313271016902.csv","Population","2","0.06365832983610506"
"11599512_1_280388135214354946.csv","Capitale","1","74491133_0_7177831100884797849.csv","Country","1","0.03341708542713567"
"11599512_1_280388135214354946.csv","A","0","74491133_0_7177831100884797849.csv","Country","1","0.22914572864321606"
"11599512_1_280388135214354946.csv","Nom en anglais","4","74491133_0_7177831100884797849.csv","Capital","0","0.03819095477386934"
"11599512_1_280388135214354946.csv","Nom en anglais","4","74491133_0_7177831100884797849.csv","Country","1","0.7494974874371859"
"11599512_1_280388135214354946.csv","Capitale","1","74491133_0_7177831100884797849.csv","Capital","0","0.7256281407035176"
"11599512_1_280388135214354946.csv","Capitale","1","79327346_0_5787863739697336601.csv","Capital","1","0.6197424892703862"
"11599512_1_280388135214354946.csv","Capitale","1","79327346_0_5787863739697336601.csv","Country","2","0.0407725321888412"
"11599512_1_280388135214354946.csv","A","0","79327346_0_5787863739697336601.csv","Country","2","0.1875536480686695"
"11599512_1_280388135214354946.csv","Nom en anglais","4","79327346_0_5787863739697336601.csv","Capital","1","0.03261802575107296"
"11599512_1_280388135214354946.csv","Nom en anglais","4","79327346_0_5787863739697336601.csv","Country","2","0.6809012875536481"
"11599512_1_280388135214354946.csv","A","0","8286121_0_8471791395229161598.csv","Capital City","0","0.03064516129032258"
"11599512_1_280388135214354946.csv","Capitale","1","8286121_0_8471791395229161598.csv","Country Name (Click For Destination Guides)","1","0.06129032258064516"
"11599512_1_280388135214354946.csv","A","0","8286121_0_8471791395229161598.csv","Country Name (Click For Destination Guides)","1","0.15322580645161288"
"11599512_1_280388135214354946.csv","Nom en anglais","4","8286121_0_8471791395229161598.csv","Capital City","0","0.06129032258064516"
"11599512_1_280388135214354946.csv","Nom en anglais","4","8286121_0_8471791395229161598.csv","Country Name (Click For Destination Guides)","1","0.7354838709677419"
"11599512_1_280388135214354946.csv","Capitale","1","8286121_0_8471791395229161598.csv","Capital City","0","0.8274193548387097"
"11599512_1_280388135214354946.csv","A","0","86297395_0_6919201319699354263.csv","Country","1","0.11875"
"11599512_1_280388135214354946.csv","Nom en anglais","4","86297395_0_6919201319699354263.csv","Country","1","0.8312499999999999"
"11599512_1_280388135214354946.csv","A","0","89511064_0_2199624509082573904.csv","Country","2","0.21891304347826085"
"11599512_1_280388135214354946.csv","Capitale","1","89511064_0_2199624509082573904.csv","Capital","0","0.718695652173913"
"11599512_1_280388135214354946.csv","Capitale","1","89511064_0_2199624509082573904.csv","Country","2","0.041304347826086954"
"11599512_1_280388135214354946.csv","Nom en anglais","4","89511064_0_2199624509082573904.csv","Capital","0","0.04543478260869565"
"11599512_1_280388135214354946.csv","Nom en anglais","4","89511064_0_2199624509082573904.csv","Country","2","0.7558695652173912"
"11599512_1_280388135214354946.csv","A","0","9206866_1_8114610355671172497.csv","Name","2","0.20798816568047337"
"11599512_1_280388135214354946.csv","Capitale","1","9206866_1_8114610355671172497.csv","Name","2","0.039349112426035504"
"11599512_1_280388135214354946.csv","Nom en anglais","4","9206866_1_8114610355671172497.csv","Name","2","0.7363905325443786"
"11688006_0_8123036130090004213.csv","Country Name:","3","11599512_1_280388135214354946.csv","A","0","0.2658031088082901"
"11688006_0_8123036130090004213.csv","Country Name:","3","11599512_1_280388135214354946.csv","Capitale","1","0.054145077720207255"
"11688006_0_8123036130090004213.csv","Country Name:","3","11599512_1_280388135214354946.csv","Nom en anglais","4","0.8318652849740932"
"11688006_0_8123036130090004213.csv","Country Name:","3","12183399_0_6725061928072492226.csv","Country","0","0.8237261146496816"
"11688006_0_8123036130090004213.csv","Country Name:","3","12183399_0_6725061928072492226.csv","Currency","3","0.048407643312101914"
"11688006_0_8123036130090004213.csv","Country Name:","3","12193237_0_8699643798888088574.csv","","0","0.8609374999999999"
"11688006_0_8123036130090004213.csv","Population","4","14067031_0_559833072073397908.csv","IMF SDRs","4","0.052093514908664845"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Km.)","5","14067031_0_559833072073397908.csv","IMF SDRs","4","0.6431728844472433"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Mi.)","6","14067031_0_559833072073397908.csv","IMF #Votes","3","0.032299310472539644"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Mi.)","6","14067031_0_559833072073397908.csv","IMF SDRs","4","0.2753932132082096"
"11688006_0_8123036130090004213.csv","Country Name:","3","14067031_0_559833072073397908.csv","Capital","0","0.035849056603773584"
"11688006_0_8123036130090004213.csv","Country Name:","3","14067031_0_559833072073397908.csv","OAU State","6","0.8066037735849056"
"11688006_0_8123036130090004213.csv","Population","4","14067031_0_559833072073397908.csv","IMF #Votes","3","0.05210356967432915"
"11688006_0_8123036130090004213.csv","Population","4","24036779_0_5608105867560183058.csv","Land area (km2) [49]","4","0.10804463714505846"
"11688006_0_8123036130090004213.csv","Population","4","24036779_0_5608105867560183058.csv","Population[52]","6","0.19514634018989432"
"11688006_0_8123036130090004213.csv","Area (Sq. Km.)","1","24036779_0_5608105867560183058.csv","Land area (km2) [49]","4","0.06033323254552327"
"11688006_0_8123036130090004213.csv","Country Name:","3","24036779_0_5608105867560183058.csv","Country","1","0.8392857142857142"
"11688006_0_8123036130090004213.csv","Population","4","24850757_0_5978004733768297283.csv","Population","4","0.05"
"11688006_0_8123036130090004213.csv","Country Name:","3","34899692_0_6530393048033763438.csv","Country","0","0.7684782608695653"
"11688006_0_8123036130090004213.csv","Area (Sq. Mi.)","2","37856682_0_6818907050314633217.csv","Area (square miles)","0","0.5373071481321451"
"11688006_0_8123036130090004213.csv","Country Name:","3","37856682_0_6818907050314633217.csv","State, Province, Territory, Country, etc","2","0.8712435233160621"
"11688006_0_8123036130090004213.csv","","0","3917335_0_7791699395300625164.csv","Area sq.km.","0","0.23817174611846906"
"11688006_0_8123036130090004213.csv","Area (Sq. Mi.)","2","3917335_0_7791699395300625164.csv","Population 2008 est.","3","0.07655894788299082"
"11688006_0_8123036130090004213.csv","","0","3917335_0_7791699395300625164.csv","Population 2008 est.","3","0.07522998456367708"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Km.)","5","3917335_0_7791699395300625164.csv","Area sq.km.","0","0.2381984689331138"
"11688006_0_8123036130090004213.csv","Country Name:","3","3917335_0_7791699395300625164.csv","Capital","1","0.054145077720207255"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Km.)","5","3917335_0_7791699395300625164.csv","Population 2008 est.","3","0.07523079802723943"
"11688006_0_8123036130090004213.csv","Area (Sq. Km.)","1","3917335_0_7791699395300625164.csv","Area sq.km.","0","0.4198515343631727"
"11688006_0_8123036130090004213.csv","Country Name:","3","3917335_0_7791699395300625164.csv","Country","2","0.9159326424870466"
"11688006_0_8123036130090004213.csv","Area (Sq. Km.)","1","3917335_0_7791699395300625164.csv","Population 2008 est.","3","0.07871343869824951"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Mi.)","6","3917335_0_7791699395300625164.csv","Area sq.km.","0","0.23826606612492998"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Mi.)","6","3917335_0_7791699395300625164.csv","Population 2008 est.","3","0.07523285546175203"
"11688006_0_8123036130090004213.csv","Area (Sq. Mi.)","2","3917335_0_7791699395300625164.csv","Area sq.km.","0","0.3093846621813076"
"11688006_0_8123036130090004213.csv","Population","4","3917335_0_7791699395300625164.csv","Population 2008 est.","3","0.4872184235586082"
"11688006_0_8123036130090004213.csv","Area (Sq. Km.)","1","41194422_0_7231546114369966811.csv","Population","1","0.07210793776734449"
"11688006_0_8123036130090004213.csv","","0","41194422_0_7231546114369966811.csv","Population","1","0.06883495568374837"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Mi.)","6","41194422_0_7231546114369966811.csv","Population","1","0.06883765130925375"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Km.)","5","41194422_0_7231546114369966811.csv","Population","1","0.06883571948380121"
"11688006_0_8123036130090004213.csv","Country Name:","3","41194422_0_7231546114369966811.csv","Country / Territory","0","0.8712435233160621"
"11688006_0_8123036130090004213.csv","Population","4","41194422_0_7231546114369966811.csv","Population","1","0.5204718947396507"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Km.)","5","41194422_0_7231546114369966811.csv","Rank","2","0.08442586423796088"
"11688006_0_8123036130090004213.csv","Area (Sq. Mi.)","2","41194422_0_7231546114369966811.csv","Population","1","0.07008310594470718"
"11688006_0_8123036130090004213.csv","Area (Sq. Km.)","1","41194422_1_1172256090552737974.csv","Population","1","0.07210793776734449"
"11688006_0_8123036130090004213.csv","","0","41194422_1_1172256090552737974.csv","Population","1","0.06883495568374837"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Mi.)","6","41194422_1_1172256090552737974.csv","Population","1","0.06883765130925375"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Km.)","5","41194422_1_1172256090552737974.csv","Population","1","0.06883571948380121"
"11688006_0_8123036130090004213.csv","Country Name:","3","41194422_1_1172256090552737974.csv","Country / Territory","0","0.8712435233160621"
"11688006_0_8123036130090004213.csv","Population","4","41194422_1_1172256090552737974.csv","Population","1","0.5204718947396507"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Km.)","5","41194422_1_1172256090552737974.csv","Rank","2","0.08442586423796088"
"11688006_0_8123036130090004213.csv","Area (Sq. Mi.)","2","41194422_1_1172256090552737974.csv","Population","1","0.07008310594470718"
"11688006_0_8123036130090004213.csv","Country Name:","3","41648740_0_6959523681065295632.csv","COUNTRY","6","0.8108024691358025"
"11688006_0_8123036130090004213.csv","","0","49772588_0_6549847739640234347.csv","Permanent Deacons","9","0.038415688506886654"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Km.)","5","49772588_0_6549847739640234347.csv","#","0","0.07521211754870168"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Km.)","5","49772588_0_6549847739640234347.csv","Permanent Deacons","9","0.689284562931397"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Mi.)","6","49772588_0_6549847739640234347.csv","Male Religious","6","0.04441733914146368"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Mi.)","6","49772588_0_6549847739640234347.csv","Parishes","7","0.0556123706990042"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Mi.)","6","49772588_0_6549847739640234347.csv","Permanent Deacons","9","0.30565627519393634"
"11688006_0_8123036130090004213.csv","Population","4","49772588_0_6549847739640234347.csv","Population","10","0.9567023947894407"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Mi.)","6","49772588_0_6549847739640234347.csv","Religious Priests","11","0.5749369418259569"
"11688006_0_8123036130090004213.csv","Country Name:","3","49772588_0_6549847739640234347.csv","Country","2","0.860031847133758"
"11688006_0_8123036130090004213.csv","Population","4","52299421_0_4473286348258170200.csv","Population","8","0.14118995268046441"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Km.)","5","52299421_0_4473286348258170200.csv","","0","0.10777851047873069"
"11688006_0_8123036130090004213.csv","Population Density (Sq. Km.)","5","52299421_0_4473286348258170200.csv","Infant Mortality","5","0.07662522503503438"
